time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub678 [m3/s],sub679 [m3/s],sub680 [m3/s],sub681 [m3/s],sub682 [m3/s],sub683 [m3/s],sub684 [m3/s],sub685 [m3/s],sub686 [m3/s],sub687 [m3/s],sub688 [m3/s],sub689 [m3/s],sub690 [m3/s],sub691 [m3/s],sub692 [m3/s],sub693 [m3/s],sub694 [m3/s],sub695 [m3/s],sub696 [m3/s],sub697 [m3/s],sub698 [m3/s],sub699 [m3/s],sub700 [m3/s],sub701 [m3/s],sub702 [m3/s],sub703 [m3/s],sub704 [m3/s],sub705 [m3/s],sub706 [m3/s],sub707 [m3/s],sub708 [m3/s],sub709 [m3/s],sub710 [m3/s],sub711 [m3/s],sub712 [m3/s],sub713 [m3/s],sub714 [m3/s],sub715 [m3/s],sub716 [m3/s],sub717 [m3/s],sub718 [m3/s],sub719 [m3/s],sub720 [m3/s],sub721 [m3/s],sub722 [m3/s],sub723 [m3/s],sub724 [m3/s]
12,2010-01-13,00:00:00.00,0,0,0,0,0,0,0,0,0,0,0,0,4.20167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.123,0,0,0,0,0,0,0,0,0,0,0
13,2010-01-14,00:00:00.00,0,0,0,0,0,0,0,0,0,0,0,0,1.00284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.441,0,0,0,0,0,0,0,0,0,0,0
14,2010-01-15,00:00:00.00,0.00370843,1.01735e-05,0.0020654,0.0154984,0.00525509,0.0102203,0.00259525,0,0,0.000257659,1.92814e-05,0.000244836,1.63927e-05,0.000146781,0.00190093,0.000330238,0.00264322,7.07009e-05,0.000389675,5.42203e-05,2.72441e-05,0,4.26297e-05,0,0,1.71459e-08,0,0,0.000434505,0.000146068,0.00113969,0.000835819,0.000710163,0.000705478,0.000495644,0.00168155,0.00101589,0.000268562,106.323,0.00178148,0.00122071,0,1.26379e-06,4.98863e-05,6.2245e-05,0.000463456,0.00207552,4.09174e-05,0.000184198,0.00322958
15,2010-01-16,00:00:00.00,0.0286272,0.000463718,0.00685678,0.0726092,0.0215288,0.031777,0.00949852,0.025057,0.00853034,0.00333437,0.00260873,0.0138575,0.00567501,0.00612515,0.0132267,0.00979786,0.00645842,0.000864605,0.0116869,0.0297521,0.0214262,0.000562055,0.0112152,0.00264796,0.000494968,0.0833505,0.018615,0.00148419,0.0141714,0.00107553,0.0420416,0.052106,0.00117375,0.00593314,0.00146996,0.0163745,0.0082946,0.00748221,95.6166,0.0184916,0.0123292,0.0132707,0.0214502,0.0158904,0.00880274,0.0662886,0.013668,0.00791612,0.00840419,0.0334242
16,2010-01-17,00:00:00.00,0.00395285,0.00324231,0.00972386,0.0717423,0.0735372,0.0231446,0.0179882,0.025057,0.0168533,0.0063029,0.0103762,0.0307557,0.0251963,0.0522821,0.0331559,0.0287027,0.0288787,0.0133605,0.0437476,0.0463195,0.0522506,0.0639697,0.0332016,0.0125848,0.0598533,0.0834201,0.0427864,0.0421796,0.0486339,0.00260349,0.0540846,0.0659464,0.000946113,0.00877029,0.0033147,0.0323887,0.0578914,0.0100119,83.2617,0.0450561,0.047994,0.0835286,0.0779904,0.0825817,0.215324,0.149293,0.0467114,0.10835,0.0403576,0.0638638
17,2010-01-18,00:00:00.00,0.0124654,0.00317737,0.00840551,0.111488,0.0724755,0.00273531,0.01278,0.012523,0.0203719,0.00545492,0.0131849,0.019404,0.0531736,0.0526977,0.0288345,0.0321819,0.0565251,0.0355857,0.054156,0.0529488,0.0369446,0.0868463,0.0222904,0.0326035,0.0604072,0.0602737,0.0484637,0.0429784,0.0682125,0.0094479,0.0363893,0.0319865,0.0042698,0.00421081,0.0031012,0.0743731,0.121115,0.00315409,72.7271,0.0566853,0.0759469,0.128256,0.0847685,0.120714,0.344584,0.120182,0.0887846,0.202888,0.0617037,0.104336
18,2010-01-19,00:00:00.00,0.00371451,0.000597194,0.00576057,0.130784,0.112758,0.0023435,0.00220235,0.012523,0.0199869,0.00756437,0.010803,0.00411955,0.0564412,0.0445368,0.0176576,0.0357292,0.0373619,0.0651938,0.0494569,0.0471439,0.0260638,0.072236,0.000350056,0.0532666,0.117626,0.0630456,0.0281109,0.0216009,0.0559111,0.0381597,0.0691478,0.0688561,0.00816367,0.0010362,0.00302455,0.125902,0.145376,0.00108564,65.2153,0.0938381,0.0646339,0.106062,0.0632348,0.1121,0.335993,0.0573401,0.150253,0.268717,0.033473,0.0771294
19,2010-01-20,00:00:00.00,6.74604e-05,0.000309265,0.00569561,0.0405621,0.131586,0.00221033,0.0013948,0,0.00883909,0.00624578,0.00743992,0.00403942,0.0466176,0.0573443,0.0218072,0.0298909,0.00770488,0.0653198,0.0644751,0.0235537,0.0202706,0.0818576,8.96571e-05,0.0613802,0.133393,0.00327687,0.0131177,0.0436431,0.048263,0.102688,0.100977,0.0888319,0.00702109,0.000392682,0.0043493,0.175609,0.137731,0.000817886,57.7584,0.137514,0.0543762,0.0551241,0.039504,0.0628558,0.392474,0.0277096,0.233849,0.272222,0.00841509,0.0155842
20,2010-01-21,00:00:00.00,0.000329776,0.000214955,0.00576191,0.0102956,0.0407255,0.0017801,0.00138383,0,0.000901142,0.00141778,0.00629939,0.00330644,0.0429456,0.0192015,0.0134391,0.0179705,0.00348268,0.0518188,0.0431006,0.012776,0.000354174,0.0563305,0.000121755,0.0700337,0.0169144,0.00142922,0.0100979,0.0487861,0.0398485,0.141034,0.0660661,0.0372861,0.00931187,0.000239905,0.0032567,0.182731,0.0842325,0.000253511,48.429,0.0758945,0.102257,0.0147556,0.0099088,0.0109645,0.357511,0.00824027,0.274767,0.135975,0.00562667,0.012313
21,2010-01-22,00:00:00.00,0.00378558,0.000252711,0.00355147,0.00752195,0.0104287,0.00196219,0.00120584,0,5.39183e-05,0.00106206,0.00829337,0.00177536,0.0413135,1.29028e-05,0.00384857,0.0233919,0.00246125,0.0660057,0.0101343,0.000118833,0.000163465,0.0539908,0.000339453,0.0580091,0.000503376,0.00101371,0.00149644,0.0288491,0.0225748,0.169533,0.0111234,0,0.0131116,0.000936803,0.00259033,0.111306,0.0216545,0.000708895,38.0232,0.0111433,0.172289,0.0113522,0.00842122,0.0109434,0.419821,0.00426226,0.306282,0.0307619,0.00326206,0.014992
