time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub678 [m3/s],sub679 [m3/s],sub680 [m3/s],sub681 [m3/s],sub682 [m3/s],sub683 [m3/s],sub684 [m3/s],sub685 [m3/s],sub686 [m3/s],sub687 [m3/s],sub688 [m3/s],sub689 [m3/s],sub690 [m3/s],sub691 [m3/s],sub692 [m3/s],sub693 [m3/s],sub694 [m3/s],sub695 [m3/s],sub696 [m3/s],sub697 [m3/s],sub698 [m3/s],sub699 [m3/s],sub700 [m3/s],sub701 [m3/s],sub702 [m3/s],sub703 [m3/s],sub704 [m3/s],sub705 [m3/s],sub706 [m3/s],sub707 [m3/s],sub708 [m3/s],sub709 [m3/s],sub710 [m3/s],sub711 [m3/s],sub712 [m3/s],sub713 [m3/s],sub714 [m3/s],sub715 [m3/s],sub716 [m3/s],sub717 [m3/s],sub718 [m3/s],sub719 [m3/s],sub720 [m3/s],sub721 [m3/s],sub722 [m3/s],sub723 [m3/s],sub724 [m3/s]
0,2010-01-01,00:00:00.00,---,3.07281,7.30171,11.1939,11.6357,4.43617,3.55089,2.29278,2.78359,5.17895,9.36853,3.64995,48.855,2.22779,6.20575,8.79712,6.38563,17.6817,10.5777,4.9234,2.69813,10.7605,2.24708,6.76669,2.97918,3.36629,3.60607,6.21429,6.42994,11.0641,3.62024,3.63608,15.6474,2.66052,26.6655,4.66838,3.44679,2.16725,155.774,13.0585,29.7082,8.64104,6.36934,9.1573,21.2461,2.15464,17.1827,5.93042,3.10008,6.30344
1,2010-01-02,00:00:00.00,0,1.76941,5.22861,8.4942,9.09145,3.05888,2.55607,1.14639,1.71901,3.81913,7.78092,2.37552,42.7422,1.25266,4.46513,6.30645,4.45594,12.6144,7.51257,3.30897,1.76423,8.20626,1.37971,4.77947,1.57611,1.68314,2.28156,4.60045,4.88822,8.06046,2.57194,2.38402,11.6055,1.69808,21.5149,3.67079,2.35624,1.40438,143.953,10.4223,24.6048,5.70268,4.76999,6.56796,17.0599,1.26443,14.0585,3.69065,2.12854,4.52311
2,2010-01-03,00:00:00.00,0,0.233007,1.76017,4.01846,4.61533,0.889324,1.01096,0,0.327216,1.37866,4.74622,0.550539,27.3465,0.138767,1.53737,2.23299,1.30081,4.30815,2.57461,1.05434,0.420333,3.93341,0.256167,1.56242,0.0865198,0,0.478523,1.76081,1.9624,2.53038,0.903191,0.565976,4.71944,0.367813,11.2845,1.7618,0.63284,0.320759,109.208,5.25342,13.6128,1.38216,1.9452,2.24932,8.44096,0.187105,8.08062,0.725438,0.584486,1.76948
3,2010-01-04,00:00:00.00,0,0,0.182405,1.48396,1.79326,0.0513334,0.307878,0,0,0.149005,2.19278,0,13.5678,0,0.175123,0.326274,0.0376874,0.559475,0.350876,0.236902,0.00522749,1.56969,0,0.175811,0,0,0,0.365004,0.289155,0.0329151,0.151925,0,0.965339,0,4.94462,0.450724,0,0,68.8519,1.95821,6.06031,0.0276975,0.393358,0.333731,2.1153,0,3.42249,0,0.00598903,0.44706
4,2010-01-05,00:00:00.00,0,0,0,0.52788,0.624617,0.00296305,0.102781,0,0,0,0.588624,0,6.56923,0,1.90181e-17,0.00118084,0,0.0259225,7.53146e-05,0.0341224,6.50119e-05,0.512888,0,0.00951104,0,0,0,0.0974975,0.00555202,0.0309207,0.0113421,0,0.0277006,0,2.61633,0.0270517,0,0,40.3421,0.769314,3.08317,0.0296361,0.0334723,0.0737125,0.308092,0,0.822156,0,0,0.0552186
5,2010-01-06,00:00:00.00,0,0,0,0.214356,0.248351,0.000171033,0.0335224,0,0,0,0.0454128,0,2.16997,0,1.90181e-17,1.7526e-17,0,0.00112172,7.53146e-05,0.00491486,8.08523e-07,0.0905373,0,0,0,0,0,0.000632609,0.00555202,0,0.00084676,0,0,0,1.07975,0.0016236,0,0,24.4646,0.215931,1.09871,0.00193854,4.38868e-05,0.00168148,0.301257,0,0.0131915,0,0,0.00702181
6,2010-01-07,00:00:00.00,0,0,0,0.0740353,0.0937546,9.87232e-06,0.0109965,0,0,0,0,0,0.136684,0,2.47034e-18,1.7526e-17,0,2.09345e-05,1.8698e-08,0.000707917,1.00552e-08,0.0399506,0,0,0,0,0,0.000632609,0,0,6.32159e-05,0,0,0,0.438739,9.74462e-05,0,0,17.1013,0.059801,0.220681,0.000147228,4.38868e-05,0.00168148,0.104328,0,0.000761291,0,0,0.000859819
7,2010-01-08,00:00:00.00,0,0,0,0.0309206,0.032488,5.69848e-07,0.0036021,0,0,0,0,0,0.00480401,0,3.95706e-18,2.55776e-18,0,2.09345e-05,1.8698e-08,0.000101966,1.25052e-10,0.0027143,0,0,0,0,0,1.38423e-06,0,0,4.71946e-06,0,0,0,0.187536,5.84857e-06,0,0,13.2571,0.0192841,0.0217629,0.000147228,2.76725e-08,1.08003e-05,0.016117,0,0.000761291,0,0,0.000105627
8,2010-01-09,00:00:00.00,0,0,0,0.00996935,0.0146126,3.28926e-08,0.00118034,0,0,0,0,0,0.0079355,0,1.48672e-18,3.4726e-18,0,1.42888e-08,4.64205e-12,1.46867e-05,1.55522e-12,0.0027143,0,0,0,0,0,1.38423e-06,0,0,3.52337e-07,0,0,0,0.0796385,3.51022e-07,0,0,9.49165,0.00553767,0.0226341,9.19972e-07,2.76725e-08,1.08003e-05,0.0232569,0,0,0,0,1.29219e-05
9,2010-01-10,00:00:00.00,0,0,0,0.00449985,0.00366148,1.89862e-09,0.000386744,0,0,0,0,0,0.00396076,0,0,9.14834e-19,0,1.42888e-08,4.64205e-12,2.11542e-06,1.93415e-14,8.21109e-05,0,0,0,0,0,3.02885e-09,0,0,2.63042e-08,0,0,0,0.0356933,2.10678e-08,0,0,5.70631,0.0019531,0.00776761,9.19972e-07,1.74486e-11,6.93715e-08,0.00713988,0,0,0,0,1.58139e-06
10,2010-01-11,00:00:00.00,2.43503e-08,0,0,0.00127438,0.00303722,1.09592e-10,0.000126721,0,0,0,0,0,0.00184776,0,0,0,0,3.54742e-12,1.15246e-15,3.04697e-07,2.40542e-16,8.21109e-05,0,0,0,0,0,3.02885e-09,0,0,1.96377e-09,0,0,4.21457e-07,0.0155256,1.26446e-09,0,0,3.24717,0.000561378,0.00130434,5.74854e-09,1.74486e-11,6.93715e-08,0.00141004,0,0,0,0,1.93439e-07
11,2010-01-12,00:00:00.00,3.97493e-09,0,0,0.000671662,0.000498471,6.32584e-12,4.15213e-05,0,0,0,0,0,0.0010185,0,0,0,0,3.54742e-12,1.15246e-15,4.38874e-08,2.99151e-18,2.48396e-06,0,0,0,0,0,6.6275e-12,0,0,1.46608e-10,0,0,7.65002e-07,0.0070913,7.58908e-11,0,0,1.61934,0.000196738,0.00203141,5.74854e-09,1.10021e-14,4.45581e-10,0.00168861,0,0,0,0,2.36629e-08
12,2010-01-13,00:00:00.00,3.54589e-09,0,0,0.000147854,0.000498471,3.65139e-13,1.36049e-05,0,0,0,0,0,4.78099e-07,0,0,0,0,8.80699e-16,2.86115e-19,6.32137e-09,3.7204e-20,2.48396e-06,0,0,0,0,0,6.6275e-12,0,0,1.09452e-11,0,0,3.54126e-07,0.00311005,4.55485e-12,0,0,0.771172,6.08325e-05,0.000727071,3.59204e-11,1.10021e-14,4.45581e-10,0.000278571,0,0,0,0,2.89447e-09
13,2010-01-14,00:00:00.00,8.97635e-08,0,0,0.000114468,8.49522e-05,2.10765e-14,4.45776e-06,0,0,0,0,0,4.78099e-07,0,0,0,0,8.80699e-16,2.86115e-19,9.10506e-10,4.62689e-22,7.51427e-08,0,0,0,0,0,1.45018e-14,0,0,8.17127e-13,0,0,1.23019e-07,0.00143145,2.73375e-13,0,0,0.279996,2.1044e-05,5.41184e-05,3.59204e-11,6.93726e-18,2.86201e-12,0.000188409,0,0,0,0,3.54056e-10
14,2010-01-15,00:00:00.00,0.00469231,0.000147573,0.00514799,0.0991121,0.0802488,0.0255401,0.010451,0,2.34639e-05,0.000506343,0.000936371,0.00162917,0.00314044,0.00309089,0.0247644,0.02485,0.0349941,0.0452628,0.0312455,5.97762e-05,2.16881e-05,7.51427e-08,9.45156e-05,0,0,2.72985e-08,2.99506e-06,8.59235e-06,0.000588437,0.00206136,0.00196264,0.00223599,0.00766586,0.00329639,0.00346845,0.00280875,0.00439255,0.0028349,0.131155,0.00758711,0.0100887,5.96299e-05,6.35762e-05,0.023419,0.009308,0.00108226,0.0166658,0.0106089,0.000310995,0.00705248
15,2010-01-16,00:00:00.00,0.036875,0.0036106,0.0145347,0.209625,0.202189,0.0441676,0.0225759,0.0315343,0.0169551,0.0081768,0.0167949,0.0302686,0.0604369,0.0595345,0.0754689,0.09536,0.0872042,0.157751,0.129007,0.0572169,0.045882,0.0943315,0.0314112,0.0432356,0.0710542,0.105393,0.0585583,0.0694221,0.0763865,0.00552583,0.0599817,0.0750286,0.0246347,0.011565,0.0078411,0.0331057,0.081086,0.0126264,0.199207,0.0742023,0.14867,0.148495,0.083713,0.162724,0.529869,0.128631,0.165494,0.176581,0.0509626,0.0838916
16,2010-01-17,00:00:00.00,0.0115174,0.00515187,0.015682,0.185544,0.202923,0.0268888,0.020016,0.0366819,0.0248898,0.0135731,0.0341877,0.0446933,0.135708,0.0850426,0.0765279,0.119176,0.0724114,0.19928,0.161505,0.0935499,0.0729693,0.166167,0.0499983,0.0848985,0.0914341,0.122686,0.0964496,0.138386,0.158968,0.0111814,0.0798057,0.0997581,0.0300301,0.011929,0.00917531,0.0787399,0.175254,0.0129438,0.427227,0.168345,0.412985,0.26382,0.170301,0.244538,1.30668,0.250704,0.418003,0.317678,0.099025,0.151929
17,2010-01-18,00:00:00.00,0.0222835,0.00225316,0.0116957,0.138532,0.14692,0.0154349,0.0136935,0.0254993,0.0301718,0.0120526,0.0309174,0.0238877,0.150254,0.0744122,0.0354639,0.0632457,0.0331438,0.118765,0.0879999,0.0800655,0.0572984,0.192192,0.0226807,0.107904,0.163534,0.108981,0.0557238,0.102691,0.126596,0.138426,0.0952626,0.0879365,0.0180741,0.00566952,0.00863532,0.191264,0.218393,0.00576473,0.668437,0.197568,0.595317,0.151684,0.132952,0.152572,1.34759,0.183189,0.725311,0.428224,0.0657679,0.130173
18,2010-01-19,00:00:00.00,0.013084,0.00173754,0.0115781,0.106739,0.116025,0.0140327,0.0106696,0.0270206,0.0348963,0.0105768,0.0239047,0.016453,0.129497,0.0988612,0.0226638,0.0327046,0.0273066,0.0680773,0.0567567,0.0748862,0.0548712,0.239017,0.0104278,0.143623,0.218905,0.121107,0.0413313,0.067303,0.085315,0.40344,0.170579,0.143688,0.0101352,0.0039563,0.00818843,0.327995,0.246658,0.00510724,0.920311,0.16177,0.598555,0.0883066,0.0780592,0.0892202,1.02946,0.109501,1.00497,0.464323,0.0350658,0.0908233
19,2010-01-20,00:00:00.00,0.0084103,0.00162214,0.0133927,0.0854167,0.0913001,0.0129309,0.00936273,0.0126181,0.0190254,0.00723639,0.0203433,0.0162782,0.100424,0.06649,0.0230642,0.0336802,0.025046,0.0681508,0.0538562,0.0520757,0.0380989,0.197911,0.0113913,0.108914,0.0930611,0.0538701,0.0357242,0.0555859,0.0745373,0.434546,0.15353,0.128617,0.00986679,0.00345078,0.00696295,0.314793,0.19215,0.00414792,1.1586,0.111912,0.47366,0.0793965,0.0581417,0.0739966,0.873971,0.0848046,1.03658,0.277601,0.0311361,0.0643212
20,2010-01-21,00:00:00.00,0.00778738,0.00133564,0.0122018,0.075738,0.0791177,0.0117944,0.0084665,0.0112561,0.0121557,0.0056379,0.016703,0.0136077,0.0815663,0.0355239,0.0199313,0.0302337,0.0216312,0.0574695,0.0439875,0.036377,0.025033,0.157171,0.00971658,0.0575103,0.0625494,0.0464233,0.0234931,0.0435296,0.0545354,0.208878,0.088848,0.0702147,0.00854648,0.00331295,0.0060495,0.202756,0.108698,0.00378856,1.29012,0.0853807,0.351325,0.0629083,0.0500293,0.0667781,0.731228,0.0665998,0.853335,0.179588,0.0249883,0.0529918
21,2010-01-22,00:00:00.00,0.0113364,0.00141029,0.00950973,0.0644326,0.0687885,0.0112382,0.00778379,0.0100412,0.0109833,0.00553444,0.0139551,0.0114947,0.0728142,0.034568,0.0206865,0.0313743,0.0216451,0.0562568,0.045586,0.0302025,0.0221185,0.118209,0.00906398,0.0472469,0.0594907,0.0411671,0.0236877,0.0365614,0.0434607,0.118342,0.0611546,0.0518525,0.00818543,0.00410571,0.00586686,0.165183,0.114871,0.00387858,1.29354,0.0780519,0.306615,0.076024,0.0504244,0.0651116,0.596063,0.0688543,0.622211,0.234583,0.0319661,0.0780932
