time,date,hour,precip [mm/day],sub691 [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub693 [m3/s]
0,2010-01-01,00:00:00.00,---,6.93905,19.2142,,11.4944
1,2010-01-02,00:00:00.00,0.249477,5.15287,13.8102,19.0289,8.32504
2,2010-01-03,00:00:00.00,0.158197,2.14429,5.09762,16.1123,3.26243
3,2010-01-04,00:00:00.00,0.516919,0.60349,1.24766,15.4893,0.924673
4,2010-01-05,00:00:00.00,0.972902,0.235104,0.556979,12.6293,0.38713
5,2010-01-06,00:00:00.00,0.494271,0.178501,0.507083,12.8275,0.308877
6,2010-01-07,00:00:00.00,0.0990872,0.18172,0.579598,11.7515,0.328168
7,2010-01-08,00:00:00.00,3.98179,0.184139,0.587721,11.1002,0.335989
8,2010-01-09,00:00:00.00,1.65501,0.184667,0.600652,11.4117,0.337198
9,2010-01-10,00:00:00.00,0.0790906,0.186025,0.589734,11.0153,0.336736
10,2010-01-11,00:00:00.00,0.0100626,0.187462,0.59626,10.7887,0.337791
11,2010-01-12,00:00:00.00,1.88698,0.189177,0.589725,11.2418,0.338238
12,2010-01-13,00:00:00.00,0.299306,0.186513,0.591828,10.3356,0.336803
13,2010-01-14,00:00:00.00,0.00438955,0.183429,0.583045,10.4206,0.332424
14,2010-01-15,00:00:00.00,0.0458979,0.177455,0.578991,10.7038,0.327002
15,2010-01-16,00:00:00.00,0.097262,0.17067,0.568501,11.8081,0.31935
16,2010-01-17,00:00:00.00,0.00939512,0.165374,0.561103,12.0913,0.312506
17,2010-01-18,00:00:00.00,5.90978e-308,0.165209,0.554998,10.9869,0.309534
18,2010-01-19,00:00:00.00,0.0304626,0.164359,0.552844,10.7887,0.308559
19,2010-01-20,00:00:00.00,0.214512,0.162922,0.549048,10.7604,0.306218
20,2010-01-21,00:00:00.00,0.0608399,0.16181,0.544866,10.7604,0.303919
21,2010-01-22,00:00:00.00,0.00904083,0.162336,0.542388,10.4489,0.302964
22,2010-01-23,00:00:00.00,0.0677072,0.160713,0.539179,9.9109,0.301448
23,2010-01-24,00:00:00.00,0.112382,0.156327,0.534333,10.0808,0.297049
24,2010-01-25,00:00:00.00,6.62305,0.15678,0.544754,17.4149,0.301754
25,2010-01-26,00:00:00.00,3.38036,0.198587,0.679423,32.8475,0.378414
26,2010-01-27,00:00:00.00,0.911755,0.349483,1.13481,27.2974,0.641491
27,2010-01-28,00:00:00.00,0.395056,0.611892,1.91644,23.0499,1.08992
28,2010-01-29,00:00:00.00,0.206671,0.817859,2.50881,16.9618,1.43098
29,2010-01-30,00:00:00.00,0.00323157,0.786397,2.35958,12.8558,1.35754
30,2010-01-31,00:00:00.00,0.0750787,0.567379,1.6522,11.9214,0.972002
31,2010-02-01,00:00:00.00,0.204187,0.354404,1.01289,11.1285,0.609349
32,2010-02-02,00:00:00.00,0.0313524,0.240353,0.705235,10.4489,0.421221
33,2010-02-03,00:00:00.00,1.89521,0.196262,0.612779,9.5711,0.354622
34,2010-02-04,00:00:00.00,0.489343,0.177445,0.584409,9.9109,0.330436
35,2010-02-05,00:00:00.00,1.45e-308,0.168433,0.570186,10.2507,0.318067
36,2010-02-06,00:00:00.00,0.00896418,0.16399,0.561047,9.656,0.311694
37,2010-02-07,00:00:00.00,0.0847183,0.16237,0.556413,9.1463,0.308355
38,2010-02-08,00:00:00.00,0.307316,0.163952,0.553372,8.9198,0.307915
39,2010-02-09,00:00:00.00,0,0.1641,0.552588,8.5517,0.308081
40,2010-02-10,00:00:00.00,10.1361,0.161934,0.548773,8.6933,0.305704
41,2010-02-11,00:00:00.00,6.95877,0.160204,0.544535,8.9764,0.302677
42,2010-02-12,00:00:00.00,0.295324,0.158204,0.540104,9.1747,0.30008
43,2010-02-13,00:00:00.00,0.150449,0.157525,0.536772,9.0614,0.297929
44,2010-02-14,00:00:00.00,0.230886,0.157328,0.533743,8.4101,0.296862
45,2010-02-15,00:00:00.00,0.0171686,0.154961,0.530781,8.5234,0.294598
46,2010-02-16,00:00:00.00,0.169921,0.15203,0.525429,8.4384,0.290775
47,2010-02-17,00:00:00.00,2.0624,0.150054,0.520887,8.7499,0.287593
48,2010-02-18,00:00:00.00,0.187658,0.147401,0.516291,8.6933,0.28452
49,2010-02-19,00:00:00.00,0.00440881,0.143385,0.510927,8.6933,0.280102
50,2010-02-20,00:00:00.00,5.2221e-308,0.140294,0.504647,9.5145,0.275612
51,2010-02-21,00:00:00.00,0.00254856,0.138912,0.500193,9.5145,0.272792
52,2010-02-22,00:00:00.00,0.0423053,0.135421,0.495466,8.8632,0.269451
53,2010-02-23,00:00:00.00,12.9892,0.133034,0.495445,9.9958,0.267917
54,2010-02-24,00:00:00.00,0.69747,0.144666,0.526801,11.4683,0.286212
55,2010-02-25,00:00:00.00,1.57395,0.174853,0.616038,11.2701,0.338146
56,2010-02-26,00:00:00.00,2.15547,0.208167,0.716466,10.7887,0.395175
57,2010-02-27,00:00:00.00,7.27144,0.215534,0.730909,10.5622,0.404239
58,2010-02-28,00:00:00.00,1.75431,0.186894,0.645772,11.0153,0.357415
59,2010-03-01,00:00:00.00,0.10532,0.14901,0.544884,12.4877,0.298132
60,2010-03-02,00:00:00.00,0.00152389,0.128542,0.487827,15.0929,0.262871
61,2010-03-03,00:00:00.00,0.038086,0.124819,0.471253,15.8008,0.253044
62,2010-03-04,00:00:00.00,0.040645,0.125694,0.46931,14.4133,0.252794
63,2010-03-05,00:00:00.00,0.00040031,0.124819,0.467515,15.376,0.251926
64,2010-03-06,00:00:00.00,0,0.122144,0.463192,14.6115,0.248847
65,2010-03-07,00:00:00.00,4.4135e-308,0.118797,0.457711,15.6592,0.244732
66,2010-03-08,00:00:00.00,1.3371e-308,0.11477,0.451586,17.4432,0.240062
67,2010-03-09,00:00:00.00,4.07985e-308,0.145081,0.556922,21.2093,0.300286
68,2010-03-10,00:00:00.00,0.0675365,0.363036,1.25184,25.6267,0.699836
69,2010-03-11,00:00:00.00,0.263683,0.981019,3.17426,30.5822,1.79768
70,2010-03-12,00:00:00.00,1.1694,1.82867,5.78567,37.0951,3.27425
71,2010-03-13,00:00:00.00,5.04343,2.23321,6.98931,53.802,3.95378
72,2010-03-14,00:00:00.00,12.5509,1.87972,5.7839,71.0753,3.30602
73,2010-03-15,00:00:00.00,4.57956,1.27624,3.83366,92.5961,2.2438
74,2010-03-16,00:00:00.00,0.134951,1.00175,3.02534,86.6496,1.78019
75,2010-03-17,00:00:00.00,2.9681e-308,1.04095,3.23673,62.5802,1.86111
76,2010-03-18,00:00:00.00,0,1.01907,3.21755,43.8911,1.82536
77,2010-03-19,00:00:00.00,0,0.779277,2.49488,35.6792,1.41544
78,2010-03-20,00:00:00.00,0.000819533,0.484324,1.61445,30.0159,0.915231
79,2010-03-21,00:00:00.00,0.782928,0.302924,1.07955,25.5984,0.600542
80,2010-03-22,00:00:00.00,0.645558,0.246296,0.893521,22.5968,0.488018
81,2010-03-23,00:00:00.00,1.86022,0.238334,0.862524,20.8129,0.469749
82,2010-03-24,00:00:00.00,0.0573602,0.232692,0.862468,20.9261,0.467257
83,2010-03-25,00:00:00.00,0,0.22861,0.866346,18.3776,0.46571
84,2010-03-26,00:00:00.00,0.894814,0.22862,0.874005,15.8291,0.46777
85,2010-03-27,00:00:00.00,0.00896076,0.236568,0.877488,14.3283,0.471787
86,2010-03-28,00:00:00.00,0.0237267,0.245418,0.876372,12.2612,0.477126
87,2010-03-29,00:00:00.00,8.45617,0.247106,0.895077,13.5638,0.488897
88,2010-03-30,00:00:00.00,0.290275,0.281399,1.02598,20.0483,0.559852
89,2010-03-31,00:00:00.00,0.000137943,0.393935,1.3767,16.1406,0.758004
90,2010-04-01,00:00:00.00,8.29947e-308,0.517845,1.7793,14.1301,0.981942
91,2010-04-02,00:00:00.00,4.14973e-308,0.518848,1.83207,12.7426,1.00229
92,2010-04-03,00:00:00.00,0,0.396784,1.48846,12.1479,0.80313
93,2010-04-04,00:00:00.00,0.946712,0.278719,1.11203,11.2984,0.590983
94,2010-04-05,00:00:00.00,0.0627416,0.229149,0.929857,10.817,0.489856
95,2010-04-06,00:00:00.00,3.42478,0.219236,0.889971,11.6665,0.467979
96,2010-04-07,00:00:00.00,19.2582,0.237379,0.956047,24.1826,0.505144
