gaugeID,Lat,Lon,Row_Lon,Col_Lat,Area/m2 
04067958,45.3830032349,-88.5654907227,38,54,4656269.34153
04067958,45.3777999878,-88.4407653809,39,54,17710743.6229
04067958,45.3724327087,-88.3160400391,40,54,19282755.594
04067958,45.4827766418,-88.8080444336,36,55,11788974.5044
04067958,45.477897644,-88.6829833984,37,55,33684420.6115
04067958,45.4728469849,-88.5579833984,38,55,79468026.6389
04067958,45.4676361084,-88.433013916,39,55,97679030.3492
04067958,45.4622573853,-88.3080749512,40,55,42749967.7233
04067958,45.5773735046,-88.9263305664,35,56,42085238.5321
04067958,45.5726470947,-88.8010253906,36,56,76416980.9465
04067958,45.5677566528,-88.6757202148,37,56,97738205.9343
04067958,45.5626983643,-88.5504760742,38,56,97730860.4225
04067958,45.557472229,-88.4252624512,39,56,80480468.2377
04067958,45.5520820618,-88.3000793457,40,56,18757394.4082
04067958,45.6672439575,-88.9194946289,35,57,64250236.8558
04067958,45.6625137329,-88.7939453125,36,57,97763381.2387
04067958,45.6576118469,-88.6684265137,37,57,88621664.8627
04067958,45.652545929,-88.5429382324,38,57,92729146.65
04067958,45.6473045349,-88.4174804688,39,57,64086328.8381
04067958,45.7571144104,-88.912689209,35,58,31232154.5325
04067958,45.7523765564,-88.786895752,36,58,17438526.5535
04067958,45.7474632263,-88.6611328125,37,58,11477582.8707
04067958,45.7423858643,-88.535369873,38,58,13702636.3581
04067958,45.7371444702,-88.4096679688,39,58,12791967.0835
04199500,40.9405632019,-82.6071777344,93,10,402280.778034
04199500,40.9274787903,-82.4944152832,94,10,17648005.1022
04199500,40.9142303467,-82.3817138672,95,10,17843130.6498
04199500,41.0295333862,-82.5891723633,93,11,16398313.4712
04199500,41.0164222717,-82.4761962891,94,11,95953205.5722
04199500,41.0031471252,-82.36328125,95,11,88222373.3752
04199500,40.9897346497,-82.2504272461,96,11,10835595.6083
04199500,41.1184883118,-82.5710754395,93,12,13374095.1621
04199500,41.1053543091,-82.4579162598,94,12,96019256.1334
04199500,41.0920639038,-82.3447875977,95,12,32218672.12
04199500,41.07862854,-82.2317504883,96,12,2769779.03633
04199500,41.2074546814,-82.552947998,93,13,2379828.72087
04199500,41.1942863464,-82.4396057129,94,13,80817831.2954
04199500,41.1809692383,-82.3262634277,95,13,39418267.0862
04199500,41.2832260132,-82.4212341309,94,14,51113041.6753
04199500,41.2698822021,-82.3077087402,95,14,47038631.4664
04199500,41.3721542358,-82.4028015137,94,15,5076307.15755
04199500,41.3587913513,-82.2890625,95,15,44459038.4412
04010500,47.8640785217,-90.0671081543,25,81,1077130.33576
04010500,47.8608627319,-89.9352416992,26,81,676215.155893
04010500,47.9599113464,-90.3267211914,23,82,10815.2554555
04010500,47.9570541382,-90.194519043,24,82,176415.837546
04010500,47.9540252686,-90.0623779297,25,82,59881672.9728
04010500,47.9508056641,-89.9302368164,26,82,82093758.7152
04010500,47.9474182129,-89.7981262207,27,82,18867083.7861
04010500,47.9438476562,-89.666015625,28,82,1347627.97574
04010500,48.0550804138,-90.5874633789,21,83,16517926.4581
04010500,48.0525665283,-90.4549865723,22,83,62994348.366
04010500,48.0498809814,-90.3225097656,23,83,87780763.6119
04010500,48.0470161438,-90.1900634766,24,83,79163048.7086
04010500,48.0439682007,-90.0576171875,25,83,98246214.209
04010500,48.0407524109,-89.9252319336,26,83,98556876.8435
04010500,48.0373535156,-89.7928466797,27,83,98301271.215
04010500,48.0337791443,-89.6604614258,28,83,53775802.5303
04010500,48.0300292969,-89.5280761719,29,83,73298.9656971
04010500,48.1450424194,-90.5837402344,21,84,3485366.91817
04010500,48.1425285339,-90.4510192871,22,84,39497827.9884
04010500,48.1398353577,-90.3182678223,23,84,97027101.9425
04010500,48.1369590759,-90.185546875,24,84,98577749.7678
04010500,48.1339073181,-90.0528564453,25,84,98612952.7293
04010500,48.1306800842,-89.9201965332,26,84,98384651.1529
04010500,48.1272773743,-89.7875366211,27,84,50157705.3323
04010500,48.1236991882,-89.6549072266,28,84,563799.933759
04010500,48.2324905396,-90.447052002,22,85,160648.952298
04010500,48.2297859192,-90.3140258789,23,85,53482796.6052
04010500,48.2269096375,-90.1810302734,24,85,90683024.7331
04010500,48.2238464355,-90.0480957031,25,85,78251237.9664
04010500,48.2206192017,-89.9151306152,26,85,65552344.1312
04010500,48.217212677,-89.7822265625,27,85,13797370.9424
04010500,48.3168487549,-90.1765136719,24,86,8169162.56097
04121970,43.3144302368,-85.6115112305,64,33,30689341.641
04121970,43.3053016663,-85.4925231934,65,33,44051956.5017
04121970,43.2960166931,-85.3735351562,66,33,5569858.50738
04121970,43.4129219055,-85.7178649902,63,34,4674973.0006
04121970,43.4039382935,-85.5986328125,64,34,78051697.4456
04121970,43.3947944641,-85.4794311523,65,34,96941253.0382
04121970,43.3854942322,-85.3602294922,66,34,91779098.5081
04121970,43.3760223389,-85.2410888672,67,34,22751624.8715
04121970,43.5024528503,-85.7052001953,63,35,24468678.6718
04121970,43.4934463501,-85.5856933594,64,35,96923788.2694
04121970,43.4842796326,-85.4662780762,65,35,96989319.3386
04121970,43.4749679565,-85.346862793,66,35,96982005.179
04121970,43.4654808044,-85.2275085449,67,35,70702778.5224
04121970,43.5919799805,-85.6924438477,63,36,3387942.59671
04121970,43.5829582214,-85.5727539062,64,36,92938764.8196
