time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub678 [m3/s],sub679 [m3/s],sub680 [m3/s],sub681 [m3/s],sub682 [m3/s],sub683 [m3/s],sub684 [m3/s],sub685 [m3/s],sub686 [m3/s],sub687 [m3/s],sub688 [m3/s],sub689 [m3/s],sub690 [m3/s],sub691 [m3/s],sub692 [m3/s],sub693 [m3/s],sub694 [m3/s],sub695 [m3/s],sub696 [m3/s],sub697 [m3/s],sub698 [m3/s],sub699 [m3/s],sub700 [m3/s],sub701 [m3/s],sub702 [m3/s],sub703 [m3/s],sub704 [m3/s],sub705 [m3/s],sub706 [m3/s],sub707 [m3/s],sub708 [m3/s],sub709 [m3/s],sub710 [m3/s],sub711 [m3/s],sub712 [m3/s],sub713 [m3/s],sub714 [m3/s],sub715 [m3/s],sub716 [m3/s],sub717 [m3/s],sub718 [m3/s],sub719 [m3/s],sub720 [m3/s],sub721 [m3/s],sub722 [m3/s],sub723 [m3/s],sub724 [m3/s]
0,2010-01-01,00:00:00.00,---,3.07281,7.30171,11.1939,11.6357,4.43617,3.55089,2.29278,2.78359,5.17895,9.36853,3.64995,48.855,2.22779,6.20575,8.79712,6.38563,17.6817,10.5777,4.9234,2.69813,10.7605,2.24708,6.76669,2.97918,3.36629,3.60607,6.21429,6.42994,11.0641,3.62024,3.63608,15.6474,2.66052,26.6655,4.66838,3.44679,2.16725,155.774,13.0585,29.7082,8.64104,6.36934,9.1573,21.2461,2.15464,17.1827,5.93042,3.10008,6.30344
1,2010-01-02,00:00:00.00,0.0386476,3.00143,6.46205,10.7561,11.4252,3.83753,3.27494,1.20017,2.20269,4.68795,9.2258,3.12505,48.5955,2.19425,5.99106,8.72303,6.16933,17.666,10.4744,4.22432,2.24555,10.7512,1.82178,6.65952,2.96845,1.76209,3.08083,6.15775,5.9734,10.8399,3.09658,3.23519,14.9482,2.46822,26.4403,4.22697,3.309,2.03705,155.55,12.5601,29.4156,8.32487,5.73744,9.11347,21.2104,1.71999,16.9893,5.92314,2.91868,5.6005
2,2010-01-03,00:00:00.00,0.0722636,1.54013,4.7613,9.0379,10.786,1.7499,2.27777,0.153945,0.900776,3.70508,8.5013,1.40789,47.5486,1.13433,5.11943,7.49167,5.89297,17.5563,9.14672,3.00034,0.978929,9.41105,0.768946,6.07033,1.54918,0.225943,1.97456,4.96933,4.82759,9.7683,1.99748,1.5202,13.1017,1.20909,24.9632,3.47277,2.39776,1.01001,154.516,11.0888,28.0396,6.35118,4.06342,7.72581,20.0268,0.771455,16.2694,4.43848,2.06142,4.30197
3,2010-01-04,00:00:00.00,0.101471,0.211963,2.2274,7.55209,9.08486,0.348951,0.916001,0.240288,0.232549,3.18146,7.38725,0.286257,44.9745,0.153617,3.90259,6.17311,4.34319,16.3551,7.0978,1.43185,0.216702,7.57429,0.184288,4.65523,0.200796,0.35259,0.848383,3.83545,3.58996,7.56724,0.864598,0.278746,11.7972,0.196283,20.3415,2.32856,0.938247,0.156707,153.236,9.44185,25.8787,3.51619,2.57589,5.02419,18.2487,0.237783,15.1677,1.68479,0.810092,2.13528
4,2010-01-05,00:00:00.00,0.126799,0.326898,0.689839,5.14114,7.61393,0.51389,0.341718,0.314592,0.330699,1.79389,6.30167,0.417583,42.4936,0.239183,2.88487,5.40127,1.67259,12.6821,6.29194,0.476799,0.313071,7.03387,0.264005,2.69615,0.312745,0.461511,0.36674,3.35353,2.58557,5.50427,0.373041,0.414857,10.5121,0.29712,16.1874,0.973041,0.317452,0.237954,150.577,6.94621,24.3451,1.59889,1.39621,2.22426,16.1399,0.254975,13.9194,0.522412,0.292879,0.631721
5,2010-01-06,00:00:00.00,0.148821,0.425802,0.942592,2.07156,5.21599,0.657966,0.465851,0.37841,0.414971,0.529046,5.71607,0.530369,40.5326,0.313922,1.9714,4.27059,0.611466,8.5171,4.88817,0.641443,0.395832,6.5799,0.332455,1.1841,0.409014,0.554993,0.48484,2.33152,1.42511,3.80716,0.496482,0.533751,8.24373,0.384705,13.0762,0.530546,0.439745,0.308449,147.275,3.19654,23.4622,1.00849,0.770189,0.948455,13.6382,0.324275,12.2204,0.73583,0.402031,0.80397
6,2010-01-07,00:00:00.00,0.167923,0.510742,1.16208,1.38734,2.15777,0.78385,0.574289,0.433099,0.487156,0.698232,5.25566,0.627013,37.079,0.379221,1.16816,3.32818,0.835129,7.06291,2.34343,0.782838,0.466742,5.28088,0.391094,0.808307,0.491629,0.635034,0.586202,1.27759,0.820937,2.10335,0.604326,0.637632,6.92857,0.461315,8.29609,0.683473,0.546579,0.369678,143.85,1.49599,21.7629,1.28832,0.972986,1.26008,12.1078,0.384825,10.2082,0.922267,0.497273,0.999378
7,2010-01-08,00:00:00.00,0.184519,0.583533,1.35263,1.73187,1.48348,0.893858,0.669045,0.479842,0.54882,0.843584,4.3895,0.709602,32.445,0.436285,0.914862,2.48083,1.03006,5.89613,1.3922,0.903988,0.527335,3.42123,0.441354,1.01325,0.562355,0.703376,0.672991,0.857736,1.00713,1.56037,0.698563,0.728413,5.35591,0.528331,5.24641,0.817084,0.639929,0.422774,140.836,1.92225,18.7023,1.53259,1.15018,1.53234,8.79132,0.43774,7.92,1.08517,0.580443,1.16972
8,2010-01-09,00:00:00.00,0.198831,0.645902,1.51791,2.04052,1.83669,0.990184,0.752139,0.519666,0.601325,0.968117,3.96573,0.779958,26.6923,0.486157,1.0916,1.73514,1.20068,3.55857,1.71166,1.00751,0.578948,1.99411,0.484126,1.18902,0.622733,0.761533,0.747093,1.02852,1.16653,1.88458,0.780922,0.807756,3.16519,0.586938,4.50819,0.93384,0.721511,0.468792,138.968,2.29461,15.1264,1.74606,1.30502,1.77024,5.17304,0.483987,6.07809,1.22753,0.653204,1.31899
9,2010-01-10,00:00:00.00,0.211247,0.698884,1.6613,2.31023,2.15292,1.07422,0.824641,0.553471,0.645861,1.07432,2.66333,0.839667,20.9619,0.529748,1.24609,1.53237,1.35,2.78841,1.98986,1.0957,0.622746,1.69062,0.520157,1.3394,0.674104,0.810828,0.810154,1.17466,1.30259,2.16786,0.852906,0.877106,2.59044,0.638207,4.71679,1.03588,0.792815,0.508586,137.998,2.62,11.5784,1.93272,1.44035,1.97815,3.93018,0.524411,5.33854,1.35196,0.716798,1.44946
10,2010-01-11,00:00:00.00,0.22198,0.743691,1.78517,2.54596,2.42927,1.14749,0.887619,0.582037,0.683461,1.16489,1.47084,0.890113,16.8296,0.56785,1.38116,1.75326,1.48061,3.2667,2.23286,1.17054,0.659743,1.95688,0.550613,1.46768,0.717636,0.852411,0.863605,1.29932,1.41835,2.41543,0.915823,0.937722,2.99925,0.683039,5.37292,1.12507,0.855139,0.542946,137.078,2.90438,7.08372,2.09588,1.55863,2.15988,3.70366,0.559742,4.63285,1.46072,0.772384,1.5635
11,2010-01-12,00:00:00.00,0.231202,0.781702,1.89217,2.752,2.67079,1.21169,0.942783,0.606046,0.71503,1.24165,1.70123,0.9325,14.2865,0.60115,1.4992,1.94636,1.5945,3.68341,2.44498,1.23376,0.690825,2.18441,0.57628,1.57671,0.754347,0.887288,0.908695,1.4053,1.51643,2.6318,0.970811,0.990695,3.35671,0.722578,5.9461,1.20302,0.909612,0.572666,132.809,3.15292,4.7295,2.23848,1.662,2.31871,4.16457,0.590618,3.68212,1.55578,0.820965,1.66317
12,2010-01-13,00:00:00.00,0.239153,0.813632,1.98524,2.93205,2.88189,1.26777,0.991098,0.626093,0.741353,1.3063,1.89813,0.96788,11.872,0.630246,1.60234,2.11517,1.69398,4.04654,2.63003,1.28687,0.716764,2.37823,0.597689,1.669,0.785128,0.916334,0.946514,1.49503,1.59914,2.82091,1.01886,1.03698,3.66802,0.756709,6.44802,1.27114,0.957212,0.598214,126.793,3.37013,5.48716,2.3631,1.75234,2.45753,4.63978,0.617594,3.4378,1.63885,0.863417,1.75027
13,2010-01-14,00:00:00.00,0.245983,0.840274,2.06477,3.08938,3.06636,1.31675,1.0333,0.642695,0.763117,1.36073,2.06579,0.997167,9.86867,0.655661,1.69248,2.26268,1.78106,4.36381,2.79104,1.3312,0.73823,2.54272,0.615396,1.74673,0.810751,0.94031,0.978009,1.57061,1.66848,2.98616,1.06083,1.0774,3.94025,0.786231,6.8847,1.33066,0.998796,0.620111,121.311,3.55993,6.19377,2.47197,1.83126,2.57882,5.05505,0.641152,3.81335,1.71143,0.900503,1.82636
