time,date,hour,precip [mm/day],sub710 [m3/s],sub710 (observed) [m3/s],sub685 [m3/s],sub685 (observed) [m3/s],sub684 [m3/s],sub684 (observed) [m3/s],sub676 [m3/s],sub676 (observed) [m3/s],sub677 [m3/s],sub677 (observed) [m3/s],sub686 [m3/s],sub686 (observed) [m3/s],sub699 [m3/s],sub699 (observed) [m3/s],sub701 [m3/s],sub701 (observed) [m3/s],sub700 [m3/s],sub700 (observed) [m3/s],sub683 [m3/s],sub683 (observed) [m3/s],sub697 [m3/s],sub697 (observed) [m3/s],sub698 [m3/s],sub698 (observed) [m3/s],sub696 [m3/s],sub696 (observed) [m3/s],sub682 [m3/s],sub682 (observed) [m3/s],sub694 [m3/s],sub694 (observed) [m3/s],sub695 [m3/s],sub695 (observed) [m3/s],sub678 [m3/s],sub678 (observed) [m3/s],sub680 [m3/s],sub680 (observed) [m3/s],sub681 [m3/s],sub681 (observed) [m3/s],sub691 [m3/s],sub691 (observed) [m3/s],sub693 [m3/s],sub693 (observed) [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub689 [m3/s],sub689 (observed) [m3/s],sub712 [m3/s],sub712 (observed) [m3/s],sub724 [m3/s],sub724 (observed) [m3/s],sub723 [m3/s],sub723 (observed) [m3/s],sub720 [m3/s],sub720 (observed) [m3/s],sub719 [m3/s],sub719 (observed) [m3/s]
10,2010-01-11,00:00:00.00,0,3.06516,6.6545,2.24116,17,1.05991,1.61,1.9277,0.697,4.41657,3.9,1.81963,1.15,1.53425,0.75,2.12665,1.57,1.83255,0.648,1.44828,1.42,1.09799,0.122,4.28824,2.24,2.02358,2.75,1.43439,0.32,1.4002,0.56,1.34559,0.078,7.52437,1.4696,2.73358,0.6711,2.19486,1.0732,3.96737,6.796,2.55444,7.0792,4.37328,10.7887,3.91394,1.0421,1.165,0.5097,4.04055,0.6513,1.89755,0.5097,1.32377,1.8123,14.2247,17.3582
11,2010-01-12,00:00:00.00,0,3.00913,10.0808,2.17499,16,1.0295,1.8,1.92371,0.65,4.37265,4.4,1.76664,1.12,1.49926,0.73,2.10577,1.54,1.80415,0.64,1.41359,1.38,1.06654,0.117,4.25335,2.21,1.96347,2.68,1.43114,0.305,1.37157,0.5,1.3076,0.07,7.39168,1.4158,2.71253,0.6711,2.17782,0.9628,3.93526,6.6545,2.54173,7.8154,4.34285,11.2418,3.86857,1.2006,1.14312,0.487,3.98149,0.5663,1.88763,0.4814,1.31541,1.968,13.8754,17.9246
12,2010-01-13,00:00:00.00,0,2.96321,8.3535,2.11622,15,1.00054,1.78,1.91974,0.6,4.3352,4.39,1.71577,1.15,1.46833,0.72,2.08568,1.53,1.77666,0.628,1.38052,1.35,1.03614,0.115,4.22556,2.18,1.90676,2.62,1.42793,0.29,1.34433,0.46,1.27113,0.064,7.27665,1.3989,2.69481,0.6768,2.16348,0.9628,3.90852,6.5412,2.52935,8.042,4.31448,10.3356,3.83416,1.1695,1.12198,0.4672,3.93322,0.5097,1.87819,0.4531,1.3077,2.0643,13.5433,18.4343
13,2010-01-14,00:00:00.00,0,2.9252,7.3907,2.06077,14,0.972786,1.7,1.91579,0.56,4.30166,4.38,1.66678,1.12,1.4365,0.709,2.06625,1.52,1.75004,0.62,1.34881,1.32,1.00677,0.117,4.20347,2.15,1.85262,2.58,1.42474,0.281,1.31828,0.423,1.23599,0.058,7.17649,1.3989,2.67919,0.6739,2.15086,1.0052,3.88517,6.5978,2.51728,7.9004,4.29029,10.4206,3.8064,1.1298,1.10154,0.4531,3.89313,0.4531,1.86907,0.4248,1.30047,2.0501,13.2275,17.7547
14,2010-01-15,00:00:00.00,0.132521,2.95057,7.0509,2.00676,13,0.946124,1.61,1.91187,0.52,4.27859,4.39,1.62053,1.11,1.40698,0.697,2.04741,1.53,1.72426,0.61,1.31832,1.29,0.978377,0.114,4.18493,2.13,1.80094,2.54,1.42158,0.275,1.29327,0.41,1.20208,0.055,7.62783,1.3989,3.30245,0.6853,2.33807,1.0166,3.92944,6.8244,2.51404,8.0137,4.35838,10.7038,3.81002,1.1129,1.08176,0.5097,3.85918,0.4531,1.86022,0.3964,1.33279,2.1323,12.951,18.944
15,2010-01-16,00:00:00.00,0.428636,3.25247,9.6844,1.96603,12,0.926841,1.49,1.90969,0.49,4.32433,4.38,1.60873,1.18,1.52444,0.685,2.24794,1.58,2.04826,0.605,1.32728,1.26,1.03318,0.121,4.20928,2.11,1.82764,2.5,1.44605,0.265,1.30706,0.395,1.205,0.053,9.07688,1.4158,4.46149,0.7589,2.93399,1.0279,4.33997,6.9943,3.12946,9.2879,5.00541,11.8081,4.09949,1.2346,1.18555,0.6456,5.19653,0.3964,2.41539,0.3964,1.8297,2.6051,13.6587,22.2004
16,2010-01-17,00:00:00.00,0.102349,3.39222,14.6115,1.92303,11.5,0.903923,1.49,1.90675,0.463,4.3195,4.37,1.58432,1.27,1.54618,0.678,2.32655,1.59,2.02408,0.598,1.31349,1.24,1.04864,0.129,4.25096,2.1,1.82402,2.47,1.44294,0.26,1.29033,0.38,1.18641,0.051,9.73877,1.5291,4.39909,0.7872,3.20128,1.0392,4.76764,6.6545,3.62774,8.7216,5.77833,12.0913,4.34133,1.2488,1.25574,0.589,5.78975,0.3964,3.21901,0.3964,2.29161,4.0776,15.0754,26.5612
17,2010-01-18,00:00:00.00,0.127839,3.59894,23.5313,1.87634,11,0.876832,1.47,1.90116,0.443,4.25448,4.39,1.54967,1.24,1.42105,0.671,2.30905,1.6,1.87946,0.594,1.25998,1.22,0.993674,0.137,4.2289,2.09,1.70365,2.44,1.41226,0.255,1.23638,0.37,1.12932,0.049,9.06502,1.5291,3.62681,0.8099,2.92744,1.0477,4.80566,6.5695,2.99799,7.8154,5.51757,10.9869,4.28742,1.2006,1.14229,0.5409,5.04418,0.4531,3.23408,0.4248,2.58994,5.8333,15.6452,35.6792
18,2010-01-19,00:00:00.00,0.0330057,3.80774,35.1129,1.84124,10.5,0.856599,1.48,1.89669,0.42,4.2643,4.4,1.53392,1.22,1.46678,0.664,2.40815,1.62,2.01341,0.591,1.23749,1.2,0.960896,0.139,4.1742,2.08,1.63741,2.42,1.4092,0.252,1.21094,0.36,1.08946,0.047,8.62911,1.5886,3.31618,0.8467,2.67843,1.0591,4.67412,6.4846,2.51083,7.6172,4.91314,10.7887,4.29671,1.144,1.0447,0.5069,4.99481,0.538,2.77182,0.7079,2.51988,6.4279,15.4684,36.2456
19,2010-01-20,00:00:00.00,0.00133667,3.58498,43.3248,1.7939,9.8,0.832227,1.41,1.89293,0.402,4.22166,4.39,1.47356,1.21,1.38408,0.657,2.26981,1.6,1.76365,0.588,1.2099,1.18,0.895073,0.137,4.13577,2.07,1.59103,2.4,1.40617,0.249,1.18539,0.35,1.053,0.045,8.49908,1.5688,3.10452,0.8467,2.48781,1.0704,4.48409,6.3713,2.49804,7.4473,4.69779,10.7604,4.32999,1.1015,1.00313,0.4701,4.84043,1.699,2.36956,1.2743,1.90907,5.1537,14.9208,31.998
20,2010-01-21,00:00:00.00,0.00146701,3.47827,31.1485,1.73576,9.3,0.806618,1.36,1.88887,0.387,4.14069,4.2,1.39979,1.18,1.24336,0.65,2.08753,1.57,1.58573,0.585,1.17263,1.17,0.839893,0.136,4.11064,2.06,1.53491,2.38,1.40316,0.246,1.16355,0.34,1.02322,0.044,8.31487,1.5886,2.95664,0.8099,2.3534,1.0647,4.29149,6.2863,2.44955,7.3057,4.48213,10.7604,4.29769,1.0817,0.979231,0.4502,4.65266,2.8317,2.09929,1.2176,1.56897,3.9927,14.5517,30.299
21,2010-01-22,00:00:00.00,0.0144291,3.50895,21.7473,1.68339,8.9,0.784997,1.26,1.88508,0.376,4.1028,4.1,1.34688,1.13,1.22412,0.644,1.99597,1.53,1.5651,0.583,1.14201,1.16,0.809747,0.128,4.09161,1.97,1.49819,2.36,1.40017,0.243,1.14293,0.335,0.995524,0.043,8.09038,1.5291,2.83833,0.7702,2.2601,0.9996,4.11904,6.1731,2.4345,7.1358,4.32327,10.4489,4.21084,1.0336,0.961553,0.4332,4.4939,2.2653,1.94966,0.9628,1.47551,3.1149,14.5708,26.9576
