time,date,hour,precip [mm/day],sub710 [m3/s],sub710 (observed) [m3/s],sub685 [m3/s],sub685 (observed) [m3/s],sub684 [m3/s],sub684 (observed) [m3/s],sub676 [m3/s],sub676 (observed) [m3/s],sub677 [m3/s],sub677 (observed) [m3/s],sub686 [m3/s],sub686 (observed) [m3/s],sub699 [m3/s],sub699 (observed) [m3/s],sub701 [m3/s],sub701 (observed) [m3/s],sub700 [m3/s],sub700 (observed) [m3/s],sub683 [m3/s],sub683 (observed) [m3/s],sub697 [m3/s],sub697 (observed) [m3/s],sub698 [m3/s],sub698 (observed) [m3/s],sub696 [m3/s],sub696 (observed) [m3/s],sub682 [m3/s],sub682 (observed) [m3/s],sub694 [m3/s],sub694 (observed) [m3/s],sub695 [m3/s],sub695 (observed) [m3/s],sub678 [m3/s],sub678 (observed) [m3/s],sub680 [m3/s],sub680 (observed) [m3/s],sub681 [m3/s],sub681 (observed) [m3/s],sub691 [m3/s],sub691 (observed) [m3/s],sub693 [m3/s],sub693 (observed) [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub689 [m3/s],sub689 (observed) [m3/s],sub712 [m3/s],sub712 (observed) [m3/s],sub724 [m3/s],sub724 (observed) [m3/s],sub723 [m3/s],sub723 (observed) [m3/s],sub720 [m3/s],sub720 (observed) [m3/s],sub719 [m3/s],sub719 (observed) [m3/s]
146,2010-05-27,00:00:00.00,0,6.12647,2.3248,0.850744,4.26,0.295962,1.04,1.49289,0.497,3.36094,4.33,0.492791,1.29,0.511131,1.01,2.07815,2.07,0.832867,1.31,0.631153,1.11,0.275012,0.445,5.23397,2.98,0.907603,4.23,1.10952,0.551,0.735404,1.25,0.449793,0.29,7.76588,3.1149,2.21709,1.1978,2.00156,1.4838,5.45186,8.3818,2.11475,10.8737,3.78671,13.4505,8.20446,1.7953,1.04645,3.3414,5.95025,2.4154,1.51445,1.362,1.42469,1.7245,21.5564,26.0515
147,2010-05-28,00:00:00.00,0.10533,5.73025,1.8094,0.750474,3.92,0.268667,0.905,1.49701,0.456,3.22697,4.19,0.426519,1.16,0.444597,0.902,1.62466,1.97,0.831207,1.38,0.53135,1.05,0.245699,0.395,4.57012,2.73,0.643521,3.68,1.10758,0.495,0.650854,1.07,0.346533,0.257,7.30434,2.8147,2.10739,1.0902,1.85307,1.3535,4.82894,7.0509,1.91313,9.4578,3.49652,11.8364,7.69682,1.6735,0.654049,2.6703,7.46551,1.8434,1.81711,1.1355,1.22397,2.2314,20.5414,23.2764
148,2010-05-29,00:00:00.00,0.0125246,5.28816,1.5206,0.667779,3.73,0.247083,0.801,1.54491,0.428,3.26911,4.03,0.377642,1.05,0.537617,0.772,1.43691,1.86,0.869553,1.03,0.557076,0.983,0.236327,0.337,4.05927,2.49,0.59917,3.3,1.10563,0.452,0.595954,0.919,0.287045,0.269,6.89812,2.7552,2.04064,1.0109,1.74625,1.2148,4.2361,6.7677,1.86113,8.665,3.34143,10.6755,6.77798,1.5518,0.551584,2.237,7.67935,2.523,2.14165,0.9939,1.11552,1.7641,19.5136,20.9828
149,2010-05-30,00:00:00.00,0.00130356,4.83577,1.3139,0.603226,3.51,0.229993,0.731,1.63499,0.398,3.36378,3.88,0.341542,0.95,0.541377,0.713,1.35897,1.73,0.867974,1.04,0.536004,0.931,0.202248,0.285,3.69407,2.3,0.523423,2.99,1.10369,0.403,0.56013,0.827,0.25588,0.239,6.55013,2.4692,1.99954,0.9061,1.66912,1.1072,3.77997,5.4652,1.83952,7.419,3.2517,9.2879,5.93296,1.4385,0.511675,1.9057,5.82415,9.7693,1.91573,0.9769,1.05405,1.1865,18.4699,20.7562
150,2010-05-31,00:00:00.00,5.15411e-05,4.40194,1.1582,0.558773,3.34,0.216442,0.634,1.62289,0.368,3.34401,3.75,0.314827,0.872,0.480147,0.575,1.31524,1.65,0.826348,0.84,0.444738,0.864,0.179794,0.245,3.45559,2.14,0.495461,2.79,1.10175,0.353,0.536626,0.744,0.241755,0.212,6.25723,2.1946,1.97378,0.841,1.6151,1.0024,3.43542,5.0404,1.83132,6.5412,3.17659,8.0137,5.18901,1.2658,0.477071,1.6169,5.38789,4.0776,1.64064,0.8382,1.01715,0.9968,17.4601,18.3776
151,2010-06-01,00:00:00.00,1.37403,5.8043,1.3111,0.528423,3.35,0.208283,0.629,1.52648,0.362,3.24471,3.71,0.295008,0.852,0.724791,0.976,1.28888,1.61,0.860636,0.843,0.433827,1.12,0.192548,0.228,3.72786,1.99,0.705571,2.59,1.55417,0.328,0.583398,0.685,0.312452,0.17,7.02837,2.3135,2.75484,0.7929,2.34942,0.9599,4.64052,4.8139,4.56183,6.7111,6.20849,7.7305,5.58606,1.5348,3.62286,2.4409,9.43441,9.203,4.16719,1.0562,3.27043,4.1626,18.9405,36.2456
152,2010-06-02,00:00:00.00,2.11919,7.35141,14.0735,1.0529,4.02,0.899633,0.766,2.30536,0.373,4.85834,4.06,1.82116,2.38,5.35384,8.78,4.39091,2.09,7.21333,6.8,3.28888,2,1.14552,0.248,8.07123,2.03,2.50107,2.51,4.7708,0.707,1.39972,0.631,0.970166,0.15,8.11981,2.4183,3.31252,0.7759,2.86172,0.9543,6.35757,8.6933,7.30338,11.44,10.4665,12.2895,6.01738,1.9086,6.57146,3.0865,16.9357,43.0416,11.2546,4.9838,7.11411,12.5727,27.157,80.703
153,2010-06-03,00:00:00.00,2.44681,6.15542,37.3782,2.12952,3.66,2.58447,0.936,8.52125,0.364,9.80342,4.15,4.02178,1.82,8.24989,4.51,7.81824,2.79,9.46496,2.83,5.606,1.57,3.23835,0.381,18.5055,3.63,5.39354,2.62,10.2965,0.764,3.95258,0.758,2.92684,0.183,15.3046,2.8883,8.90655,1.1525,5.2056,0.9911,8.66278,7.419,7.33794,14.5265,13.1772,16.9335,6.23993,1.8859,5.34928,3.936,17.1169,44.7406,13.856,12.6859,6.34806,3.2564,31.1836,28.6
154,2010-06-04,00:00:00.00,0.872583,5.13926,26.5895,3.75563,4.31,3.36923,1.45,14.4848,1.61,16.6409,8.4,5.9372,3.28,5.12795,2.68,6.84623,2.69,4.77965,1.73,6.28378,4.05,2.96175,0.559,26.4032,4.77,5.26281,4.63,9.0517,1.27,4.32738,1.27,3.41927,0.209,21.7066,4.4457,11.6889,1.9709,8.15797,1.5942,11.1464,8.0137,6.89428,11.9214,16.8445,15.7158,6.73267,1.8576,3.5967,2.945,13.229,47.5723,8.91612,8.2685,3.06029,1.9935,25.1668,24.664
155,2010-06-05,00:00:00.00,0.276866,5.23809,11.8931,4.75088,6.35,2.4623,4.41,9.52103,3.84,18.6272,7.09,6.00055,5.42,2.93173,2.99,5.4879,2.57,2.54912,1.43,5.53268,6.85,0.989061,0.37,23.9957,8.79,2.77211,5.99,3.34211,2.68,2.62174,1.55,2.2348,0.443,18.0643,3.6246,7.63444,2.86,7.25737,2.1266,11.082,7.2208,4.42102,9.2313,14.3573,11.7515,6.51339,1.5404,2.21348,2.1832,15.4889,27.977,6.17851,3.8228,1.83973,2.0445,22.0284,30.299
156,2010-06-06,00:00:00.00,1.4543,5.17898,4.9838,4.79214,10.9,2.13134,4.22,4.4053,2.89,17.8865,7.46,5.26679,6.23,5.33085,2.18,5.79675,2.95,6.37639,1.47,4.9958,3.87,0.640573,0.551,18.2082,11.6,2.65105,10.7,2.276,4.43,2.42726,3.24,1.86263,0.387,15.8317,3.5679,7.06094,5.2953,5.91115,2.053,9.91066,7.3341,3.77425,10.2224,9.77218,12.4594,7.5428,2.4777,1.36652,1.75,21.6409,21.2943,12.1043,10.1374,1.42788,2.6703,22.5452,25.3436
157,2010-06-07,00:00:00.00,6.38138,7.93664,8.2402,6.37229,18.2,4.43293,6.89,11.9002,9.96,22.6397,10.7,8.87394,15.2,20.8044,28.2,14.7579,10.8,28.2861,18.7,9.29213,19.9,8.57951,24.3,29.7346,19.2,11.2884,29.2,13.1395,9.9,6.43345,11.7,5.18441,5.62,22.7765,6.6261,11.0121,11.0153,9.11728,3.3414,17.512,29.7327,21.953,79.2872,25.3916,100.242,18.2126,30.299,3.35111,10.1941,22.6231,65.6951,19.0325,22.5685,4.83889,12.516,27.0228,92.0298
158,2010-06-08,00:00:00.00,0.183407,8.88669,34.8297,7.39781,22.1,4.28313,13.3,15.4458,8.78,22.7352,10.1,8.83214,15.3,19.3791,13.1,18.03,13.1,23.0255,7.21,8.61537,19.9,12.5849,17.3,41.6959,31.7,15.2419,39.7,12.2703,20.7,7.12181,18.2,6.42101,13.1,27.3243,8.9198,11.7206,10.1091,10.8067,5.7483,26.6981,22.3137,34.4661,46.4396,38.3248,73.3406,25.5374,12.3745,5.09221,9.3446,18.0975,59.1822,15.0915,26.7877,7.17507,7.7305,33.119,55.501
159,2010-06-09,00:00:00.00,0.00122307,6.91529,13.1957,6.20677,22.5,1.67641,5.53,5.97655,2.87,17.1961,9.38,3.86688,10.1,2.69458,4.96,9.73051,9.15,1.05234,3.54,4.11417,7.54,5.69706,4.25,27.8192,20.3,5.73646,34.7,1.1286,11.3,3.39851,21.9,3.5218,8.77,22.6164,6.0598,7.83411,7.0226,7.66151,3.5962,22.751,15.2911,16.9889,24.6357,22.1952,37.6614,20.0142,3.1998,3.55806,5.0404,13.6338,35.3961,7.61454,16.0557,4.33116,2.86,31.1886,34.8297
160,2010-06-10,00:00:00.00,2.05395,7.58274,5.6067,5.46951,14.1,2.43226,3.72,4.05866,2.59,16.8534,9.76,2.901,7.77,2.79791,3.34,7.66784,5.27,4.95139,2.51,4.0501,4.92,2.67455,1.95,16.0584,16.3,3.05684,22.7,2.89337,3.32,3.29687,20.4,3.0187,2.46,20.8247,4.3891,7.48396,4.4741,6.3121,2.4041,16.4054,15.5176,6.34854,22.2287,11.9961,30.0159,18.6811,3.3697,2.86444,4.5024,13.2447,17.0184,7.73158,9.3729,4.24577,5.0121,31.6269,45.8733
161,2010-06-11,00:00:00.00,0.156294,7.67342,5.0404,5.1431,12.7,2.89355,6.23,9.85606,9.66,17.0065,11.1,3.42983,6.81,4.0894,2.86,6.69632,4.19,4.94985,2.06,3.82382,5.01,2.06194,1.65,15.2649,12,4.7367,18.6,2.89146,2.02,2.85505,9.19,2.55311,0.967,20.6067,3.7945,7.00009,3.2281,5.84718,2.0785,13.8438,12.5727,8.04762,17.1883,13.7026,23.4747,18.8935,2.6165,2.92695,3.5962,12.4746,26.5046,9.52084,12.2329,4.35146,3.1149,34.9591,35.9624
162,2010-06-12,00:00:00.00,0.0506433,6.8914,5.6351,4.0762,14,1.54509,9.75,7.63809,5.71,14.1461,9.5,2.4344,6.36,1.29293,1.98,4.04199,3.55,0.807376,1.51,2.14879,4.18,0.886038,0.931,11.539,7.04,2.07452,13,1.0787,1.44,1.71257,4.3,1.47831,0.526,17.254,3.398,5.30024,2.4154,4.70375,1.7387,10.9623,10.5339,5.25592,13.7337,9.2573,18.2077,14.9357,2.2087,2.03762,3.1432,10.1252,25.3436,7.30579,7.6172,2.35181,1.9255,31.9633,28.2885
163,2010-06-13,00:00:00.00,0.154433,6.65861,3.4263,3.16872,17.7,0.8781,4.64,2.69253,2.58,12.6072,8.21,2.14117,5.83,0.473009,1.45,3.20908,3.02,0.928453,1.21,1.31909,3.08,0.366738,0.668,8.30646,4.83,1.05357,8.35,1.07679,1.03,1.20246,2.8,0.87807,0.336,14.594,2.8883,4.43464,1.8236,3.85762,1.4725,8.18287,9.7127,2.91902,12.0063,6.60233,15.5176,11.55,2.0048,1.17786,2.4664,9.27825,11.0436,4.97522,3.1998,1.60167,1.4725,29.6068,26.2497
164,2010-06-14,00:00:00.00,0.501238,6.39064,2.5004,2.63411,11.2,0.609095,2.95,1.71332,1.68,11.2071,7.04,1.98472,5.38,0.800862,1.26,4.01897,3.1,1.58827,1.34,0.912019,2.57,0.256032,0.537,6.91816,3.94,1.03793,6.32,1.07489,0.831,0.890731,2.01,0.545805,0.231,12.8475,2.7326,3.72166,1.4555,3.20249,1.3054,6.47833,8.8632,2.30896,10.8737,5.80288,14.2717,9.36618,2.0331,0.821687,2.4437,13.5073,16.4804,8.74328,4.1343,1.48435,1.4215,28.7925,25.0038
165,2010-06-15,00:00:00.00,0.141667,5.98807,2.2314,1.95582,8.66,0.453462,2.18,1.69945,1.23,8.98333,6.88,1.0779,4.35,0.582106,1.02,3.9461,2.86,1.46416,1.17,0.699678,2.19,0.199832,0.441,5.99266,3.48,0.752361,5.34,1.073,0.71,0.731198,1.49,0.392851,0.186,11.2002,2.4522,3.15656,1.2799,2.69333,1.2658,5.38906,8.7499,1.97,10.3073,4.72368,13.3089,7.66003,1.9057,0.724921,1.8519,18.3503,23.6162,13.1644,9.0331,1.83347,1.9284,27.8758,26.1364
166,2010-06-16,00:00:00.00,0.231224,5.46463,2.2314,1.46351,6.98,0.388556,1.65,1.65643,0.914,7.69087,6.24,0.683611,3.64,0.462029,0.846,2.63431,2.57,0.801312,0.915,0.565745,1.77,0.172727,0.375,5.12989,3.17,0.664841,4.69,1.0711,0.603,0.641503,1.2,0.309362,0.157,9.79686,2.3673,2.74618,1.1497,2.3062,1.2431,4.54315,7.5323,1.83822,9.3162,4.15343,12.2612,6.36752,1.7387,0.643834,1.5801,18.5988,36.2456,10.425,4.5024,1.91359,1.9878,27.0255,27.0426
167,2010-06-17,00:00:00.00,0.832013,4.98598,1.8944,1.99611,6.8,1.54552,1.61,3.92011,0.807,9.80719,7.82,1.89309,3.65,2.2152,0.799,4.47199,2.54,3.94974,0.837,2.26103,1.77,0.161989,0.295,4.69522,2.84,0.654387,4.18,1.48089,0.51,0.705507,1.01,0.349362,0.126,9.88142,2.1153,3.34461,1.0704,2.61317,1.1072,4.30437,7.2774,2.61956,9.9392,4.7116,13.8469,5.57293,1.6226,0.652535,1.413,17.1017,39.0772,6.47267,3.3414,1.55237,1.4102,25.0508,22.1438
168,2010-06-18,00:00:00.00,0.0135517,4.52348,1.5631,2.6886,7.03,1.79611,1.76,6.17345,0.804,10.4791,6.86,2.47597,3.56,3.01553,0.719,5.27469,2.49,3.95937,0.741,3.18092,1.75,0.156509,0.248,4.65709,2.55,0.675054,3.68,1.48111,0.43,0.717043,0.865,0.374367,0.115,10.2385,2.2144,3.61309,1.0137,2.88499,1.0845,4.3528,6.4279,3.25973,7.7305,5.95041,10.6755,4.94161,1.4668,0.688797,1.1893,13.6627,34.2634,4.49699,2.1747,1.28079,1.1412,23.1502,20.7279
169,2010-06-19,00:00:00.00,0,4.0727,1.3507,2.33753,6.26,0.708657,1.4,3.90642,0.657,8.29831,6.57,1.39472,2.89,1.00953,0.572,3.41746,2.26,0.807946,0.608,1.80982,1.44,0.150407,0.206,4.46953,2.35,0.531339,3.26,1.06755,0.375,0.601915,0.74,0.300521,0.094,9.24102,2.07,2.9147,0.9769,2.50858,1.0704,4.17784,5.9182,2.42755,6.9093,5.28943,9.3729,4.29709,1.3479,0.607682,1.0647,10.8182,13.7337,3.18973,1.4555,1.12075,1.1213,21.5099,19.0289
170,2010-06-20,00:00:00.00,0.208856,3.62006,1.2205,1.78065,5.49,0.49367,1.22,1.56704,0.555,7.65577,5.62,0.846064,2.46,0.31178,0.531,2.54003,2.03,0.795347,0.551,1.08054,1.33,0.149341,0.186,4.1466,2.16,0.455787,2.99,1.06356,0.321,0.556987,0.638,0.258267,0.076,8.45142,1.9397,2.61502,0.8835,2.24358,0.9713,4.40184,6.8527,2.97066,8.8915,4.60727,11.44,5.20438,3.3697,1.06889,1.3054,8.46489,5.0404,2.33804,1.0987,1.03568,0.9401,19.88,15.3477
171,2010-06-21,00:00:00.00,0,3.21971,1.0845,1.45891,4.88,0.39144,1.14,1.42991,0.452,6.6201,4.75,0.619716,2.06,0.48393,0.435,1.87946,1.87,0.793869,0.477,0.788282,1.28,0.148856,0.171,3.84806,1.98,0.45041,2.73,1.06168,0.279,0.527469,0.549,0.238643,0.061,8.07626,1.7103,2.40433,0.7759,2.07279,0.8976,4.64198,5.5784,4.04488,6.881,4.81926,9.2313,6.0353,1.5234,1.55259,1.0024,6.82423,3.2281,1.82791,0.8948,0.988459,0.8353,18.3776,13.1673
172,2010-06-22,00:00:00.00,0,2.9117,0.9854,1.2297,4.53,0.341589,1.01,1.43182,0.374,5.63853,4.26,0.515331,1.71,0.422281,0.37,1.51748,1.72,0.792397,0.453,0.615575,1.15,0.144607,0.148,3.57961,1.82,0.423429,2.53,1.0598,0.253,0.50781,0.464,0.228447,0.041,7.64572,1.6197,2.21628,0.7051,1.91556,0.8212,4.34945,5.4085,2.93478,5.8899,4.04246,7.6739,5.5332,1.1015,1.15893,0.9175,5.74125,2.1917,1.54354,0.7447,0.960738,0.8127,17.0446,14.6115
173,2010-06-23,00:00:00.00,1.43954,2.67742,0.9061,1.5159,4.42,1.26479,1.12,4.07188,0.396,7.88866,4.98,1.48475,2,0.807817,0.341,2.27087,1.67,1.26243,0.426,1.93962,1.11,0.142679,0.139,3.93116,1.72,0.473584,2.37,1.95225,0.226,0.706497,0.408,0.325085,0.033,8.57331,1.5178,3.86794,0.6994,2.75299,0.7872,5.25046,6.8244,4.21317,12.8558,5.20051,15.4893,7.31953,3.7378,1.7884,1.6395,5.39785,1.7726,2.47365,0.7362,2.13596,1.8831,17.8408,24.126
174,2010-06-24,00:00:00.00,0.257096,2.92644,0.8552,1.90856,4.77,1.45499,1.66,6.64945,0.505,8.66143,5.08,1.96008,2.72,0.93291,0.369,2.68341,1.66,1.26097,0.419,2.54031,1.15,0.336647,0.138,4.62349,1.66,0.507361,2.28,1.95038,0.201,0.783736,0.368,0.349538,0.027,9.36027,1.5008,4.81132,0.6711,3.5055,0.8382,6.92263,5.72,6.49819,7.6739,7.96216,11.2135,9.11835,1.9652,2.62428,1.5914,5.27465,1.5461,4.76957,2.4692,2.80162,1.4045,19.0259,20.1333
175,2010-06-25,00:00:00.00,0.856275,3.18821,0.8778,1.77204,4.91,0.993731,1.71,6.73431,1.26,8.14415,5.04,1.3006,2.13,1.2897,0.366,2.62018,1.69,1.88033,0.417,1.66703,1.08,0.677031,0.253,4.85994,1.64,1.14484,2.22,1.23202,0.19,0.9222,0.333,0.606914,0.025,8.53621,1.5291,3.8604,0.7079,3.30237,0.824,7.96524,7.1075,6.35882,10.902,8.10051,13.762,9.32159,2.087,2.83274,3.9644,5.94823,1.2006,8.46912,20.1333,2.97362,2.2314,18.9052,30.0159
176,2010-06-26,00:00:00.00,0.00190063,3.07703,0.9175,1.55353,4.57,0.931064,3.22,6.79772,4.43,9.28474,5.45,0.966217,1.89,1.4747,0.296,2.53949,1.57,1.87888,0.344,1.27717,0.985,0.61038,0.184,4.88835,1.57,1.50783,2.15,1.23176,0.177,0.911581,0.285,0.704111,0.021,7.87862,1.4668,3.39495,0.6711,3.02487,0.7787,7.92088,4.9554,5.7799,6.796,7.11842,9.4578,9.51777,1.2941,2.88931,3.1998,5.43365,0.9543,9.41038,15.1495,2.81484,1.648,19.3243,20.6147
177,2010-06-27,00:00:00.00,0.17811,3.07163,0.9345,1.4178,4.32,0.766043,3.6,5.96132,1.3,11.0287,6.8,0.715575,1.57,0.56021,0.278,1.86052,1.49,0.785139,0.478,0.849329,0.909,0.337322,0.134,4.69403,1.5,0.699058,2.06,1.05206,0.165,0.601728,0.25,0.408179,0.019,7.55997,1.515,2.93462,0.6343,2.64962,0.7192,6.91049,4.1909,3.80701,5.0687,5.74078,6.8527,8.83165,1.0251,2.01131,1.7245,3.91784,0.7844,6.23056,4.2475,1.71146,1.0392,18.4593,16.2539
178,2010-06-28,00:00:00.00,0.74514,3.12927,0.9968,1.29659,7.29,0.702705,2.41,5.15728,3.78,11.9359,7.93,0.638095,1.32,0.579607,0.28,1.53683,1.52,0.991564,0.48,0.708309,0.934,0.259879,0.132,5.01805,1.47,0.507934,2.05,1.83793,0.147,0.716032,0.21,0.428667,0.018,9.46217,1.8548,3.96738,0.6626,2.63934,0.6881,6.1389,4.1626,3.18423,6.0881,4.77906,6.9093,8.32009,1.4498,1.42298,1.5688,7.34835,0.7759,5.67271,2.945,1.48143,2.0813,17.4752,25.8533
179,2010-06-29,00:00:00.00,2.34924,5.71291,1.3649,1.70282,5.8,2.63771,30.5,12.5926,63.4,18.0355,22.1,1.3847,2.06,2.59885,0.65,4.63991,2.14,5.81403,0.629,2.07226,1.08,0.229076,0.161,5.98114,1.54,0.853863,2.17,2.21325,0.135,0.849359,0.212,0.492213,0.02,14.8741,2.6703,6.30384,0.7617,3.22214,1.3451,5.64313,4.4741,3.97265,6.4562,5.27421,9.0897,7.81673,1.5065,1.2167,1.464,11.5658,5.5218,9.20679,17.783,4.20477,7.6739,24.0439,60.8812
180,2010-06-30,00:00:00.00,0.000311684,6.33696,1.2544,2.3171,28.2,3.21249,26.9,18.2172,11.8,22.9639,24,1.89166,1.71,2.97204,0.706,5.85817,2.06,5.60615,0.723,2.73767,0.993,0.199405,0.128,5.97657,1.83,0.686168,2.1,1.42207,0.113,0.774722,0.22,0.423677,0.016,17.1027,3.4547,6.17444,0.9316,3.57705,2.1946,5.26371,3.1432,2.99222,4.4457,5.17164,6.0598,6.68198,0.909,0.818025,1.0109,10.9851,13.3372,10.4432,23.5879,4.73081,4.7006,30.9513,39.3604
181,2010-07-01,00:00:00.00,0,4.44335,0.9571,2.27358,22.5,1.26068,7.7,8.19512,4.07,19.5324,18.4,1.26753,1.44,0.952794,0.542,3.3347,1.7,0.780801,0.436,1.59843,0.822,0.171868,0.101,5.04835,1.69,0.452972,2.18,1.04304,0.103,0.668641,0.197,0.332597,0.014,14.5697,2.6958,4.50267,0.875,3.24767,1.396,4.86046,2.5853,2.05621,3.5679,4.48284,4.4741,5.7317,0.7023,0.566625,0.8269,9.48375,7.6172,7.14311,14.9513,2.09943,1.934,26.9807,18.7458
182,2010-07-02,00:00:00.00,0,4.42389,0.7476,1.89661,11.5,0.767443,3.66,0.544671,1.95,15.9884,11.7,0.788149,1.22,0.303778,0.291,2.40967,1.49,0.77795,0.338,1.00782,0.742,0.154458,0.096,4.2801,1.49,0.41381,2.15,1.04119,0.101,0.596005,0.158,0.271803,0.013,12.8153,2.002,3.76311,0.6824,2.80776,0.9939,4.38795,2.3843,1.87002,3.3131,4.01866,3.7661,5.09464,0.6031,0.486467,0.7108,8.4783,3.0016,4.31196,4.3325,1.47198,1.2035,23.54,15.8291
183,2010-07-03,00:00:00.00,0,4.27758,0.6116,1.55075,7.28,0.520856,2.69,1.23348,1.12,11.6557,8.05,0.59574,1.06,0.472458,0.259,1.78462,1.33,0.776531,0.292,0.741845,0.76,0.145501,0.085,3.81253,1.36,0.403334,1.94,1.03935,0.102,0.548795,0.134,0.242458,0.011,11.8921,1.5121,3.16884,0.5663,2.42551,0.7929,3.9328,2.2597,1.77228,3.1998,3.63866,3.398,4.53881,0.5409,0.450637,0.657,7.11211,1.498,3.11323,2.053,1.21264,0.9769,23.8682,15.376
184,2010-07-04,00:00:00.00,0,4.02184,0.5493,1.28505,5.42,0.401104,2.06,1.40708,0.741,8.58515,6.14,0.496084,0.924,0.412835,0.215,1.46426,1.25,0.775116,0.257,0.584663,0.729,0.140824,0.079,3.48691,1.27,0.385622,1.82,1.03751,0.086,0.518004,0.121,0.230014,0.01,10.7463,1.4073,2.73814,0.4927,2.11831,0.6994,3.54353,2.1549,1.74797,3.0299,3.37083,3.2848,4.05319,0.4955,0.434424,0.6145,6.04264,0.8976,2.29616,1.3026,1.07713,0.9005,22.4814,12.9974
185,2010-07-05,00:00:00.00,8.59909e-08,3.67963,0.5493,1.08028,4.5,0.348283,1.72,1.39876,0.555,6.83882,5.05,0.422783,0.828,0.444881,0.174,1.33082,1.23,0.773705,0.232,0.49166,0.637,0.138313,0.079,3.27046,1.21,0.373526,1.73,1.03567,0.074,0.497824,0.098,0.220545,0.009,9.56677,1.1638,2.40562,0.4417,1.89023,0.6541,3.23848,2.0671,1.73624,2.8289,3.19369,3.1432,3.66181,0.4417,0.426893,0.5947,5.29213,0.6343,1.79656,0.9883,1.00387,0.7702,20.9358,12.7709
186,2010-07-06,00:00:00.00,0,3.32438,0.521,0.907035,3.95,0.306651,1.51,1.39647,0.437,5.73022,4.43,0.368835,0.768,0.425697,0.143,1.2655,1.14,0.772298,0.218,0.444219,0.6,0.1369,0.079,3.13491,1.17,0.361863,1.63,1.03383,0.063,0.484486,0.076,0.213149,0.008,8.60771,1.1638,2.17338,0.4134,1.73312,0.606,3.02598,2.0586,1.72946,2.7609,3.08584,3.1149,3.3526,0.4078,0.423203,0.6003,4.67743,0.5125,1.51308,0.8042,0.96225,0.7419,19.1469,11.44
187,2010-07-07,00:00:00.00,1.45373e-06,3.01599,0.487,0.768658,3.59,0.273824,1.23,1.39398,0.348,4.82685,4.01,0.3291,0.713,0.435153,0.122,1.22615,1.09,0.770896,0.233,0.423238,0.573,0.136044,0.08,3.04866,1.11,0.35276,1.57,1.032,0.051,0.47568,0.083,0.207366,0.007,7.92302,0.9798,2.03346,0.3823,1.62015,0.555,2.88037,2.0105,1.72486,2.7751,3.01717,3.1149,3.10018,0.3794,0.421212,0.5578,4.17179,0.4446,1.37043,0.6654,0.937171,0.7334,17.4229,11.4117
188,2010-07-08,00:00:00.00,0.0082296,2.76272,0.4332,0.662566,3.31,0.247964,1.13,1.50346,0.281,4.00895,3.74,0.299801,0.684,0.428607,0.111,1.20215,1.03,0.769497,0.246,0.408645,0.898,0.135472,0.077,2.9935,1.04,0.345238,1.52,1.03017,0.043,0.469647,0.092,0.202808,0.006,7.35599,1.0421,1.94872,0.3313,1.66306,0.5097,2.78465,1.9482,1.72193,2.7524,3.02798,3.8228,2.90833,0.4049,0.419974,0.5125,3.77168,0.3794,1.31458,0.5522,0.921042,0.7362,15.9319,11.5533
189,2010-07-09,00:00:00.00,0.832502,2.54958,0.4049,0.587344,3.15,0.308109,0.976,2.20771,0.237,3.41844,3.56,0.278166,0.644,0.43101,0.121,1.18721,0.908,0.768102,0.253,0.397045,1.18,0.139866,0.077,4.8735,1.01,0.75224,1.47,3.3047,0.037,0.712924,0.09,0.311098,0.006,8.78164,0.892,4.00835,0.3171,2.41701,0.5069,3.39202,2.1323,3.61412,3.1149,4.64138,9.7127,2.92079,0.773,1.01918,1.1213,6.16936,0.5352,1.72064,0.4672,0.909981,0.7532,14.7147,11.7515
190,2010-07-10,00:00:00.00,1.86563,6.54322,0.9854,1.00759,3.39,1.25203,1.17,9.46791,0.256,9.75053,5.97,2.11863,1.83,2.80892,0.653,6.13673,1.42,6.65682,0.599,1.36588,0.785,0.301353,0.168,10.3529,1.07,1.98784,1.49,5.37087,0.036,1.38912,0.144,0.753001,0.008,10.1221,1.0081,5.07591,0.3455,3.0421,0.5069,4.59509,3.2848,5.85145,4.8422,6.67336,7.2491,3.57978,0.6626,1.73967,8.6083,13.5227,8.4667,4.82312,0.572,1.5309,1.4527,14.7609,20.2182
191,2010-07-11,00:00:00.00,4.59321e-05,7.51762,1.3082,1.44775,3.51,1.36441,1.2,14.396,0.464,14.2296,5.16,3.23223,1.49,3.87696,0.464,8.24647,1.4,6.65543,0.609,1.92493,0.81,0.424858,0.188,12.7301,1.51,2.10247,1.52,3.0927,0.034,1.60434,0.163,0.931201,0.01,8.86672,0.9599,3.71103,0.337,2.86297,0.5267,5.29707,2.1549,5.00211,3.2281,5.8613,4.4457,4.23677,0.4616,1.56656,5.6351,15.9224,8.4951,7.18357,0.6654,1.91673,1.4753,14.8519,16.622
