DATE	cout
UNITS	m3/s
2010-01-01	0.86
2010-01-02	0.854
2010-01-03	0.848
2010-01-04	0.842
2010-01-05	0.835
2010-01-06	0.823
2010-01-07	0.811
2010-01-08	0.798
2010-01-09	0.783
2010-01-10	0.766
2010-01-11	0.75
2010-01-12	0.732
2010-01-13	0.714
2010-01-14	0.697
2010-01-15	0.684
2010-01-16	0.674
2010-01-17	0.664
2010-01-18	0.654
2010-01-19	0.644
2010-01-20	0.633
2010-01-21	0.622
2010-01-22	0.609
2010-01-23	0.597
2010-01-24	0.687
2010-01-25	0.826
2010-01-26	0.906
2010-01-27	0.933
2010-01-28	0.936
2010-01-29	0.929
2010-01-30	0.916
2010-01-31	0.901
2010-02-01	0.884
2010-02-02	0.867
2010-02-03	0.85
2010-02-04	0.832
2010-02-05	0.814
2010-02-06	0.797
2010-02-07	0.779
2010-02-08	0.761
2010-02-09	0.744
2010-02-10	0.733
2010-02-11	0.72
2010-02-12	0.704
2010-02-13	0.687
2010-02-14	0.67
2010-02-15	0.653
2010-02-16	0.637
2010-02-17	0.622
2010-02-18	0.608
2010-02-19	0.594
2010-02-20	0.581
2010-02-21	0.57
2010-02-22	0.565
2010-02-23	0.559
2010-02-24	0.552
2010-02-25	0.546
2010-02-26	0.544
2010-02-27	0.542
2010-02-28	0.539
2010-03-01	0.533
2010-03-02	0.526
2010-03-03	0.518
2010-03-04	0.511
2010-03-05	0.505
2010-03-06	0.5
2010-03-07	0.498
2010-03-08	0.612
2010-03-09	1.282
2010-03-10	1.965
2010-03-11	2.34
2010-03-12	2.548
2010-03-13	2.684
2010-03-14	2.78
2010-03-15	2.846
2010-03-16	2.893
2010-03-17	2.927
2010-03-18	2.954
2010-03-19	2.97
2010-03-20	2.977
2010-03-21	2.973
2010-03-22	2.957
2010-03-23	2.932
2010-03-24	2.898
2010-03-25	2.856
2010-03-26	2.81
2010-03-27	2.761
2010-03-28	2.72
2010-03-29	2.685
2010-03-30	2.645
2010-03-31	2.6
2010-04-01	2.549
2010-04-02	2.494
2010-04-03	2.437
2010-04-04	2.379
2010-04-05	2.32
2010-04-06	2.71
2010-04-07	3.057
2010-04-08	3.147
2010-04-09	3.105
2010-04-10	3.01
2010-04-11	2.896
2010-04-12	2.781
2010-04-13	2.671
2010-04-14	2.566
2010-04-15	2.466
2010-04-16	2.37
2010-04-17	2.281
2010-04-18	2.198
2010-04-19	2.119
2010-04-20	2.043
2010-04-21	1.971
2010-04-22	1.902
2010-04-23	1.835
2010-04-24	1.771
2010-04-25	2.102
2010-04-26	2.418
2010-04-27	2.492
2010-04-28	2.44
2010-04-29	2.337
2010-04-30	2.22
2010-05-01	2.106
2010-05-02	2.002
2010-05-03	2.115
2010-05-04	2.128
2010-05-05	2.033
2010-05-06	1.914
2010-05-07	2.208
2010-05-08	2.603
2010-05-09	2.742
2010-05-10	2.699
2010-05-11	2.765
2010-05-12	2.793
2010-05-13	3.084
2010-05-14	3.413
2010-05-15	3.523
2010-05-16	3.49
2010-05-17	3.391
2010-05-18	3.267
2010-05-19	3.136
2010-05-20	3.006
2010-05-21	2.882
2010-05-22	2.767
2010-05-23	2.655
2010-05-24	2.547
2010-05-25	2.443
2010-05-26	2.344
2010-05-27	2.249
2010-05-28	2.159
2010-05-29	2.074
2010-05-30	1.992
2010-05-31	1.92
2010-06-01	1.854
2010-06-02	1.962
2010-06-03	2.02
2010-06-04	1.974
2010-06-05	1.89
2010-06-06	2.034
2010-06-07	2.185
2010-06-08	2.196
2010-06-09	2.137
2010-06-10	2.046
2010-06-11	1.945
2010-06-12	1.844
2010-06-13	1.748
2010-06-14	1.659
2010-06-15	1.576
2010-06-16	1.506
2010-06-17	1.439
2010-06-18	1.373
2010-06-19	1.308
2010-06-20	1.247
2010-06-21	1.189
2010-06-22	1.139
2010-06-23	1.092
2010-06-24	1.046
2010-06-25	1.001
2010-06-26	0.958
2010-06-27	0.96
2010-06-28	1.016
2010-06-29	1.048
2010-06-30	1.036
2010-07-01	1
2010-07-02	0.955
2010-07-03	0.908
2010-07-04	0.861
2010-07-05	0.817
2010-07-06	0.775
2010-07-07	0.737
2010-07-08	0.706
2010-07-09	0.681
2010-07-10	0.655
2010-07-11	0.629
2010-07-12	0.988
2010-07-13	1.265
2010-07-14	1.302
2010-07-15	1.246
2010-07-16	1.321
2010-07-17	1.341
2010-07-18	1.272
2010-07-19	1.177
2010-07-20	1.082
2010-07-21	0.995
2010-07-22	0.917
2010-07-23	0.854
2010-07-24	0.801
2010-07-25	0.753
2010-07-26	0.707
2010-07-27	0.664
2010-07-28	0.624
2010-07-29	0.587
2010-07-30	0.553
2010-07-31	0.522
2010-08-01	0.495
2010-08-02	0.471
2010-08-03	0.447
2010-08-04	0.424
2010-08-05	0.403
2010-08-06	0.383
2010-08-07	0.364
2010-08-08	0.347
2010-08-09	0.332
2010-08-10	0.317
2010-08-11	0.303
2010-08-12	0.29
2010-08-13	0.277
2010-08-14	0.264
2010-08-15	0.252
2010-08-16	0.241
2010-08-17	0.231
2010-08-18	0.221
2010-08-19	0.212
2010-08-20	0.204
2010-08-21	0.196
2010-08-22	0.188
2010-08-23	0.181
2010-08-24	0.174
2010-08-25	0.167
2010-08-26	0.161
2010-08-27	0.155
2010-08-28	0.149
2010-08-29	0.144
2010-08-30	0.139
2010-08-31	0.135
2010-09-01	0.13
2010-09-02	0.126
2010-09-03	0.123
2010-09-04	0.119
2010-09-05	0.116
2010-09-06	0.112
2010-09-07	0.108
2010-09-08	0.104
2010-09-09	0.101
2010-09-10	0.097
2010-09-11	0.094
2010-09-12	0.091
2010-09-13	0.088
2010-09-14	0.085
2010-09-15	0.083
2010-09-16	0.293
2010-09-17	0.48
2010-09-18	0.533
2010-09-19	0.521
2010-09-20	0.485
2010-09-21	0.443
2010-09-22	0.406
2010-09-23	0.374
2010-09-24	0.345
2010-09-25	0.317
2010-09-26	0.292
2010-09-27	0.27
2010-09-28	2.031
2010-09-29	3.516
2010-09-30	3.882
2010-10-01	3.737
2010-10-02	3.711
2010-10-03	3.629
