time,date,hour,precip [mm/day],sub7068 [m3/s],sub7068 (observed) [m3/s],sub7070 [m3/s]
87,2000-03-28,00:00:00.00,2.41518,2.35655,3.2,1.7533
88,2000-03-29,00:00:00.00,0.320813,2.41655,3.9,1.80495
89,2000-03-30,00:00:00.00,1.40491,2.38767,3.65,1.78619
90,2000-03-31,00:00:00.00,0.0862279,2.27759,3.45,1.70391
91,2000-04-01,00:00:00.00,0.150774,2.20738,2.95,1.65112
92,2000-04-02,00:00:00.00,0.00539743,2.12694,2.65,1.58863
93,2000-04-03,00:00:00.00,1.23136,2.06512,2.48,1.54056
94,2000-04-04,00:00:00.00,0.807898,2.01365,2.43,1.49898
95,2000-04-05,00:00:00.00,2.34898,1.9966,2.47,1.4902
96,2000-04-06,00:00:00.00,0.221452,2.02998,2.7,1.52773
97,2000-04-07,00:00:00.00,1.23002,1.99341,2.64,1.502
98,2000-04-08,00:00:00.00,4.55902,2.00563,2.52,1.50469
99,2000-04-09,00:00:00.00,9.80761,2.60495,2.88,1.94779
100,2000-04-10,00:00:00.00,0.36445,3.57503,2.81,2.66351
101,2000-04-11,00:00:00.00,0.677516,3.53839,2.93,2.63485
102,2000-04-12,00:00:00.00,1.42041,2.93711,2.61,2.1867
103,2000-04-13,00:00:00.00,1.02554,2.78638,2.46,2.06618
104,2000-04-14,00:00:00.00,0.403551,2.68719,2.54,1.98981
105,2000-04-15,00:00:00.00,0.0277751,2.56147,2.64,1.89952
106,2000-04-16,00:00:00.00,0.171422,2.45122,2.82,1.81864
107,2000-04-17,00:00:00.00,0.0915758,2.35296,2.63,1.74581
108,2000-04-18,00:00:00.00,0.00622784,2.26349,2.57,1.67945
109,2000-04-19,00:00:00.00,0.0717924,2.18139,2.37,1.61853
110,2000-04-20,00:00:00.00,0.132781,2.10477,2.3,1.5617
111,2000-04-21,00:00:00.00,12.5678,2.50422,2.7,1.86846
112,2000-04-22,00:00:00.00,9.67055,4.0627,15.5,3.05872
113,2000-04-23,00:00:00.00,0.712961,5.2147,13,3.93417
114,2000-04-24,00:00:00.00,0.0194528,4.65229,8.2,3.50543
115,2000-04-25,00:00:00.00,0.000953127,3.85678,5.5,2.90273
116,2000-04-26,00:00:00.00,0.0285327,3.53272,5.05,2.65576
117,2000-04-27,00:00:00.00,0.0192059,3.30582,3.6,2.48266
118,2000-04-28,00:00:00.00,0.0499269,3.1065,2.69,2.33096
119,2000-04-29,00:00:00.00,0.225373,2.92916,2.31,2.19633
120,2000-04-30,00:00:00.00,0.0338913,2.76935,2.05,2.07527
121,2000-05-01,00:00:00.00,0.000723514,2.62439,1.83,1.96562
122,2000-05-02,00:00:00.00,3.72097,2.53087,1.7,1.89227
123,2000-05-03,00:00:00.00,0.101865,2.50253,1.9,1.86444
124,2000-05-04,00:00:00.00,0.101354,2.40687,1.72,1.79156
