time,date,hour,precip [mm/day],sub7064 [m3/s],sub7064 (observed) [m3/s],sub7068 [m3/s],sub7070 [m3/s],sub7071 [m3/s]
59,2000-02-29,00:00:00.00,0.422314,25.344,43.7,8.74025,6.5035,4.92193
60,2000-03-01,00:00:00.00,0.384641,22.6688,20.8,7.83577,5.82899,4.39557
61,2000-03-02,00:00:00.00,1.89459,20.2012,14.1,6.95496,5.17456,3.88376
62,2000-03-03,00:00:00.00,0.397028,18.8513,12.2,6.45145,4.8056,3.59009
63,2000-03-04,00:00:00.00,0.103204,17.3205,11.4,5.92765,4.41305,3.28359
64,2000-03-05,00:00:00.00,0.225169,15.8435,10.1,5.44315,4.04728,3.00043
65,2000-03-06,00:00:00.00,0.0672373,14.7172,9.6,5.0662,3.76519,2.78372
66,2000-03-07,00:00:00.00,0.101446,13.7629,9.18,4.74348,3.52402,2.59953
67,2000-03-08,00:00:00.00,0.235289,12.934,8.91,4.46243,3.31425,2.44016
68,2000-03-09,00:00:00.00,0.12655,12.2004,9.4,4.21303,3.12823,2.29956
69,2000-03-10,00:00:00.00,3.8373,11.9384,12.3,4.08244,3.0314,2.23471
70,2000-03-11,00:00:00.00,0.577277,11.9366,12,4.0212,2.98655,2.21285
71,2000-03-12,00:00:00.00,0.424787,11.3341,10,3.82521,2.84051,2.10146
72,2000-03-13,00:00:00.00,0.731007,10.5677,8.45,3.59599,2.66948,1.96698
73,2000-03-14,00:00:00.00,0.562679,10.0998,7.55,3.44221,2.55491,1.87988
74,2000-03-15,00:00:00.00,1.29112,9.69641,7.45,3.30627,2.454,1.80262
75,2000-03-16,00:00:00.00,0.923737,9.35366,8.3,3.18405,2.36356,1.73323
76,2000-03-17,00:00:00.00,2.51198,9.31578,9.75,3.17858,2.36105,1.7323
77,2000-03-18,00:00:00.00,0.24775,9.41892,8.4,3.23662,2.40635,1.76794
78,2000-03-19,00:00:00.00,0.130378,9.04551,7.2,3.11166,2.31306,1.69862
79,2000-03-20,00:00:00.00,1.87247,8.6192,7,2.95474,2.1952,1.60918
80,2000-03-21,00:00:00.00,1.31518,8.47062,7.5,2.89597,2.15139,1.57416
81,2000-03-22,00:00:00.00,0.320666,8.21178,7.95,2.80355,2.08252,1.52318
82,2000-03-23,00:00:00.00,0.267428,7.9001,8.1,2.70149,2.00645,1.46784
83,2000-03-24,00:00:00.00,0.424931,7.6498,8,2.62024,1.94579,1.42292
84,2000-03-25,00:00:00.00,0.26408,7.41843,7.85,2.54272,1.88783,1.38002
85,2000-03-26,00:00:00.00,2.02288,7.29083,7.71,2.51176,1.86558,1.36654
86,2000-03-27,00:00:00.00,0.11291,7.2291,7.62,2.50906,1.86497,1.37062
87,2000-03-28,00:00:00.00,2.61761,7.29038,7.55,2.52271,1.87913,1.38883
88,2000-03-29,00:00:00.00,0.343893,7.45531,9.3,2.56265,1.91466,1.4254
89,2000-03-30,00:00:00.00,1.97297,7.35866,10.6,2.49513,1.86526,1.39315
90,2000-03-31,00:00:00.00,0.132482,7.1955,11.6,2.38893,1.78561,1.33738
91,2000-04-01,00:00:00.00,0.127896,6.96354,10.3,2.32039,1.73347,1.29573
92,2000-04-02,00:00:00.00,0.00509958,6.64433,8.97,2.24299,1.67362,1.2446
93,2000-04-03,00:00:00.00,1.15583,6.46471,8,2.18687,1.62973,1.20996
94,2000-04-04,00:00:00.00,0.702503,6.30437,7.65,2.13716,1.58986,1.17795
95,2000-04-05,00:00:00.00,2.41821,6.27448,7.72,2.13283,1.59316,1.17362
96,2000-04-06,00:00:00.00,0.295208,6.32287,8.24,2.15614,1.62157,1.18544
97,2000-04-07,00:00:00.00,1.25116,6.13948,8,2.09419,1.57327,1.15087
98,2000-04-08,00:00:00.00,4.47074,6.29031,7.74,2.15,1.60904,1.18413
99,2000-04-09,00:00:00.00,9.55636,8.2604,8.07,2.85777,2.134,1.57035
100,2000-04-10,00:00:00.00,0.41558,10.295,10.1,3.58998,2.67581,1.96177
101,2000-04-11,00:00:00.00,0.695897,9.37046,10.4,3.26061,2.43119,1.78233
102,2000-04-12,00:00:00.00,1.37949,7.95065,9.42,2.75062,2.04901,1.50057
103,2000-04-13,00:00:00.00,0.822602,7.76995,8.71,2.68868,1.99589,1.44967
104,2000-04-14,00:00:00.00,0.367823,7.51302,8.95,2.60617,1.9348,1.40145
105,2000-04-15,00:00:00.00,0.020582,7.2144,9.2,2.50474,1.8623,1.35275
106,2000-04-16,00:00:00.00,0.100779,6.97065,9.4,2.41869,1.79846,1.3078
107,2000-04-17,00:00:00.00,0.0799586,6.74379,8.1,2.34092,1.7405,1.26516
108,2000-04-18,00:00:00.00,0.00667125,6.53377,7.58,2.26895,1.68685,1.22572
109,2000-04-19,00:00:00.00,0.0917737,6.33787,7.06,2.20168,1.63669,1.1889
110,2000-04-20,00:00:00.00,0.146386,6.15168,6.69,2.13763,1.58897,1.15385
111,2000-04-21,00:00:00.00,13.0558,7.8532,6.47,2.71009,2.02747,1.48798
