subID,ID,Name,Lat,Lon
7144,04221000,GENESEE RIVER AT WELLSVILLE NY,42.12229032,-77.95722459
7145,04224775,CANASERAGA CREEK ABOVE DANSVILLE NY,42.5356226,-77.70416132
7023,04185000,Tiffin River at Stryker OH,41.50449567,-84.4296719
7026,04196800,Tymochtee Creek at Crawford OH,40.92283322,-83.34881158
7027,04197100,Honey Creek at Melmore OH,41.022278,-83.10963819999999
7085,04136000,Au Sable River near Red Oak MI,44.6769593,-84.29251459999999
7163,04160600,BELLE RIVER AT MEMPHIS MI,42.900862200000006,-82.76909140000001
7161,04159492,Black River near Jeddo MI,43.150859999999994,-82.6246474
7193,04040000,ONTONAGON R NR ROCKLAND MI,46.7207742,-89.207086
7196,04044724,Au Train River at Forest Lake MI,46.34077908,-86.8501514
7191,04029990,Montreal River at Saxon Falls near Saxon WI,46.53689125,-90.3799017
7187,04024000,ST. LOUIS RIVER AT SCANLON MN,46.7032765,-92.4188018
7190,04027500,WHITE RIVER NEAR ASHLAND WI,46.4972222,-90.9041667
7149,04250200,Salmon River at Pineville NY,43.53119444,-76.0376944
7146,04231600,GENESEE RIVER AT FORD STREET BRIDGE ROCHESTER NY,43.141722200000004,-77.6163056
7152,04258000,Beaver River at Croghan NY,43.8972222,-75.4041667
7147,0423205010,Irondequoit Cr abv Blossom Rd nr Rochester NY,43.145,-77.5119444
7086,04137500,Au Sable River near Au Sable MI,44.43640447,-83.4338609
7087,04142000,RIFLE RIVER NEAR STERLING MI,44.0725203,-84.0199939
7121,04126740,Platte River at Honor MI,44.668055100000004,-86.0348123
7108,04101500,ST. JOSEPH RIVER AT NILES MI,41.8292138,-86.2597325
7102,04086000,SHEBOYGAN RIVER AT SHEBOYGAN WI,43.74138889,-87.7521111
7110,04102500,PAW PAW RIVER AT RIVERSIDE MI,42.18642675,-86.36891240000001
7097,04072150,Duck Creek near Howard WI,44.53338889,-88.1296944
7093,04067500,MENOMINEE RIVER NEAR MCALLISTER WI,45.3258333,-87.6633333
7106,04093000,DEEP RIVER AT LAKE GEORGE OUTLET AT HOBART IN,41.53614807,-87.25697989
7111,04102700,SOUTH BRANCH BLACK RIVER NEAR BANGOR MI,42.35420009,-86.1875265
7101,04085427,MANITOWOC RIVER AT MANITOWOC WI,44.10616667,-87.71602779999999
7114,04119000,GRAND RIVER AT GRAND RAPIDS MI,42.96447088,-85.6764199
7105,04087240,ROOT RIVER AT RACINE WI,42.75138889,-87.8236111
7103,04087000,MILWAUKEE RIVER AT MILWAUKEE WI,43.10001159,-87.9089745
7090,04059000,ESCANABA RIVER AT CORNELL MI,45.90891667,-87.2135278
7042,04218518,ELLICOTT CREEK BELOW WILLIAMSVILLE NY,42.97777778,-78.76361109999999
7029,04199000,HURON R AT MILAN OH,41.3008852,-82.6082326
7039,04215000,CAYUGA CREEK NR LANCASTER NY,42.89,-78.645
7024,04193500,MAUMEE R AT WATERVILLE OH,41.500052600000004,-83.7127145
7028,04198000,SANDUSKY R NR FREMONT OH,41.307830700000004,-83.1588088
7037,04213500,CATTARAUGUS CREEK AT GOWANDA NY,42.463333299999995,-78.9341667
7031,04200500,BLACK R AT ELYRIA OH,41.38032368,-82.10459279
7021,04176500,RIVER RAISIN NEAR MONROE MI,41.960600799999995,-83.53104619
7022,04177000,OTTAWA RIVER At UNIVERSITY OF TOLEDO TOLEDO OH,41.65968056,-83.61254720000001
7018,04166500,RIVER ROUGE AT DETROIT MI,42.373092299999996,-83.25465129999999
7041,04218000,TONAWANDA CREEK AT RAPIDS NY,43.09305556,-78.6361111
7020,04174500,HURON RIVER AT ANN ARBOR MI,42.28698238,-83.73382959999999
7040,04215500,CAZENOVIA CREEK AT EBENEZER NY,42.8297222,-78.775
7033,04208000,CUYAHOGA R AT INDEPENDENCE OH,41.39533087,-81.6298478
7036,04213000,CONNEAUT C AT CONNEAUT OH,41.92699898,-80.6039659
7151,04256000,INDEPENDENCE RIVER AT DONNATTSBURG NY,43.74729136,-75.33434745
7122,04126970,Boardman R above Brown Bridge Road nr Mayfield MI,44.65667,-85.43673100000001
7117,04122500,PERE MARQUETTE RIVER AT SCOTTVILLE MI,43.945006299999996,-86.27868959999999
7100,04085200,KEWAUNEE RIVER NEAR KEWAUNEE WI,44.45833125,-87.55647459999999
7091,04059500,FORD RIVER NR HYDE MI,45.7549674,-87.2020793
7088,04056500,MANISTIQUE RIVER NR MANISTIQUE MI,46.03052857,-86.161249
7192,04031000,BLACK R NR BESSEMER MI,46.5113361,-90.0746179
7197,04045500,TAHQUAMENON RIVER NR TAHQUAMENON PARADISE MI,46.5745833,-85.26963889
7188,04024430,NEMADJI RIVER NEAR SOUTH SUPERIOR WI,46.6333333,-92.09388890000001
7030,04199500,VERMILION R NR VERMILION OH,41.38199,-82.3168273
7035,04212100,GRAND R NR PAINESVILLE OH,41.718933899999996,-81.22787890000001
7096,04071765,Oconto River near Oconto WI,44.86055556,-87.98388889
7109,04101800,DOWAGIAC RIVER AT SUMNERVILLE MI,41.9133797,-86.2130676
7115,04121970,Muskegon River near Croton MI,43.43474558,-85.6653239
7164,04165500,CLINTON RIVER AT MORAVIAN DRIVE AT MT. CLEMENS MI,42.5958674,-82.90881
7185,04010500,PIGEON RIVER AT MIDDLE FALLS NR GRAND PORTAGE MN,48.01210765,-89.6161984
7116,04122200,WHITE RIVER NEAR WHITEHALL MI,43.46417856,-86.2325668
7189,04027000,BAD RIVER NEAR ODANAH WI,46.4866144,-90.696297
