time,date,hour,precip [mm/day],sub7156 [m3/s],sub7157 [m3/s],sub7157 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,7.58456,12.3025,
1,2000-01-02,00:00:00.00,0.148817,3.93232,6.37842,4
2,2000-01-03,00:00:00.00,1.84793,0.335283,0.533013,4.2
3,2000-01-04,00:00:00.00,17.9207,1.0037,1.60941,4.33
4,2000-01-05,00:00:00.00,8.63762,2.98494,4.87547,5.95
5,2000-01-06,00:00:00.00,0.190892,3.9417,6.39017,8.5
6,2000-01-07,00:00:00.00,0.283506,2.73601,4.37623,8.3
7,2000-01-08,00:00:00.00,0.209399,1.82451,2.93371,7.81
8,2000-01-09,00:00:00.00,0.229942,1.70559,2.74863,7
9,2000-01-10,00:00:00.00,2.79063,1.82526,2.94843,5.76
10,2000-01-11,00:00:00.00,2.71309,2.33738,3.772,6.09
11,2000-01-12,00:00:00.00,0.587192,2.86319,4.57941,13.5
12,2000-01-13,00:00:00.00,0.837706,2.71184,4.34739,15.5
13,2000-01-14,00:00:00.00,4.90776,2.36207,3.81764,12.5
14,2000-01-15,00:00:00.00,0.363602,2.28673,3.68423,9.5
15,2000-01-16,00:00:00.00,0.968804,2.26311,3.64389,7.8
16,2000-01-17,00:00:00.00,0.165666,2.2398,3.60697,6.5
17,2000-01-18,00:00:00.00,0.298826,2.21641,3.56983,5.6
18,2000-01-19,00:00:00.00,0.977775,2.19405,3.53429,4.9
19,2000-01-20,00:00:00.00,0.923383,2.17251,3.50002,4.3
20,2000-01-21,00:00:00.00,2.6165,2.15112,3.46599,3.9
21,2000-01-22,00:00:00.00,0.303517,2.13009,3.43248,3.6
22,2000-01-23,00:00:00.00,0.425743,2.10974,3.40007,3.3
23,2000-01-24,00:00:00.00,0.403998,2.08988,3.36843,3.1
24,2000-01-25,00:00:00.00,0.231786,2.06979,3.33639,2.9
25,2000-01-26,00:00:00.00,0.527828,2.04991,3.30465,2.8
26,2000-01-27,00:00:00.00,0.453252,2.03056,3.27378,2.65
27,2000-01-28,00:00:00.00,0.156781,2.01151,3.24335,2.55
28,2000-01-29,00:00:00.00,0.0826188,1.9928,3.21342,2.45
29,2000-01-30,00:00:00.00,0.463029,1.97406,3.18342,2.35
30,2000-01-31,00:00:00.00,2.2267,1.95518,3.1532,2.25
31,2000-02-01,00:00:00.00,0.385571,1.93631,3.12304,2.2
32,2000-02-02,00:00:00.00,0.674605,1.91744,3.09285,2.13
33,2000-02-03,00:00:00.00,0.237257,1.89878,3.06294,2.05
34,2000-02-04,00:00:00.00,2.66903,1.8804,3.0335,1.98
35,2000-02-05,00:00:00.00,1.42361,1.86186,3.00385,1.92
