time,date,hour,precip [mm/day],sub7059 [m3/s],sub7059 (observed) [m3/s],sub7063 [m3/s]
75,2000-03-16,00:00:00.00,4.26583,1.39521,34.9,0.501152
76,2000-03-17,00:00:00.00,2.61313,1.6143,34.7,0.565461
77,2000-03-18,00:00:00.00,0.0452869,2.22154,33.9,0.760552
78,2000-03-19,00:00:00.00,0.0618888,2.68608,31.6,0.913317
79,2000-03-20,00:00:00.00,2.63051,2.457,30,0.841421
80,2000-03-21,00:00:00.00,2.95762,1.89082,29.8,0.660196
81,2000-03-22,00:00:00.00,0.117454,1.73443,30.4,0.605638
82,2000-03-23,00:00:00.00,0.512214,2.06219,30,0.703578
83,2000-03-24,00:00:00.00,0.454928,2.41501,29.5,0.817084
84,2000-03-25,00:00:00.00,0.508142,2.23376,28.7,0.765704
85,2000-03-26,00:00:00.00,2.56841,1.74513,27.9,0.615014
86,2000-03-27,00:00:00.00,0.86047,1.43221,27.3,0.515153
87,2000-03-28,00:00:00.00,2.6573,1.35749,26.7,0.487026
88,2000-03-29,00:00:00.00,5.51332,1.4704,26.3,0.523268
89,2000-03-30,00:00:00.00,5.80556,1.80567,28.6,0.650932
90,2000-03-31,00:00:00.00,0.665043,2.48309,31,0.91168
91,2000-04-01,00:00:00.00,0.0261928,3.24364,31.6,1.19859
92,2000-04-02,00:00:00.00,0.00961894,3.44298,30.2,1.26811
93,2000-04-03,00:00:00.00,1.67182,2.85734,29.2,1.05004
94,2000-04-04,00:00:00.00,0.065349,2.09888,28.3,0.778551
95,2000-04-05,00:00:00.00,3.38398,1.70241,27.8,0.641285
96,2000-04-06,00:00:00.00,0.0606662,1.65042,28.4,0.619717
97,2000-04-07,00:00:00.00,4.89232,1.76766,28.2,0.641792
98,2000-04-08,00:00:00.00,2.75189,1.93642,27.9,0.682065
99,2000-04-09,00:00:00.00,12.0191,2.14445,28.5,0.761254
100,2000-04-10,00:00:00.00,0.601107,2.46245,29.3,0.887913
101,2000-04-11,00:00:00.00,0.649361,2.76782,29.5,0.987194
102,2000-04-12,00:00:00.00,0.806088,2.73528,29.3,0.951656
103,2000-04-13,00:00:00.00,0.0876324,2.35349,28.4,0.815873
104,2000-04-14,00:00:00.00,0.527462,1.9528,27.6,0.696554
105,2000-04-15,00:00:00.00,0.0871486,1.79632,27.1,0.657661
106,2000-04-16,00:00:00.00,0.303522,1.96686,26.8,0.721629
107,2000-04-17,00:00:00.00,0.0273344,2.41528,25.9,0.875271
108,2000-04-18,00:00:00.00,0.254971,2.80865,24.6,1.0098
109,2000-04-19,00:00:00.00,0.0182826,2.6767,23.1,0.965869
110,2000-04-20,00:00:00.00,0.308936,2.21735,21.9,0.811216
111,2000-04-21,00:00:00.00,16.5708,2.01623,21.4,0.741155
112,2000-04-22,00:00:00.00,19.9466,2.63761,30.9,0.937105
113,2000-04-23,00:00:00.00,0.102049,4.66417,47.8,1.58801
114,2000-04-24,00:00:00.00,0.0111244,7.55663,51.4,2.52416
115,2000-04-25,00:00:00.00,0.155302,9.00221,47.2,3.00083
116,2000-04-26,00:00:00.00,0.112003,7.48996,41.7,2.5263
117,2000-04-27,00:00:00.00,0.0647158,4.94386,37.5,1.71561
118,2000-04-28,00:00:00.00,0.195781,3.42802,35.4,1.23156
119,2000-04-29,00:00:00.00,0.294905,2.94066,32.5,1.07513
120,2000-04-30,00:00:00.00,0.115227,2.88468,29.8,1.05664
121,2000-05-01,00:00:00.00,0.129986,2.85622,26.9,1.04692
122,2000-05-02,00:00:00.00,0.357113,2.83034,24.6,1.03799
123,2000-05-03,00:00:00.00,0.050304,2.80765,24.2,1.03004
124,2000-05-04,00:00:00.00,0.0605641,2.78817,22.9,1.02305
125,2000-05-05,00:00:00.00,0.107839,2.77105,21.2,1.01677
126,2000-05-06,00:00:00.00,1.83646,2.75537,21.1,1.01094
127,2000-05-07,00:00:00.00,0.0530233,2.74069,21,1.00546
128,2000-05-08,00:00:00.00,2.54872,2.7279,20.9,1.00053
129,2000-05-09,00:00:00.00,7.43653,2.73184,21.8,1.0009
130,2000-05-10,00:00:00.00,10.0482,2.81619,28,1.02825
131,2000-05-11,00:00:00.00,24.1856,3.20898,53.5,1.16273
132,2000-05-12,00:00:00.00,0.154966,4.2522,69.5,1.5261
133,2000-05-13,00:00:00.00,1.53319,5.81961,73.7,2.07743
134,2000-05-14,00:00:00.00,15.0531,6.93201,78.8,2.46468
135,2000-05-15,00:00:00.00,0.300088,6.73078,82.8,2.36963
136,2000-05-16,00:00:00.00,0.0461034,6.19727,76.2,2.1294
137,2000-05-17,00:00:00.00,0.783961,6.08668,65.8,2.04124
138,2000-05-18,00:00:00.00,0.090543,5.56174,57.4,1.87473
139,2000-05-19,00:00:00.00,25.0364,4.87364,54.8,1.67477
140,2000-05-20,00:00:00.00,0.0286833,5.10382,56.2,1.70628
141,2000-05-21,00:00:00.00,0.0398426,6.53833,51.4,2.04066
142,2000-05-22,00:00:00.00,0.0616756,7.96101,46.2,2.37822
143,2000-05-23,00:00:00.00,0.221659,7.58239,42.1,2.28701
144,2000-05-24,00:00:00.00,5.37249,6.11609,38.1,1.93917
145,2000-05-25,00:00:00.00,2.80073,5.14011,35.9,1.70827
146,2000-05-26,00:00:00.00,0.413775,4.82898,34.2,1.63595
147,2000-05-27,00:00:00.00,0.122788,4.8405,31.7,1.63914
148,2000-05-28,00:00:00.00,0.0857305,4.79813,29.5,1.62542
149,2000-05-29,00:00:00.00,0.0841617,4.70941,27.4,1.59828
150,2000-05-30,00:00:00.00,0.244567,4.63791,25.2,1.5762
151,2000-05-31,00:00:00.00,0.159788,4.59186,23.3,1.5615
152,2000-06-01,00:00:00.00,2.82408,4.56079,21.5,1.55115
153,2000-06-02,00:00:00.00,0.176801,4.53312,20.2,1.54194
154,2000-06-03,00:00:00.00,10.8715,4.53451,19.3,1.54317
155,2000-06-04,00:00:00.00,0.0470513,4.63741,18.3,1.58046
156,2000-06-05,00:00:00.00,0.457678,4.8707,17,1.66394
157,2000-06-06,00:00:00.00,0.30782,5.06963,15.7,1.73481
158,2000-06-07,00:00:00.00,0.0964826,4.98883,14.5,1.70603
159,2000-06-08,00:00:00.00,0.0346545,4.74234,13.4,1.61848
160,2000-06-09,00:00:00.00,0.210409,4.56836,12.4,1.55671
161,2000-06-10,00:00:00.00,19.1533,4.53999,11.6,1.54657
162,2000-06-11,00:00:00.00,1.72194,4.74922,11,1.62082
163,2000-06-12,00:00:00.00,11.4424,5.25401,11.2,1.80407
164,2000-06-13,00:00:00.00,0.122306,5.87364,11.8,2.04183
165,2000-06-14,00:00:00.00,22.7789,6.33074,11.5,2.2365
166,2000-06-15,00:00:00.00,0.546227,6.90737,10.8,2.45434
167,2000-06-16,00:00:00.00,5.81817,7.80257,10.7,2.72789
168,2000-06-17,00:00:00.00,0.753981,8.51795,10.7,2.91987
169,2000-06-18,00:00:00.00,0.0729668,8.20389,11.8,2.7999
170,2000-06-19,00:00:00.00,0.893079,7.22927,11.3,2.48253
171,2000-06-20,00:00:00.00,0.0170259,6.44091,10.1,2.222
172,2000-06-21,00:00:00.00,0.182754,5.94931,9.14,2.05755
173,2000-06-22,00:00:00.00,14.298,5.83638,8.57,2.00932
174,2000-06-23,00:00:00.00,0.302704,6.07667,8.13,2.06546
175,2000-06-24,00:00:00.00,0.109225,6.64529,7.63,2.23239
176,2000-06-25,00:00:00.00,2.68867,7.12577,7.26,2.37784
177,2000-06-26,00:00:00.00,38.2899,7.24126,11.3,2.387
178,2000-06-27,00:00:00.00,0.151652,7.9815,14.1,2.50764
179,2000-06-28,00:00:00.00,0.924227,10.3313,13.3,2.98595
180,2000-06-29,00:00:00.00,0.0453081,12.7328,11.9,3.45639
181,2000-06-30,00:00:00.00,5.32774,12.8344,10.4,3.33779
182,2000-07-01,00:00:00.00,0.0932269,11.2819,11.1,2.87669
183,2000-07-02,00:00:00.00,0.0283676,9.94492,10.2,2.59546
184,2000-07-03,00:00:00.00,0.0368507,9.39166,9.1,2.50997
185,2000-07-04,00:00:00.00,0.829504,9.23126,8.59,2.47157
186,2000-07-05,00:00:00.00,0.144077,8.92039,8.2,2.40582
187,2000-07-06,00:00:00.00,0.0355777,8.61752,7.62,2.35484
188,2000-07-07,00:00:00.00,0.0475372,8.44935,6.77,2.32363
189,2000-07-08,00:00:00.00,0.0287849,8.32697,6.19,2.30296
190,2000-07-09,00:00:00.00,0.0717285,8.17021,5.75,2.28342
191,2000-07-10,00:00:00.00,28.8016,8.14073,5.49,2.29924
192,2000-07-11,00:00:00.00,0.237139,8.66515,5.4,2.45036
193,2000-07-12,00:00:00.00,0.0436014,9.82437,5.26,2.7864
194,2000-07-13,00:00:00.00,0.152843,10.8561,4.98,3.07778
195,2000-07-14,00:00:00.00,0.0826545,10.671,4.73,2.99605
196,2000-07-15,00:00:00.00,9.08954,9.79558,4.58,2.7079
197,2000-07-16,00:00:00.00,3.43001,9.30252,4.86,2.54645
198,2000-07-17,00:00:00.00,2.47183,9.32506,5.57,2.56075
199,2000-07-18,00:00:00.00,0.220331,9.40668,5.93,2.63604
200,2000-07-19,00:00:00.00,0.015599,9.27488,5.6,2.61627
201,2000-07-20,00:00:00.00,0.0792138,9.0769,5.22,2.52132
202,2000-07-21,00:00:00.00,0.290839,8.80423,5.11,2.43771
203,2000-07-22,00:00:00.00,1.33259,8.60226,4.61,2.38942
204,2000-07-23,00:00:00.00,0.112032,8.5123,4.49,2.36394
205,2000-07-24,00:00:00.00,0.0286304,8.38707,4.13,2.3433
206,2000-07-25,00:00:00.00,0.0368546,8.24229,3.82,2.32346
207,2000-07-26,00:00:00.00,0.107285,8.11992,3.64,2.30403
208,2000-07-27,00:00:00.00,0.132174,7.99549,3.45,2.28497
209,2000-07-28,00:00:00.00,0.105127,7.88901,3.34,2.26625
210,2000-07-29,00:00:00.00,0.613567,7.80363,3.25,2.24789
211,2000-07-30,00:00:00.00,0.665105,7.75249,3.1,2.22987
212,2000-07-31,00:00:00.00,0.265541,7.70075,3.02,2.21218
213,2000-08-01,00:00:00.00,3.08138,7.67304,3.02,2.19481
214,2000-08-02,00:00:00.00,6.17044,7.69247,3.2,2.17889
215,2000-08-03,00:00:00.00,2.91966,7.66717,10.8,2.16784
216,2000-08-04,00:00:00.00,0.859702,7.66825,25.6,2.16343
217,2000-08-05,00:00:00.00,0.115389,7.63978,28.5,2.15813
218,2000-08-06,00:00:00.00,0.0159376,7.47965,27.5,2.14051
