time,date,hour,precip [mm/day],sub7007 [m3/s],sub7007 (observed) [m3/s],sub7008 [m3/s],sub7009 [m3/s]
0,2000-01-01,00:00:00.00,---,12.0547,,6.72358,3.98983
1,2000-01-02,00:00:00.00,0.343403,624.132,5.15,348.114,206.574
2,2000-01-03,00:00:00.00,3.4594,667.325,5,372.241,220.905
3,2000-01-04,00:00:00.00,14.3005,79.0181,6.6,44.2648,26.3487
4,2000-01-05,00:00:00.00,13.0091,58.2913,12.8,32.655,19.4748
5,2000-01-06,00:00:00.00,0.3821,56.0714,11,30.9084,18.2672
6,2000-01-07,00:00:00.00,0.421767,47.6964,9.4,26.0011,15.2458
7,2000-01-08,00:00:00.00,0.401721,34.6815,7.5,18.9632,11.1309
8,2000-01-09,00:00:00.00,0.444716,26.064,6.6,14.3275,8.43514
9,2000-01-10,00:00:00.00,1.53034,21.2293,5.9,11.7099,6.90925
10,2000-01-11,00:00:00.00,3.74443,18.7442,7.5,10.3684,6.13877
11,2000-01-12,00:00:00.00,0.585232,18.0921,11.2,9.99695,5.94014
12,2000-01-13,00:00:00.00,0.859365,17.3437,14,9.55615,5.68924
13,2000-01-14,00:00:00.00,4.55969,15.4693,12.5,8.52844,5.08208
14,2000-01-15,00:00:00.00,0.320614,13.6215,11.4,7.5221,4.48006
15,2000-01-16,00:00:00.00,0.823254,12.2783,10.3,6.78737,4.03927
16,2000-01-17,00:00:00.00,0.0904724,11.2661,9.5,6.23174,3.70692
17,2000-01-18,00:00:00.00,0.454352,10.4371,8.6,5.77613,3.43495
18,2000-01-19,00:00:00.00,0.938117,9.74216,8,5.39374,3.20681
19,2000-01-20,00:00:00.00,1.07313,9.15256,7.5,5.06898,3.01313
20,2000-01-21,00:00:00.00,2.41356,8.64581,7,4.78964,2.84661
21,2000-01-22,00:00:00.00,0.320541,8.20532,6.5,4.54669,2.70183
22,2000-01-23,00:00:00.00,0.259467,7.81959,6.2,4.33381,2.575
23,2000-01-24,00:00:00.00,1.09105,7.47947,5.8,4.14598,2.46313
24,2000-01-25,00:00:00.00,0.288605,7.17653,5.5,3.97863,2.36349
25,2000-01-26,00:00:00.00,0.569115,6.90461,5.25,3.82838,2.27406
26,2000-01-27,00:00:00.00,0.379867,6.65974,5,3.69304,2.19353
27,2000-01-28,00:00:00.00,0.322005,6.43833,4.75,3.57062,2.12069
28,2000-01-29,00:00:00.00,0.244397,6.23733,4.55,3.45944,2.05454
29,2000-01-30,00:00:00.00,0.431517,6.05377,4.35,3.35787,1.99413
30,2000-01-31,00:00:00.00,1.49863,5.88463,4.15,3.2643,1.9385
31,2000-02-01,00:00:00.00,0.587666,5.72753,4,3.17743,1.88687
32,2000-02-02,00:00:00.00,0.920105,5.58118,3.87,3.09651,1.83879
33,2000-02-03,00:00:00.00,0.256657,5.44507,3.73,3.02124,1.79407
34,2000-02-04,00:00:00.00,2.50671,5.31855,3.6,2.95126,1.7525
35,2000-02-05,00:00:00.00,1.00927,5.20025,3.5,2.88582,1.71363
36,2000-02-06,00:00:00.00,0.727249,5.08895,3.4,2.82426,1.67706
37,2000-02-07,00:00:00.00,0.330741,4.98386,3.3,2.76613,1.64254
38,2000-02-08,00:00:00.00,0.104102,4.88455,3.21,2.7112,1.60991
39,2000-02-09,00:00:00.00,0.3254,4.79075,3.13,2.65932,1.5791
40,2000-02-10,00:00:00.00,0.78099,4.70241,3.06,2.61034,1.55004
41,2000-02-11,00:00:00.00,7.70002,4.62041,2.99,2.56439,1.52286
42,2000-02-12,00:00:00.00,1.11139,4.54284,2.93,2.52094,1.49717
43,2000-02-13,00:00:00.00,0.118455,4.46706,2.87,2.47918,1.47238
