Subbasin,Gauge,Column_name_output
61 , 02GG003 ,	FLOW_OUTcms	
4  , 02GA047 ,	FLOW_OUTcms	
3  , 02GA038 ,	FLOW_OUTcms	
7  , 02GA018 ,	FLOW_OUTcms	
9  , 02GA010 ,	FLOW_OUTcms	
12 , 02GB007 ,	FLOW_OUTcms	
16 , 02GD004 ,	FLOW_OUTcms	
34 , 02GC010 ,	FLOW_OUTcms	
49 , 02GC018 ,	FLOW_OUTcms	
46 , 02GC002 ,	FLOW_OUTcms	
86 , 02GE007 ,	FLOW_OUTcms	
35 , 02GG002 ,	FLOW_OUTcms	
47 , 02GG013 ,	FLOW_OUTcms	
37 , 02GG009 ,	FLOW_OUTcms	
28 , 02GG006 ,	FLOW_OUTcms	
26 , 04160600 , FLOW_OUTcms	
14 , 04159900 ,	FLOW_OUTcms
11 , 04159492 ,	FLOW_OUTcms
66 , 04161820 ,	FLOW_OUTcms
72 , 04164000 ,	FLOW_OUTcms
69 , 04165500 ,	FLOW_OUTcms
84 , 04166100 ,	FLOW_OUTcms
125, 04177000 ,	FLOW_OUTcms
176, 04196800 ,	FLOW_OUTcms
171, 04197100 ,	FLOW_OUTcms
143, 04208504 ,	FLOW_OUTcms
160, 04207200 ,	FLOW_OUTcms
118, 04213000 ,	FLOW_OUTcms
