time,date,hour,precip [mm/day],sub682 [m3/s],sub694 [m3/s],sub694 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,2.59848,5.57986,
1,2010-01-02,00:00:00.00,1.27703,1.30063,3.69527,3.85
2,2010-01-03,00:00:00.00,4.5128,0.00910602,1.1406,3
3,2010-01-04,00:00:00.00,8.4997,0.028889,0.297962,2.2
4,2010-01-05,00:00:00.00,10.8244,0.0557396,0.126864,1.4
5,2010-01-06,00:00:00.00,6.91752,0.0752761,0.143547,1.1
6,2010-01-07,00:00:00.00,0.304769,0.0825549,0.167135,0.95
7,2010-01-08,00:00:00.00,5.46848,0.0834448,0.17688,0.82
8,2010-01-09,00:00:00.00,4.77634,0.0829543,0.178219,0.7
9,2010-01-10,00:00:00.00,0.770984,0.0824608,0.177595,0.63
10,2010-01-11,00:00:00.00,0.109592,0.081978,0.17656,0.56
11,2010-01-12,00:00:00.00,1.97402,0.0815169,0.175576,0.5
12,2010-01-13,00:00:00.00,0.213375,0.0810784,0.174596,0.46
13,2010-01-14,00:00:00.00,0.000113179,0.0806525,0.173672,0.423
14,2010-01-15,00:00:00.00,0.00548184,0.0802248,0.172747,0.41
15,2010-01-16,00:00:00.00,0.0156096,0.0797795,0.171809,0.395
16,2010-01-17,00:00:00.00,0.00167097,0.0793018,0.170815,0.38
17,2010-01-18,00:00:00.00,0.000484271,0.078789,0.169752,0.37
18,2010-01-19,00:00:00.00,0.022673,0.0782574,0.168633,0.36
19,2010-01-20,00:00:00.00,1.03432,0.0777282,0.167497,0.35
20,2010-01-21,00:00:00.00,0.562426,0.0772174,0.166381,0.34
21,2010-01-22,00:00:00.00,0.000467727,0.0767384,0.165317,0.335
22,2010-01-23,00:00:00.00,0.00477781,0.0762857,0.164313,0.33
23,2010-01-24,00:00:00.00,0.00748744,0.0758309,0.163332,0.325
24,2010-01-25,00:00:00.00,8.83559,0.0829232,0.171336,0.32
25,2010-01-26,00:00:00.00,5.01903,0.133383,0.236824,1.5
26,2010-01-27,00:00:00.00,1.43063,0.273886,0.44453,10.8
27,2010-01-28,00:00:00.00,0.392551,0.454962,0.778098,22.4
28,2010-01-29,00:00:00.00,0.317718,0.500683,0.997676,27.2
29,2010-01-30,00:00:00.00,0.0465319,0.354192,0.890215,24.3
30,2010-01-31,00:00:00.00,0.0285224,0.181533,0.579224,12.4
31,2010-02-01,00:00:00.00,0.214822,0.101708,0.326063,7.15
32,2010-02-02,00:00:00.00,0.00524697,0.0858471,0.216077,5.1
33,2010-02-03,00:00:00.00,1.80916,0.0854633,0.188493,3.72
34,2010-02-04,00:00:00.00,0.42476,0.0850511,0.183689,2.97
35,2010-02-05,00:00:00.00,0.000575067,0.0845977,0.182236,2.45
36,2010-02-06,00:00:00.00,1.24319e-308,0.0841067,0.181123,2.09
37,2010-02-07,00:00:00.00,0.000238921,0.0835904,0.180044,1.7
38,2010-02-08,00:00:00.00,0.00747838,0.0830688,0.178925,1.4
39,2010-02-09,00:00:00.00,0.00388471,0.0825688,0.177834,1.2
40,2010-02-10,00:00:00.00,6.18417,0.0821034,0.176795,1.05
41,2010-02-11,00:00:00.00,7.94295,0.0816593,0.175815,0.9
42,2010-02-12,00:00:00.00,0.595707,0.0812309,0.174874,0.8
43,2010-02-13,00:00:00.00,0.0542356,0.0808334,0.173987,0.7
44,2010-02-14,00:00:00.00,0.0232976,0.0804544,0.173148,0.64
