time,date,hour,precip [mm/day],sub7076 [m3/s],sub7076 (observed) [m3/s],sub7077 [m3/s]
0,2000-01-01,00:00:00.00,---,64.312,,5.959
1,2000-01-02,00:00:00.00,0.505672,32.1592,39.5,2.97979
2,2000-01-03,00:00:00.00,10.57,1.54492,43.4,0.0863397
3,2000-01-04,00:00:00.00,12.1988,6.35494,72,0.377781
4,2000-01-05,00:00:00.00,12.3046,9.55408,140,0.684591
5,2000-01-06,00:00:00.00,0.406306,10.6499,170,0.903875
6,2000-01-07,00:00:00.00,0.810083,6.69662,137,0.578322
7,2000-01-08,00:00:00.00,1.27998,0.93879,105,0.0794762
8,2000-01-09,00:00:00.00,0.56751,0.282942,86,0.0228535
9,2000-01-10,00:00:00.00,0.216775,0.247477,70.3,0.0199993
10,2000-01-11,00:00:00.00,4.7572,5.66525,76.8,0.12627
11,2000-01-12,00:00:00.00,2.10049,20.9025,137,0.408391
12,2000-01-13,00:00:00.00,1.69919,19.9018,116,0.334482
13,2000-01-14,00:00:00.00,3.8037,5.08496,94,0.0538278
14,2000-01-15,00:00:00.00,0.432581,0.749278,71.5,0.020854
15,2000-01-16,00:00:00.00,1.39824,0.408074,64,0.0194006
16,2000-01-17,00:00:00.00,0.541058,0.364252,69,0.0174855
17,2000-01-18,00:00:00.00,0.385552,0.319255,60,0.0154046
18,2000-01-19,00:00:00.00,1.60806,0.293293,53,0.01426
19,2000-01-20,00:00:00.00,1.81694,0.277613,57.5,0.0136502
20,2000-01-21,00:00:00.00,3.41917,0.256575,55,0.0126947
21,2000-01-22,00:00:00.00,0.748672,0.236924,46,0.0117763
22,2000-01-23,00:00:00.00,0.607754,0.225334,39,0.0113361
23,2000-01-24,00:00:00.00,3.13106,0.215238,41,0.010982
24,2000-01-25,00:00:00.00,0.715782,0.198693,42,0.0101641
25,2000-01-26,00:00:00.00,0.877386,0.182693,41.5,0.00930521
26,2000-01-27,00:00:00.00,0.386731,0.170763,39.5,0.00873376
27,2000-01-28,00:00:00.00,0.205112,0.160461,38.5,0.00830375
28,2000-01-29,00:00:00.00,0.247439,0.152266,38,0.00798736
29,2000-01-30,00:00:00.00,0.212204,0.141638,37.3,0.00745055
30,2000-01-31,00:00:00.00,1.0845,0.127146,36.8,0.00657762
31,2000-02-01,00:00:00.00,0.988847,0.11191,35.8,0.00563616
32,2000-02-02,00:00:00.00,2.36516,0.0994956,35,0.00489794
33,2000-02-03,00:00:00.00,0.492913,0.0904432,34.5,0.00438764
34,2000-02-04,00:00:00.00,2.97922,0.0830842,33.8,0.00398824
35,2000-02-05,00:00:00.00,0.770632,0.076036,33.2,0.00359177
