time,date,hour,precip [mm/day],sub7153 [m3/s],sub7154 [m3/s],sub7154 (observed) [m3/s]
77,2000-03-18,00:00:00.00,0.12198,3.07811,47.8984,44.1
78,2000-03-19,00:00:00.00,0.254101,3.45957,52.8835,46
79,2000-03-20,00:00:00.00,4.52888,3.64193,55.0915,43.9
80,2000-03-21,00:00:00.00,0.582302,3.49932,53.1316,40.3
81,2000-03-22,00:00:00.00,0.360439,3.30392,51.0504,39.8
82,2000-03-23,00:00:00.00,0.220235,3.16763,50.3348,37.6
83,2000-03-24,00:00:00.00,0.512767,3.00545,48.7182,34.1
84,2000-03-25,00:00:00.00,0.218354,2.82839,45.8336,31.9
85,2000-03-26,00:00:00.00,4.11244,2.68397,43.0048,30
86,2000-03-27,00:00:00.00,0.10006,2.61524,41.2158,30.8
87,2000-03-28,00:00:00.00,6.33115,2.66506,41.08,32.9
88,2000-03-29,00:00:00.00,0.815027,2.77553,42.5254,39.9
89,2000-03-30,00:00:00.00,1.51945,2.86194,45.2997,42.3
90,2000-03-31,00:00:00.00,0.0332912,2.87157,47.5065,36.8
91,2000-04-01,00:00:00.00,0.102972,2.74884,46.5829,30.7
92,2000-04-02,00:00:00.00,0.00502921,2.57002,43.7465,28
93,2000-04-03,00:00:00.00,1.40381,2.42366,40.8614,27.2
94,2000-04-04,00:00:00.00,0.665311,2.31222,38.4003,26
95,2000-04-05,00:00:00.00,3.11228,2.23691,36.5975,26.4
96,2000-04-06,00:00:00.00,0.21151,2.19344,35.354,34.7
97,2000-04-07,00:00:00.00,1.49852,2.18072,34.688,42.8
98,2000-04-08,00:00:00.00,11.8604,2.19775,34.6408,40.5
99,2000-04-09,00:00:00.00,18.3864,2.32741,36.7744,38.2
100,2000-04-10,00:00:00.00,0.443654,2.75735,44.6416,38.4
101,2000-04-11,00:00:00.00,0.110088,3.28667,56.0268,38.8
102,2000-04-12,00:00:00.00,2.17062,3.4,60.8031,38.4
103,2000-04-13,00:00:00.00,0.339525,3.13151,56.6959,36.3
104,2000-04-14,00:00:00.00,0.0753993,2.90822,51.1895,34.6
105,2000-04-15,00:00:00.00,0.0600355,3.10835,50.0822,32.5
106,2000-04-16,00:00:00.00,0.242474,4.032,56.2996,28.9
107,2000-04-17,00:00:00.00,0.0560722,4.94683,63.9246,25.4
108,2000-04-18,00:00:00.00,0.640223,4.8524,63.4172,24.1
109,2000-04-19,00:00:00.00,0.133014,4.22112,57.2017,23.4
110,2000-04-20,00:00:00.00,0.604671,3.71553,51.4031,23.8
111,2000-04-21,00:00:00.00,28.5115,3.50695,49.0656,39.4
112,2000-04-22,00:00:00.00,8.30981,4.07299,56.9077,294
113,2000-04-23,00:00:00.00,0.247897,6.26985,86.3647,338
114,2000-04-24,00:00:00.00,0.0368417,8.95243,121.538,329
115,2000-04-25,00:00:00.00,0.0184014,9.34861,126.368,251
116,2000-04-26,00:00:00.00,0.0493744,7.86349,107.151,137
117,2000-04-27,00:00:00.00,0.0354985,6.43074,88.7624,79.5
118,2000-04-28,00:00:00.00,0.316352,5.45942,76.2117,63.8
119,2000-04-29,00:00:00.00,0.815669,4.82365,67.9431,48.8
120,2000-04-30,00:00:00.00,0.0189255,4.35404,61.7238,44.4
121,2000-05-01,00:00:00.00,0.379413,3.97406,56.6106,39.3
122,2000-05-02,00:00:00.00,9.71957,3.69106,52.7907,32.2
123,2000-05-03,00:00:00.00,0.203059,3.59782,51.6825,37.8
124,2000-05-04,00:00:00.00,0.00553221,3.78107,54.6146,40.1
125,2000-05-05,00:00:00.00,0.135875,3.95104,57.3447,33.2
126,2000-05-06,00:00:00.00,0.139318,3.76541,54.7685,29.2
127,2000-05-07,00:00:00.00,0.236186,3.40818,49.59,27.4
128,2000-05-08,00:00:00.00,3.55993,3.11139,45.2609,26
129,2000-05-09,00:00:00.00,1.95615,2.90111,42.0905,24.7
130,2000-05-10,00:00:00.00,8.46612,2.79571,40.2056,24.2
131,2000-05-11,00:00:00.00,19.3848,2.89374,40.9545,31
132,2000-05-12,00:00:00.00,3.12753,3.49124,48.351,49.5
133,2000-05-13,00:00:00.00,7.34499,4.71394,64.2878,47.3
134,2000-05-14,00:00:00.00,6.69635,5.62324,77.2129,47.9
135,2000-05-15,00:00:00.00,0.0896587,5.49381,77.5147,57.4
136,2000-05-16,00:00:00.00,0.172822,5.01513,72.4422,124
137,2000-05-17,00:00:00.00,0.573044,4.61084,66.6975,91.3
138,2000-05-18,00:00:00.00,0.113072,4.17346,60.0976,56.6
139,2000-05-19,00:00:00.00,26.5865,3.87662,56.0035,46
140,2000-05-20,00:00:00.00,10.8356,4.15426,61.2417,66.2
141,2000-05-21,00:00:00.00,0.0277982,5.62701,86.3014,158
142,2000-05-22,00:00:00.00,0.0469499,7.52754,118.548,151
143,2000-05-23,00:00:00.00,0.0255706,7.89104,124.823,99.7
144,2000-05-24,00:00:00.00,5.65124,6.84025,107.346,70.8
145,2000-05-25,00:00:00.00,0.727956,5.80055,90.2272,66.8
146,2000-05-26,00:00:00.00,0.196692,5.21516,80.5983,64.7
147,2000-05-27,00:00:00.00,0.106767,4.85141,74.6545,80.3
148,2000-05-28,00:00:00.00,0.0410516,4.43077,67.9498,72.3
149,2000-05-29,00:00:00.00,0.0254579,3.99821,61.1535,53.7
150,2000-05-30,00:00:00.00,0.0298904,3.63979,55.5587,46.2
151,2000-05-31,00:00:00.00,0.0473129,3.34814,51.0249,41
152,2000-06-01,00:00:00.00,5.21348,3.10736,47.3778,32.5
153,2000-06-02,00:00:00.00,11.9212,2.93311,45.0703,29.6
154,2000-06-03,00:00:00.00,0.415747,2.91928,45.6347,29
155,2000-06-04,00:00:00.00,0.167415,3.1462,49.5174,25.4
156,2000-06-05,00:00:00.00,0.0525725,3.35159,52.1671,23.2
157,2000-06-06,00:00:00.00,7.13642,3.24327,49.8779,22.3
158,2000-06-07,00:00:00.00,2.02204,3.06171,46.4113,21.6
