time,date,hour,precip [mm/day],sub7078 [m3/s],sub7079 [m3/s],sub7080 [m3/s],sub7081 [m3/s],sub7082 [m3/s],sub7082 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,10.6587,6.15241,3.30722,6.36967,40.5335,
1,2000-01-02,00:00:00.00,0.485853,405.141,233.85,125.706,242.108,1540.68,14
2,2000-01-03,00:00:00.00,7.6295,442.089,255.252,137.113,264.106,1682.64,20.6
3,2000-01-04,00:00:00.00,15.5455,69.7979,40.93,21.3862,41.3251,271.953,35.2
4,2000-01-05,00:00:00.00,12.2024,53.5195,32.4479,16.1507,31.3212,212.062,69
5,2000-01-06,00:00:00.00,0.374758,48.2316,28.9848,14.5246,28.1811,188.676,75.3
6,2000-01-07,00:00:00.00,0.738427,37.4728,21.8513,11.3294,21.9685,145.281,64.9
7,2000-01-08,00:00:00.00,0.844442,26.7337,15.5722,8.13773,15.7523,103.445,45.1
8,2000-01-09,00:00:00.00,0.663198,20.8831,12.1868,6.38021,12.3379,80.7881,35.5
9,2000-01-10,00:00:00.00,0.946583,17.4781,10.2209,5.35268,10.3442,67.3285,26.9
10,2000-01-11,00:00:00.00,4.45218,15.7557,9.34202,4.8389,9.3458,60.1206,26
11,2000-01-12,00:00:00.00,1.33706,15.3619,9.29162,4.70475,9.09194,58.8918,39
12,2000-01-13,00:00:00.00,1.47509,14.5465,8.83187,4.4252,8.56668,56.6212,52.7
13,2000-01-14,00:00:00.00,4.75673,12.856,7.7407,3.90585,7.56631,50.175,50
14,2000-01-15,00:00:00.00,0.424184,11.4239,6.84452,3.47956,6.73564,44.4086,34.3
15,2000-01-16,00:00:00.00,1.35867,10.394,6.21073,3.17075,6.13486,40.3171,25.7
16,2000-01-17,00:00:00.00,0.187333,9.57895,5.71164,2.9244,5.6569,37.1181,19.2
17,2000-01-18,00:00:00.00,0.330272,8.90196,5.29914,2.71926,5.25916,34.4693,14
18,2000-01-19,00:00:00.00,1.40662,8.33139,4.95298,2.54604,4.92349,32.2422,11.3
19,2000-01-20,00:00:00.00,1.39441,7.84484,4.65883,2.39808,4.63692,30.3466,10.7
20,2000-01-21,00:00:00.00,3.15072,7.42455,4.40553,2.2701,4.38913,28.7118,10.1
21,2000-01-22,00:00:00.00,0.678265,7.05786,4.18515,2.1583,4.17275,27.2874,9.7
22,2000-01-23,00:00:00.00,0.486355,6.73574,3.99201,2.05999,3.98252,26.0378,9.45
23,2000-01-24,00:00:00.00,2.06113,6.45064,3.82145,1.97291,3.81405,24.9331,9.2
24,2000-01-25,00:00:00.00,0.344837,6.19582,3.6693,1.895,3.66337,23.9467,8.97
25,2000-01-26,00:00:00.00,0.81208,5.96674,3.53272,1.82491,3.52785,23.0606,8.8
26,2000-01-27,00:00:00.00,0.476394,5.76014,3.40969,1.76166,3.40558,22.2619,8.7
27,2000-01-28,00:00:00.00,0.188663,5.57284,3.29827,1.70429,3.29469,21.5384,8.47
28,2000-01-29,00:00:00.00,0.242078,5.40239,3.19694,1.65206,3.19375,20.8804,8.4
29,2000-01-30,00:00:00.00,0.302506,5.24626,3.10421,1.6042,3.10127,20.2779,8.3
30,2000-01-31,00:00:00.00,1.5119,5.10208,3.01869,1.56,3.01586,19.7216,8.2
31,2000-02-01,00:00:00.00,0.800435,4.96817,2.93937,1.51893,2.93651,19.2052,8
32,2000-02-02,00:00:00.00,1.88576,4.84361,2.86563,1.48072,2.86269,18.7251,7.98
33,2000-02-03,00:00:00.00,0.424774,4.72788,2.79714,1.4452,2.79409,18.2791,7.8
34,2000-02-04,00:00:00.00,2.76266,4.62017,2.73342,1.41214,2.73024,17.8638,7.75
35,2000-02-05,00:00:00.00,0.766908,4.51931,2.67381,1.38118,2.67045,17.4751,7.7
36,2000-02-06,00:00:00.00,1.48036,4.42444,2.61779,1.35205,2.61418,17.1096,7.6
37,2000-02-07,00:00:00.00,0.331578,4.33489,2.56498,1.32455,2.56109,16.7645,7.5
38,2000-02-08,00:00:00.00,0.2653,4.25029,2.51513,1.29859,2.51097,16.438,7.45
39,2000-02-09,00:00:00.00,0.366317,4.17033,2.46802,1.27409,2.46363,16.1291,7.4
40,2000-02-10,00:00:00.00,1.0042,4.1,2.42956,1.25182,2.42042,15.8767,7.35
41,2000-02-11,00:00:00.00,6.95524,4.04937,2.41129,1.23348,2.38428,15.7568,7.3
42,2000-02-12,00:00:00.00,1.20831,3.99267,2.38397,1.21461,2.34745,15.5776,7.23
43,2000-02-13,00:00:00.00,0.155268,3.91899,2.33543,1.19327,2.30659,15.2593,7.2
44,2000-02-14,00:00:00.00,5.82824,3.85219,2.293,1.17354,2.26869,14.9813,7.16
45,2000-02-15,00:00:00.00,0.784704,3.79241,2.25706,1.15539,2.23371,14.7457,7.1
46,2000-02-16,00:00:00.00,1.52766,3.73531,2.22288,1.13802,2.20021,14.5216,7.05
47,2000-02-17,00:00:00.00,4.15051,3.68026,2.19907,1.12128,2.16793,14.3524,7.02
48,2000-02-18,00:00:00.00,0.197534,3.62684,2.20311,1.10504,2.1366,14.3291,7.01
49,2000-02-19,00:00:00.00,5.21608,3.57538,2.19156,1.08939,2.10642,14.2267,7
50,2000-02-20,00:00:00.00,0.44771,3.52611,2.14628,1.0744,2.07751,13.951,6.98
51,2000-02-21,00:00:00.00,1.11474,3.47858,2.10864,1.05995,2.04962,13.716,6.95
52,2000-02-22,00:00:00.00,0.367035,3.43253,2.07935,1.04593,2.02259,13.5252,10
53,2000-02-23,00:00:00.00,0.410192,3.38756,2.0511,1.03222,1.99612,13.3416,15.3
54,2000-02-24,00:00:00.00,0.75733,5.03902,3.24439,1.54145,2.96386,20.086,22.9
55,2000-02-25,00:00:00.00,9.62322,17.7292,12.7311,5.27227,10.0996,74.9443,42.7
56,2000-02-26,00:00:00.00,3.39335,37.5082,26.0815,10.4484,20.279,167.496,103
57,2000-02-27,00:00:00.00,0.400785,39.6976,26.24,10.7882,21.0984,179.333,230
58,2000-02-28,00:00:00.00,9.61616,29.8435,19.2387,8.3468,16.2593,130.584,255
59,2000-02-29,00:00:00.00,0.532684,27.3756,17.9859,7.76338,15.0563,118.107,207
60,2000-03-01,00:00:00.00,0.336035,25.2984,16.6956,7.23719,14.0064,108.036,141
61,2000-03-02,00:00:00.00,5.05757,20.9464,13.4956,6.09834,11.7994,87.4932,94.6
62,2000-03-03,00:00:00.00,0.910278,19.7051,12.5112,5.8368,11.3021,81.0442,91.6
63,2000-03-04,00:00:00.00,0.0854402,18.5169,11.6874,5.52693,10.7099,75.7594,83.2
64,2000-03-05,00:00:00.00,0.0777526,15.9743,10.0206,4.76878,9.23924,65.1862,60.6
65,2000-03-06,00:00:00.00,0.134212,14.0991,8.77408,4.21962,8.17033,57.1551,51.5
66,2000-03-07,00:00:00.00,0.118968,12.7822,7.90671,3.83484,7.42232,51.5499,44.1
67,2000-03-08,00:00:00.00,0.141595,11.7376,7.23072,3.52701,6.82484,47.1787,38.4
68,2000-03-09,00:00:00.00,0.00285035,10.8735,6.67788,3.27119,6.32861,43.5938,35.2
69,2000-03-10,00:00:00.00,7.68222,10.7169,6.62685,3.23828,6.2657,42.5366,34.2
70,2000-03-11,00:00:00.00,0.737305,12.3516,7.86766,3.77983,7.31969,47.6131,33.5
