time,date,hour,precip [mm/day],sub7026 [m3/s],sub7027 [m3/s],sub7028 [m3/s],sub7028 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,7.37586,4.34089,34.7218,
1,2000-01-02,00:00:00.00,0.340171,4.12001,2.42473,19.3949,0.269
2,2000-01-03,00:00:00.00,1.85571,0.663554,0.390739,3.12577,0.2492
3,2000-01-04,00:00:00.00,22.8988,0.435504,0.262843,2.09548,0.2775
4,2000-01-05,00:00:00.00,12.3027,0.618568,0.397377,3.12076,3.3414
5,2000-01-06,00:00:00.00,0.352843,0.889056,0.559669,4.40711,7.7022
6,2000-01-07,00:00:00.00,0.201209,0.806571,0.504131,3.96451,6.1731
7,2000-01-08,00:00:00.00,0.101796,0.532035,0.342224,2.66679,4.9271
8,2000-01-09,00:00:00.00,0.162953,0.338528,0.213852,1.67585,3.9077
9,2000-01-10,00:00:00.00,1.00826,0.243359,0.153274,1.20253,3.1149
10,2000-01-11,00:00:00.00,2.62647,0.195643,0.126672,0.985403,2.4466
11,2000-01-12,00:00:00.00,1.30543,0.189432,0.131561,1.00031,1.9255
12,2000-01-13,00:00:00.00,0.361204,0.194456,0.142234,1.06312,1.4215
13,2000-01-14,00:00:00.00,3.77832,0.175706,0.12946,0.965093,1.0647
14,2000-01-15,00:00:00.00,0.51866,0.146183,0.105714,0.792691,0.8099
15,2000-01-16,00:00:00.00,0.231057,0.122945,0.0872446,0.658289,0.6173
16,2000-01-17,00:00:00.00,0.0555671,0.105878,0.0741688,0.562152,0.4757
17,2000-01-18,00:00:00.00,1.76538,0.0928353,0.0644525,0.490116,0.4389
18,2000-01-19,00:00:00.00,0.96976,0.0825946,0.0569877,0.434399,0.4248
19,2000-01-20,00:00:00.00,1.86238,0.0744061,0.0511245,0.390391,0.4106
20,2000-01-21,00:00:00.00,5.66716,0.0677337,0.0464188,0.354903,0.3993
21,2000-01-22,00:00:00.00,0.362556,0.0622025,0.0425683,0.325736,0.3851
22,2000-01-23,00:00:00.00,2.74589,0.0575655,0.0393735,0.301444,0.3738
23,2000-01-24,00:00:00.00,0.217075,0.0536431,0.0366903,0.280993,0.3596
24,2000-01-25,00:00:00.00,0.161426,0.0502729,0.0343956,0.263476,0.3483
25,2000-01-26,00:00:00.00,0.350406,0.0473395,0.0324067,0.248269,0.337
26,2000-01-27,00:00:00.00,0.420945,0.0447755,0.0306766,0.235015,0.3256
27,2000-01-28,00:00:00.00,0.186859,0.0425183,0.0291594,0.223374,0.3143
28,2000-01-29,00:00:00.00,0.545661,0.0405188,0.0278175,0.213074,0.3058
29,2000-01-30,00:00:00.00,2.42041,0.0387381,0.026621,0.203892,0.2945
30,2000-01-31,00:00:00.00,3.87849,0.0371253,0.0255357,0.195568,0.286
31,2000-02-01,00:00:00.00,0.629963,0.035634,0.0245313,0.187868,0.2775
32,2000-02-02,00:00:00.00,0.481881,0.034247,0.0235937,0.180691,0.2662
33,2000-02-03,00:00:00.00,0.209376,0.03296,0.0227203,0.17401,0.2577
34,2000-02-04,00:00:00.00,2.32365,0.0317687,0.0219104,0.167869,0.2492
35,2000-02-05,00:00:00.00,0.830285,0.0306787,0.0211656,0.162484,0.2407
36,2000-02-06,00:00:00.00,0.241001,0.0296718,0.0204764,0.15757,0.235
37,2000-02-07,00:00:00.00,0.200132,0.0287131,0.0198245,0.152633,0.2265
38,2000-02-08,00:00:00.00,0.251588,0.0277939,0.0192018,0.147771,0.218
39,2000-02-09,00:00:00.00,0.265173,0.0269156,0.0186064,0.143125,0.2124
40,2000-02-10,00:00:00.00,0.201852,0.0260748,0.0180353,0.138672,0.2039
41,2000-02-11,00:00:00.00,1.71938,0.0303367,0.020028,0.156104,0.2379
42,2000-02-12,00:00:00.00,0.800731,0.0807323,0.04083,0.348227,0.7023
43,2000-02-13,00:00:00.00,0.110365,0.154891,0.0701448,0.623098,2.3078
44,2000-02-14,00:00:00.00,4.08899,0.165118,0.0751076,0.664019,6.0032
45,2000-02-15,00:00:00.00,6.97892,0.140361,0.0674939,0.581242,5.3236
46,2000-02-16,00:00:00.00,0.245228,0.125817,0.0627267,0.532119,4.021
47,2000-02-17,00:00:00.00,0.194322,0.108709,0.0558671,0.469599,3.0016
48,2000-02-18,00:00:00.00,0.457571,0.0927707,0.0489234,0.407464,2.4947
49,2000-02-19,00:00:00.00,14.5396,0.0858016,0.0480975,0.389884,3.6529
50,2000-02-20,00:00:00.00,0.334988,0.109685,0.0770299,0.567397,5.2669
51,2000-02-21,00:00:00.00,0.270396,0.139617,0.113312,0.789076,4.7855
52,2000-02-22,00:00:00.00,0.0739603,0.131368,0.109725,0.755775,4.0493
53,2000-02-23,00:00:00.00,0.101179,0.155191,0.0876223,0.720131,3.6529
54,2000-02-24,00:00:00.00,0.308995,0.376335,0.141658,1.60889,7.0226
55,2000-02-25,00:00:00.00,2.03123,0.722534,0.205862,3.4693,10.3356
56,2000-02-26,00:00:00.00,1.33052,0.811832,0.391821,4.31807,8.3818
57,2000-02-27,00:00:00.00,0.412813,0.596642,0.451282,3.27926,7.1075
58,2000-02-28,00:00:00.00,3.0068,0.389457,0.276044,2.05391,5.7766
59,2000-02-29,00:00:00.00,0.117863,0.292575,0.211691,1.57042,4.5873
60,2000-03-01,00:00:00.00,0.117697,0.238177,0.181361,1.32913,3.6246
61,2000-03-02,00:00:00.00,0.64242,0.195814,0.148396,1.09188,2.7297
62,2000-03-03,00:00:00.00,0.056084,0.163282,0.120139,0.893667,2.0218
63,2000-03-04,00:00:00.00,0.185158,0.139977,0.100975,0.756834,1.498
64,2000-03-05,00:00:00.00,0.0624157,0.122422,0.0871396,0.656618,1.2912
65,2000-03-06,00:00:00.00,0.31526,0.108516,0.0765292,0.578855,1.161
66,2000-03-07,00:00:00.00,0.119366,0.0970282,0.0679864,0.515655,1.0732
67,2000-03-08,00:00:00.00,0.245225,0.0872452,0.0608715,0.462607,1.0137
68,2000-03-09,00:00:00.00,0.338831,0.0787229,0.0547448,0.41673,1.0874
69,2000-03-10,00:00:00.00,1.00494,0.0712134,0.0493458,0.37631,0.9769
70,2000-03-11,00:00:00.00,0.0741382,0.0646215,0.0446032,0.340852,0.807
71,2000-03-12,00:00:00.00,9.19301,0.0627357,0.0421727,0.336377,0.6683
72,2000-03-13,00:00:00.00,0.892149,0.085896,0.0485806,0.496806,0.555
73,2000-03-14,00:00:00.00,0.0622099,0.116317,0.056889,0.701046,0.4616
74,2000-03-15,00:00:00.00,0.0960745,0.113422,0.0571783,0.692228,0.5409
75,2000-03-16,00:00:00.00,0.939449,0.0979621,0.0637247,0.617531,0.64
76,2000-03-17,00:00:00.00,5.30786,0.11836,0.0748326,0.635196,0.5239
77,2000-03-18,00:00:00.00,0.0969372,0.167632,0.081797,0.729421,0.7334
78,2000-03-19,00:00:00.00,0.109026,0.179467,0.0835614,0.768348,0.6258
79,2000-03-20,00:00:00.00,4.57752,0.155449,0.0776788,0.697059,0.4842
80,2000-03-21,00:00:00.00,11.2652,0.180881,0.0924056,0.826119,1.3366
81,2000-03-22,00:00:00.00,0.270213,0.355945,0.172299,1.62867,4.4741
82,2000-03-23,00:00:00.00,0.125183,0.492739,0.234388,2.251,3.6246
83,2000-03-24,00:00:00.00,0.14148,0.406448,0.19891,1.86252,2.6193
84,2000-03-25,00:00:00.00,0.122918,0.277177,0.142022,1.27938,2.0218
85,2000-03-26,00:00:00.00,1.15861,0.20523,0.108246,0.9536,1.8123
86,2000-03-27,00:00:00.00,0.138303,0.160041,0.0861599,0.748013,1.4611
87,2000-03-28,00:00:00.00,4.72678,0.133353,0.0734649,0.630182,1.2148
88,2000-03-29,00:00:00.00,2.00139,0.132783,0.0781191,0.656546,1.1157
89,2000-03-30,00:00:00.00,0.239161,0.139569,0.0905029,0.737736,1.0534
90,2000-03-31,00:00:00.00,0.138952,0.126837,0.0877349,0.698247,0.875
91,2000-04-01,00:00:00.00,0.523103,0.106371,0.0739586,0.584915,0.807
92,2000-04-02,00:00:00.00,0.0104839,0.0902994,0.0616568,0.488821,0.7872
93,2000-04-03,00:00:00.00,3.17413,0.0805238,0.0530552,0.423638,0.7674
94,2000-04-04,00:00:00.00,6.39744,0.092046,0.0525711,0.436766,0.7108
95,2000-04-05,00:00:00.00,4.40106,0.138835,0.0714495,0.622892,0.8608
96,2000-04-06,00:00:00.00,1.55773,0.179987,0.103991,0.884675,1.1836
97,2000-04-07,00:00:00.00,0.0953208,0.172106,0.114935,0.93174,1.4187
98,2000-04-08,00:00:00.00,31.8158,0.185825,0.139525,1.07592,1.2912
99,2000-04-09,00:00:00.00,31.7878,0.558217,0.331647,2.61744,15.1212
100,2000-04-10,00:00:00.00,0.493383,2.02707,1.95862,14.4597,17.7547
101,2000-04-11,00:00:00.00,0.0254503,2.27199,1.9554,15.1254,11.7232
102,2000-04-12,00:00:00.00,1.44106,0.894707,0.378703,3.64598,7.7305
103,2000-04-13,00:00:00.00,0.0669195,0.344031,0.233667,1.74435,5.0404
104,2000-04-14,00:00:00.00,0.190409,0.257062,0.175724,1.32056,3.3414
105,2000-04-15,00:00:00.00,0.217223,0.204441,0.139858,1.05755,2.3276
106,2000-04-16,00:00:00.00,1.12881,0.168544,0.114959,0.874274,1.8887
107,2000-04-17,00:00:00.00,4.71015,0.152315,0.0987612,0.764513,1.4442
108,2000-04-18,00:00:00.00,7.80822,0.216207,0.103093,0.882708,1.1185
109,2000-04-19,00:00:00.00,1.07818,0.408243,0.152148,1.44417,0.8778
110,2000-04-20,00:00:00.00,1.43027,0.509982,0.192132,1.82725,0.7589
111,2000-04-21,00:00:00.00,20.8948,0.469768,0.207246,1.87304,0.9231
112,2000-04-22,00:00:00.00,2.86058,0.674032,0.385682,3.1842,2.7467
113,2000-04-23,00:00:00.00,0.232659,0.874852,0.544151,4.35532,1.0024
114,2000-04-24,00:00:00.00,0.212256,0.684747,0.429828,3.41528,2.0275
115,2000-04-25,00:00:00.00,0.300364,0.429507,0.268084,2.12256,4.7289
116,2000-04-26,00:00:00.00,0.0387465,0.30093,0.186607,1.48084,3.2281
117,2000-04-27,00:00:00.00,0.0131586,0.228049,0.141214,1.12197,2.5004
118,2000-04-28,00:00:00.00,0.0579655,0.181197,0.112274,0.892589,1.9624
119,2000-04-29,00:00:00.00,0.0473785,0.148562,0.0921442,0.73287,1.4696
120,2000-04-30,00:00:00.00,0.015158,0.124515,0.0772865,0.61495,1.1129
121,2000-05-01,00:00:00.00,0.0157668,0.106004,0.0658102,0.523873,0.8552
122,2000-05-02,00:00:00.00,18.8472,0.110979,0.0687842,0.555458,0.7277
123,2000-05-03,00:00:00.00,0.157361,0.266579,0.162429,1.38405,1.0336
124,2000-05-04,00:00:00.00,0.0315676,0.444736,0.269325,2.30802,1.1298
125,2000-05-05,00:00:00.00,3.07192,0.401427,0.239938,2.03264,0.9628
126,2000-05-06,00:00:00.00,3.06374,0.299252,0.162608,1.38856,0.8523
127,2000-05-07,00:00:00.00,2.06048,0.2591,0.119934,1.06432,0.7589
128,2000-05-08,00:00:00.00,1.26138,0.228988,0.0933358,0.857382,0.6371
129,2000-05-09,00:00:00.00,1.22509,0.196842,0.0752915,0.702779,0.5154
130,2000-05-10,00:00:00.00,0.979498,0.158528,0.0622808,0.57476,0.4219
131,2000-05-11,00:00:00.00,7.50543,0.130806,0.0542698,0.492893,0.4446
132,2000-05-12,00:00:00.00,0.200638,0.134141,0.0566601,0.51906,0.5295
133,2000-05-13,00:00:00.00,1.29909,0.143737,0.0612001,0.566843,1.4215
134,2000-05-14,00:00:00.00,17.9181,0.148249,0.064655,0.599586,1.2941
135,2000-05-15,00:00:00.00,0.190903,0.270574,0.122176,1.15088,0.9883
136,2000-05-16,00:00:00.00,0.180096,0.402863,0.190731,1.76899,0.7872
137,2000-05-17,00:00:00.00,2.96041,0.347379,0.174061,1.55857,0.6938
138,2000-05-18,00:00:00.00,4.46216,0.238647,0.124371,1.07945,0.64
139,2000-05-19,00:00:00.00,15.3205,0.194247,0.105545,0.905924,0.6031
140,2000-05-20,00:00:00.00,23.6918,0.276563,0.199457,1.67854,2.1209
141,2000-05-21,00:00:00.00,0.0653492,0.601709,0.436336,3.35504,3.8794
142,2000-05-22,00:00:00.00,0.190066,0.791391,0.540472,4.0941,6.8527
143,2000-05-23,00:00:00.00,0.245194,0.588973,0.390344,3.07033,3.7095
144,2000-05-24,00:00:00.00,13.4918,0.389898,0.249512,1.98297,2.5995
145,2000-05-25,00:00:00.00,0.795421,0.436472,0.276935,2.21947,2.6051
146,2000-05-26,00:00:00.00,0.354892,0.506058,0.319917,2.56848,5.6351
147,2000-05-27,00:00:00.00,0.532518,0.402503,0.252012,2.02055,4.4741
148,2000-05-28,00:00:00.00,12.8413,0.322661,0.179433,1.48519,2.0558
149,2000-05-29,00:00:00.00,18.0835,0.597113,0.221252,2.13056,2.7156
150,2000-05-30,00:00:00.00,0.229518,0.907345,0.403836,3.58954,15.1495
151,2000-05-31,00:00:00.00,0.361595,0.875336,0.485297,3.99792,12.3745
152,2000-06-01,00:00:00.00,2.06723,0.633451,0.350678,2.90828,8.3818
153,2000-06-02,00:00:00.00,1.80638,0.389395,0.215534,1.78274,5.1537
154,2000-06-03,00:00:00.00,0.386644,0.273482,0.150541,1.24756,3.3414
155,2000-06-04,00:00:00.00,0.210667,0.206262,0.112775,0.937512,2.3871
156,2000-06-05,00:00:00.00,1.76701,0.162635,0.0883537,0.736745,1.7018
157,2000-06-06,00:00:00.00,10.9002,0.148062,0.078091,0.657785,1.3705
158,2000-06-07,00:00:00.00,1.31018,0.232813,0.108498,0.95345,5.097
159,2000-06-08,00:00:00.00,0.560681,0.330035,0.145105,1.30121,3.7661
160,2000-06-09,00:00:00.00,0.141029,0.294787,0.131225,1.16922,3.2281
161,2000-06-10,00:00:00.00,0.0743749,0.213672,0.0989177,0.867219,3.2281
162,2000-06-11,00:00:00.00,0.364365,0.163491,0.07759,0.673535,2.4013
163,2000-06-12,00:00:00.00,0.645826,0.129733,0.0626327,0.540129,1.951
164,2000-06-13,00:00:00.00,13.7545,0.114991,0.0569862,0.491718,1.7726
165,2000-06-14,00:00:00.00,7.15025,0.164221,0.0887334,0.787615,1.6537
166,2000-06-15,00:00:00.00,3.98777,0.252383,0.149582,1.32586,1.699
167,2000-06-16,00:00:00.00,4.30786,0.262759,0.167172,1.43783,2.7043
168,2000-06-17,00:00:00.00,7.27242,0.206775,0.148289,1.18339,4.5307
169,2000-06-18,00:00:00.00,12.0347,0.180964,0.162951,1.16487,6.258
170,2000-06-19,00:00:00.00,11.1361,0.295167,0.24084,1.72248,14.6398
171,2000-06-20,00:00:00.00,0.099778,0.5342,0.341854,2.59742,18.859
172,2000-06-21,00:00:00.00,0.280776,0.593096,0.342677,2.68757,11.1852
173,2000-06-22,00:00:00.00,5.30805,0.432789,0.248781,1.96573,7.4756
