time,date,hour,precip [mm/day],sub7156 [m3/s],sub7157 [m3/s],sub7157 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,7.58456,12.3025,
1,2000-01-02,00:00:00.00,0.148817,440.052,713.787,4
2,2000-01-03,00:00:00.00,1.84793,470.334,762.778,4.2
3,2000-01-04,00:00:00.00,17.9207,57.5044,93.2385,4.33
4,2000-01-05,00:00:00.00,8.63762,45.2115,73.5253,5.95
5,2000-01-06,00:00:00.00,0.190892,37.4955,60.7784,8.5
6,2000-01-07,00:00:00.00,0.283506,26.2745,42.4227,8.3
7,2000-01-08,00:00:00.00,0.209399,18.6312,30.1331,7.81
8,2000-01-09,00:00:00.00,0.229942,14.6168,23.6553,7
9,2000-01-10,00:00:00.00,2.79063,12.4942,20.2379,5.76
10,2000-01-11,00:00:00.00,2.71309,11.9396,19.3187,6.09
11,2000-01-12,00:00:00.00,0.587192,11.4559,18.4903,13.5
12,2000-01-13,00:00:00.00,0.837706,10.0456,16.2565,15.5
13,2000-01-14,00:00:00.00,4.90776,8.61259,13.9797,12.5
14,2000-01-15,00:00:00.00,0.363602,7.65585,12.4113,9.5
15,2000-01-16,00:00:00.00,0.968804,6.91974,11.2157,7.8
16,2000-01-17,00:00:00.00,0.165666,6.31871,10.2411,6.5
17,2000-01-18,00:00:00.00,0.298826,5.81845,9.42992,5.6
18,2000-01-19,00:00:00.00,0.977775,5.39737,8.74693,4.9
19,2000-01-20,00:00:00.00,0.923383,5.0382,8.16434,4.3
20,2000-01-21,00:00:00.00,2.6165,4.72767,7.66065,3.9
21,2000-01-22,00:00:00.00,0.303517,4.45684,7.22134,3.6
22,2000-01-23,00:00:00.00,0.425743,4.21914,6.83579,3.3
23,2000-01-24,00:00:00.00,0.403998,4.00859,6.4943,3.1
24,2000-01-25,00:00:00.00,0.231786,3.81989,6.18823,2.9
25,2000-01-26,00:00:00.00,0.527828,3.65028,5.91312,2.8
26,2000-01-27,00:00:00.00,0.453252,3.49734,5.66507,2.65
27,2000-01-28,00:00:00.00,0.156781,3.3585,5.43989,2.55
28,2000-01-29,00:00:00.00,0.0826188,3.23193,5.23456,2.45
29,2000-01-30,00:00:00.00,0.463029,3.11553,5.04573,2.35
30,2000-01-31,00:00:00.00,2.2267,3.04647,4.94192,2.25
31,2000-02-01,00:00:00.00,0.385571,3.02821,4.92962,2.2
32,2000-02-02,00:00:00.00,0.674605,2.9395,4.7863,2.13
33,2000-02-03,00:00:00.00,0.237257,2.8081,4.56317,2.05
34,2000-02-04,00:00:00.00,2.66903,2.71933,4.41953,1.98
35,2000-02-05,00:00:00.00,1.42361,2.63966,4.29441,1.92
36,2000-02-06,00:00:00.00,0.308609,2.56437,4.17211,1.85
37,2000-02-07,00:00:00.00,0.242,2.49309,4.05341,1.81
38,2000-02-08,00:00:00.00,0.204555,2.42593,3.9435,1.78
39,2000-02-09,00:00:00.00,0.103478,2.36271,3.84022,1.74
40,2000-02-10,00:00:00.00,0.214817,2.30275,3.7422,1.7
41,2000-02-11,00:00:00.00,4.04659,2.29026,3.73436,1.67
42,2000-02-12,00:00:00.00,0.6561,2.33255,3.83078,1.65
43,2000-02-13,00:00:00.00,0.131856,2.28319,3.75061,1.63
44,2000-02-14,00:00:00.00,3.96221,2.17722,3.56108,1.6
45,2000-02-15,00:00:00.00,1.09344,2.12163,3.46742,1.58
46,2000-02-16,00:00:00.00,1.27413,2.07356,3.38768,1.56
47,2000-02-17,00:00:00.00,1.63431,2.04057,3.32448,1.55
48,2000-02-18,00:00:00.00,0.229526,2.02534,3.28063,1.54
49,2000-02-19,00:00:00.00,7.54418,1.9842,3.21243,1.53
50,2000-02-20,00:00:00.00,0.4611,1.92703,3.12947,1.7
51,2000-02-21,00:00:00.00,0.211554,1.88577,3.06316,4
52,2000-02-22,00:00:00.00,0.19768,1.84718,2.99995,9.8
53,2000-02-23,00:00:00.00,0.591842,1.80949,2.93819,19.6
54,2000-02-24,00:00:00.00,0.429806,6.46952,9.80092,35.4
55,2000-02-25,00:00:00.00,7.22461,21.5529,31.7329,56
56,2000-02-26,00:00:00.00,1.78,27.918,40.8819,83.8
57,2000-02-27,00:00:00.00,0.203716,20.7394,30.4434,101
58,2000-02-28,00:00:00.00,7.55518,17.8698,26.2546,91.5
59,2000-02-29,00:00:00.00,0.246969,18.5551,27.1901,68.7
60,2000-03-01,00:00:00.00,0.141432,16.6242,24.491,48.5
61,2000-03-02,00:00:00.00,4.54854,13.9708,20.8586,28.4
62,2000-03-03,00:00:00.00,0.0915322,13.5447,20.3993,19.6
63,2000-03-04,00:00:00.00,0.098038,12.2027,18.495,14.6
64,2000-03-05,00:00:00.00,0.025084,10.2967,15.6921,11.2
65,2000-03-06,00:00:00.00,0.0910807,9.10779,13.9484,9.32
66,2000-03-07,00:00:00.00,0.0411292,8.19578,12.601,7.96
67,2000-03-08,00:00:00.00,0.109282,7.44996,11.4908,6.93
68,2000-03-09,00:00:00.00,0.0736852,6.82036,10.5479,6.26
69,2000-03-10,00:00:00.00,6.89062,7.11122,10.8856,5.81
70,2000-03-11,00:00:00.00,0.187667,8.30838,12.4874,5.31
71,2000-03-12,00:00:00.00,1.77224,8.06849,12.124,4.8
72,2000-03-13,00:00:00.00,1.63414,7.00585,10.6584,4.56
73,2000-03-14,00:00:00.00,0.17147,6.66609,10.1729,4.46
74,2000-03-15,00:00:00.00,2.00428,6.39634,9.71411,4.56
75,2000-03-16,00:00:00.00,2.41386,6.23465,9.48404,5.3
76,2000-03-17,00:00:00.00,8.11025,7.04005,10.8372,6.8
77,2000-03-18,00:00:00.00,0.106431,8.83888,13.505,8.88
78,2000-03-19,00:00:00.00,0.122856,8.70571,13.2049,8.47
79,2000-03-20,00:00:00.00,4.45905,7.79327,11.8136,6.95
80,2000-03-21,00:00:00.00,0.949053,8.27073,12.4669,6.3
81,2000-03-22,00:00:00.00,0.375892,7.86865,11.9081,6.14
82,2000-03-23,00:00:00.00,0.0353147,6.85139,10.452,6.23
83,2000-03-24,00:00:00.00,0.0496198,6.27361,9.59979,6.05
84,2000-03-25,00:00:00.00,0.101421,5.80381,8.91065,5.65
85,2000-03-26,00:00:00.00,3.1196,5.48685,8.47534,5.33
