time,date,hour,precip [mm/day],sub7007 [m3/s],sub7008 [m3/s],sub7009 [m3/s],sub7010 [m3/s],sub7011 [m3/s],sub7011 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,11.9622,6.67199,3.95922,9.61819,63.3021,
1,2000-01-02,00:00:00.00,0.403004,5.98141,3.33618,1.97972,4.80935,35.4665,29
2,2000-01-03,00:00:00.00,3.98834,0.0377001,0.0255062,0.0170915,0.0184863,4.19056,27.7
3,2000-01-04,00:00:00.00,12.7801,0.541286,0.25441,0.15174,0.367588,2.55296,33.5
4,2000-01-05,00:00:00.00,12.8362,2.80421,1.15086,0.553457,2.07056,11.7317,42
5,2000-01-06,00:00:00.00,0.348949,6.27665,2.68679,1.04002,4.55527,25.8263,62.3
6,2000-01-07,00:00:00.00,0.478782,5.98221,2.70465,0.923903,4.2255,25.0228,50
7,2000-01-08,00:00:00.00,0.462567,2.21764,1.04057,0.338551,1.54256,10.1228,43
8,2000-01-09,00:00:00.00,0.415284,0.265657,0.127156,0.0481388,0.193128,1.68474,36.3
9,2000-01-10,00:00:00.00,1.09326,0.12624,0.0600882,0.0301433,0.0939309,0.609274,33.8
10,2000-01-11,00:00:00.00,3.58636,0.551095,0.322234,0.240827,0.395104,2.37874,33.7
11,2000-01-12,00:00:00.00,0.526557,2.02359,1.30536,1.04976,1.48666,9.56021,42.4
12,2000-01-13,00:00:00.00,0.814379,2.51306,1.65212,1.3433,1.85749,13.2683,51.6
13,2000-01-14,00:00:00.00,3.94604,1.10494,0.713554,0.574432,0.810997,7.27267,51.7
14,2000-01-15,00:00:00.00,0.254523,0.188415,0.105629,0.074427,0.136116,1.85716,29.1
15,2000-01-16,00:00:00.00,0.74978,0.0981886,0.0520997,0.0313739,0.0748764,0.598824,30.8
16,2000-01-17,00:00:00.00,0.121558,0.0876828,0.0469406,0.0282495,0.0675123,0.405627,35.9
17,2000-01-18,00:00:00.00,0.310823,0.0770219,0.0412809,0.0248287,0.0593938,0.358839,24.9
18,2000-01-19,00:00:00.00,0.901131,0.0690597,0.0370504,0.0222734,0.0532265,0.335588,22.7
19,2000-01-20,00:00:00.00,1.07534,0.0646336,0.034707,0.0208615,0.0498107,0.296924,26.4
20,2000-01-21,00:00:00.00,2.43082,0.0602945,0.0324469,0.0195133,0.0464238,0.270584,27.8
21,2000-01-22,00:00:00.00,0.243786,0.0554048,0.0299148,0.0180021,0.042587,0.262059,25.4
22,2000-01-23,00:00:00.00,0.216538,0.0517645,0.0280138,0.0168552,0.0398207,0.252172,23.5
23,2000-01-24,00:00:00.00,1.33092,0.0491942,0.0266575,0.0160334,0.0379257,0.217109,24
24,2000-01-25,00:00:00.00,0.322899,0.0455641,0.0247455,0.0148977,0.0351753,0.195011,24.5
25,2000-01-26,00:00:00.00,0.492772,0.0412244,0.0224671,0.0135544,0.0318014,0.185643,25.2
26,2000-01-27,00:00:00.00,0.382713,0.0378274,0.0206783,0.0124901,0.0291734,0.169556,24.2
27,2000-01-28,00:00:00.00,0.286512,0.0352091,0.0192757,0.0116409,0.0272602,0.16623,23.8
28,2000-01-29,00:00:00.00,0.193294,0.0331614,0.0181541,0.0109596,0.0258257,0.149566,23.6
29,2000-01-30,00:00:00.00,0.762459,0.0310677,0.0170104,0.0102764,0.0243193,0.124604,23.8
30,2000-01-31,00:00:00.00,1.27272,0.0280633,0.0154,0.00932252,0.0219849,0.108291,23.8
31,2000-02-01,00:00:00.00,0.726837,0.0243241,0.0133714,0.0081128,0.0189672,0.0937094,23.6
32,2000-02-02,00:00:00.00,1.04691,0.0207034,0.0113704,0.00690849,0.0160891,0.0798128,24
33,2000-02-03,00:00:00.00,0.260986,0.0179224,0.00983501,0.00597777,0.0139332,0.0691979,23
34,2000-02-04,00:00:00.00,2.55313,0.0159379,0.00874644,0.00531502,0.012397,0.0615664,22
35,2000-02-05,00:00:00.00,0.871387,0.0141402,0.00775708,0.00471029,0.0110011,0.0546376,22
36,2000-02-06,00:00:00.00,0.817173,0.0123092,0.00674424,0.00408904,0.0096074,0.0476254,21.7
37,2000-02-07,00:00:00.00,0.260025,0.0105916,0.00578926,0.00350159,0.00834104,0.0411302,20.2
38,2000-02-08,00:00:00.00,0.205237,0.00911248,0.00496504,0.00299414,0.0072339,0.0355104,20
39,2000-02-09,00:00:00.00,0.280908,0.00795335,0.004317,0.00259537,0.0063139,0.0310022,19.5
40,2000-02-10,00:00:00.00,0.825225,0.00699709,0.00377651,0.00226233,0.00553472,0.0272502,19.3
41,2000-02-11,00:00:00.00,7.68712,0.00610912,0.00327082,0.00195063,0.00479816,0.0237571,18.5
42,2000-02-12,00:00:00.00,1.58538,0.00526761,0.00279388,0.00165661,0.00407543,0.0204181,18
43,2000-02-13,00:00:00.00,0.156983,0.00459201,0.002416,0.00142402,0.00348454,0.0177135,17.7
44,2000-02-14,00:00:00.00,5.69887,0.0041251,0.00215915,0.0012674,0.00307535,0.0158279,18.1
45,2000-02-15,00:00:00.00,2.24999,0.00376217,0.00195863,0.00114463,0.00275928,0.0143612,18.3
46,2000-02-16,00:00:00.00,0.817395,0.00341909,0.00176487,0.00102446,0.00246344,0.0129859,19.5
47,2000-02-17,00:00:00.00,3.87227,0.00308826,0.00157552,0.000907557,0.00218026,0.0116962,19.6
48,2000-02-18,00:00:00.00,0.161277,0.0028053,0.00140852,0.000806657,0.00192502,0.0106033,19
49,2000-02-19,00:00:00.00,6.5882,0.0026031,0.00128021,0.000729866,0.00172294,0.00979207,18.9
50,2000-02-20,00:00:00.00,0.340148,0.00245455,0.00117386,0.000664019,0.00156056,0.00916482,19
51,2000-02-21,00:00:00.00,0.861131,0.00234494,0.00108186,0.000599465,0.00141018,0.00862695,19.1
52,2000-02-22,00:00:00.00,0.320206,0.00227512,0.00101411,0.000539953,0.00128687,0.00820056,19.5
53,2000-02-23,00:00:00.00,0.469555,0.00222701,0.000966011,0.000491848,0.00121005,0.00790138,26
54,2000-02-24,00:00:00.00,0.408894,1.84613,0.978965,0.576182,1.49178,7.76956,40
55,2000-02-25,00:00:00.00,7.43576,11.2884,6.17261,3.68861,9.25726,52.1744,52
56,2000-02-26,00:00:00.00,5.04924,20.5534,11.8982,7.2967,17.477,104.678,223
