time,date,hour,precip [mm/day],sub7023 [m3/s],sub7024 [m3/s],sub7024 (observed) [m3/s]
86,2000-03-27,00:00:00.00,0.0897917,0.141558,2.52459,121.196
87,2000-03-28,00:00:00.00,5.48044,0.14034,2.47957,95.7109
88,2000-03-29,00:00:00.00,1.80306,0.151975,2.68419,112.418
89,2000-03-30,00:00:00.00,0.139192,0.17186,3.05418,131.957
90,2000-03-31,00:00:00.00,0.130258,0.168387,3.02532,149.513
91,2000-04-01,00:00:00.00,0.531923,0.149366,2.68226,108.737
92,2000-04-02,00:00:00.00,0.0244799,0.140214,2.48564,102.507
93,2000-04-03,00:00:00.00,0.953844,0.13521,2.38755,78.4377
94,2000-04-04,00:00:00.00,1.64083,0.132157,2.3487,66.2614
95,2000-04-05,00:00:00.00,0.949928,0.130177,2.36137,63.7129
96,2000-04-06,00:00:00.00,1.07261,0.128779,2.37813,52.6693
97,2000-04-07,00:00:00.00,0.0528846,0.127671,2.343,62.8634
98,2000-04-08,00:00:00.00,32.0596,0.14563,2.68506,35.6792
99,2000-04-09,00:00:00.00,15.5247,0.185109,7.42119,65.6951
100,2000-04-10,00:00:00.00,0.0731786,0.91885,35.5533,236.446
101,2000-04-11,00:00:00.00,0.0166331,0.894598,42.7011,353.961
102,2000-04-12,00:00:00.00,2.02871,0.152676,14.9346,314.317
103,2000-04-13,00:00:00.00,0.192263,0.150472,3.12431,211.244
104,2000-04-14,00:00:00.00,0.627036,0.157032,2.51588,174.149
105,2000-04-15,00:00:00.00,0.208986,0.153575,2.52857,143
106,2000-04-16,00:00:00.00,0.401204,0.142607,2.45521,108.17
107,2000-04-17,00:00:00.00,3.98122,0.136778,2.43145,86.0832
108,2000-04-18,00:00:00.00,9.94812,0.137452,2.62241,69.6594
109,2000-04-19,00:00:00.00,0.213679,0.15609,3.18962,79.5703
110,2000-04-20,00:00:00.00,1.55786,0.184656,3.6647,112.418
111,2000-04-21,00:00:00.00,20.3833,0.195447,3.56844,210.96
112,2000-04-22,00:00:00.00,2.09436,0.198806,3.5875,968.436
113,2000-04-23,00:00:00.00,0.0561794,0.40919,3.82833,971.268
114,2000-04-24,00:00:00.00,0.683865,0.371881,3.30755,662.614
115,2000-04-25,00:00:00.00,0.0715062,0.129877,2.66333,430.416
116,2000-04-26,00:00:00.00,0.0246208,0.130709,2.52434,305.822
117,2000-04-27,00:00:00.00,0.0448573,0.13124,2.45227,223.42
118,2000-04-28,00:00:00.00,0.111699,0.13109,2.40622,171.883
119,2000-04-29,00:00:00.00,0.0498109,0.130422,2.37158,150.646
120,2000-04-30,00:00:00.00,0.0311742,0.129447,2.3424,110.152
121,2000-05-01,00:00:00.00,0.0180031,0.128282,2.31546,95.7109
122,2000-05-02,00:00:00.00,14.4194,0.138019,2.44647,82.6852
123,2000-05-03,00:00:00.00,0.152987,0.185011,3.12659,111.852
124,2000-05-04,00:00:00.00,0.0747092,0.222354,3.76138,137.62
125,2000-05-05,00:00:00.00,2.04533,0.195286,3.39306,120.63
126,2000-05-06,00:00:00.00,1.28591,0.156591,2.74944,93.7288
127,2000-05-07,00:00:00.00,2.74966,0.140328,2.49229,75.0396
128,2000-05-08,00:00:00.00,1.54303,0.132022,2.36771,69.0931
129,2000-05-09,00:00:00.00,0.878524,0.127307,2.30085,65.9783
130,2000-05-10,00:00:00.00,4.37863,0.127575,2.27089,58.6159
131,2000-05-11,00:00:00.00,13.4286,0.150859,2.45985,165.654
132,2000-05-12,00:00:00.00,0.176274,0.197429,3.11719,227.101
133,2000-05-13,00:00:00.00,1.99126,0.226161,3.67026,205.58
134,2000-05-14,00:00:00.00,7.66804,0.202639,3.38156,144.133
135,2000-05-15,00:00:00.00,0.697378,0.167411,3.03892,111.852
136,2000-05-16,00:00:00.00,0.436066,0.149644,3.08841,69.9426
137,2000-05-17,00:00:00.00,2.06524,0.136156,2.84058,61.1644
138,2000-05-18,00:00:00.00,9.80533,0.137041,2.53478,60.8812
139,2000-05-19,00:00:00.00,24.4342,0.181774,2.88848,56.3505
140,2000-05-20,00:00:00.00,26.4281,1.2544,9.78854,162.822
141,2000-05-21,00:00:00.00,0.0516051,3.79542,35.5957,351.129
142,2000-05-22,00:00:00.00,0.143669,3.36956,35.1563,334.139
143,2000-05-23,00:00:00.00,0.155955,0.846425,9.85551,253.719
144,2000-05-24,00:00:00.00,6.45633,0.204145,3.47569,231.065
145,2000-05-25,00:00:00.00,0.485876,0.155766,2.76069,396.436
146,2000-05-26,00:00:00.00,0.127468,0.165836,2.98035,356.792
147,2000-05-27,00:00:00.00,0.252889,0.161947,2.87624,249.188
148,2000-05-28,00:00:00.00,14.9886,0.152574,2.73462,203.881
149,2000-05-29,00:00:00.00,19.1036,0.178111,3.30913,286
150,2000-05-30,00:00:00.00,0.215026,0.189273,7.83031,628.634
151,2000-05-31,00:00:00.00,0.653914,0.181026,7.77631,526.693
152,2000-06-01,00:00:00.00,2.46,0.17416,3.3193,373.782
153,2000-06-02,00:00:00.00,2.08447,0.155104,2.7854,263.913
154,2000-06-03,00:00:00.00,0.181965,0.146727,2.56622,209.828
155,2000-06-04,00:00:00.00,0.223482,0.142771,2.45731,158.008
156,2000-06-05,00:00:00.00,0.868977,0.139649,2.38882,128.559
157,2000-06-06,00:00:00.00,14.065,0.138592,2.49685,106.755
158,2000-06-07,00:00:00.00,0.729553,0.146427,3.08287,311.485
159,2000-06-08,00:00:00.00,0.289133,0.159842,3.49174,495.545
160,2000-06-09,00:00:00.00,0.0942127,0.156266,3.11153,356.792
161,2000-06-10,00:00:00.00,0.0855619,0.14173,2.63444,231.915
162,2000-06-11,00:00:00.00,0.589043,0.134363,2.42779,156.592
163,2000-06-12,00:00:00.00,3.30326,0.130833,2.32318,123.745
164,2000-06-13,00:00:00.00,15.8987,0.136863,2.47573,94.2951
165,2000-06-14,00:00:00.00,7.47156,0.163167,3.15728,134.505
166,2000-06-15,00:00:00.00,3.90896,0.19118,4.09241,203.315
167,2000-06-16,00:00:00.00,4.11199,0.190188,3.90635,631.466
168,2000-06-17,00:00:00.00,1.52516,0.166217,3.10608,747.565
169,2000-06-18,00:00:00.00,9.63763,0.145939,2.92502,656.951
170,2000-06-19,00:00:00.00,14.6283,0.140004,3.15906,540.852
171,2000-06-20,00:00:00.00,0.0413214,0.154102,3.2366,572
172,2000-06-21,00:00:00.00,0.717194,0.176781,3.40818,509.703
173,2000-06-22,00:00:00.00,11.7623,0.171894,3.41845,552.179
174,2000-06-23,00:00:00.00,0.532996,0.170241,3.27155,572
175,2000-06-24,00:00:00.00,0.142366,0.191627,3.50372,433.248
176,2000-06-25,00:00:00.00,10.5979,0.180744,3.27833,305.822
177,2000-06-26,00:00:00.00,20.1553,0.165657,3.26839,353.961
178,2000-06-27,00:00:00.00,4.05392,0.184759,8.58156,736.238
179,2000-06-28,00:00:00.00,0.237117,0.201379,9.16155,659.783
180,2000-06-29,00:00:00.00,0.447029,0.18119,3.81353,438.911
181,2000-06-30,00:00:00.00,3.42443,0.148532,2.77101,300.159
182,2000-07-01,00:00:00.00,0.122167,0.13426,2.55326,238.994
183,2000-07-02,00:00:00.00,0.126611,0.126856,2.46865,192.838
184,2000-07-03,00:00:00.00,0.0981992,0.12236,2.39884,169.618
185,2000-07-04,00:00:00.00,5.60707,0.119227,2.36632,150.079
186,2000-07-05,00:00:00.00,0.176001,0.117295,2.52206,165.087
187,2000-07-06,00:00:00.00,0.347952,0.116267,2.76659,317.149
188,2000-07-07,00:00:00.00,0.618523,0.114725,2.67938,266.461
189,2000-07-08,00:00:00.00,0.0191945,0.112654,2.40715,189.44
190,2000-07-09,00:00:00.00,0.420242,0.11097,2.27744,145.549
191,2000-07-10,00:00:00.00,1.34404,0.10943,2.20214,114.966
192,2000-07-11,00:00:00.00,7.84501,0.113744,2.2061,87.7822
193,2000-07-12,00:00:00.00,0.332297,0.143452,2.45594,65.1287
194,2000-07-13,00:00:00.00,0.0600017,0.187752,2.8507,50.9703
195,2000-07-14,00:00:00.00,0.0858648,0.180066,2.76725,46.7228
196,2000-07-15,00:00:00.00,3.12824,0.14277,2.3952,35.9624
197,2000-07-16,00:00:00.00,0.223839,0.133635,2.25822,34.8297
198,2000-07-17,00:00:00.00,0.0486539,0.137782,2.2293,33.1307
199,2000-07-18,00:00:00.00,0.0379023,0.131834,2.16177,30.5822
200,2000-07-19,00:00:00.00,0.0424031,0.117572,2.05623,25.117
201,2000-07-20,00:00:00.00,1.61655,0.109581,1.98932,26.7311
202,2000-07-21,00:00:00.00,0.0858857,0.104584,1.94504,32.5644
203,2000-07-22,00:00:00.00,0.5309,0.101204,1.91487,25.3153
