time,date,hour,precip [mm/day],sub7144 [m3/s],sub7145 [m3/s],sub7146 [m3/s],sub7146 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,10.0672,3.27449,83.7483,
1,2000-01-02,00:00:00.00,0.185815,58.9165,19.1635,473.778,31.998
2,2000-01-03,00:00:00.00,1.00971,93.7139,30.4536,761.842,35.1129
3,2000-01-04,00:00:00.00,8.42516,72.2983,23.3175,597.866,35.3961
4,2000-01-05,00:00:00.00,9.77428,61.8121,19.5478,507.531,85.5169
5,2000-01-06,00:00:00.00,0.339864,55.3518,17.2083,452.712,159.141
6,2000-01-07,00:00:00.00,0.164417,47.5443,14.79,390.946,164.238
7,2000-01-08,00:00:00.00,1.50864,40.0363,12.5719,331.101,146.115
8,2000-01-09,00:00:00.00,0.212974,34.8372,11.0163,289.011,120.063
9,2000-01-10,00:00:00.00,1.13105,30.9785,9.82793,257.346,113.551
10,2000-01-11,00:00:00.00,13.7214,29.48,9.28341,240.279,107.321
11,2000-01-12,00:00:00.00,2.44651,31.7818,9.81828,245.251,103.356
12,2000-01-13,00:00:00.00,0.642814,31.7202,9.73058,239.619,101.374
13,2000-01-14,00:00:00.00,14.9371,27.6104,8.54012,213.189,99.9585
14,2000-01-15,00:00:00.00,0.312163,24.5248,7.63228,191.798,80.4198
15,2000-01-16,00:00:00.00,0.233299,22.4825,7.01264,176.462,41.6258
16,2000-01-17,00:00:00.00,0.504433,20.8076,6.50296,163.722,44.7406
17,2000-01-18,00:00:00.00,0.425214,19.3659,6.06349,152.802,38.7941
18,2000-01-19,00:00:00.00,0.499126,18.1134,5.68017,143.293,33.697
19,2000-01-20,00:00:00.00,0.358951,17.0159,5.34309,134.829,28.6
20,2000-01-21,00:00:00.00,11.3608,16.0456,5.04416,127.325,28.8832
21,2000-01-22,00:00:00.00,0.598571,15.1822,4.7774,120.679,35.3961
22,2000-01-23,00:00:00.00,0.215998,14.41,4.53821,114.702,33.697
23,2000-01-24,00:00:00.00,0.370113,13.7153,4.32251,109.235,28.8832
24,2000-01-25,00:00:00.00,0.318782,13.0858,4.12669,104.281,28.3168
25,2000-01-26,00:00:00.00,2.89606,12.5129,3.94815,99.8163,30.8654
26,2000-01-27,00:00:00.00,2.43632,11.9905,3.785,95.7369,31.7149
27,2000-01-28,00:00:00.00,0.665723,11.5124,3.63546,92.0046,28.3168
28,2000-01-29,00:00:00.00,0.258308,11.0734,3.49794,88.5468,27.524
29,2000-01-30,00:00:00.00,0.419636,10.6683,3.3709,85.302,23.6446
30,2000-01-31,00:00:00.00,6.32766,10.2925,3.25294,82.2697,23.3897
31,2000-02-01,00:00:00.00,8.02599,9.9429,3.16292,80.374,23.7012
32,2000-02-02,00:00:00.00,1.36086,9.61725,3.1248,80.6876,25.0887
33,2000-02-03,00:00:00.00,0.493211,9.3136,3.04826,79.2057,25.9665
34,2000-02-04,00:00:00.00,1.0394,9.02985,2.92066,75.2636,25.2586
35,2000-02-05,00:00:00.00,0.860722,8.76381,2.82268,72.4747,24.6073
36,2000-02-06,00:00:00.00,0.446584,8.51381,2.74128,70.3508,24.5224
37,2000-02-07,00:00:00.00,0.590014,8.27841,2.66461,68.3468,24.9471
38,2000-02-08,00:00:00.00,0.472398,8.05619,2.59226,66.4605,24.4658
39,2000-02-09,00:00:00.00,0.667221,7.84617,2.5239,64.6908,23.3897
40,2000-02-10,00:00:00.00,0.34143,7.64711,2.45914,62.9722,23.2198
41,2000-02-11,00:00:00.00,0.610442,7.45766,2.39762,61.3375,23.0782
42,2000-02-12,00:00:00.00,1.77649,7.27739,2.33926,59.9489,25.6267
43,2000-02-13,00:00:00.00,0.296895,7.10642,2.28408,58.9059,27.6089
44,2000-02-14,00:00:00.00,3.55073,6.944,2.23166,57.6805,30.0159
45,2000-02-15,00:00:00.00,9.38129,6.99445,2.2311,57.8227,36.5287
46,2000-02-16,00:00:00.00,0.302344,7.52967,2.3478,62.0603,37.6614
47,2000-02-17,00:00:00.00,1.40797,7.57501,2.34771,62.6115,35.6792
48,2000-02-18,00:00:00.00,0.367871,7.00539,2.20254,58.4835,34.5466
49,2000-02-19,00:00:00.00,8.57477,6.95637,2.13883,57.0833,34.2634
50,2000-02-20,00:00:00.00,1.06356,7.591,2.13825,58.2657,31.998
51,2000-02-21,00:00:00.00,0.258779,7.66898,2.10755,57.7359,31.4317
52,2000-02-22,00:00:00.00,0.247872,7.04612,2.03758,54.8922,29.4495
53,2000-02-23,00:00:00.00,0.42128,6.74745,1.9883,53.1294,30.0159
54,2000-02-24,00:00:00.00,0.551928,7.70825,2.37394,63.3341,38.7941
55,2000-02-25,00:00:00.00,1.20327,12.2585,4.27409,114.69,88.9149
56,2000-02-26,00:00:00.00,2.02958,17.8224,6.63247,175.088,219.739
57,2000-02-27,00:00:00.00,0.716584,21.6241,7.49979,186.194,300.159
58,2000-02-28,00:00:00.00,3.61501,21.0364,6.75588,163.019,288.832
59,2000-02-29,00:00:00.00,3.41654,18.1097,5.8605,145.909,235.596
60,2000-03-01,00:00:00.00,0.544351,17.3178,5.6399,141.575,235.03
61,2000-03-02,00:00:00.00,2.56468,16.5458,5.39137,135.874,234.747
62,2000-03-03,00:00:00.00,4.09156,15.7721,5.18119,131.661,223.137
63,2000-03-04,00:00:00.00,0.198981,15.2817,5.12941,132.011,233.048
64,2000-03-05,00:00:00.00,0.074994,14.6189,4.94832,127.869,230.499
65,2000-03-06,00:00:00.00,0.0362201,13.9375,4.66556,119.947,231.632
66,2000-03-07,00:00:00.00,0.299302,13.3852,4.45981,114.44,229.65
67,2000-03-08,00:00:00.00,0.531491,12.8972,4.29264,109.929,228.234
68,2000-03-09,00:00:00.00,1.44929,12.4415,4.13689,105.646,229.083
69,2000-03-10,00:00:00.00,4.54065,12.1356,4.03165,103.118,231.915
70,2000-03-11,00:00:00.00,1.1689,12.1234,4.02512,103.877,227.667
71,2000-03-12,00:00:00.00,9.64939,12.5828,4.13057,107.037,222.854
72,2000-03-13,00:00:00.00,5.82507,14.4943,4.61401,119.482,221.155
73,2000-03-14,00:00:00.00,0.12718,15.3674,4.85762,127.458,204.164
74,2000-03-15,00:00:00.00,1.58039,13.9372,4.48143,118.506,188.873
75,2000-03-16,00:00:00.00,1.85751,12.9989,4.24317,110.578,171.6
76,2000-03-17,00:00:00.00,12.3052,13.7259,4.43836,115.254,160.273
77,2000-03-18,00:00:00.00,6.17292,16.1418,4.98373,132.748,150.929
78,2000-03-19,00:00:00.00,0.245804,16.5461,4.9904,135.956,145.265
79,2000-03-20,00:00:00.00,0.28679,14.692,4.48335,122.256,132.806
80,2000-03-21,00:00:00.00,0.340623,14.0961,4.33152,116.329,138.186
81,2000-03-22,00:00:00.00,1.79059,15.1942,4.53552,119.607,144.416
82,2000-03-23,00:00:00.00,0.0983105,16.1083,4.53221,119.867,123.178
83,2000-03-24,00:00:00.00,0.090285,15.2635,4.22184,112.871,111.852
84,2000-03-25,00:00:00.00,0.442881,14.0518,4.01393,106.834,103.923
85,2000-03-26,00:00:00.00,3.07664,13.4876,3.89419,103.258,88.9149
