time,date,hour,precip [mm/day],sub7051 [m3/s],sub7052 [m3/s],sub7053 [m3/s],sub7053 (observed) [m3/s],sub7053 (res. inflow) [m3/s]
69,2000-03-10,00:00:00.00,4.31726,12.4205,1.41015,34.6028,304,30.2649
70,2000-03-11,00:00:00.00,0.322803,10.9632,1.31864,29.0831,300,26.471
71,2000-03-12,00:00:00.00,0.18506,9.69429,1.13551,25.6979,300,24.0539
72,2000-03-13,00:00:00.00,0.166731,8.48157,0.827501,23.2924,296,22.0395
73,2000-03-14,00:00:00.00,0.368199,7.37849,0.590498,21.3937,291,20.3734
74,2000-03-15,00:00:00.00,2.11334,6.3355,0.40175,19.6747,287,18.7319
75,2000-03-16,00:00:00.00,3.89276,5.35383,0.244228,17.9871,287,17.105
76,2000-03-17,00:00:00.00,0.773487,4.51647,0.145402,16.5213,292,15.8048
77,2000-03-18,00:00:00.00,0.31739,3.82965,0.106477,15.3809,293,14.8478
78,2000-03-19,00:00:00.00,0.398688,3.17239,0.0876897,14.3727,293,13.9079
79,2000-03-20,00:00:00.00,0.379797,2.49612,0.0747014,13.2757,291,12.7962
80,2000-03-21,00:00:00.00,1.9496,1.89396,0.0899494,12.1612,290,11.7665
81,2000-03-22,00:00:00.00,0.236965,1.38239,0.191855,11.1233,289,10.8775
82,2000-03-23,00:00:00.00,0.596711,0.932115,0.393017,10.2081,288,10.0522
83,2000-03-24,00:00:00.00,0.174026,0.63006,0.660622,9.4723,272,9.51002
84,2000-03-25,00:00:00.00,0.347107,0.464797,0.981323,8.96061,239,9.23844
85,2000-03-26,00:00:00.00,1.2152,0.476101,1.29507,8.87508,205,9.29515
86,2000-03-27,00:00:00.00,0.948675,0.529086,1.29655,9.00173,179,9.33293
87,2000-03-28,00:00:00.00,2.50041,0.440295,0.989832,8.85308,162,8.89057
88,2000-03-29,00:00:00.00,2.75168,0.284067,0.684362,8.25249,146,8.10169
89,2000-03-30,00:00:00.00,3.36259,0.16857,0.447094,7.50239,131,7.39464
90,2000-03-31,00:00:00.00,0.1699,0.124574,0.302898,6.99334,119,7.02608
91,2000-04-01,00:00:00.00,0.0979156,0.114276,0.281097,6.62994,109,6.76779
92,2000-04-02,00:00:00.00,0.496674,0.128087,0.355344,6.24312,101,6.45338
93,2000-04-03,00:00:00.00,0.218809,0.139438,0.439848,5.95852,92.9,6.21894
94,2000-04-04,00:00:00.00,0.633588,0.138614,0.475466,5.67474,87.4,5.95213
95,2000-04-05,00:00:00.00,4.78205,0.12616,0.426282,5.40735,83.3,5.65435
96,2000-04-06,00:00:00.00,0.149149,0.108243,0.324123,5.27305,81,5.47553
97,2000-04-07,00:00:00.00,7.59616,0.0942886,0.231125,5.1,79.9,5.22915
98,2000-04-08,00:00:00.00,0.356073,0.0919489,0.161583,4.80667,78.8,4.89928
99,2000-04-09,00:00:00.00,1.16702,0.111289,0.122293,4.54495,78.1,4.73734
100,2000-04-10,00:00:00.00,0.951676,0.15102,0.114161,4.41752,77.9,4.70877
101,2000-04-11,00:00:00.00,0.242261,0.199834,0.117766,4.43037,77,4.73594
102,2000-04-12,00:00:00.00,0.258595,0.25055,0.117398,4.55981,76.6,4.91851
103,2000-04-13,00:00:00.00,1.50226,0.279861,0.1125,4.63634,75.6,4.92751
104,2000-04-14,00:00:00.00,0.442367,0.259298,0.10374,4.38473,74.6,4.46727
105,2000-04-15,00:00:00.00,2.88046,0.211486,0.0964812,3.66502,73.6,3.66397
106,2000-04-16,00:00:00.00,5.85301,0.174331,0.111435,2.94824,73.3,3.01974
107,2000-04-17,00:00:00.00,0.292222,0.160855,0.199809,2.57767,74.5,2.75307
108,2000-04-18,00:00:00.00,0.0407815,0.174123,0.371743,2.30276,75.3,2.54759
109,2000-04-19,00:00:00.00,0.235732,0.205202,0.597926,2.07445,75.4,2.35882
110,2000-04-20,00:00:00.00,0.230729,0.239843,0.860532,1.91604,75.9,2.19832
111,2000-04-21,00:00:00.00,1.69037,0.265283,1.07902,1.75849,76.3,2.01162
112,2000-04-22,00:00:00.00,3.30683,0.250522,1.0426,1.61503,76.7,1.83354
113,2000-04-23,00:00:00.00,0.0922453,0.201506,0.790419,1.2984,77.5,1.49425
114,2000-04-24,00:00:00.00,0.0303775,0.156087,0.538616,0.722067,77.3,1.06172
115,2000-04-25,00:00:00.00,0.0169176,0.121407,0.32832,0.333405,77.1,0.899848
116,2000-04-26,00:00:00.00,0.0226598,0.099057,0.174272,0.281294,77.1,0.978718
117,2000-04-27,00:00:00.00,0.111769,0.0911776,0.110416,0.337853,77.1,1.05912
118,2000-04-28,00:00:00.00,0.286597,0.0910193,0.107033,0.367919,76.4,1.03349
119,2000-04-29,00:00:00.00,0.24571,0.0908838,0.106978,0.266663,75.7,0.913319
120,2000-04-30,00:00:00.00,1.13766,0.0907875,0.106922,0.197737,74.7,0.796281
121,2000-05-01,00:00:00.00,0.0553102,0.0906913,0.106867,0.152676,74.7,0.707125
122,2000-05-02,00:00:00.00,1.51119,0.0905952,0.106811,0.159569,75.2,0.670462
123,2000-05-03,00:00:00.00,0.275865,0.0904994,0.106758,0.126135,76.2,0.66883
124,2000-05-04,00:00:00.00,0.0992664,0.0904037,0.106707,0.0186204,77,0.667813
125,2000-05-05,00:00:00.00,4.00534,0.0903084,0.106661,0,77.9,0.666799
126,2000-05-06,00:00:00.00,3.60917,0.090214,0.106631,0,79.1,0.665793
127,2000-05-07,00:00:00.00,0.473289,0.0901212,0.106626,0,80.7,0.664816
128,2000-05-08,00:00:00.00,1.88865,0.0900306,0.106648,0,82.2,0.663889
129,2000-05-09,00:00:00.00,5.80044,0.0899451,0.107209,0,84.1,0.663037
130,2000-05-10,00:00:00.00,5.08029,0.089873,0.113299,0,86.4,0.6624
131,2000-05-11,00:00:00.00,9.32789,0.0898697,0.132623,0,88.1,0.66315
132,2000-05-12,00:00:00.00,0.115153,0.0984144,0.175439,0,90.6,0.689477
133,2000-05-13,00:00:00.00,4.84571,0.126973,0.247155,0,92.8,0.803817
134,2000-05-14,00:00:00.00,14.9237,0.195709,0.430464,0.0289473,94.8,1.08327
135,2000-05-15,00:00:00.00,0.89734,0.345496,0.932502,0.516997,96.4,1.63395
136,2000-05-16,00:00:00.00,0.0772313,0.575824,1.77838,1.27485,97.8,2.43095
137,2000-05-17,00:00:00.00,0.076314,0.82489,2.79809,2.03593,99.9,3.22863
138,2000-05-18,00:00:00.00,0.0591733,1.07757,3.95679,2.76611,102,3.98272
139,2000-05-19,00:00:00.00,4.82298,1.28509,5.05942,3.46156,105,4.56454
140,2000-05-20,00:00:00.00,0.0679119,1.2198,4.96509,3.75878,106,4.28912
141,2000-05-21,00:00:00.00,0.119873,0.926534,3.72201,3.10427,105,3.3326
142,2000-05-22,00:00:00.00,0.0633704,0.648879,2.48301,2.14362,104,2.45256
143,2000-05-23,00:00:00.00,0.0980995,0.429164,1.45501,1.41805,103,1.77612
144,2000-05-24,00:00:00.00,6.86619,0.273116,0.684917,0.882418,103,1.30842
145,2000-05-25,00:00:00.00,4.17437,0.19118,0.311644,0.452743,102,1.05357
146,2000-05-26,00:00:00.00,0.212447,0.16557,0.278358,0.33385,101,0.955549
147,2000-05-27,00:00:00.00,0.085296,0.159219,0.360042,0.305318,100,0.927755
148,2000-05-28,00:00:00.00,0.0418102,0.156567,0.478849,0.166151,98.9,0.920749
149,2000-05-29,00:00:00.00,0.0231112,0.155846,0.61626,0.131239,97.6,0.918901
150,2000-05-30,00:00:00.00,0.067777,0.155654,0.726605,0.130822,96.6,0.917366
151,2000-05-31,00:00:00.00,0.680213,0.155402,0.703636,0.0899992,95.6,0.915636
152,2000-06-01,00:00:00.00,0.940513,0.155149,0.572379,0.039496,94.8,0.913911
153,2000-06-02,00:00:00.00,0.55769,0.154898,0.442698,0.0419865,93.7,0.912191
154,2000-06-03,00:00:00.00,22.3072,0.154764,0.359831,0.143411,92.7,0.911088
155,2000-06-04,00:00:00.00,2.36663,0.16673,0.400555,0.155562,92.5,0.945718
156,2000-06-05,00:00:00.00,4.72536,0.21042,0.601902,0.212208,92,1.11096
157,2000-06-06,00:00:00.00,0.279224,0.289714,0.926145,0.435285,91.5,1.42773
158,2000-06-07,00:00:00.00,0.901431,0.396682,1.33404,0.669032,90.5,1.84365
159,2000-06-08,00:00:00.00,0.0627304,0.511756,1.74581,1.09806,90.1,2.27989
160,2000-06-09,00:00:00.00,2.22459,0.561109,1.81974,1.36521,89.5,2.42339
161,2000-06-10,00:00:00.00,2.63816,0.536582,1.52124,1.40746,89.9,2.25642
162,2000-06-11,00:00:00.00,10.146,0.465812,1.17806,1.29961,89.9,1.96765
163,2000-06-12,00:00:00.00,14.2663,0.371578,0.96381,0.948049,93.2,1.65897
164,2000-06-13,00:00:00.00,0.0573547,0.316594,1.02691,0.748141,92.6,1.53712
165,2000-06-14,00:00:00.00,1.66049,0.318693,1.40728,0.692156,89.2,1.66511
166,2000-06-15,00:00:00.00,1.88094,0.368555,1.99998,0.717618,87.7,1.99152
167,2000-06-16,00:00:00.00,8.95636,0.451836,2.68974,1.1844,87.7,2.40949
168,2000-06-17,00:00:00.00,2.09264,0.532837,3.20472,1.60589,88.4,2.74098
169,2000-06-18,00:00:00.00,0.582394,0.531222,3.06013,1.7807,88.2,2.6674
170,2000-06-19,00:00:00.00,0.00845287,0.460349,2.44816,1.7777,87.8,2.27807
171,2000-06-20,00:00:00.00,0.80116,0.394808,1.89099,1.38977,87.1,1.91379
172,2000-06-21,00:00:00.00,1.44071,0.343874,1.46135,0.871338,87,1.62739
173,2000-06-22,00:00:00.00,13.8167,0.292606,1.0946,0.531048,88.9,1.39553
174,2000-06-23,00:00:00.00,5.63182,0.253852,0.862643,0.463362,89.6,1.26467
175,2000-06-24,00:00:00.00,0.329448,0.244383,0.853405,0.434522,94.4,1.24646
176,2000-06-25,00:00:00.00,2.59293,0.250023,0.984473,0.382011,107,1.27092
177,2000-06-26,00:00:00.00,1.62518,0.265688,1.20878,0.345108,124,1.32837
178,2000-06-27,00:00:00.00,4.76379,0.290498,1.51761,0.378852,139,1.41242
179,2000-06-28,00:00:00.00,0.519174,0.303032,1.78086,0.515107,155,1.42734
180,2000-06-29,00:00:00.00,0.107897,0.286667,1.79627,0.539268,178,1.34943
181,2000-06-30,00:00:00.00,8.88523,0.260192,1.65196,0.509469,201,1.27017
182,2000-07-01,00:00:00.00,1.58966,0.242583,1.53199,0.421737,218,1.22361
183,2000-07-02,00:00:00.00,0.900602,0.236808,1.44724,0.231779,227,1.20836
184,2000-07-03,00:00:00.00,9.53782,0.246193,1.31252,0.316921,232,1.21856
185,2000-07-04,00:00:00.00,1.38808,0.277205,1.19683,0.378568,235,1.25935
186,2000-07-05,00:00:00.00,0.402234,0.322611,1.22177,0.256609,234,1.32497
187,2000-07-06,00:00:00.00,0.127367,0.350746,1.32564,0.357557,219,1.36756
188,2000-07-07,00:00:00.00,0.0605273,0.360203,1.48757,0.536187,189,1.38245
189,2000-07-08,00:00:00.00,0.18239,0.36868,1.67365,0.513298,156,1.39652
190,2000-07-09,00:00:00.00,0.691706,0.347891,1.63341,0.460844,126,1.36189
191,2000-07-10,00:00:00.00,12.8049,0.301257,1.36065,0.535521,103,1.29102
192,2000-07-11,00:00:00.00,0.436523,0.267831,1.09585,0.540749,85.9,1.2957
193,2000-07-12,00:00:00.00,0.06598,0.253353,0.882823,0.430324,74.7,1.43014
194,2000-07-13,00:00:00.00,0.195217,0.252321,0.75116,0.467397,67.6,1.66761
195,2000-07-14,00:00:00.00,0.716628,0.26554,0.712736,0.751946,62.2,1.98568
196,2000-07-15,00:00:00.00,7.70978,0.286839,0.71279,1.28149,60.9,2.31243
197,2000-07-16,00:00:00.00,4.16212,0.288658,0.722765,1.64535,61.2,2.32317
198,2000-07-17,00:00:00.00,1.17199,0.270521,0.784458,1.56613,62.1,2.02488
199,2000-07-18,00:00:00.00,0.742716,0.255124,0.920681,1.14735,62.6,1.72599
200,2000-07-19,00:00:00.00,0.257567,0.246171,1.10999,0.806106,61.9,1.48216
201,2000-07-20,00:00:00.00,0.644099,0.24339,1.32227,0.630189,62.5,1.34096
