time,date,hour,precip [mm/day],sub710 [m3/s],sub710 (observed) [m3/s],sub685 [m3/s],sub685 (observed) [m3/s],sub684 [m3/s],sub684 (observed) [m3/s],sub676 [m3/s],sub676 (observed) [m3/s],sub677 [m3/s],sub677 (observed) [m3/s],sub686 [m3/s],sub686 (observed) [m3/s],sub699 [m3/s],sub699 (observed) [m3/s],sub701 [m3/s],sub701 (observed) [m3/s],sub700 [m3/s],sub700 (observed) [m3/s],sub683 [m3/s],sub683 (observed) [m3/s],sub697 [m3/s],sub697 (observed) [m3/s],sub698 [m3/s],sub698 (observed) [m3/s],sub696 [m3/s],sub696 (observed) [m3/s],sub682 [m3/s],sub682 (observed) [m3/s],sub694 [m3/s],sub694 (observed) [m3/s],sub695 [m3/s],sub695 (observed) [m3/s],sub678 [m3/s],sub678 (observed) [m3/s],sub680 [m3/s],sub680 (observed) [m3/s],sub681 [m3/s],sub681 (observed) [m3/s],sub691 [m3/s],sub691 (observed) [m3/s],sub693 [m3/s],sub693 (observed) [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub689 [m3/s],sub689 (observed) [m3/s],sub712 [m3/s],sub712 (observed) [m3/s],sub724 [m3/s],sub724 (observed) [m3/s],sub723 [m3/s],sub723 (observed) [m3/s],sub720 [m3/s],sub720 (observed) [m3/s],sub719 [m3/s],sub719 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,4.35716,,3.91027,,1.96573,,2.86796,,6.81493,,3.40662,,2.78057,,3.36567,,3.14187,,2.59801,,2.09728,,6.31558,,3.72753,,2.13993,,2.45525,,2.51825,,10.4476,,4.14043,,3.31416,,5.95992,,3.91256,,6.63048,,5.79203,,2.02277,,5.88321,,2.89341,,2.011,,17.8187,
1,2010-01-02,00:00:00.00,0,4.17936,6.3996,3.65929,16,1.73402,4.09,2.67046,2.4,6.53789,5.6,3.02302,2.5,2.40377,1.05,3.14408,2.02,2.74016,0.983,2.3127,1.95,1.81412,0.329,5.99316,3,3.2753,5.6,1.95434,0.7,2.1795,3.85,2.23954,0.42,9.96541,2.86,3.90418,1.2148,3.11693,1.7273,5.58843,9.3446,3.64116,11.9214,6.20032,19.0289,5.46743,1.5829,1.8337,1.6424,5.53567,1.5291,2.70146,0.8212,1.87094,2.1634,17.3696,25.202
2,2010-01-03,00:00:00.00,0,3.95807,5.9749,3.14361,17,1.42379,2.4,2.54701,2,6.18279,5.4,2.45016,2.2,2.01906,1,2.8835,1.95,2.42596,0.85,1.94025,1.86,1.45146,0.2,5.68813,2.84,2.68865,4.8,1.91218,0.6,1.86356,3,1.83269,0.3,9.30203,2.0218,3.67227,0.8778,2.915,1.4187,5.06042,8.5517,3.39479,10.0242,5.79116,16.1123,5.08059,1.3196,1.56663,1.2912,5.16607,1.8123,2.52023,0.6796,1.76649,1.8548,16.6863,22.7101
3,2010-01-04,00:00:00.00,0,4.01953,5.4935,2.80334,16,1.34827,2.8,2.89561,1.62,6.22891,5.2,2.28339,1.85,2.0836,0.947,2.99078,1.88,2.59632,0.803,1.88324,1.79,1.40498,0.131,6.10357,2.7,2.57461,4.2,2.19179,0.54,1.86333,2.2,1.71343,0.22,9.59287,1.7811,3.88099,0.807,3.11005,1.3762,5.25457,7.7305,3.71424,9.8259,6.27041,15.4893,5.18321,1.2573,1.55789,1.0194,5.50615,1.6424,2.73556,0.7929,1.91912,2.0077,16.7115,18.859
4,2010-01-05,00:00:00.00,0,4.37192,5.3519,2.71626,18,1.35093,3.3,3.28915,1.32,6.72658,5.05,2.29399,1.65,2.15424,0.895,3.2846,1.81,2.75747,0.78,1.9367,1.72,1.4151,0.13,6.85105,2.58,2.56333,3.8,2.45719,0.48,1.94431,1.4,1.72023,0.18,10.681,1.7811,4.32176,0.8778,3.47936,1.3026,5.91248,7.3057,4.19537,9.3162,7.0245,12.6293,5.43676,1.3479,1.65691,0.8891,6.20023,1.2459,3.07987,0.7079,2.13947,2.3107,17.5096,18.9723
5,2010-01-06,00:00:00.00,0,4.87284,5.182,2.70832,21,1.35008,2.5,3.61685,1.13,7.4299,5,2.27559,1.5,2.2118,0.86,3.55667,1.73,2.90978,0.749,1.98201,1.66,1.39687,0.132,7.59417,2.51,2.55452,3.45,2.70893,0.44,2.0241,1.1,1.71657,0.15,11.8933,1.7132,4.81564,0.9005,3.82238,1.2573,6.53296,6.8244,4.59838,8.665,7.69554,12.8275,5.87054,1.2686,1.72367,0.7646,6.81694,1.1327,3.37386,0.6513,2.34671,2.1323,18.9625,20.3881
6,2010-01-07,00:00:00.00,0,5.35747,4.9554,2.71192,24,1.3488,1.97,3.95152,0.99,8.03307,4.95,2.26152,1.38,2.27335,0.828,3.80695,1.69,3.05359,0.722,2.02453,1.6,1.3924,0.14,8.29341,2.44,2.55792,3.23,2.94753,0.41,2.09939,0.95,1.71307,0.13,12.9726,1.7132,5.26084,0.8608,4.15487,1.1921,7.15278,6.8527,4.98759,8.0703,8.36522,11.7515,6.52183,1.212,1.79334,0.7362,7.39549,0.9061,3.66359,0.623,2.54703,1.9822,20.8482,19.7085
7,2010-01-08,00:00:00.00,1.52802e-06,5.78705,4.7289,2.71419,21.5,1.347,1.82,4.25051,0.876,8.59909,4.9,2.24642,1.3,2.32427,0.805,4.04808,1.65,3.18923,0.7,2.06413,1.55,1.38097,0.148,8.92835,2.39,2.55255,3.08,3.1735,0.38,2.17018,0.82,1.70894,0.115,13.9803,1.6933,5.64039,0.8042,4.48298,1.127,7.75203,7.1358,5.36225,8.1836,8.99772,11.1002,7.10235,1.1667,1.85734,0.6853,7.95522,0.8212,3.93373,0.5663,2.73549,2.036,22.7597,18.6891
8,2010-01-09,00:00:00.00,0,6.17938,4.5307,2.71676,20,1.34472,1.74,4.54695,0.815,9.15024,4.81,2.23118,1.25,2.37764,0.78,4.28178,1.63,3.31704,0.668,2.10096,1.5,1.3727,0.144,9.54215,2.33,2.5529,2.97,3.38734,0.36,2.23667,0.7,1.70426,0.1,14.9681,1.5999,6.01062,0.7277,4.80017,1.0364,8.31996,7.2774,5.7189,8.4951,9.61966,11.4117,7.6592,1.2431,1.91801,0.6315,8.4792,0.7362,4.19237,0.5947,2.91462,2.1039,24.5782,19.1422
9,2010-01-10,00:00:00.00,0,6.5549,4.7289,2.71745,18.5,1.34197,1.68,4.81716,0.75,9.66487,4.4,2.21568,1.2,2.42227,0.77,4.50994,1.59,3.43731,0.66,2.13512,1.46,1.36246,0.139,10.112,2.28,2.54694,2.82,3.58951,0.335,2.29902,0.63,1.69907,0.087,15.8736,1.515,6.35875,0.6853,5.07963,1.076,8.84243,7.0509,6.04049,8.0986,10.1808,11.0153,8.18864,1.1525,1.97494,0.5748,8.97888,0.623,4.44593,0.538,3.08417,2.1464,26.2269,18.859
