time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub684 [m3/s],sub685 [m3/s],sub687 [m3/s],sub687 (observed) [m3/s],sub686 [m3/s],sub686 (observed) [m3/s],sub699 [m3/s],sub699 (observed) [m3/s],sub703 [m3/s],sub703 (observed) [m3/s],sub700 [m3/s],sub700 (observed) [m3/s],sub701 [m3/s],sub702 [m3/s],sub702 (observed) [m3/s],sub697 [m3/s],sub697 (observed) [m3/s],sub696 [m3/s],sub696 (observed) [m3/s],sub698 [m3/s],sub682 [m3/s],sub694 [m3/s],sub694 (observed) [m3/s],sub695 [m3/s],sub695 (observed) [m3/s],sub680 [m3/s],sub680 (observed) [m3/s],sub681 [m3/s],sub681 (observed) [m3/s],sub691 [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub693 [m3/s],sub689 [m3/s],sub690 [m3/s],sub690 (observed) [m3/s],sub707 [m3/s],sub707 (observed) [m3/s],sub709 [m3/s],sub709 (observed) [m3/s],sub712 [m3/s],sub712 (observed) [m3/s],sub713 [m3/s],sub713 (observed) [m3/s],sub714 [m3/s],sub714 (observed) [m3/s],sub715 [m3/s],sub715 (observed) [m3/s],sub723 [m3/s],sub724 [m3/s],sub716 [m3/s],sub716 (observed) [m3/s],sub717 [m3/s],sub717 (observed) [m3/s],sub718 [m3/s],sub718 (observed) [m3/s],sub719 [m3/s],sub719 (observed) [m3/s],sub720 [m3/s],sub722 [m3/s],sub722 (observed) [m3/s],sub721 [m3/s],sub721 (observed) [m3/s],sub710 [m3/s],sub710 (observed) [m3/s],sub704 [m3/s],sub704 (observed) [m3/s],sub705 [m3/s],sub705 (observed) [m3/s],sub688 [m3/s],sub688 (observed) [m3/s],sub706 [m3/s],sub706 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,2.86796,6.81493,4.83369,8.74396,45.598,,3.40662,,2.78057,,6.00128,,3.14187,,3.36567,5.80001,,2.09728,,10.0431,,6.31558,2.13993,4.59518,,2.51825,,4.14043,,3.31416,,5.95992,16.503,,9.87249,5.79203,8.21065,,14.6043,,24.8878,,2.02277,,145.389,,12.1879,,27.7277,,2.89341,5.88321,8.06497,,5.94472,,8.54681,,19.8297,,2.011,5.53506,,16.0372,,4.35716,,10.3265,,3.37889,,2.07927,,3.39367,
1,2010-01-02,00:00:00.00,0,2.64948,6.49598,4.62778,8.61751,45.3069,38,3.1152,2.5,2.42124,1.05,5.80049,6.3,2.6128,0.983,3.12863,5.62532,4.5,1.87383,0.329,9.68678,5.6,6.10804,1.7807,4.3161,3.85,2.31509,0.42,3.87283,1.2148,3.16247,1.7273,5.79599,16.0774,19.0289,9.54224,5.63508,7.93728,2.7581,14.2728,18.3776,24.5178,24.4374,1.90292,1.6424,145.081,130.824,11.9308,2.2965,27.3453,9.6277,2.74978,5.61062,7.61678,5.805,5.67642,3.1149,8.10885,4.7289,19.5492,25.202,1.82594,5.14025,6.4846,15.8214,20.7846,4.19751,6.3996,10.114,21.6907,3.18053,,1.89964,4.1343,3.20107,7.419
2,2010-01-03,00:00:00.00,0,2.19376,6.04939,4.31137,8.34533,44.5576,27,2.65534,2.2,1.87118,1,5.48282,5.78,2.04996,0.85,2.75623,5.22184,4.2,1.53426,0.2,9.05717,4.8,5.61352,1.39957,3.9116,3,2.01225,0.3,3.46754,0.8778,2.8934,1.4187,5.40999,14.9826,16.1123,8.80915,5.32374,7.37213,2.2682,13.7227,17.0751,23.5324,21.9456,1.66128,1.2912,144.301,107.604,11.4617,3.1149,26.5098,8.7782,2.45446,5.2291,6.76151,4.1059,5.27631,2.8317,7.3112,5.097,18.9122,22.7101,1.56495,4.45074,4.644,15.3845,16.0557,3.99198,5.9749,9.64728,20.4164,2.91442,,1.52228,3.3131,2.89205,5.6917
3,2010-01-04,00:00:00.00,7.41156e-10,1.89675,5.75183,4.06929,8.08148,43.6121,22,2.39967,1.85,1.73569,0.947,5.24124,5.2,1.98357,0.803,2.50919,4.8587,4.05,1.37456,0.131,8.71512,4.2,5.1244,1.35648,3.65852,2.2,1.84123,0.22,3.21958,0.807,2.67517,1.3762,4.97783,13.7847,15.4893,8.16304,5.04851,6.95624,2.1379,13.2828,16.0273,22.3617,19.8784,1.4695,1.0194,143.358,97.6931,11.0052,2.2653,25.6975,7.9287,2.19227,4.99643,6.15307,3.9644,5.01533,2.8034,6.75232,6.6545,18.3339,18.859,1.4389,4.13159,4.4741,15.0237,14.3283,3.88191,5.4935,9.177,21.0961,2.77527,,1.31993,2.7977,2.68213,5.3802
4,2010-01-05,00:00:00.00,0,1.80375,5.40707,3.79813,7.85903,42.6125,26,2.249,1.65,1.71634,0.895,4.9911,5.12,1.91942,0.78,2.30647,4.60173,3.92,1.30419,0.13,8.43853,3.8,4.76113,1.31485,3.4246,1.4,1.71622,0.18,3.01909,0.8778,2.48779,1.3026,4.6073,12.8604,12.6293,7.66511,4.80276,6.6998,2.288,12.8352,16.5087,21.4304,18.0661,1.355,0.8891,142.471,54.6515,10.4896,1.8406,24.9248,7.3624,2.00642,4.74795,5.79276,5.097,4.76045,2.6051,6.34702,7.7022,17.8431,18.9723,1.35224,3.9746,4.1909,14.7405,14.1867,3.72902,5.3519,8.7557,21.0961,2.63009,,1.29279,3.0582,2.51202,5.8333
5,2010-01-06,00:00:00.00,0,1.73934,5.08089,3.5353,7.65037,41.5292,31,2.13556,1.5,1.63957,0.86,4.7419,5.08,1.85744,0.749,2.15405,4.35996,3.79,1.25496,0.132,8.08167,3.45,4.46703,1.27463,3.22048,1.1,1.61192,0.15,2.85339,0.9005,2.32855,1.2573,4.30869,12.08,12.8275,7.20256,4.53624,6.4242,2.1492,12.3294,15.2345,20.6901,16.9335,1.27724,0.7646,141.631,32.2812,9.93883,1.4158,24.0733,6.796,1.87842,4.50387,5.49954,4.5307,4.51629,2.2653,5.98175,6.5695,17.2994,20.3881,1.28687,3.77569,4.021,14.4508,17.4715,3.55156,5.182,8.34491,21.5208,2.48235,,1.2509,3.1149,2.37131,5.9182
6,2010-01-07,00:00:00.00,0,1.68208,4.74435,3.30814,7.4359,40.3874,30.5,2.04333,1.38,1.59477,0.828,4.49889,5.05,1.79756,0.722,2.04785,4.12807,3.68,1.21159,0.14,7.77704,3.23,4.22336,1.23577,3.03549,0.95,1.52217,0.13,2.71335,0.8608,2.19548,1.1921,4.05897,11.4027,11.7515,6.83172,4.25698,6.12637,2.0388,11.7172,14.7531,19.9764,16.0273,1.2137,0.7362,140.434,28.8832,9.38646,1.1327,23.244,6.2297,1.78616,4.27348,5.24654,3.5396,4.28881,2.0388,5.68208,5.4652,16.7484,19.7085,1.23364,3.6194,4.021,14.1514,17.4715,3.37592,4.9554,7.93578,21.0961,2.34545,,1.21249,3.0016,2.2491,5.72
7,2010-01-08,00:00:00.00,1.02584e-06,1.63087,4.40252,3.11644,7.20806,39.2911,34,1.96361,1.3,1.53654,0.805,4.25352,5.02,1.7397,0.7,1.96625,3.91273,3.62,1.17086,0.148,7.47557,3.08,4.01937,1.19823,2.87585,0.82,1.45174,0.115,2.57811,0.8042,2.08461,1.127,3.85397,10.8539,11.1002,6.50474,3.99903,5.81657,1.9142,11.0538,14.8947,19.286,15.3477,1.16058,0.6853,138.384,26.5895,8.86599,1.0477,22.4452,5.9465,1.71409,4.06142,5.02136,2.9733,4.08374,1.9822,5.41873,4.4457,16.203,18.6891,1.18761,3.44713,3.9927,13.8386,16.622,3.20583,4.7289,7.53487,21.9456,2.22818,,1.17511,3.1432,2.13346,5.9465
8,2010-01-09,00:00:00.00,0,1.58145,4.13127,2.9543,6.97054,38.1749,30,1.89168,1.25,1.48972,0.78,3.96096,4.95,1.68381,0.668,1.89685,3.71861,3.54,1.13153,0.144,7.17708,2.97,3.84584,1.16195,2.74167,0.7,1.39343,0.1,2.45009,0.7277,1.99104,1.0364,3.68116,10.3677,11.4117,6.19802,3.78259,5.51563,2.0077,10.4245,14.5265,18.6008,15.0362,1.11801,0.6315,135.502,34.5466,8.4074,0.9911,21.6314,6.2297,1.65317,3.86927,4.81914,2.8317,3.90716,1.8972,5.18075,3.9644,15.6699,19.1422,1.14615,3.29199,3.8794,13.5341,16.4521,3.04584,4.5307,7.16176,22.7951,2.12617,,1.13903,2.9733,2.0286,5.6917
9,2010-01-10,00:00:00.00,0,1.53371,3.92671,2.81707,6.73125,36.9601,26,1.82492,1.2,1.43852,0.77,3.67528,4.9,1.6298,0.66,1.83401,3.52431,3.48,1.09331,0.139,6.88187,2.82,3.69307,1.12691,2.62599,0.63,1.34195,0.087,2.34427,0.6853,1.91035,1.076,3.53258,9.91569,11.0153,5.93096,3.60972,5.24123,1.9369,9.86957,13.5921,17.9135,14.7248,1.07999,0.5748,132.328,35.1129,8.01836,0.9628,20.821,5.6634,1.59858,3.69604,4.63567,2.6901,3.75112,1.784,4.96222,3.7661,15.1413,18.859,1.10782,3.15554,3.9644,13.2477,16.622,2.89944,4.7289,6.81629,22.7951,2.03597,,1.10417,2.6051,1.94089,5.0687
