time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
91,2010-04-02,00:00:00.00,0.0188114,13.0584,42
92,2010-04-03,00:00:00.00,0.00585121,10.2364,38.5
93,2010-04-04,00:00:00.00,0.210748,8.27023,37
94,2010-04-05,00:00:00.00,0.177993,6.96275,36.5
95,2010-04-06,00:00:00.00,0.214585,5.99368,35.3
96,2010-04-07,00:00:00.00,13.1371,17.6208,41.9
97,2010-04-08,00:00:00.00,8.99576,35.205,51.9
98,2010-04-09,00:00:00.00,16.6961,53.6501,85.4
99,2010-04-10,00:00:00.00,0.288266,61.5814,154
100,2010-04-11,00:00:00.00,0.912801,53.0203,134
101,2010-04-12,00:00:00.00,0.0113833,44.5128,96.6
102,2010-04-13,00:00:00.00,0.000201915,35.3541,73.2
103,2010-04-14,00:00:00.00,0.000312778,27.6407,59.7
104,2010-04-15,00:00:00.00,0.00114148,21.4809,50.3
105,2010-04-16,00:00:00.00,0.000501498,16.6511,45.4
106,2010-04-17,00:00:00.00,0.183571,13.1109,42.4
107,2010-04-18,00:00:00.00,0.670946,10.9355,38
108,2010-04-19,00:00:00.00,0.217725,9.66783,35
109,2010-04-20,00:00:00.00,4.3299e-308,8.25599,33.7
110,2010-04-21,00:00:00.00,0.00808346,6.69322,31.9
111,2010-04-22,00:00:00.00,0.000744254,5.50081,31
112,2010-04-23,00:00:00.00,0.000176523,4.58325,29.8
113,2010-04-24,00:00:00.00,7.4194e-308,3.91086,29.8
114,2010-04-25,00:00:00.00,0.0213285,3.43033,28.3
115,2010-04-26,00:00:00.00,10.4615,11.5484,29.1
116,2010-04-27,00:00:00.00,0.0313485,17.7368,34.2
117,2010-04-28,00:00:00.00,0.000480498,13.8582,31.7
118,2010-04-29,00:00:00.00,7.12795e-308,10.8254,29.2
119,2010-04-30,00:00:00.00,0.0081926,8.55083,27.2
120,2010-05-01,00:00:00.00,0.00313715,6.7831,26.3
121,2010-05-02,00:00:00.00,2.50031,7.13703,25.9
122,2010-05-03,00:00:00.00,1.9977,8.65479,26.2
123,2010-05-04,00:00:00.00,13.4949,16.5189,28.7
124,2010-05-05,00:00:00.00,0.25464,21.6989,33.1
125,2010-05-06,00:00:00.00,10.5484,24.222,33.8
126,2010-05-07,00:00:00.00,0.032395,26.259,35.7
127,2010-05-08,00:00:00.00,25.3044,39.0796,32.4
128,2010-05-09,00:00:00.00,7.2515,57.0073,75.9
129,2010-05-10,00:00:00.00,0.192695,56.3447,166
130,2010-05-11,00:00:00.00,0.0037465,49.0058,138
131,2010-05-12,00:00:00.00,4.45579,45.204,93.1
132,2010-05-13,00:00:00.00,0.384712,41.6755,67.2
133,2010-05-14,00:00:00.00,13.7519,49.6133,52
134,2010-05-15,00:00:00.00,0.80785,56.9351,55.3
135,2010-05-16,00:00:00.00,0.00154034,46.7496,74.1
136,2010-05-17,00:00:00.00,0.00141615,36.745,72.8
137,2010-05-18,00:00:00.00,0.00130253,28.5381,55.2
138,2010-05-19,00:00:00.00,0.0210113,21.9805,44.3
139,2010-05-20,00:00:00.00,0.000293229,16.9196,36.9
140,2010-05-21,00:00:00.00,0.00219972,13.0746,33.7
141,2010-05-22,00:00:00.00,0.0124973,10.1864,31.4
142,2010-05-23,00:00:00.00,3.1232,11.1362,29.3
143,2010-05-24,00:00:00.00,0.0154317,11.8313,29.3
144,2010-05-25,00:00:00.00,0.000511313,9.21138,27.8
145,2010-05-26,00:00:00.00,0.00152414,7.23766,26.6
146,2010-05-27,00:00:00.00,0.000645705,5.76368,25.3
147,2010-05-28,00:00:00.00,0.345183,4.91183,24.2
148,2010-05-29,00:00:00.00,0.107077,4.34766,23.3
149,2010-05-30,00:00:00.00,0.124249,3.75994,22.4
150,2010-05-31,00:00:00.00,0.0035533,3.26144,21.6
151,2010-06-01,00:00:00.00,2.65204,4.09366,21.8
152,2010-06-02,00:00:00.00,4.57338,6.68665,25.4
153,2010-06-03,00:00:00.00,21.2782,16.3759,24.4
154,2010-06-04,00:00:00.00,12.6982,28.871,31.5
155,2010-06-05,00:00:00.00,6.70298,34.877,47.5
156,2010-06-06,00:00:00.00,1.04185,34.6551,44.4
157,2010-06-07,00:00:00.00,23.4048,45.1968,68.1
158,2010-06-08,00:00:00.00,0.00124332,54.9009,75
159,2010-06-09,00:00:00.00,0.00998546,48.1769,71.1
160,2010-06-10,00:00:00.00,15.5415,54.3123,59
161,2010-06-11,00:00:00.00,0.141683,59.4929,66
162,2010-06-12,00:00:00.00,0.0290038,49.3599,63.1
163,2010-06-13,00:00:00.00,3.66988,43.383,56.8
164,2010-06-14,00:00:00.00,0.596,38.4942,47.7
165,2010-06-15,00:00:00.00,0.459548,30.9335,43.7
166,2010-06-16,00:00:00.00,0.00922618,24.2818,38.3
167,2010-06-17,00:00:00.00,12.4403,31.276,39.2
168,2010-06-18,00:00:00.00,0.0194965,37.0238,41.6
169,2010-06-19,00:00:00.00,0.015695,28.9066,36.6
170,2010-06-20,00:00:00.00,0.133829,22.4024,33.8
171,2010-06-21,00:00:00.00,0.00978818,17.2415,34.4
172,2010-06-22,00:00:00.00,0.025109,13.2367,29.8
173,2010-06-23,00:00:00.00,11.945,20.2992,29.7
174,2010-06-24,00:00:00.00,0.658708,26.3402,35.6
175,2010-06-25,00:00:00.00,13.0627,31.4992,31.3
176,2010-06-26,00:00:00.00,0.116866,35.5171,36.1
177,2010-06-27,00:00:00.00,7.86515,34.9392,57.9
178,2010-06-28,00:00:00.00,26.2194,57.1167,70.5
179,2010-06-29,00:00:00.00,0.403578,71.4317,143
180,2010-06-30,00:00:00.00,0.0388696,61.0062,270
181,2010-07-01,00:00:00.00,0.0060792,49.821,201
182,2010-07-02,00:00:00.00,0.0293911,39.8009,102
183,2010-07-03,00:00:00.00,0.00543333,31.208,56.6
184,2010-07-04,00:00:00.00,0.000395527,24.134,37.2
185,2010-07-05,00:00:00.00,0.000727803,18.5429,31.5
