Subbasin,Gauge,Column_name_output	   
61 ,02GG003   ,	FLOW_OUTcms		   	
88 ,04166500  ,	FLOW_OUTcms		   	
170,04199500  ,	FLOW_OUTcms		   	
13 ,02GB001   ,	FLOW_OUTcms		   	
12 ,02GB007   ,	FLOW_OUTcms		   	
56 ,02GC007   ,	FLOW_OUTcms		   	
53 ,02GC026   ,	FLOW_OUTcms		   	
49 ,02GC018   ,	FLOW_OUTcms		   	
46 ,02GC002   ,	FLOW_OUTcms		   	
86 ,02GE007   ,	FLOW_OUTcms		   	
47 ,02GG013   ,	FLOW_OUTcms		   	
37 ,02GG009   ,	FLOW_OUTcms		   	
26 ,04160600  ,	FLOW_OUTcms		   	
14 ,04159900  ,	FLOW_OUTcms		   	
69 ,04165500  ,	FLOW_OUTcms		   	
94 ,04174500  , FLOW_OUTcms		   	
112,04176500  ,	FLOW_OUTcms		   	
125,04177000  ,	FLOW_OUTcms		   	
141,04193500  ,	FLOW_OUTcms		   	
140,04195820  ,	FLOW_OUTcms		   	
155,04198000  ,	FLOW_OUTcms		   	
158,04199000  ,	FLOW_OUTcms		   	
156,04200500  ,	FLOW_OUTcms		   	
143,04208504  ,	FLOW_OUTcms		   	
131,04209000  ,	FLOW_OUTcms		   	
123,04212100  ,	FLOW_OUTcms		   	
118,04213000  ,	FLOW_OUTcms		   	
85 ,04213500  ,	FLOW_OUTcms                	
27 ,04215000  ,	FLOW_OUTcms 	
55 ,04214500  ,	FLOW_OUTcms 	
42 ,04215500  ,	FLOW_OUTcms 	
