time,date,hour,precip [mm/day],02GB007 [m3/s],02GB007 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,1.78874,0.0151723,2.5
2,2010-01-03,00:00:00.00,0.159852,0.0511912,2.2
3,2010-01-04,00:00:00.00,0.115594,0.0720465,1.85
4,2010-01-05,00:00:00.00,0.0644201,0.0719441,1.65
5,2010-01-06,00:00:00.00,2.46143,0.0717226,1.5
6,2010-01-07,00:00:00.00,0.865784,0.0715023,1.38
7,2010-01-08,00:00:00.00,0.495045,0.0712831,1.3
8,2010-01-09,00:00:00.00,5.10285,0.071065,1.25
9,2010-01-10,00:00:00.00,0.00325152,0.070848,1.2
10,2010-01-11,00:00:00.00,0.0255741,0.0706321,1.15
11,2010-01-12,00:00:00.00,2.49769,0.0704173,1.12
12,2010-01-13,00:00:00.00,1.34577,0.0702036,1.15
13,2010-01-14,00:00:00.00,0.0282488,0.0699909,1.12
14,2010-01-15,00:00:00.00,0.0070885,0.0697794,1.11
15,2010-01-16,00:00:00.00,0.0733917,0.0695688,1.18
16,2010-01-17,00:00:00.00,0.00711728,0.0693594,1.27
17,2010-01-18,00:00:00.00,0.0218338,0.0691509,1.24
18,2010-01-19,00:00:00.00,0.0249258,0.0689436,1.22
19,2010-01-20,00:00:00.00,0.291963,0.0687372,1.21
20,2010-01-21,00:00:00.00,0.117313,0.0685319,1.18
21,2010-01-22,00:00:00.00,0.0302938,0.0683275,1.13
22,2010-01-23,00:00:00.00,0.00714415,0.0681242,1.1
23,2010-01-24,00:00:00.00,0.00560313,0.0679219,1.12
24,2010-01-25,00:00:00.00,5.79995,0.15126,1.21
25,2010-01-26,00:00:00.00,14.4316,0.600143,9
26,2010-01-27,00:00:00.00,0.900495,0.979699,14.3
27,2010-01-28,00:00:00.00,1.02885,0.541955,9.5
28,2010-01-29,00:00:00.00,1.09688,0.0873489,5.2
29,2010-01-30,00:00:00.00,0.662128,0.0844456,4.1
30,2010-01-31,00:00:00.00,0.00301484,0.0841464,3.1
31,2010-02-01,00:00:00.00,0.303274,0.0838491,2.7
32,2010-02-02,00:00:00.00,0.771612,0.0835535,2.35
33,2010-02-03,00:00:00.00,1.01536,0.0832597,2
34,2010-02-04,00:00:00.00,1.81026,0.0829677,1.8
35,2010-02-05,00:00:00.00,0.0052812,0.0826774,1.61
36,2010-02-06,00:00:00.00,0.0156148,0.0823888,1.45
37,2010-02-07,00:00:00.00,0.0227863,0.082102,1.3
38,2010-02-08,00:00:00.00,0.00515638,0.0818169,1.22
39,2010-02-09,00:00:00.00,0,0.0815336,1.1
40,2010-02-10,00:00:00.00,0.302981,0.0812519,1.01
41,2010-02-11,00:00:00.00,2.87774,0.0809719,0.98
42,2010-02-12,00:00:00.00,0.0998096,0.0806937,0.94
43,2010-02-13,00:00:00.00,0.0514753,0.080417,0.89
44,2010-02-14,00:00:00.00,0.0949173,0.080142,0.87
45,2010-02-15,00:00:00.00,0.255496,0.0798687,0.84
46,2010-02-16,00:00:00.00,0.149335,0.0795969,0.836
47,2010-02-17,00:00:00.00,0.265344,0.0793268,0.82
48,2010-02-18,00:00:00.00,0.147173,0.0790584,0.81
49,2010-02-19,00:00:00.00,0.0155043,0.0787915,0.8
50,2010-02-20,00:00:00.00,0.0115555,0.0785262,0.81
51,2010-02-21,00:00:00.00,0.00027273,0.0782625,0.815
52,2010-02-22,00:00:00.00,2.22875e-308,0.0780002,0.83
53,2010-02-23,00:00:00.00,8.69476,0.0847969,0.855
54,2010-02-24,00:00:00.00,3.8319,0.110562,0.875
55,2010-02-25,00:00:00.00,0.332247,0.125935,0.89
56,2010-02-26,00:00:00.00,2.20611,0.100284,0.915
57,2010-02-27,00:00:00.00,7.82192,0.117061,0.925
58,2010-02-28,00:00:00.00,1.55612,0.170838,0.95
59,2010-03-01,00:00:00.00,0.279008,0.132516,0.98
60,2010-03-02,00:00:00.00,0.010217,0.0789414,1.05
61,2010-03-03,00:00:00.00,0.000478429,0.0783717,1.19
62,2010-03-04,00:00:00.00,8.59914e-308,0.0781094,1.3
63,2010-03-05,00:00:00.00,0.000101626,0.0778485,1.45
64,2010-03-06,00:00:00.00,0,0.0775893,1.62
