time,date,hour,precip [mm/day],02GG013 [m3/s],02GG013 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.226944,6.31039e-05,0.42
2,2010-01-03,00:00:00.00,0.653749,0.000126264,0.3
3,2010-01-04,00:00:00.00,2.25592,0.000126376,0.22
4,2010-01-05,00:00:00.00,9.49374,0.000126488,0.18
5,2010-01-06,00:00:00.00,7.06745,0.000126599,0.15
6,2010-01-07,00:00:00.00,0.102081,0.000126711,0.13
7,2010-01-08,00:00:00.00,0.998167,0.000126821,0.115
8,2010-01-09,00:00:00.00,6.11777,0.000126932,0.1
9,2010-01-10,00:00:00.00,1.13886,0.000127042,0.087
10,2010-01-11,00:00:00.00,0.11695,0.000127152,0.078
11,2010-01-12,00:00:00.00,1.60433,0.000127261,0.07
12,2010-01-13,00:00:00.00,0.368181,0.000127371,0.064
13,2010-01-14,00:00:00.00,0,0.00012748,0.058
14,2010-01-15,00:00:00.00,3.34457e-308,0.000127588,0.055
15,2010-01-16,00:00:00.00,0.0100225,0.000127696,0.053
16,2010-01-17,00:00:00.00,0.000977686,0.000127804,0.051
17,2010-01-18,00:00:00.00,0.00153796,0.000127912,0.049
18,2010-01-19,00:00:00.00,0.00752913,0.000128019,0.047
19,2010-01-20,00:00:00.00,0.564705,0.000128126,0.045
20,2010-01-21,00:00:00.00,0.399277,0.000128233,0.044
21,2010-01-22,00:00:00.00,0.000520801,0.000128339,0.043
22,2010-01-23,00:00:00.00,0.00531774,0.000128445,0.042
23,2010-01-24,00:00:00.00,0.00995678,0.000128551,0.041
24,2010-01-25,00:00:00.00,7.00294,0.251755,0.18
25,2010-01-26,00:00:00.00,9.14436,3.15644,3
26,2010-01-27,00:00:00.00,1.10356,2.91152,15.8
27,2010-01-28,00:00:00.00,0.159273,0.013603,19.1
28,2010-01-29,00:00:00.00,0.426521,0.0137281,9.69
29,2010-01-30,00:00:00.00,0.00437808,0.0138473,3.8
30,2010-01-31,00:00:00.00,0.0100117,0.0139612,2.2
31,2010-02-01,00:00:00.00,0.101258,0.0140699,1.3
