time,date,hour,precip [mm/day],02GG009 [m3/s],02GG009 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.804727,0.0209058,3.85
2,2010-01-03,00:00:00.00,4.14688,0.070536,3
3,2010-01-04,00:00:00.00,7.07762,0.0992723,2.2
4,2010-01-05,00:00:00.00,10.2192,0.0991312,1.4
5,2010-01-06,00:00:00.00,9.52675,0.098826,1.1
6,2010-01-07,00:00:00.00,0.594665,0.0985224,0.95
7,2010-01-08,00:00:00.00,1.30324,0.0982204,0.82
8,2010-01-09,00:00:00.00,8.19305,0.0979199,0.7
9,2010-01-10,00:00:00.00,1.44937,0.0976209,0.63
10,2010-01-11,00:00:00.00,0.170713,0.0973234,0.56
11,2010-01-12,00:00:00.00,1.68617,0.0970274,0.5
12,2010-01-13,00:00:00.00,0.512846,0.0967329,0.46
13,2010-01-14,00:00:00.00,9.77881e-05,0.0964399,0.423
14,2010-01-15,00:00:00.00,0.00010887,0.0961484,0.41
15,2010-01-16,00:00:00.00,0.0198494,0.0958582,0.395
16,2010-01-17,00:00:00.00,0.00200276,0.0955696,0.38
17,2010-01-18,00:00:00.00,0.00120943,0.0952824,0.37
18,2010-01-19,00:00:00.00,0.00475248,0.0949966,0.36
19,2010-01-20,00:00:00.00,0.839547,0.0947123,0.35
20,2010-01-21,00:00:00.00,0.776304,0.0944294,0.34
21,2010-01-22,00:00:00.00,0.000491195,0.0941478,0.335
22,2010-01-23,00:00:00.00,0.00475559,0.0938677,0.33
23,2010-01-24,00:00:00.00,0.00512152,0.0935889,0.325
24,2010-01-25,00:00:00.00,5.15766,0.205335,0.32
25,2010-01-26,00:00:00.00,8.61924,0.566869,1.5
26,2010-01-27,00:00:00.00,1.41256,0.743819,10.8
27,2010-01-28,00:00:00.00,0.214552,0.390093,22.4
28,2010-01-29,00:00:00.00,0.582043,0.107276,27.2
29,2010-01-30,00:00:00.00,0.0584538,0.105314,24.3
30,2010-01-31,00:00:00.00,0.033962,0.10497,12.4
31,2010-02-01,00:00:00.00,0.164065,0.104627,7.15
32,2010-02-02,00:00:00.00,0.0564501,0.104287,5.1
33,2010-02-03,00:00:00.00,1.01969,0.103948,3.72
34,2010-02-04,00:00:00.00,1.21057,0.103611,2.97
35,2010-02-05,00:00:00.00,0.00431271,0.103276,2.45
36,2010-02-06,00:00:00.00,4.728e-05,0.102942,2.09
37,2010-02-07,00:00:00.00,0.00014816,0.102611,1.7
38,2010-02-08,00:00:00.00,0.0074962,0.102281,1.4
39,2010-02-09,00:00:00.00,0.0037997,0.101953,1.2
40,2010-02-10,00:00:00.00,2.9674,0.101627,1.05
41,2010-02-11,00:00:00.00,10.7887,0.101302,0.9
42,2010-02-12,00:00:00.00,0.96515,0.10098,0.8
43,2010-02-13,00:00:00.00,0.0406583,0.100659,0.7
44,2010-02-14,00:00:00.00,0.0351542,0.10034,0.64
45,2010-02-15,00:00:00.00,0.0638295,0.100022,0.58
46,2010-02-16,00:00:00.00,0.10937,0.0997064,0.53
47,2010-02-17,00:00:00.00,2.20678,0.0993923,0.49
48,2010-02-18,00:00:00.00,0.8064,0.0990799,0.465
49,2010-02-19,00:00:00.00,0.0133935,0.0987692,0.44
50,2010-02-20,00:00:00.00,1.47508e-06,0.0984601,0.42
51,2010-02-21,00:00:00.00,3.82945e-05,0.0981526,0.4
52,2010-02-22,00:00:00.00,0.000125195,0.0978467,0.38
53,2010-02-23,00:00:00.00,13.9774,0.190247,0.36
54,2010-02-24,00:00:00.00,0.62961,0.317954,0.35
55,2010-02-25,00:00:00.00,0.258349,0.22763,0.34
56,2010-02-26,00:00:00.00,2.39834,0.101271,0.33
57,2010-02-27,00:00:00.00,7.2787,0.100229,0.36
58,2010-02-28,00:00:00.00,3.24235,0.114347,0.4
59,2010-03-01,00:00:00.00,0.394503,0.133965,0.44
60,2010-03-02,00:00:00.00,0.00902802,0.119634,0.56
61,2010-03-03,00:00:00.00,0.00542914,0.099692,0.65
62,2010-03-04,00:00:00.00,0.00139387,0.0992656,0.8
63,2010-03-05,00:00:00.00,0.000187577,0.0989535,0.95
64,2010-03-06,00:00:00.00,0.000204243,0.098643,1.2
65,2010-03-07,00:00:00.00,0,0.0983342,1.6
66,2010-03-08,00:00:00.00,0,0.0980269,2.1
67,2010-03-09,00:00:00.00,0,0.097721,3.2
68,2010-03-10,00:00:00.00,0.000651306,0.0974166,6
69,2010-03-11,00:00:00.00,0.0250241,0.0971143,11
70,2010-03-12,00:00:00.00,0.00436932,0.0968141,20.9
71,2010-03-13,00:00:00.00,3.27508,0.143537,28.7
72,2010-03-14,00:00:00.00,6.45995,0.367968,58.4
73,2010-03-15,00:00:00.00,5.3379,1.86303,80.4
74,2010-03-16,00:00:00.00,0.11679,5.21461,66
75,2010-03-17,00:00:00.00,3.36744e-07,7.05734,45
76,2010-03-18,00:00:00.00,0,4.8549,26.7
77,2010-03-19,00:00:00.00,0,1.58638,13.5
78,2010-03-20,00:00:00.00,0.00112127,0.32111,8.87
79,2010-03-21,00:00:00.00,0.105988,0.31261,6.56
80,2010-03-22,00:00:00.00,0.0656195,0.311336,4.97
81,2010-03-23,00:00:00.00,2.96223,0.365961,3.8
82,2010-03-24,00:00:00.00,0.122246,0.441974,3.11
83,2010-03-25,00:00:00.00,7.92204e-06,0.387377,2.65
84,2010-03-26,00:00:00.00,0.350767,0.311061,2.3
85,2010-03-27,00:00:00.00,0.000117767,0.309609,1.91
86,2010-03-28,00:00:00.00,0.0231428,0.308639,1.56
87,2010-03-29,00:00:00.00,4.73819,0.461208,1.5
88,2010-03-30,00:00:00.00,3.21989,0.751879,1.68
89,2010-03-31,00:00:00.00,0.000143116,0.714191,1.66
90,2010-04-01,00:00:00.00,0.00300828,0.431184,1.63
91,2010-04-02,00:00:00.00,7.12305e-05,0.322558,1.51
92,2010-04-03,00:00:00.00,0,0.321325,1.32
93,2010-04-04,00:00:00.00,0.130072,0.320758,1.2
94,2010-04-05,00:00:00.00,0.17083,0.320243,1.1
95,2010-04-06,00:00:00.00,1.79037,0.319781,1.02
96,2010-04-07,00:00:00.00,26.5444,1.56422,3.54
97,2010-04-08,00:00:00.00,8.94295,3.62295,13.4
98,2010-04-09,00:00:00.00,15.1628,3.64257,27.1
99,2010-04-10,00:00:00.00,0.0491091,2.66918,33.4
100,2010-04-11,00:00:00.00,0.00017981,1.53137,34.6
101,2010-04-12,00:00:00.00,0.586,0.568192,19.7
102,2010-04-13,00:00:00.00,0,0.565137,9.05
103,2010-04-14,00:00:00.00,1.05016,0.567735,6.05
104,2010-04-15,00:00:00.00,0.188769,0.570456,4.45
105,2010-04-16,00:00:00.00,3.91802e-05,0.573298,3.44
106,2010-04-17,00:00:00.00,0.152835,0.576257,2.83
107,2010-04-18,00:00:00.00,0.586745,0.579329,2.37
