time,date,hour,precip [mm/day],02GC007 [m3/s],02GC007 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,1.5256,0.0221149,6.3
2,2010-01-03,00:00:00.00,0.158213,0.0746155,5.78
3,2010-01-04,00:00:00.00,0.685324,0.105014,5.2
4,2010-01-05,00:00:00.00,0.278481,0.104864,5.12
5,2010-01-06,00:00:00.00,3.71368,0.104542,5.08
6,2010-01-07,00:00:00.00,0.740599,0.104221,5.05
7,2010-01-08,00:00:00.00,1.08146,0.103901,5.02
8,2010-01-09,00:00:00.00,7.51363,0.103583,4.95
9,2010-01-10,00:00:00.00,0.0120527,0.103267,4.9
10,2010-01-11,00:00:00.00,0.159235,0.102952,4.8
11,2010-01-12,00:00:00.00,2.06031,0.102639,4.85
12,2010-01-13,00:00:00.00,0.536697,0.102327,4.75
13,2010-01-14,00:00:00.00,0.00156013,0.102018,4.7
14,2010-01-15,00:00:00.00,0.00207218,0.101709,4.65
15,2010-01-16,00:00:00.00,0.409066,0.101402,4.6
16,2010-01-17,00:00:00.00,0.0286637,0.101097,4.52
17,2010-01-18,00:00:00.00,0.00138308,0.100793,4.5
18,2010-01-19,00:00:00.00,0.000888524,0.100491,4.48
19,2010-01-20,00:00:00.00,0.0588443,0.10019,4.45
20,2010-01-21,00:00:00.00,0.0294044,0.0998908,4.42
21,2010-01-22,00:00:00.00,0.0020347,0.099593,4.41
22,2010-01-23,00:00:00.00,0.00664504,0.0992967,4.4
23,2010-01-24,00:00:00.00,0.000562553,0.0990017,4.39
24,2010-01-25,00:00:00.00,7.52213,0.277947,4.7
25,2010-01-26,00:00:00.00,14.8314,1.03165,10.2
26,2010-01-27,00:00:00.00,1.06907,1.5568,12.8
27,2010-01-28,00:00:00.00,0.752741,0.8212,10.4
28,2010-01-29,00:00:00.00,3.31327,0.130882,9.5
29,2010-01-30,00:00:00.00,0.477651,0.126472,6.75
30,2010-01-31,00:00:00.00,0.0064171,0.126014,5.8
31,2010-02-01,00:00:00.00,0.415132,0.125559,5.3
32,2010-02-02,00:00:00.00,0.582144,0.125107,5.2
33,2010-02-03,00:00:00.00,1.04252,0.124657,5.1
34,2010-02-04,00:00:00.00,1.68758,0.124211,4.98
35,2010-02-05,00:00:00.00,0.147838,0.123767,4.83
36,2010-02-06,00:00:00.00,0.00686779,0.123326,4.7
37,2010-02-07,00:00:00.00,0.0192161,0.122887,4.63
38,2010-02-08,00:00:00.00,0.00041421,0.122452,4.57
39,2010-02-09,00:00:00.00,2.91256e-07,0.122019,4.51
40,2010-02-10,00:00:00.00,0.933545,0.121588,4.42
41,2010-02-11,00:00:00.00,6.03982,0.121161,4.37
42,2010-02-12,00:00:00.00,0.056664,0.120736,4.33
43,2010-02-13,00:00:00.00,0.0930957,0.120313,4.29
44,2010-02-14,00:00:00.00,0.323337,0.119894,4.24
45,2010-02-15,00:00:00.00,0.989968,0.119476,4.2
46,2010-02-16,00:00:00.00,0.652031,0.119062,4.15
47,2010-02-17,00:00:00.00,0.359175,0.11865,4.13
48,2010-02-18,00:00:00.00,0.332684,0.11824,4.1
49,2010-02-19,00:00:00.00,0.0712872,0.117833,4.05
50,2010-02-20,00:00:00.00,0.00961022,0.117428,4.02
51,2010-02-21,00:00:00.00,0.00032256,0.117026,3.98
52,2010-02-22,00:00:00.00,4.73158e-06,0.116627,3.97
53,2010-02-23,00:00:00.00,9.605,0.15367,3.96
54,2010-02-24,00:00:00.00,2.9779,0.217127,3.95
55,2010-02-25,00:00:00.00,0.376386,0.197171,3.94
56,2010-02-26,00:00:00.00,1.14981,0.134098,3.93
57,2010-02-27,00:00:00.00,5.0898,0.120481,3.92
58,2010-02-28,00:00:00.00,1.59072,0.124934,3.91
59,2010-03-01,00:00:00.00,0.333263,0.121064,3.9
60,2010-03-02,00:00:00.00,0.00225715,0.115804,3.86
61,2010-03-03,00:00:00.00,0.00359388,0.115385,3.85
62,2010-03-04,00:00:00.00,0.000350488,0.114996,4
63,2010-03-05,00:00:00.00,3.40461e-05,0.11461,4.55
64,2010-03-06,00:00:00.00,3.86101e-05,0.114225,4.88
65,2010-03-07,00:00:00.00,0.000918679,0.113844,5.19
66,2010-03-08,00:00:00.00,0.00108571,0.113465,5.75
67,2010-03-09,00:00:00.00,0,0.113088,6.84
68,2010-03-10,00:00:00.00,0.101254,0.112713,8.06
69,2010-03-11,00:00:00.00,0.0123922,0.112341,8.57
70,2010-03-12,00:00:00.00,0.0251703,0.111972,8.91
71,2010-03-13,00:00:00.00,0.153042,0.111605,9.25
72,2010-03-14,00:00:00.00,16.9582,0.687099,9.91
73,2010-03-15,00:00:00.00,12.5302,1.81252,13.9
74,2010-03-16,00:00:00.00,0.158355,1.71005,16.3
75,2010-03-17,00:00:00.00,0.000495269,0.606893,18.3
76,2010-03-18,00:00:00.00,6.35599e-06,2.70599,22.9
77,2010-03-19,00:00:00.00,1.35003e-05,6.23226,21
78,2010-03-20,00:00:00.00,1.5395e-05,3.76737,13.6
79,2010-03-21,00:00:00.00,0.0122015,0.305778,11.4
80,2010-03-22,00:00:00.00,0.194167,0.28468,10.2
81,2010-03-23,00:00:00.00,2.99493,0.328014,9.47
82,2010-03-24,00:00:00.00,3.96374,0.513322,9.24
83,2010-03-25,00:00:00.00,0.0284616,0.642042,8.95
84,2010-03-26,00:00:00.00,0.543296,0.460854,8.69
85,2010-03-27,00:00:00.00,0.00249872,0.290804,8.49
86,2010-03-28,00:00:00.00,0.000761272,0.288794,8.36
87,2010-03-29,00:00:00.00,6.67627,0.545148,7.85
88,2010-03-30,00:00:00.00,4.31573,1.03106,8.47
89,2010-03-31,00:00:00.00,0.000518171,0.964829,8.41
90,2010-04-01,00:00:00.00,0.00017697,0.491465,8.29
91,2010-04-02,00:00:00.00,0.000117613,0.311956,8.05
92,2010-04-03,00:00:00.00,2.86832e-05,0.310161,7.6
93,2010-04-04,00:00:00.00,0.064177,0.309426,7.18
94,2010-04-05,00:00:00.00,0.0407096,0.308735,6.89
95,2010-04-06,00:00:00.00,0.0284179,0.30809,6.62
96,2010-04-07,00:00:00.00,16.5559,1.04605,7.24
97,2010-04-08,00:00:00.00,8.63777,2.38467,9.11
98,2010-04-09,00:00:00.00,30.4428,3.75927,13.4
99,2010-04-10,00:00:00.00,0.144104,4.72901,15.1
100,2010-04-11,00:00:00.00,0.0103847,2.76031,16.8
101,2010-04-12,00:00:00.00,0.0131709,0.584695,20.1
102,2010-04-13,00:00:00.00,2.17679e-06,0.574385,14.5
103,2010-04-14,00:00:00.00,0.035356,0.576686,10.9
104,2010-04-15,00:00:00.00,0,0.579116,9.5
