time,date,hour,precip [mm/day],02GC007 [m3/s],02GC007 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,1.5256,0.00720741,6.3
2,2010-01-03,00:00:00.00,0.158213,0.044399,5.78
3,2010-01-04,00:00:00.00,0.685324,0.0887361,5.2
4,2010-01-05,00:00:00.00,0.278481,0.103394,5.12
5,2010-01-06,00:00:00.00,3.71368,0.103539,5.08
6,2010-01-07,00:00:00.00,0.740599,0.10322,5.05
7,2010-01-08,00:00:00.00,1.08146,0.102903,5.02
8,2010-01-09,00:00:00.00,7.51363,0.102588,4.95
9,2010-01-10,00:00:00.00,0.0120527,0.102274,4.9
10,2010-01-11,00:00:00.00,0.159235,0.101961,4.8
11,2010-01-12,00:00:00.00,2.06031,0.10165,4.85
12,2010-01-13,00:00:00.00,0.536697,0.101341,4.75
13,2010-01-14,00:00:00.00,0.00156013,0.101033,4.7
14,2010-01-15,00:00:00.00,0.00207218,0.100727,4.65
15,2010-01-16,00:00:00.00,0.409066,0.100422,4.6
16,2010-01-17,00:00:00.00,0.0286637,0.100118,4.52
17,2010-01-18,00:00:00.00,0.00138308,0.0998165,4.5
18,2010-01-19,00:00:00.00,0.000888524,0.099516,4.48
19,2010-01-20,00:00:00.00,0.0588443,0.0992169,4.45
20,2010-01-21,00:00:00.00,0.0294044,0.0989193,4.42
21,2010-01-22,00:00:00.00,0.0020347,0.0986231,4.41
22,2010-01-23,00:00:00.00,0.00664504,0.0983283,4.4
23,2010-01-24,00:00:00.00,0.000562553,0.0980348,4.39
24,2010-01-25,00:00:00.00,7.52213,0.157264,4.7
25,2010-01-26,00:00:00.00,14.8314,0.811665,10.2
26,2010-01-27,00:00:00.00,1.06907,2.56101,12.8
27,2010-01-28,00:00:00.00,0.752741,2.74533,10.4
28,2010-01-29,00:00:00.00,3.31327,0.992729,9.5
29,2010-01-30,00:00:00.00,0.477651,0.183959,6.75
30,2010-01-31,00:00:00.00,0.0064171,0.157436,5.8
31,2010-02-01,00:00:00.00,0.415132,0.156729,5.3
32,2010-02-02,00:00:00.00,0.582144,0.156027,5.2
33,2010-02-03,00:00:00.00,1.04252,0.155329,5.1
34,2010-02-04,00:00:00.00,1.68758,0.154636,4.98
35,2010-02-05,00:00:00.00,0.147838,0.153947,4.83
36,2010-02-06,00:00:00.00,0.00686779,0.153263,4.7
37,2010-02-07,00:00:00.00,0.0192161,0.152583,4.63
38,2010-02-08,00:00:00.00,0.00041421,0.151908,4.57
39,2010-02-09,00:00:00.00,2.91256e-07,0.151237,4.51
40,2010-02-10,00:00:00.00,0.933545,0.15057,4.42
41,2010-02-11,00:00:00.00,6.03982,0.149908,4.37
42,2010-02-12,00:00:00.00,0.056664,0.14925,4.33
43,2010-02-13,00:00:00.00,0.0930957,0.148596,4.29
44,2010-02-14,00:00:00.00,0.323337,0.147946,4.24
45,2010-02-15,00:00:00.00,0.989968,0.147301,4.2
46,2010-02-16,00:00:00.00,0.652031,0.146659,4.15
47,2010-02-17,00:00:00.00,0.359175,0.146022,4.13
48,2010-02-18,00:00:00.00,0.332684,0.145388,4.1
49,2010-02-19,00:00:00.00,0.0712872,0.144758,4.05
50,2010-02-20,00:00:00.00,0.00961022,0.144132,4.02
51,2010-02-21,00:00:00.00,0.00032256,0.14351,3.98
52,2010-02-22,00:00:00.00,4.73158e-06,0.142892,3.97
53,2010-02-23,00:00:00.00,9.605,0.155848,3.96
54,2010-02-24,00:00:00.00,2.9779,0.215652,3.95
55,2010-02-25,00:00:00.00,0.376386,0.247239,3.94
56,2010-02-26,00:00:00.00,1.14981,0.196936,3.93
57,2010-02-27,00:00:00.00,5.0898,0.153345,3.92
58,2010-02-28,00:00:00.00,1.59072,0.148572,3.91
59,2010-03-01,00:00:00.00,0.333263,0.149023,3.9
60,2010-03-02,00:00:00.00,0.00225715,0.143234,3.86
61,2010-03-03,00:00:00.00,0.00359388,0.140079,3.85
62,2010-03-04,00:00:00.00,0.000350488,0.139395,4
63,2010-03-05,00:00:00.00,3.40461e-05,0.138797,4.55
64,2010-03-06,00:00:00.00,3.86101e-05,0.138201,4.88
65,2010-03-07,00:00:00.00,0.000918679,0.137609,5.19
66,2010-03-08,00:00:00.00,0.00108571,0.137021,5.75
67,2010-03-09,00:00:00.00,0,0.136436,6.84
68,2010-03-10,00:00:00.00,0.101254,0.629997,8.06
69,2010-03-11,00:00:00.00,0.0123922,2.66923,8.57
