time,date,hour,precip [mm/day],02GB001 [m3/s],02GB001 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,2.82076,0.202817,38
2,2010-01-03,00:00:00.00,0.670009,0.684304,27
3,2010-01-04,00:00:00.00,0.825606,0.963089,22
4,2010-01-05,00:00:00.00,0.385547,0.96172,26
5,2010-01-06,00:00:00.00,1.89849,0.958759,31
6,2010-01-07,00:00:00.00,0.602132,0.955814,30.5
7,2010-01-08,00:00:00.00,0.320786,0.952884,34
8,2010-01-09,00:00:00.00,2.92689,0.949968,30
9,2010-01-10,00:00:00.00,0.0403,0.947068,26
10,2010-01-11,00:00:00.00,0.0104078,0.944182,25
11,2010-01-12,00:00:00.00,2.58828,0.94131,26.2
12,2010-01-13,00:00:00.00,1.13925,0.938453,28
13,2010-01-14,00:00:00.00,0.0108223,0.935611,28.2
14,2010-01-15,00:00:00.00,0.00415586,0.932783,26
15,2010-01-16,00:00:00.00,0.448436,0.929969,30.2
16,2010-01-17,00:00:00.00,0.0557586,0.927168,33.2
17,2010-01-18,00:00:00.00,0.0173591,0.924382,32.3
18,2010-01-19,00:00:00.00,0.00955681,0.92161,31.7
19,2010-01-20,00:00:00.00,1.32527,0.918851,30
20,2010-01-21,00:00:00.00,0.404935,0.916107,28
21,2010-01-22,00:00:00.00,0.00540566,0.913375,26
22,2010-01-23,00:00:00.00,0.0139688,0.910657,27
23,2010-01-24,00:00:00.00,0.0057885,0.907953,28.2
24,2010-01-25,00:00:00.00,4.27167,1.44513,29
25,2010-01-26,00:00:00.00,10.5128,5.17764,46.6
26,2010-01-27,00:00:00.00,2.49251,8.77906,54
27,2010-01-28,00:00:00.00,2.97874,5.13935,47
28,2010-01-29,00:00:00.00,4.09206,1.06713,33
29,2010-01-30,00:00:00.00,2.38257,1.04034,28
30,2010-01-31,00:00:00.00,0.0132905,1.03688,29
31,2010-02-01,00:00:00.00,3.73982,1.03345,31
32,2010-02-02,00:00:00.00,2.27158,1.03004,29.5
33,2010-02-03,00:00:00.00,0.819899,1.02664,28
34,2010-02-04,00:00:00.00,2.40478,1.02327,26.2
35,2010-02-05,00:00:00.00,0.135598,1.01991,25.5
36,2010-02-06,00:00:00.00,0.00199999,1.01657,26
37,2010-02-07,00:00:00.00,0.00247978,1.01325,24.5
38,2010-02-08,00:00:00.00,0.0229873,1.00995,23.7
39,2010-02-09,00:00:00.00,0.00623907,1.00666,25
40,2010-02-10,00:00:00.00,0.410954,1.0034,26
41,2010-02-11,00:00:00.00,4.20194,1.00015,25.8
42,2010-02-12,00:00:00.00,0.13049,0.996918,25.6
43,2010-02-13,00:00:00.00,0.257445,0.993705,26.2
44,2010-02-14,00:00:00.00,0.256466,0.990511,27
45,2010-02-15,00:00:00.00,0.563465,0.987334,26.1
46,2010-02-16,00:00:00.00,1.55122,0.984174,25.7
47,2010-02-17,00:00:00.00,0.48558,0.981031,25.2
48,2010-02-18,00:00:00.00,0.242706,0.977906,25
49,2010-02-19,00:00:00.00,0.0868169,0.974798,24.8
50,2010-02-20,00:00:00.00,0.0687864,0.971707,24.5
51,2010-02-21,00:00:00.00,0.00381864,0.968633,24
52,2010-02-22,00:00:00.00,0.00207513,0.965575,23.6
53,2010-02-23,00:00:00.00,9.18168,0.962535,24.5
54,2010-02-24,00:00:00.00,3.53718,0.986823,24.3
55,2010-02-25,00:00:00.00,0.650993,1.02153,24.1
56,2010-02-26,00:00:00.00,2.80284,0.992015,23.7
