time,date,hour,precip [mm/day],04200500 [m3/s],04200500 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.220339,0.0400537,4.72891
2,2010-01-03,00:00:00.00,0.660214,0.135141,5.09703
3,2010-01-04,00:00:00.00,1.00298,0.190197,6.65446
4,2010-01-05,00:00:00.00,1.73185,0.189927,7.70218
5,2010-01-06,00:00:00.00,1.40742,0.189342,6.56951
6,2010-01-07,00:00:00.00,1.77375,0.188761,5.46515
7,2010-01-08,00:00:00.00,3.60148,0.188182,4.44574
8,2010-01-09,00:00:00.00,4.08193,0.187606,3.96436
9,2010-01-10,00:00:00.00,0.488142,0.187033,3.76614
10,2010-01-11,00:00:00.00,0.689131,0.186463,4.13426
11,2010-01-12,00:00:00.00,2.20667,0.185896,4.98377
12,2010-01-13,00:00:00.00,0.98469,0.185332,4.36079
13,2010-01-14,00:00:00.00,0.053247,0.184771,3.90772
14,2010-01-15,00:00:00.00,0.0030453,0.184212,3.45466
15,2010-01-16,00:00:00.00,0.0617232,0.183656,3.85109
16,2010-01-17,00:00:00.00,0.0218889,0.183103,6.68278
17,2010-01-18,00:00:00.00,0.18788,0.182553,16.9618
18,2010-01-19,00:00:00.00,0.0990817,0.182006,27.8921
19,2010-01-20,00:00:00.00,0.176354,0.181461,22.6252
20,2010-01-21,00:00:00.00,0.0815194,0.180919,14.7814
21,2010-01-22,00:00:00.00,1.67195e-12,0.180379,10.1941
22,2010-01-23,00:00:00.00,2.00324,0.219608,8.46674
23,2010-01-24,00:00:00.00,0.0308894,0.273977,13.0541
24,2010-01-25,00:00:00.00,10.8624,0.864225,37.6614
25,2010-01-26,00:00:00.00,7.70531,2.129,91.1802
26,2010-01-27,00:00:00.00,3.52464,2.13889,65.6951
27,2010-01-28,00:00:00.00,0.228885,0.8456,21.9739
28,2010-01-29,00:00:00.00,1.40485,0.227907,11.2418
29,2010-01-30,00:00:00.00,0.126924,0.223597,6.20139
30,2010-01-31,00:00:00.00,0.0024734,0.222803,5.26693
31,2010-02-01,00:00:00.00,7.8039e-05,0.222014,4.04931
32,2010-02-02,00:00:00.00,0.00144117,0.22123,3.59624
33,2010-02-03,00:00:00.00,0.161836,0.22045,3.65287
34,2010-02-04,00:00:00.00,1.32983,0.219675,2.5117
35,2010-02-05,00:00:00.00,0.0234643,0.218904,2.11244
