time,date,hour,precip [mm/day],04212100 [m3/s],04212100 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.548396,0.0154577,20.7846
2,2010-01-03,00:00:00.00,1.93783,0.0309091,16.0557
3,2010-01-04,00:00:00.00,3.41201,0.0308964,14.3283
4,2010-01-05,00:00:00.00,3.53603,0.0308835,14.1867
5,2010-01-06,00:00:00.00,4.02368,0.0308706,17.4715
6,2010-01-07,00:00:00.00,3.03916,0.0308575,17.4715
7,2010-01-08,00:00:00.00,0.816313,0.0308444,16.622
8,2010-01-09,00:00:00.00,3.80653,0.0308312,16.4521
9,2010-01-10,00:00:00.00,0.509675,0.0308179,16.622
10,2010-01-11,00:00:00.00,0.1977,0.0308045,16.2822
11,2010-01-12,00:00:00.00,1.23365,0.0307911,25.9099
12,2010-01-13,00:00:00.00,0.684676,0.0307775,21.0677
13,2010-01-14,00:00:00.00,0.207397,0.0307639,17.9812
14,2010-01-15,00:00:00.00,0,0.0307502,17.1034
15,2010-01-16,00:00:00.00,0.119361,0.0307364,21.8889
16,2010-01-17,00:00:00.00,0.0391245,1.97281,28.2036
17,2010-01-18,00:00:00.00,0.275273,17.2104,34.2634
18,2010-01-19,00:00:00.00,0.0365522,15.7356,32.8475
19,2010-01-20,00:00:00.00,0.19813,0.966103,29.4495
20,2010-01-21,00:00:00.00,0.222008,0.967253,27.7788
21,2010-01-22,00:00:00.00,0.00171854,0.967819,23.8994
22,2010-01-23,00:00:00.00,1.55836,1.03826,21.8323
23,2010-01-24,00:00:00.00,0.012524,1.0622,25.8816
24,2010-01-25,00:00:00.00,8.31675,7.8846,42.4753
25,2010-01-26,00:00:00.00,21.5392,34.625,147.814
26,2010-01-27,00:00:00.00,5.34388,35.8624,240.127
27,2010-01-28,00:00:00.00,0.913761,16.4735,133.939
28,2010-01-29,00:00:00.00,2.87426,15.0741,88.3486
29,2010-01-30,00:00:00.00,0.291325,13.8724,66.8278
30,2010-01-31,00:00:00.00,0.133295,12.8306,43.0416
31,2010-02-01,00:00:00.00,0.0294744,11.9196,19.5103
32,2010-02-02,00:00:00.00,0.187158,11.117,16.8202
33,2010-02-03,00:00:00.00,0.154111,10.4052,16.4804
34,2010-02-04,00:00:00.00,1.44137,9.76998,15.8574
35,2010-02-05,00:00:00.00,0.151161,9.20007,12.0063
36,2010-02-06,00:00:00.00,0.225424,8.6862,11.7232
37,2010-02-07,00:00:00.00,1.81917,8.22076,11.4683
38,2010-02-08,00:00:00.00,0.252623,7.79743,11.2418
39,2010-02-09,00:00:00.00,0.00967368,7.41093,10.5339
40,2010-02-10,00:00:00.00,3.69874,7.05681,10.817
41,2010-02-11,00:00:00.00,11.8035,6.74719,11.0436
42,2010-02-12,00:00:00.00,3.27613,6.46183,12.1196
43,2010-02-13,00:00:00.00,0.565154,6.1822,13.2523
44,2010-02-14,00:00:00.00,0.593787,5.92306,13.8469
45,2010-02-15,00:00:00.00,1.26956,5.68231,13.8753
46,2010-02-16,00:00:00.00,0.241789,5.45813,13.8753
47,2010-02-17,00:00:00.00,5.30735,5.24893,13.7337
48,2010-02-18,00:00:00.00,1.02808,5.05331,13.8753
49,2010-02-19,00:00:00.00,0.767125,4.87004,15.0646
50,2010-02-20,00:00:00.00,0.0919428,4.69802,15.3477
51,2010-02-21,00:00:00.00,0.0026418,4.5363,18.5475
52,2010-02-22,00:00:00.00,0.00560117,4.384,20.8129
53,2010-02-23,00:00:00.00,6.77746,6.64457,20.4448
54,2010-02-24,00:00:00.00,0.726053,7.20416,30.0159
55,2010-02-25,00:00:00.00,1.05759,5.32877,41.6258
56,2010-02-26,00:00:00.00,1.63563,5.13401,54.6515
57,2010-02-27,00:00:00.00,6.93897,4.95121,50.404
58,2010-02-28,00:00:00.00,6.21714,4.97789,46.7228
59,2010-03-01,00:00:00.00,4.4381,5.19581,44.1743
60,2010-03-02,00:00:00.00,0.385901,5.20281,41.9089
61,2010-03-03,00:00:00.00,0.15774,5.01724,37.3782
62,2010-03-04,00:00:00.00,0.0532588,4.84275,36.2456
63,2010-03-05,00:00:00.00,0.0431638,4.67843,34.5466
64,2010-03-06,00:00:00.00,0.00648147,4.52345,33.1307
65,2010-03-07,00:00:00.00,0.00394655,4.37707,31.1485
66,2010-03-08,00:00:00.00,0.00180562,4.23863,30.5822
67,2010-03-09,00:00:00.00,0,23.7745,31.7149
68,2010-03-10,00:00:00.00,0.00396329,116.824,46.1565
69,2010-03-11,00:00:00.00,0.237984,141.834,86.3664
70,2010-03-12,00:00:00.00,0.0013081,80.6814,173.016
71,2010-03-13,00:00:00.00,1.1225,60.3183,271.842
72,2010-03-14,00:00:00.00,6.84002,55.5724,246.923
73,2010-03-15,00:00:00.00,10.0583,64.8648,220.022
74,2010-03-16,00:00:00.00,0.480149,63.01,159.141
75,2010-03-17,00:00:00.00,0.00605594,49.3866,106.188
76,2010-03-18,00:00:00.00,0,40.2544,80.703
77,2010-03-19,00:00:00.00,8.78e-308,33.748,60.0317
78,2010-03-20,00:00:00.00,0.000105831,28.9015,35.9624
79,2010-03-21,00:00:00.00,3.38594e-308,25.1666,21.5774
80,2010-03-22,00:00:00.00,0.259709,22.2098,15.999
81,2010-03-23,00:00:00.00,12.0669,32.7297,23.4463
82,2010-03-24,00:00:00.00,8.49804,45.905,50.6872
83,2010-03-25,00:00:00.00,1.50705e-308,42.6127,53.5188
84,2010-03-26,00:00:00.00,14.083,57.9506,41.0594
85,2010-03-27,00:00:00.00,3.36584,65.4653,44.4574
86,2010-03-28,00:00:00.00,0.000403341,47.9148,42.4753
87,2010-03-29,00:00:00.00,5.78657,44.1598,31.4317
88,2010-03-30,00:00:00.00,2.29772,44.0211,37.0951
89,2010-03-31,00:00:00.00,0.0135751,38.9972,38.5109
90,2010-04-01,00:00:00.00,0.00679938,32.835,30.5822
91,2010-04-02,00:00:00.00,1.9722e-308,28.2139,23.3048
92,2010-04-03,00:00:00.00,2.3308e-308,24.6338,17.4149
93,2010-04-04,00:00:00.00,0.000300653,21.7876,14.2151
94,2010-04-05,00:00:00.00,0.000192437,19.4766,12.2612
95,2010-04-06,00:00:00.00,0.0547173,17.567,11.2701
96,2010-04-07,00:00:00.00,0.102014,15.9657,9.20298
97,2010-04-08,00:00:00.00,0.0340079,14.6058,8.09862
98,2010-04-09,00:00:00.00,5.79405,14.9279,11.4683
99,2010-04-10,00:00:00.00,0.456067,15.2084,9.20298
100,2010-04-11,00:00:00.00,0.104089,13.9651,9.79763
101,2010-04-12,00:00:00.00,0.00658079,12.8911,9.17466
102,2010-04-13,00:00:00.00,9.10009e-308,11.955,7.3907
103,2010-04-14,00:00:00.00,1.29477,11.1327,6.17307
104,2010-04-15,00:00:00.00,0.000165661,10.4053,5.26693
105,2010-04-16,00:00:00.00,0.0171262,9.75772,4.75723
106,2010-04-17,00:00:00.00,2.71698,9.17801,4.72891
107,2010-04-18,00:00:00.00,0.267961,8.65637,5.40852
108,2010-04-19,00:00:00.00,0.501359,8.18476,5.0404
109,2010-04-20,00:00:00.00,0.00125502,7.75657,4.7006
110,2010-04-21,00:00:00.00,0,7.36627,4.55901
111,2010-04-22,00:00:00.00,2.08829e-308,7.0092,4.21921
112,2010-04-23,00:00:00.00,0.00249805,6.68145,3.85109
113,2010-04-24,00:00:00.00,2.117e-308,6.37967,3.48297
114,2010-04-25,00:00:00.00,1.90406,6.101,3.39802
115,2010-04-26,00:00:00.00,22.8076,30.7477,7.19248
116,2010-04-27,00:00:00.00,11.1215,51.6566,49.8377
117,2010-04-28,00:00:00.00,0.111696,41.2249,92.3129
118,2010-04-29,00:00:00.00,0.00469981,32.1514,59.4654
119,2010-04-30,00:00:00.00,0.00485925,27.7052,31.1485
120,2010-05-01,00:00:00.00,0.00286347,24.2456,19.1422
121,2010-05-02,00:00:00.00,0.0191225,21.4852,13.3372
122,2010-05-03,00:00:00.00,0.832026,19.2373,9.00476
123,2010-05-04,00:00:00.00,1.72653,17.3751,8.12694
124,2010-05-05,00:00:00.00,0.523127,15.8102,7.67387
125,2010-05-06,00:00:00.00,0.229877,14.4787,6.42792
126,2010-05-07,00:00:00.00,11.0018,22.1445,8.69327
127,2010-05-08,00:00:00.00,0.171546,25.3196,7.61723
128,2010-05-09,00:00:00.00,10.1076,28.0071,19.0289
129,2010-05-10,00:00:00.00,2.33137,31.1149,19.2838
130,2010-05-11,00:00:00.00,0.00129449,24.8401,21.9456
131,2010-05-12,00:00:00.00,14.76,41.1974,29.4495
132,2010-05-13,00:00:00.00,9.23004,57.6816,87.2159
133,2010-05-14,00:00:00.00,2.2609,50.6124,72.7743
134,2010-05-15,00:00:00.00,9.746,49.3589,80.9862
135,2010-05-16,00:00:00.00,0.000171707,48.5069,88.6317
136,2010-05-17,00:00:00.00,0,39.6522,60.598
137,2010-05-18,00:00:00.00,1.90089,33.3154,37.0951
138,2010-05-19,00:00:00.00,13.7511,45.1003,38.2277
139,2010-05-20,00:00:00.00,0.19715,50.6985,40.2099
140,2010-05-21,00:00:00.00,0.00169965,38.3804,37.0951
141,2010-05-22,00:00:00.00,0.0432059,32.3817,32.8475
142,2010-05-23,00:00:00.00,7.39017,31.3175,31.4317
143,2010-05-24,00:00:00.00,2.42408,30.5106,25.2869
144,2010-05-25,00:00:00.00,0.000199107,26.4318,18.7741
145,2010-05-26,00:00:00.00,6.73267e-308,23.2299,21.4075
146,2010-05-27,00:00:00.00,0.009249,20.657,17.9529
147,2010-05-28,00:00:00.00,4.9997e-308,18.5493,12.0347
148,2010-05-29,00:00:00.00,0,16.7947,8.18357
149,2010-05-30,00:00:00.00,0.0044467,15.3139,5.91822
150,2010-05-31,00:00:00.00,1.785e-308,14.0494,4.58733
151,2010-06-01,00:00:00.00,20.5677,36.2449,4.36079
152,2010-06-02,00:00:00.00,10.3924,53.7481,15.0362
153,2010-06-03,00:00:00.00,1.07399,43.9368,30.8654
154,2010-06-04,00:00:00.00,0.237369,36.2847,30.8654
155,2010-06-05,00:00:00.00,0.286452,30.8287,25.117
156,2010-06-06,00:00:00.00,0.088526,26.678,16.2539
157,2010-06-07,00:00:00.00,20.2291,52.2889,68.8099
158,2010-06-08,00:00:00.00,4.60825,65.9208,95.7109
159,2010-06-09,00:00:00.00,0.0135644,47.1742,73.0575
160,2010-06-10,00:00:00.00,8.9218,45.2036,53.5188
161,2010-06-11,00:00:00.00,0.0443755,43.8344,48.4218
162,2010-06-12,00:00:00.00,0.223427,36.3487,35.9624
163,2010-06-13,00:00:00.00,0.00657182,30.8696,18.9723
164,2010-06-14,00:00:00.00,0.179022,26.7038,12.6293
165,2010-06-15,00:00:00.00,0.377261,23.4414,8.52337
166,2010-06-16,00:00:00.00,0.384224,20.8248,6.42792
167,2010-06-17,00:00:00.00,0.0452984,18.6847,5.23862
168,2010-06-18,00:00:00.00,0.0119229,16.9057,4.7006
169,2010-06-19,00:00:00.00,0.0100932,15.406,4.16258
170,2010-06-20,00:00:00.00,0.000684078,14.1267,3.68119
171,2010-06-21,00:00:00.00,0.0185552,13.0238,3.3697
172,2010-06-22,00:00:00.00,0,12.0645,3.79446
173,2010-06-23,00:00:00.00,4.22941,11.2232,4.64396
174,2010-06-24,00:00:00.00,5.28179,10.6765,5.15367
175,2010-06-25,00:00:00.00,3.66648,10.1922,6.0598
176,2010-06-26,00:00:00.00,0.102441,9.56435,4.47406
177,2010-06-27,00:00:00.00,0.011459,9.00164,3.99268
178,2010-06-28,00:00:00.00,0.173671,8.49476,3.85109
179,2010-06-29,00:00:00.00,5.08021,8.20761,3.1998
180,2010-06-30,00:00:00.00,0.0999094,7.94789,1.98501
181,2010-07-01,00:00:00.00,4.2095e-308,7.54049,1.47531
182,2010-07-02,00:00:00.00,0.0148543,7.16838,1.38186
183,2010-07-03,00:00:00.00,0.000138503,6.82734,2.11527
184,2010-07-04,00:00:00.00,0.0124448,6.51375,1.70751
185,2010-07-05,00:00:00.00,0,6.22454,1.35638
186,2010-07-06,00:00:00.00,6.91331e-308,5.95704,1.20063
187,2010-07-07,00:00:00.00,9.63083e-308,5.70896,1.07604
188,2010-07-08,00:00:00.00,0.00103441,5.47835,1.01374
189,2010-07-09,00:00:00.00,0.0145427,5.26352,0.891981
190,2010-07-10,00:00:00.00,13.7385,13.7455,0.863664
191,2010-07-11,00:00:00.00,0.533145,16.0917,1.56592
192,2010-07-12,00:00:00.00,0.0152731,9.56665,1.44699
193,2010-07-13,00:00:00.00,3.68843,9.02315,1.14966
194,2010-07-14,00:00:00.00,7.81952,11.1263,5.29525
195,2010-07-15,00:00:00.00,0.0838358,11.9283,5.09703
196,2010-07-16,00:00:00.00,0.304996,10.0562,6.65446
197,2010-07-17,00:00:00.00,1.78006,9.46187,4.16258
198,2010-07-18,00:00:00.00,0.00101797,8.9266,2.8062
199,2010-07-19,00:00:00.00,0.035856,8.44231,1.8406
200,2010-07-20,00:00:00.00,4.60105,8.0629,1.50079
201,2010-07-21,00:00:00.00,2.08584,7.7171,1.63955
202,2010-07-22,00:00:00.00,0.250739,7.34026,2.03598
203,2010-07-23,00:00:00.00,0.106951,6.99449,1.30257
204,2010-07-24,00:00:00.00,11.8601,13.6477,1.46964
205,2010-07-25,00:00:00.00,14.0793,27.1832,5.80495
206,2010-07-26,00:00:00.00,10.0887,33.7213,5.09703
207,2010-07-27,00:00:00.00,0.137121,29.9862,6.73941
208,2010-07-28,00:00:00.00,0.0947177,24.842,6.25802
209,2010-07-29,00:00:00.00,0.569928,21.9758,3.48297
210,2010-07-30,00:00:00.00,13.6179,33.1348,6.39961
211,2010-07-31,00:00:00.00,0.0161398,38.2168,9.00476
212,2010-08-01,00:00:00.00,0.115077,28.7936,8.32515
213,2010-08-02,00:00:00.00,0.068155,25.1029,4.84218
214,2010-08-03,00:00:00.00,0.019735,22.1763,3.11485
215,2010-08-04,00:00:00.00,0.322814,19.8051,1.97652
216,2010-08-05,00:00:00.00,0.150707,17.8492,1.45549
217,2010-08-06,00:00:00.00,4.4081,16.3034,1.58858
218,2010-08-07,00:00:00.00,1.46024,14.9933,1.56592
219,2010-08-08,00:00:00.00,0.0944926,13.7784,1.34222
220,2010-08-09,00:00:00.00,0.00118473,12.7274,1.2063
221,2010-08-10,00:00:00.00,0.000503598,11.8102,1.04206
222,2010-08-11,00:00:00.00,0.00892148,11.0036,0.942951
223,2010-08-12,00:00:00.00,0.164783,10.2895,0.883486
224,2010-08-13,00:00:00.00,14.4284,21.7646,3.31307
225,2010-08-14,00:00:00.00,1.58707e-308,26.0645,3.53961
226,2010-08-15,00:00:00.00,0.384352,17.6865,3.00159
227,2010-08-16,00:00:00.00,1.78096,16.0867,3.76614
228,2010-08-17,00:00:00.00,0.0484389,14.7268,2.1719
229,2010-08-18,00:00:00.00,0.0167402,13.558,1.99634
230,2010-08-19,00:00:00.00,0.104375,12.5439,1.55743
231,2010-08-20,00:00:00.00,0.0835626,11.6567,1.21196
232,2010-08-21,00:00:00.00,0.000788008,10.8747,0.979763
233,2010-08-22,00:00:00.00,2.2144,10.1807,0.965604
234,2010-08-23,00:00:00.00,25.3985,42.9467,6.03149
235,2010-08-24,00:00:00.00,3.16644,56.5741,5.63505
236,2010-08-25,00:00:00.00,0.296369,34.2909,5.80495
237,2010-08-26,00:00:00.00,0.00107606,29.3339,4.02099
238,2010-08-27,00:00:00.00,0.0578721,25.5216,2.94495
239,2010-08-28,00:00:00.00,0.020277,22.5086,1.97652
240,2010-08-29,00:00:00.00,0.020152,20.0738,1.3677
241,2010-08-30,00:00:00.00,0.0162381,18.07,1.12135
242,2010-08-31,00:00:00.00,0.000439596,16.3953,0.982595
243,2010-09-01,00:00:00.00,0.0173051,14.977,0.886317
244,2010-09-02,00:00:00.00,4.56177e-308,13.7622,0.829684
245,2010-09-03,00:00:00.00,0.000145858,12.7114,0.75606
246,2010-09-04,00:00:00.00,5.91684,12.9293,0.775882
247,2010-09-05,00:00:00.00,13.0627,26.1323,3.70951
248,2010-09-06,00:00:00.00,0.201243,31.0636,2.26535
249,2010-09-07,00:00:00.00,0.0752969,22.1977,1.27143
250,2010-09-08,00:00:00.00,3.69196,20.1445,1.06755
251,2010-09-09,00:00:00.00,1.25414,18.4538,0.940119
252,2010-09-10,00:00:00.00,0.0387263,16.7269,0.900476
253,2010-09-11,00:00:00.00,0.0149377,15.2672,0.818357
254,2010-09-12,00:00:00.00,0.101575,14.0188,0.781545
255,2010-09-13,00:00:00.00,5.28455,14.2965,0.883486
256,2010-09-14,00:00:00.00,0.166413,14.538,0.863664
257,2010-09-15,00:00:00.00,0.0500864,13.3939,0.784377
258,2010-09-16,00:00:00.00,0.223663,12.4001,0.713585
259,2010-09-17,00:00:00.00,14.1773,26.3633,0.767387
260,2010-09-18,00:00:00.00,2.4283,31.993,1.46681
261,2010-09-19,00:00:00.00,0.0329379,21.9249,1.23461
262,2010-09-20,00:00:00.00,0.0425763,19.6097,1.1525
263,2010-09-21,00:00:00.00,0.018526,17.6956,1.11568
264,2010-09-22,00:00:00.00,3.09979e-308,16.0895,0.985426
265,2010-09-23,00:00:00.00,3.4123,15.0076,1.05339
266,2010-09-24,00:00:00.00,0.314819,14.0806,1.07887
267,2010-09-25,00:00:00.00,0.00719589,12.9956,0.962773
268,2010-09-26,00:00:00.00,0.00526976,12.0502,0.880654
269,2010-09-27,00:00:00.00,0.0146799,11.22,0.792872
270,2010-09-28,00:00:00.00,1.83905,10.4857,0.758891
271,2010-09-29,00:00:00.00,13.1159,22.8931,3.93604
272,2010-09-30,00:00:00.00,2.17044,27.6517,4.72891
273,2010-10-01,00:00:00.00,0.0301062,18.7009,1.8406
274,2010-10-02,00:00:00.00,0.00215354,16.9409,1.18364
275,2010-10-03,00:00:00.00,5.46878,18.0964,1.03923
276,2010-10-04,00:00:00.00,18.6679,47.6099,8.09862
277,2010-10-05,00:00:00.00,2.82695,61.103,5.3802
278,2010-10-06,00:00:00.00,8.07172,51.9719,5.0404
279,2010-10-07,00:00:00.00,5.71684,57.1154,7.92872
280,2010-10-08,00:00:00.00,0.234521,51.5379,8.80654
281,2010-10-09,00:00:00.00,0.201464,41.7489,6.31466
282,2010-10-10,00:00:00.00,0.0061981,34.8426,4.95545
283,2010-10-11,00:00:00.00,0.117432,29.7356,3.87941
284,2010-10-12,00:00:00.00,0.0384946,25.8221,3.11485
285,2010-10-13,00:00:00.00,0.0456176,22.7379,2.48056
286,2010-10-14,00:00:00.00,0.00430434,20.2516,1.8859
287,2010-10-15,00:00:00.00,13.4,34.8769,7.78713
288,2010-10-16,00:00:00.00,7.79099,49.4393,15.461
289,2010-10-17,00:00:00.00,0.00963614,43.7543,11.3267
290,2010-10-18,00:00:00.00,0.000545379,36.1509,7.95703
291,2010-10-19,00:00:00.00,1.46519,30.727,4.67228
292,2010-10-20,00:00:00.00,0.797939,26.5981,3.17149
293,2010-10-21,00:00:00.00,0.00673991,23.3613,2.16624
294,2010-10-22,00:00:00.00,5.98252,24.6966,2.38428
295,2010-10-23,00:00:00.00,0.924062,25.4718,4.16258
296,2010-10-24,00:00:00.00,0.00355774,22.1739,2.86
297,2010-10-25,00:00:00.00,0.000456742,19.8019,2.20022
298,2010-10-26,00:00:00.00,0.751401,17.8455,1.84909
299,2010-10-27,00:00:00.00,15.076,35.5722,2.20588
300,2010-10-28,00:00:00.00,2.11616,44.0656,9.42951
301,2010-10-29,00:00:00.00,0.768836,31.5164,10.2224
302,2010-10-30,00:00:00.00,4.49123,30.3924,11.8648
303,2010-10-31,00:00:00.00,0.00462244,29.5317,12.9125
304,2010-11-01,00:00:00.00,0.178833,25.6771,9.96753
305,2010-11-02,00:00:00.00,0.134473,22.6338,6.54119
306,2010-11-03,00:00:00.00,0.00428974,20.1768,4.55901
307,2010-11-04,00:00:00.00,0.000145896,18.1562,3.31307
308,2010-11-05,00:00:00.00,2.13016,17.0912,2.63913
309,2010-11-06,00:00:00.00,13.9232,34.9436,9.57109
310,2010-11-07,00:00:00.00,4.81801,46.2646,11.7232
311,2010-11-08,00:00:00.00,0.0916456,36.446,27.6372
312,2010-11-09,00:00:00.00,0,30.9544,20.9828
313,2010-11-10,00:00:00.00,8.06074e-308,26.7794,12.1479
314,2010-11-11,00:00:00.00,0.00179958,23.5097,7.95703
315,2010-11-12,00:00:00.00,0.000234183,20.8873,5.69169
316,2010-11-13,00:00:00.00,0.000289091,18.7425,4.41743
317,2010-11-14,00:00:00.00,0.00189782,16.9594,3.48297
318,2010-11-15,00:00:00.00,1.87619,15.8829,3.00159
319,2010-11-16,00:00:00.00,0.000292634,14.9684,2.80054
320,2010-11-17,00:00:00.00,9.97917,24.6035,3.1998
321,2010-11-18,00:00:00.00,13.721,49.5463,37.3782
322,2010-11-19,00:00:00.00,3.47399,56.5685,58.6159
323,2010-11-20,00:00:00.00,0.65663,44.4709,42.7584
324,2010-11-21,00:00:00.00,0.0250935,36.8084,24.6923
325,2010-11-22,00:00:00.00,0.0110185,31.2167,14.6115
326,2010-11-23,00:00:00.00,9.81176,39.1701,10.7604
327,2010-11-24,00:00:00.00,4.97966,47.9246,16.7069
328,2010-11-25,00:00:00.00,0.0277699,42.254,22.1721
329,2010-11-26,00:00:00.00,19.9143,75.8802,39.6436
330,2010-11-27,00:00:00.00,14.6725,119.24,114.966
331,2010-11-28,00:00:00.00,0.668469,104.847,96.2773
332,2010-11-29,00:00:00.00,0.262757,73.8929,52.6693
333,2010-11-30,00:00:00.00,0.0110795,56.2256,31.7149
334,2010-12-01,00:00:00.00,30.5925,129.479,44.4574
335,2010-12-02,00:00:00.00,43.9625,266.746,174.149
336,2010-12-03,00:00:00.00,0.916336,241.143,169.618
337,2010-12-04,00:00:00.00,1.11401,129.424,93.1624
338,2010-12-05,00:00:00.00,1.67576,86.2588,60.598
339,2010-12-06,00:00:00.00,1.80699,63.5647,47.8555
340,2010-12-07,00:00:00.00,3.67853,49.7138,33.1307
341,2010-12-08,00:00:00.00,1.38527,40.4568,23.3331
342,2010-12-09,00:00:00.00,1.34566,33.8757,20.3598
343,2010-12-10,00:00:00.00,1.95311,28.9817,17.8962
344,2010-12-11,00:00:00.00,1.51365,25.2153,17.16
345,2010-12-12,00:00:00.00,0.000588458,22.2369,17.7547
346,2010-12-13,00:00:00.00,13.372,49.4873,38.7941
347,2010-12-14,00:00:00.00,3.05617,62.04,75.606
348,2010-12-15,00:00:00.00,3.71075,41.9816,63.1466
349,2010-12-16,00:00:00.00,0.506025,35.0143,45.8733
350,2010-12-17,00:00:00.00,1.2419,29.8678,39.3604
351,2010-12-18,00:00:00.00,0.643628,25.9271,36.5287
352,2010-12-19,00:00:00.00,0.0736059,22.8235,24.579
353,2010-12-20,00:00:00.00,0.382261,20.3229,18.236
354,2010-12-21,00:00:00.00,1.06419,18.27,17.8396
355,2010-12-22,00:00:00.00,1.07048,16.5578,16.622
356,2010-12-23,00:00:00.00,0.413062,15.1106,16.0273
357,2010-12-24,00:00:00.00,1.78684,13.873,14.838
358,2010-12-25,00:00:00.00,0.377272,12.8041,14.2151
359,2010-12-26,00:00:00.00,0.55969,11.8726,14.2151
360,2010-12-27,00:00:00.00,1.86779,11.0545,14.1018
361,2010-12-28,00:00:00.00,0.419587,10.3309,12.2329
362,2010-12-29,00:00:00.00,0.0672162,9.68683,11.6099
363,2010-12-30,00:00:00.00,0.0456096,9.11036,10.364
364,2010-12-31,00:00:00.00,0.554199,8.59171,10.1657
365,2011-01-01,00:00:00.00,0.691341,8.12289,33.1307
366,2011-01-02,00:00:00.00,12.8604,134.372,101.941
367,2011-01-03,00:00:00.00,0.321405,187.256,160.273
368,2011-01-04,00:00:00.00,0.160066,96.3464,100.808
369,2011-01-05,00:00:00.00,0.0310594,69.2752,55.7842
370,2011-01-06,00:00:00.00,1.35574,53.3539,43.8911
371,2011-01-07,00:00:00.00,2.69064,42.9627,28.6
372,2011-01-08,00:00:00.00,4.23186,35.6972,18.6608
373,2011-01-09,00:00:00.00,3.24865,30.3605,13.5921
374,2011-01-10,00:00:00.00,3.43,26.2923,11.1285
375,2011-01-11,00:00:00.00,0.533981,23.0996,9.23129
376,2011-01-12,00:00:00.00,4.06244,20.5349,8.38179
377,2011-01-13,00:00:00.00,4.46772,18.4345,7.87208
378,2011-01-14,00:00:00.00,1.41218,16.6865,8.38179
379,2011-01-15,00:00:00.00,1.54364,15.2117,7.92872
380,2011-01-16,00:00:00.00,1.86406,13.9527,7.87208
381,2011-01-17,00:00:00.00,0.130711,12.8668,7.81545
382,2011-01-18,00:00:00.00,0.0337082,11.9218,11.1002
383,2011-01-19,00:00:00.00,1.78597,11.2969,9.96753
384,2011-01-20,00:00:00.00,2.08021,10.7467,9.42951
385,2011-01-21,00:00:00.00,1.49114,10.0551,10.9869
386,2011-01-22,00:00:00.00,2.88558,9.43818,13.6487
387,2011-01-23,00:00:00.00,0.251499,8.88502,15.8858
388,2011-01-24,00:00:00.00,1.22393,8.38651,13.6487
389,2011-01-25,00:00:00.00,0.901978,7.93522,14.2717
390,2011-01-26,00:00:00.00,0.715642,7.52497,12.3745
391,2011-01-27,00:00:00.00,0.00930843,7.1506,10.9586
