time,date,hour,precip [mm/day],02GG003 [m3/s],02GG003 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,1.76907,0.0448539,5.6
2,2010-01-03,00:00:00.00,10.1932,0.151337,4.8
3,2010-01-04,00:00:00.00,10.5475,0.212991,4.2
4,2010-01-05,00:00:00.00,6.43988,0.212688,3.8
5,2010-01-06,00:00:00.00,5.82057,0.212033,3.45
6,2010-01-07,00:00:00.00,0.721287,0.211382,3.23
7,2010-01-08,00:00:00.00,1.25599,0.210734,3.08
8,2010-01-09,00:00:00.00,7.30491,0.210089,2.97
9,2010-01-10,00:00:00.00,0.42284,0.209448,2.82
10,2010-01-11,00:00:00.00,0.0894246,0.20881,2.75
11,2010-01-12,00:00:00.00,1.73797,0.208175,2.68
12,2010-01-13,00:00:00.00,0.387746,0.207543,2.62
13,2010-01-14,00:00:00.00,0.000146825,0.206914,2.58
14,2010-01-15,00:00:00.00,5.8437e-308,0.206288,2.54
15,2010-01-16,00:00:00.00,0.0502933,0.205666,2.5
16,2010-01-17,00:00:00.00,0.00283957,0.205047,2.47
17,2010-01-18,00:00:00.00,0.0043403,0.20443,2.44
18,2010-01-19,00:00:00.00,0.0100668,0.203817,2.42
19,2010-01-20,00:00:00.00,0.621371,0.203207,2.4
20,2010-01-21,00:00:00.00,0.65254,0.2026,2.38
21,2010-01-22,00:00:00.00,0.000501274,0.201996,2.36
22,2010-01-23,00:00:00.00,0.0039376,0.201395,2.34
23,2010-01-24,00:00:00.00,0.00322131,0.200797,2.32
24,2010-01-25,00:00:00.00,6.77483,0.522932,2.6
25,2010-01-26,00:00:00.00,10.0127,1.52444,36
26,2010-01-27,00:00:00.00,2.21152,1.97888,64.6
27,2010-01-28,00:00:00.00,0.782826,0.999195,60.4
28,2010-01-29,00:00:00.00,1.58869,0.2394,43.2
29,2010-01-30,00:00:00.00,0.253322,0.234267,30
30,2010-01-31,00:00:00.00,0.17136,0.233478,21
31,2010-02-01,00:00:00.00,0.395305,0.232694,14
32,2010-02-02,00:00:00.00,0.198217,0.231914,11
33,2010-02-03,00:00:00.00,1.09576,0.231138,8.3
34,2010-02-04,00:00:00.00,1.43368,0.230367,6.5
35,2010-02-05,00:00:00.00,0.00494606,0.229601,5.2
36,2010-02-06,00:00:00.00,0.000118808,0.228838,4.6
37,2010-02-07,00:00:00.00,0.000717134,0.22808,4.15
38,2010-02-08,00:00:00.00,0.000969499,0.227326,3.82
39,2010-02-09,00:00:00.00,0.00929368,0.226576,3.6
40,2010-02-10,00:00:00.00,3.05298,0.225831,3.4
