Subbasin,Gauge,Column_name_output
75,02GB007,FLOW_OUTcms
78,02GB001,FLOW_OUTcms
90,04159900,FLOW_OUTcms
124,04160600,FLOW_OUTcms
125,04215000,FLOW_OUTcms
150,02GG009,FLOW_OUTcms
160,04215500,FLOW_OUTcms
162,02GC002,FLOW_OUTcms
163,02GG013,FLOW_OUTcms
168,02GC018,FLOW_OUTcms
175,02GC026,FLOW_OUTcms
183,04214500,FLOW_OUTcms
186,02GC007,FLOW_OUTcms
194,02GG003,FLOW_OUTcms
210,04165500,FLOW_OUTcms
267,04213500,FLOW_OUTcms
282,04166500,FLOW_OUTcms
284,02GE007,FLOW_OUTcms
304,04174500,FLOW_OUTcms
353,04176500,FLOW_OUTcms
389,04213000,FLOW_OUTcms
395,04212100,FLOW_OUTcms
398,04177000,FLOW_OUTcms
411,04209000,FLOW_OUTcms
434,04193500,FLOW_OUTcms
451,04195820,FLOW_OUTcms
457,04208504,FLOW_OUTcms
497,04200500,FLOW_OUTcms
532,04199000,FLOW_OUTcms
534,04198000,FLOW_OUTcms
550,04199500,FLOW_OUTcms
