gage id,basin,subbasin,method,objective,area (km2)
04087000,mic,14,matching,2 only,1802.64
04093000,mic,15,matching,2 only,321.16
04087240,mic,15,matching,2 only,492.1
04102500,mic,16,matching,2 only,1010.1
04101800,mic,16,matching,2 only,660.45
04101500,mic,16,matching,2 only,9494.94
04102700,mic,17,matching,2 only,216.524
04119000,mic,20,matching,2 only,12691
04121970,mic,22,matching,2 only,5990.67
04122500,mic,23,matching,1 & 2,1763.79
04122200,mic,23,matching,1 & 2,1051.54
04125460,mic,24,matching,1,634.55
04124000,mic,24,matching,1,2219.63
04126740,mic,25,matching,2 only,323.75
04126970,mic,26,matching,1 & 2,365.19
02HA007,ont,1,new maps,2 only,223
02HA006,ont,1,matching,1 & 2,292
04218518,ont,1,matching,2 only,211.344
04218000,ont,1,matching,2 only,903.91
04231600,ont,3,matching,2 only,6407.66
04224775,ont,3,new maps,1,231.8445
04221000,ont,3,new maps,1,750.879
0423205010,ont,4,matching,2 only,367.78
04250200,ont,6,matching,2 only,616.42
04258000,ont,7,matching,2 only,753.69
04256000,ont,7,new maps,1 & 2,232.4457
02HM007,ont,10,matching,2 only,700
02HM003,ont,10,matching,2 only,906.7299805
02HL005,ont,10,new maps,1,297
02HL004,ont,10,new maps,1,678
02HL003,ont,10,new maps,1,429
02HL001,ont,11,matching,2 only,2590
02HK003,ont,11,new maps,2 only,1934.689941
02HF003,ont,11,new maps,2 only,1250
02HD012,ont,13,matching,1 & 2,242
02HC024,ont,13,new maps,2 only,318.5
02HC003,ont,13,new maps,2 only,802.039978
02HC049,ont,14,matching,1 & 2,257
02HC030,ont,14,new maps,1 & 2,204.9900055
04160600,stc,1,matching,2 only,391.09
04159492,stc,1,matching,2 only,1201.76
04165500,stc,3,matching,2 only,1901.06
02GE003,stc,6,matching,2 only,4370
02GD004,stc,6,new maps,1,306
02GG009,stc,7,new maps,1 & 2,536
02GG006,stc,7,new maps,1,249
02GG003,stc,7,matching,1 & 2,1150
02GG002,stc,7,matching,1,701
04024000,sup,1,matching,2 only,8883.7
04024430,sup,2,matching,1 & 2,1087.8
04029990,sup,3,matching,2 only,678.58
