time,date,hour,precip [mm/day],sub689 [m3/s],sub690 [m3/s],sub690 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,6.28849,8.91442,
1,2010-01-02,00:00:00.00,0.269994,10.8387,18.402,2.7581
2,2010-01-03,00:00:00.00,0.0803905,14.5672,23.4854,2.2682
3,2010-01-04,00:00:00.00,0.294579,12.7282,16.1841,2.1379
4,2010-01-05,00:00:00.00,0.716381,10.3877,12.6425,2.288
5,2010-01-06,00:00:00.00,0.536339,7.52967,9.43628,2.1492
6,2010-01-07,00:00:00.00,0.168123,5.47047,6.95346,2.0388
7,2010-01-08,00:00:00.00,3.55427,4.23039,5.64864,1.9142
8,2010-01-09,00:00:00.00,1.20775,3.47645,4.68238,2.0077
9,2010-01-10,00:00:00.00,0.0948316,3.08129,4.2942,1.9369
10,2010-01-11,00:00:00.00,0.0128752,2.81979,3.91168,1.699
11,2010-01-12,00:00:00.00,1.73183,2.68308,3.79788,1.8179
12,2010-01-13,00:00:00.00,0.298749,2.5582,3.59752,2.0162
13,2010-01-14,00:00:00.00,0.00544041,2.48871,3.54945,1.934
14,2010-01-15,00:00:00.00,0.06029,2.40584,3.4167,2.0218
15,2010-01-16,00:00:00.00,0.130574,2.35488,3.38173,2.1153
16,2010-01-17,00:00:00.00,0.0176971,2.29603,3.28784,2.3446
17,2010-01-18,00:00:00.00,0.000507486,2.27481,3.27657,2.0983
18,2010-01-19,00:00:00.00,0.0553715,2.24356,3.22123,1.951
19,2010-01-20,00:00:00.00,0.214565,2.23121,3.21473,1.8094
20,2010-01-21,00:00:00.00,0.0587857,2.20673,3.17292,1.7585
21,2010-01-22,00:00:00.00,0.0255915,2.20017,3.16857,1.6027
22,2010-01-23,00:00:00.00,0.110266,2.17767,3.1339,1.682
23,2010-01-24,00:00:00.00,0.0640676,2.15994,3.11603,1.5886
24,2010-01-25,00:00:00.00,7.18611,2.5338,3.89165,3.3697
25,2010-01-26,00:00:00.00,1.73387,3.568,5.77782,9.2879
26,2010-01-27,00:00:00.00,0.660938,4.33158,6.64751,5.9182
27,2010-01-28,00:00:00.00,0.344588,4.41209,6.18656,3.2848
