time,date,hour,precip [mm/day],sub715 [m3/s],sub715 (observed) [m3/s],sub723 [m3/s],sub724 [m3/s]
65,2010-03-07,00:00:00.00,0.00116381,1.00523,25.0604,0.104736,0.206944
66,2010-03-08,00:00:00.00,0.000601001,0.99916,27.4673,0.104124,0.205786
67,2010-03-09,00:00:00.00,0.0126181,0.993162,46.7228,0.103492,0.204479
68,2010-03-10,00:00:00.00,0.0789958,1.09905,95.1446,0.142224,0.25952
69,2010-03-11,00:00:00.00,0.461991,1.79264,179.812,0.353004,0.568883
70,2010-03-12,00:00:00.00,0.682389,3.78467,272.408,0.833455,1.31948
71,2010-03-13,00:00:00.00,0.887601,7.11135,257.966,1.27952,2.14937
72,2010-03-14,00:00:00.00,11.1494,9.91111,219.456,1.20835,2.32192
73,2010-03-15,00:00:00.00,2.70424,9.62186,215.774,0.762863,1.79173
74,2010-03-16,00:00:00.00,0.217015,7.55207,191.139,0.485258,1.22215
75,2010-03-17,00:00:00.00,7.46285e-308,6.06408,143.85,0.46854,0.987333
76,2010-03-18,00:00:00.00,0,5.11723,94.5783,0.446891,0.893598
77,2010-03-19,00:00:00.00,0.000325231,4.24578,58.0495,0.329892,0.725957
78,2010-03-20,00:00:00.00,0.000178091,3.37602,38.7941,0.223227,0.529594
79,2010-03-21,00:00:00.00,0.0825642,2.6596,27.5523,0.180569,0.40281
80,2010-03-22,00:00:00.00,0.00617719,2.10364,21.266,0.172716,0.353566
81,2010-03-23,00:00:00.00,13.5127,1.83977,18.944,0.183473,0.357384
82,2010-03-24,00:00:00.00,0.414402,1.91894,31.1485,0.245193,0.446096
83,2010-03-25,00:00:00.00,0.00184651,2.47258,45.5901,0.387498,0.667633
84,2010-03-26,00:00:00.00,13.7927,3.4036,42.7584,0.532599,0.931582
85,2010-03-27,00:00:00.00,0.0159692,4.32977,33.1307,0.576796,1.07869
86,2010-03-28,00:00:00.00,0.00976332,5.01944,31.998,0.584739,1.14168
87,2010-03-29,00:00:00.00,9.76992,5.47646,53.5188,0.619597,1.19769
88,2010-03-30,00:00:00.00,2.78315,5.65703,117.798,0.603481,1.18855
89,2010-03-31,00:00:00.00,0.0223634,5.61001,122.329,0.555975,1.12974
90,2010-04-01,00:00:00.00,0,5.46495,84.9505,0.545004,1.08999
91,2010-04-02,00:00:00.00,0,5.19538,54.9347,0.503867,1.01569
92,2010-04-03,00:00:00.00,0,4.71173,35.6792,0.399755,0.857826
93,2010-04-04,00:00:00.00,0.0191665,4.05234,25.5418,0.308194,0.683884
94,2010-04-05,00:00:00.00,0.000521369,3.39343,19.5103,0.270163,0.572962
95,2010-04-06,00:00:00.00,0.114501,2.90971,16.1689,0.263069,0.529342
96,2010-04-07,00:00:00.00,0.00792166,2.64522,14.4982,0.262546,0.518289
97,2010-04-08,00:00:00.00,5.03369,2.54127,12.9691,0.263813,0.518341
98,2010-04-09,00:00:00.00,18.4705,2.58378,33.9802,0.288937,0.554085
99,2010-04-10,00:00:00.00,0.0904578,2.95514,56.3505,0.398754,0.716769
100,2010-04-11,00:00:00.00,0.000487452,3.93819,37.0951,0.62519,1.07499
101,2010-04-12,00:00:00.00,0.029499,5.36191,27.0992,0.817758,1.44382
102,2010-04-13,00:00:00.00,0.0220583,6.44054,19.1422,0.772522,1.50295
103,2010-04-14,00:00:00.00,0.305566,6.50704,14.6681,0.560007,1.24026
104,2010-04-15,00:00:00.00,0,5.69336,12.1479,0.397515,0.924454
105,2010-04-16,00:00:00.00,0.000310769,4.64863,10.7887,0.343671,0.740388
106,2010-04-17,00:00:00.00,0.680379,3.84574,10.0242,0.33843,0.679168
107,2010-04-18,00:00:00.00,0.0383191,3.42451,9.741,0.339624,0.668073
108,2010-04-19,00:00:00.00,0.0125739,3.27553,9.118,0.339952,0.667693
109,2010-04-20,00:00:00.00,0,3.23893,8.6366,0.34045,0.66841
110,2010-04-21,00:00:00.00,0,3.23747,8.3535,0.341096,0.66953
111,2010-04-22,00:00:00.00,0.000879823,3.24112,8.1269,0.341831,0.670837
112,2010-04-23,00:00:00.00,0.00646566,3.24703,7.9854,0.342491,0.67214
113,2010-04-24,00:00:00.00,0.0730765,3.25263,8.1553,0.343003,0.673209
114,2010-04-25,00:00:00.00,12.1427,3.28166,8.8915,0.351763,0.686001
115,2010-04-26,00:00:00.00,22.7241,3.4916,16.0557,0.417078,0.781234
116,2010-04-27,00:00:00.00,9.31632,4.30413,104.772,0.63709,1.11341
117,2010-04-28,00:00:00.00,0.00710827,6.17708,170.751,1.02712,1.7459
118,2010-04-29,00:00:00.00,0.00293081,9.29765,103.64,1.34535,2.37171
119,2010-04-30,00:00:00.00,0.000223365,11.5865,58.0495,1.30935,2.52592
120,2010-05-01,00:00:00.00,2.04182e-308,11.0454,35.1129,0.996276,2.15527
121,2010-05-02,00:00:00.00,1.38449,8.98925,24.1543,0.708279,1.63124
122,2010-05-03,00:00:00.00,7.80997,7.37672,19.6802,0.583945,1.28059
123,2010-05-04,00:00:00.00,2.9628,6.51586,20.558,0.579789,1.16712
124,2010-05-05,00:00:00.00,2.46577,6.06322,21.0677,0.634739,1.21594
125,2010-05-06,00:00:00.00,2.13531,6.05392,17.4432,0.689407,1.30955
126,2010-05-07,00:00:00.00,0.177629,6.24364,15.5459,0.686741,1.33779
127,2010-05-08,00:00:00.00,4.89265,6.30246,15.0929,0.641969,1.2883
128,2010-05-09,00:00:00.00,3.7245,6.18063,18.6891,0.613832,1.2317
129,2010-05-10,00:00:00.00,0.0365596,6.05405,27.9487,0.625719,1.22724
130,2010-05-11,00:00:00.00,0.0963474,6.0521,20.1333,0.656949,1.2684
131,2010-05-12,00:00:00.00,22.689,6.21186,19.5953,0.692148,1.33194
132,2010-05-13,00:00:00.00,5.07955,6.6816,84.6674,0.794359,1.49563
133,2010-05-14,00:00:00.00,2.91709,8.03813,164.238,1.05717,1.90463
134,2010-05-15,00:00:00.00,4.53032,10.287,172.45,1.33821,2.40498
135,2010-05-16,00:00:00.00,0.042324,11.953,122.895,1.35106,2.584
136,2010-05-17,00:00:00.00,0.0681488,11.76,62.0139,1.13258,2.35579
137,2010-05-18,00:00:00.00,15.2352,10.3699,41.0594,0.951148,2.02413
138,2010-05-19,00:00:00.00,3.69943,9.53505,139.036,0.943487,1.89619
139,2010-05-20,00:00:00.00,0.419918,9.80332,121.196,1.10189,2.07419
140,2010-05-21,00:00:00.00,0.325531,10.8177,89.7644,1.27324,2.36423
141,2010-05-22,00:00:00.00,7.60845,11.6611,66.5446,1.27081,2.45938
142,2010-05-23,00:00:00.00,0.709009,11.4772,68.8099,1.14877,2.33219
143,2010-05-24,00:00:00.00,0.116417,10.8656,60.0317,1.08635,2.1977
144,2010-05-25,00:00:00.00,0.00687313,10.5712,43.3248,1.09828,2.1607
145,2010-05-26,00:00:00.00,0.0263186,10.4255,29.4495,1.08827,2.1388
146,2010-05-27,00:00:00.00,0.000287842,10.1587,21.5774,1.04003,2.07341
147,2010-05-28,00:00:00.00,4.67381,9.84034,17.2733,1.00041,1.99779
148,2010-05-29,00:00:00.00,0.411454,9.57382,16.1689,0.984979,1.95046
149,2010-05-30,00:00:00.00,0.0193307,9.43294,23.1065,0.981454,1.93161
150,2010-05-31,00:00:00.00,0.00353766,9.35417,26.278,0.979697,1.92473
151,2010-06-01,00:00:00.00,35.246,9.44162,19.5386,1.01028,1.96717
152,2010-06-02,00:00:00.00,5.08044,10.2789,94.5783,1.19465,2.23632
153,2010-06-03,00:00:00.00,0.918055,13.0148,169.618,1.65538,3.021
154,2010-06-04,00:00:00.00,0.749879,17.1068,179.529,2.11143,3.98114
155,2010-06-05,00:00:00.00,10.6271,19.5156,137.337,2.10901,4.15896
156,2010-06-06,00:00:00.00,32.1187,18.796,88.0654,1.82471,3.66568
157,2010-06-07,00:00:00.00,2.7216,17.5949,217.473,1.8287,3.59588
158,2010-06-08,00:00:00.00,0.173223,19.6365,230.216,2.31255,4.4539
159,2010-06-09,00:00:00.00,3.97668,24.0763,212.093,2.77681,5.41011
160,2010-06-10,00:00:00.00,10.834,25.8934,139.319,2.69902,5.33957
161,2010-06-11,00:00:00.00,0.175676,23.8408,137.62,2.33141,4.60764
162,2010-06-12,00:00:00.00,2.9891,21.4082,124.594,2.15518,4.22911
163,2010-06-13,00:00:00.00,14.1359,20.6461,79.5703,2.18409,4.28279
164,2010-06-14,00:00:00.00,7.23371,20.9919,63.9961,2.23523,4.3922
165,2010-06-15,00:00:00.00,7.17022,21.798,127.143,2.34204,4.5985
166,2010-06-16,00:00:00.00,2.75519,23.1018,144.133,2.51424,4.93252
167,2010-06-17,00:00:00.00,0.363742,24.1975,131.957,2.58276,5.08115
168,2010-06-18,00:00:00.00,9.29351e-308,24.0886,96.5604,2.49231,4.90946
169,2010-06-19,00:00:00.00,0.0246597,22.9505,66.8278,2.34011,4.60648
170,2010-06-20,00:00:00.00,0.0290422,21.6834,38.2277,2.21969,4.36583
171,2010-06-21,00:00:00.00,0.00131645,20.8258,21.0111,2.15351,4.23454
172,2010-06-22,00:00:00.00,0.205448,20.3305,15.4893,2.1175,4.16753
173,2010-06-23,00:00:00.00,4.73683,20.0252,12.6293,2.09062,4.11707
174,2010-06-24,00:00:00.00,9.52277,19.8073,12.4028,2.0716,4.0785
175,2010-06-25,00:00:00.00,5.57754,19.7706,48.9881,2.08373,4.09401
176,2010-06-26,00:00:00.00,0.119344,20.1443,50.6872,2.15371,4.22067
177,2010-06-27,00:00:00.00,0.356295,20.811,27.7505,2.23181,4.3792
178,2010-06-28,00:00:00.00,15.9925,21.2279,16.4238,2.24086,4.4111
179,2010-06-29,00:00:00.00,14.0932,21.4025,60.8812,2.25703,4.43942
180,2010-06-30,00:00:00.00,0.0984347,22.4975,103.356,2.46058,4.82553
181,2010-07-01,00:00:00.00,3.3238e-308,25.0998,87.4991,2.80593,5.5019
182,2010-07-02,00:00:00.00,3.1478e-308,27.4014,44.7406,2.95941,5.82911
183,2010-07-03,00:00:00.00,0.000149482,27.2605,21.5774,2.79376,5.51953
184,2010-07-04,00:00:00.00,0.0952865,25.2706,13.8753,2.53379,4.99557
185,2010-07-05,00:00:00.00,1.02186e-308,23.3071,10.279,2.36762,4.65989
186,2010-07-06,00:00:00.00,8.677e-308,22.1882,8.2685,2.29648,4.51847
187,2010-07-07,00:00:00.00,1.49551e-308,21.6777,6.9376,2.25828,4.44463
188,2010-07-08,00:00:00.00,0.000180569,21.3346,6.0881,2.22384,4.37754
189,2010-07-09,00:00:00.00,8.48683,21.0249,5.4935,2.19345,4.31758
190,2010-07-10,00:00:00.00,24.571,20.9574,5.0687,2.20949,4.34641
191,2010-07-11,00:00:00.00,0.305467,21.8893,14.385,2.38403,4.68078
192,2010-07-12,00:00:00.00,1.03983,24.6691,27.9204,2.78635,5.45491
193,2010-07-13,00:00:00.00,2.33669,28.1277,16.4521,3.13013,6.12392
194,2010-07-14,00:00:00.00,0.3485,29.1975,11.525,3.03166,6.01297
195,2010-07-15,00:00:00.00,0.0530692,27.3167,8.4667,2.72137,5.40302
196,2010-07-16,00:00:00.00,0.176862,24.8378,7.2774,2.50454,4.92234
197,2010-07-17,00:00:00.00,1.32833,23.2926,5.6351,2.39054,4.71173
198,2010-07-18,00:00:00.00,0.0184712,22.5487,5.6351,2.34621,4.61817
199,2010-07-19,00:00:00.00,4.16063,22.1296,5.5501,2.30498,4.54137
200,2010-07-20,00:00:00.00,3.5898,21.7546,5.0404,2.26625,4.46379
201,2010-07-21,00:00:00.00,0.0929543,21.3867,4.4174,2.22807,4.38926
202,2010-07-22,00:00:00.00,0.00082563,21.0435,4.6156,2.19189,4.31806
203,2010-07-23,00:00:00.00,0.492444,20.698,5.805,2.1566,4.249
204,2010-07-24,00:00:00.00,3.73719,20.3674,5.9749,2.12176,4.1845
205,2010-07-25,00:00:00.00,5.69411,20.0459,5.6067,2.08815,4.12575
206,2010-07-26,00:00:00.00,11.386,19.7977,5.9465,2.06794,4.0887
207,2010-07-27,00:00:00.00,0.217794,19.8297,41.6258,2.09449,4.1322
208,2010-07-28,00:00:00.00,0.00207465,20.3836,29.1664,2.18917,4.31585
209,2010-07-29,00:00:00.00,1.3288,21.1731,14.9513,2.26824,4.48733
210,2010-07-30,00:00:00.00,1.01156,21.3778,8.8915,2.22813,4.42124
211,2010-07-31,00:00:00.00,0.00577741,20.7122,6.5695,2.11419,4.20171
212,2010-08-01,00:00:00.00,0.0370047,19.7479,5.5784,2.02153,4.02358
213,2010-08-02,00:00:00.00,0.00191976,19.0507,4.1626,1.96953,3.91631
214,2010-08-03,00:00:00.00,0.00884032,18.6364,3.1998,1.93609,3.84215
215,2010-08-04,00:00:00.00,3.29634,18.319,2.5768,1.90556,3.77838
216,2010-08-05,00:00:00.00,1.24468,18.0236,2.5825,1.87538,3.71625
217,2010-08-06,00:00:00.00,13.3654,17.7833,3.1149,1.85541,3.67208
218,2010-08-07,00:00:00.00,0.00470177,17.7972,5.5784,1.87941,3.70745
219,2010-08-08,00:00:00.00,0.000253203,18.3671,9.8826,1.98064,3.88687
220,2010-08-09,00:00:00.00,0.000647782,19.2562,7.504,2.07811,4.08068
221,2010-08-10,00:00:00.00,0.00446999,19.5887,4.9271,2.04907,4.0644
222,2010-08-11,00:00:00.00,0.0467897,18.9901,3.5113,1.93257,3.86404
223,2010-08-12,00:00:00.00,4.71466,18.0213,3.0016,1.83601,3.66288
224,2010-08-13,00:00:00.00,0.294055,17.309,2.5457,1.78676,3.54695
225,2010-08-14,00:00:00.00,0.0882551,16.9397,2.0671,1.76276,3.48997
226,2010-08-15,00:00:00.00,7.74758,16.7288,1.9539,1.74553,3.45331
227,2010-08-16,00:00:00.00,5.59993,16.6062,2.0898,1.73896,3.43688
228,2010-08-17,00:00:00.00,0.87772,16.6694,2.053,1.7613,3.47256
229,2010-08-18,00:00:00.00,0.00271223,16.9047,1.8123,1.79433,3.53498
230,2010-08-19,00:00:00.00,0.0138315,17.0121,2.0388,1.78555,3.5327
231,2010-08-20,00:00:00.00,0.0184709,16.7505,2.1096,1.7298,3.4397
232,2010-08-21,00:00:00.00,0.00180164,16.2372,2.1549,1.66873,3.31992
233,2010-08-22,00:00:00.00,13.7799,15.788,2.288,1.63528,3.24285
234,2010-08-23,00:00:00.00,0.535829,15.7051,2.5372,1.65675,3.26783
235,2010-08-24,00:00:00.00,0.550671,16.2218,5.6351,1.75462,3.43944
236,2010-08-25,00:00:00.00,0.0608331,17.0654,6.4279,1.84906,3.62736
237,2010-08-26,00:00:00.00,0.151531,17.4072,4.6723,1.82348,3.61755
238,2010-08-27,00:00:00.00,0.00349123,16.8824,3.5113,1.71412,3.43265
239,2010-08-28,00:00:00.00,0.00510741,15.9972,2.826,1.62372,3.24695
240,2010-08-29,00:00:00.00,0.00351721,15.3284,2.4041,1.57751,3.13931
241,2010-08-30,00:00:00.00,0.00256226,14.9508,2.0898,1.55214,3.07964
242,2010-08-31,00:00:00.00,0.0170538,14.7066,1.8094,1.53,3.03117
243,2010-09-01,00:00:00.00,0.235257,14.4999,1.5376,1.50795,2.98411
244,2010-09-02,00:00:00.00,0.0427222,14.296,1.4668,1.48632,2.93919
245,2010-09-03,00:00:00.00,0.00240899,14.0919,1.3224,1.46508,2.89669
246,2010-09-04,00:00:00.00,1.1747,13.8908,1.195,1.44427,2.85611
247,2010-09-05,00:00:00.00,0.220049,13.6948,1.076,1.42393,2.81802
248,2010-09-06,00:00:00.00,0.00272107,13.5049,0.9769,1.40411,2.78255
249,2010-09-07,00:00:00.00,0.0203519,13.3211,0.9146,1.38483,2.7472
250,2010-09-08,00:00:00.00,0.871739,13.1416,0.9033,1.36605,2.70954
251,2010-09-09,00:00:00.00,0.00101344,12.9644,0.926,1.34766,2.67503
252,2010-09-10,00:00:00.00,9.41079e-308,12.7914,0.9628,1.32963,2.64294
253,2010-09-11,00:00:00.00,0.00605263,12.6239,0.9543,1.31198,2.60931
254,2010-09-12,00:00:00.00,6.70436,12.4723,0.8835,1.29759,2.58067
255,2010-09-13,00:00:00.00,0.100811,12.3923,0.8523,1.29673,2.5711
256,2010-09-14,00:00:00.00,0.0980741,12.4648,0.8891,1.319,2.59777
257,2010-09-15,00:00:00.00,0.00352712,12.6223,0.8495,1.34004,2.63277
258,2010-09-16,00:00:00.00,0.133173,12.6349,0.9231,1.32248,2.62077
259,2010-09-17,00:00:00.00,8.74573,12.428,1.2148,1.28158,2.56365
260,2010-09-18,00:00:00.00,0.751936,12.2129,1.4527,1.2657,2.52252
261,2010-09-19,00:00:00.00,0.25057,12.2478,1.2884,1.29705,2.55081
262,2010-09-20,00:00:00.00,0.593333,12.4746,1.1129,1.33339,2.60855
263,2010-09-21,00:00:00.00,0.00120707,12.5428,1.1242,1.31613,2.60643
264,2010-09-22,00:00:00.00,0.000204737,12.2909,1.3026,1.25993,2.53236
265,2010-09-23,00:00:00.00,0.813473,11.8915,1.4073,1.21278,2.44073
266,2010-09-24,00:00:00.00,0.0794683,11.5465,1.3394,1.18698,2.37199
267,2010-09-25,00:00:00.00,0.00058142,11.3106,1.212,1.17123,2.32767
268,2010-09-26,00:00:00.00,8.97596e-308,11.1453,1.0562,1.15708,2.29557
269,2010-09-27,00:00:00.00,0.0443844,11.0015,0.9373,1.14303,2.26877
270,2010-09-28,00:00:00.00,9.14214,10.8853,0.909,1.13382,2.25118
271,2010-09-29,00:00:00.00,14.7569,10.9142,1.3309,1.15426,2.27682
