 radcl\20100101_met.r
04159492                               0.      6.      3.      3.      0.      0.
04159900                               0.      6.      5.      5.      0.      0.
04160600                               0.     10.      8.      8.      0.      0.
  hour    then pairs of measured and computed flows
      24    0.33    0.19    3.00    2.98    5.60    2.96    0.70    0.32    3.85    0.44    0.42    0.08    2.86    1.64    1.21    0.96    1.73    1.46
      48    0.20    0.19    2.84    3.47    4.80    4.54    0.60    0.35    3.00    0.56    0.30    0.09    2.02    1.66    0.88    1.06    1.42    1.68
      72    0.13    0.19    2.70    3.35    4.20    4.56    0.54    0.32    2.20    0.58    0.22    0.08    1.78    1.72    0.81    0.95    1.38    1.71
      96    0.13    0.18    2.58    2.78    3.80    4.24    0.48    0.35    1.40    0.58    0.18    0.08    1.78    1.62    0.88    0.88    1.30    1.48
     120    0.13    0.16    2.51    2.28    3.45    3.62    0.44    0.34    1.10    0.61    0.15    0.08    1.71    1.53    0.90    0.86    1.26    1.08
     144    0.14    0.16    2.44    2.08    3.23    3.15    0.41    0.29    0.95    0.55    0.13    0.08    1.71    1.49    0.86    0.83    1.19    1.05
     168    0.15    0.16    2.39    2.00    3.08    2.98    0.38    0.26    0.82    0.50    0.12    0.07    1.69    1.47    0.80    0.83    1.13    1.06
     192    0.14    0.17    2.33    2.05    2.97    2.99    0.36    0.28    0.70    0.48    0.10    0.07    1.60    1.50    0.73    0.86    1.04    1.07
     216    0.14    0.17    2.28    2.02    2.82    2.98    0.34    0.28    0.63    0.48    0.09    0.06    1.51    1.47    0.69    0.85    1.08    1.05
     240    0.12    0.16    2.24    1.97    2.75    2.91    0.32    0.25    0.56    0.47    0.08    0.06    1.47    1.47    0.67    0.82    1.07    1.03
     264    0.12    0.16    2.21    1.95    2.68    2.87    0.31    0.24    0.50    0.44    0.07    0.05    1.42    1.43    0.67    0.82    0.96    1.04
     288    0.12    0.15    2.18    1.96    2.62    2.86    0.29    0.24    0.46    0.42    0.06    0.05    1.40    1.41    0.68    0.82    0.96    1.03
     312    0.12    0.15    2.15    1.94    2.58    2.84    0.28    0.24    0.42    0.42    0.06    0.04    1.40    1.40    0.67    0.81    1.01    1.02
     336    0.11    0.15    2.13    1.92    2.54    2.82    0.28    0.23    0.41    0.41    0.06    0.04    1.40    1.39    0.69    0.79    1.02    1.01
     360    0.12    0.14    2.11    1.91    2.50    2.79    0.26    0.23    0.40    0.40    0.05    0.04    1.42    1.36    0.76    0.79    1.03    1.01
     384    0.13    0.14    2.10    1.90    2.47    2.78    0.26    0.23    0.38    0.40    0.05    0.04    1.53    1.35    0.79    0.79    1.04    1.01
     408    0.14    0.14    2.09    1.90    2.44    2.78    0.26    0.23    0.37    0.40    0.05    0.04    1.53    1.35    0.81    0.78    1.05    1.00
     432    0.14    0.13    2.08    1.90    2.42    2.77    0.25    0.23    0.36    0.40    0.05    0.04    1.59    1.35    0.85    0.78    1.06    1.00
     456    0.14    0.13    2.07    1.90    2.40    2.77    0.25    0.23    0.35    0.40    0.05    0.04    1.57    1.36    0.85    0.78    1.07    1.00
     480    0.14    0.13    2.06    1.91    2.38    2.77    0.25    0.24    0.34    0.40    0.04    0.04    1.59    1.36    0.81    0.78    1.06    1.00
     504    0.13    0.13    1.97    1.90    2.36    2.78    0.24    0.24    0.34    0.41    0.04    0.04    1.53    1.36    0.77    0.78    1.00    1.00
     528    0.13    0.13    1.99    1.89    2.34    2.77    0.24    0.23    0.33    0.41    0.04    0.04    1.49    1.36    0.74    0.78    0.92    0.99
     552    0.14    0.13    2.08    1.88    2.32    2.76    0.28    0.23    0.32    0.40    0.04    0.04    1.51    1.35    0.70    0.77    0.81    0.99
     576    1.54    0.34    2.20    1.95    2.60    2.89    0.40    0.28    0.32    0.52    0.18    0.06    1.64    1.48    0.90    0.88    1.04    1.15
     600   18.30    0.68   25.50    2.26   36.00    3.19    5.81    0.39    1.50    0.98    3.00    0.09    3.62    1.75    2.12    0.97    3.26    1.29
     624    8.95    0.54   47.50    2.45   64.60    3.56   17.00    0.30   10.80    0.81   15.80    0.08   12.91    1.66    4.33    0.94    5.04    1.39
     648    2.90    0.38   30.00    2.13   60.40    3.46   18.60    0.25   22.40    0.55   19.10    0.07    6.65    1.64    3.28    0.85    3.65    1.49
     672    2.13    0.36   20.00    2.04   43.20    3.06    9.51    0.24   27.20    0.44    9.69    0.05    5.24    1.51    2.37    0.80    2.45    1.23
     696    0.70    0.28   14.00    1.95   30.00    2.91    4.72    0.24   24.30    0.41    3.80    0.05    4.02    1.42    1.51    0.79    1.75    1.01
     720    0.25    0.19    9.50    1.90   21.00    2.81    2.37    0.23   12.40    0.41    2.20    0.04    3.20    1.38    1.24    0.78    1.53    1.00
     744    0.19    0.16    7.00    1.88   14.00    2.76    1.60    0.23    7.15    0.40    1.30    0.04    2.58    1.36    1.07    0.78    1.36    0.99
 radcl\20100101_met.r
    9  744  744   24
 location                          precip   o        c       qpm     qpc
04161820                               0.     23.     28.     28.      0.      0.
04164000                               0.     20.     34.     34.      0.      0.
04165500                               0.     19.     31.     31.      0.      0.
04166100                               0.     17.     32.     32.      0.      0.
04177000                               0.     21.     11.     11.      0.      0.
04196800                               0.     19.      7.      7.      0.      0.
04197100                               0.     21.      6.      6.      0.      0.
04207200                               0.     58.     38.     38.      0.      0.
04208504                               0.     42.     41.     41.      0.      0.
  hour    then pairs of measured and computed flows
      24    9.34   13.01   11.92   18.65   19.03   26.88    1.58    1.98    1.64    0.48    1.53    2.10    0.82    0.94    2.16    3.90   25.20   31.22
      48    8.55   11.84   10.02   17.49   16.11   28.19    1.32    1.59    1.29    0.69    1.81    2.50    0.68    1.04    1.85    3.50   22.71   40.40
