time,date,hour,precip [mm/day],sub691 [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub693 [m3/s]
0,2010-01-01,00:00:00.00,---,6.93905,19.2142,,11.4944
1,2010-01-02,00:00:00.00,0.249477,12.6159,36.5018,19.0289,21.6921
2,2010-01-03,00:00:00.00,0.158197,19.8236,58.9645,16.1123,33.8951
3,2010-01-04,00:00:00.00,0.516919,18.1751,52.1018,15.4893,30.2375
4,2010-01-05,00:00:00.00,0.972902,12.8601,34.1342,12.6293,21.049
5,2010-01-06,00:00:00.00,0.494271,9.37208,24.0438,12.8275,15.0671
6,2010-01-07,00:00:00.00,0.0990872,7.39304,19.1897,11.7515,11.931
7,2010-01-08,00:00:00.00,3.98179,6.32362,16.822,11.1002,10.2671
8,2010-01-09,00:00:00.00,1.65501,5.60397,14.9198,11.4117,9.09894
9,2010-01-10,00:00:00.00,0.0790906,5.14114,13.9362,11.0153,8.4246
10,2010-01-11,00:00:00.00,0.0100626,4.78317,13.0295,10.7887,7.85113
11,2010-01-12,00:00:00.00,1.88698,4.53627,12.4857,11.2418,7.49068
12,2010-01-13,00:00:00.00,0.299306,4.35515,11.9819,10.3356,7.18201
13,2010-01-14,00:00:00.00,0.00438955,4.20992,11.6634,10.4206,6.97941
14,2010-01-15,00:00:00.00,0.0458979,4.09677,11.3552,10.7038,6.78417
15,2010-01-16,00:00:00.00,0.097262,3.99698,11.1411,11.8081,6.65216
16,2010-01-17,00:00:00.00,0.00939512,3.91836,10.928,12.0913,6.51588
17,2010-01-18,00:00:00.00,5.90978e-308,3.85345,10.7738,10.9869,6.42348
18,2010-01-19,00:00:00.00,0.0304626,3.80398,10.6308,10.7887,6.33386
19,2010-01-20,00:00:00.00,0.214512,3.75796,10.516,10.7604,6.26631
20,2010-01-21,00:00:00.00,0.0608399,3.7207,10.4085,10.7604,6.20002
21,2010-01-22,00:00:00.00,0.00904083,3.68677,10.3181,10.4489,6.1473
22,2010-01-23,00:00:00.00,0.0677072,3.65719,10.2357,9.9109,6.09701
23,2010-01-24,00:00:00.00,0.112382,3.62364,10.157,10.0808,6.0489
24,2010-01-25,00:00:00.00,6.62305,4.27595,12.3225,17.4149,7.31848
25,2010-01-26,00:00:00.00,3.38036,7.21807,21.7215,32.8475,12.6894
26,2010-01-27,00:00:00.00,0.911755,10.0836,29.9783,27.2974,17.2711
27,2010-01-28,00:00:00.00,0.395056,9.62114,27.0193,23.0499,15.8775
28,2010-01-29,00:00:00.00,0.206671,7.91506,21.1963,16.9618,12.9336
29,2010-01-30,00:00:00.00,0.00323157,6.72333,17.9034,12.8558,10.9346
30,2010-01-31,00:00:00.00,0.0750787,5.90126,15.7494,11.9214,9.5881
31,2010-02-01,00:00:00.00,0.204187,5.37366,14.4093,11.1285,8.74875
32,2010-02-02,00:00:00.00,0.0313524,4.93777,13.3833,10.4489,8.08666
33,2010-02-03,00:00:00.00,1.89521,4.6124,12.6405,9.5711,7.59813
34,2010-02-04,00:00:00.00,0.489343,4.37314,12.0434,9.9109,7.21774
35,2010-02-05,00:00:00.00,1.45e-308,4.18894,11.6132,10.2507,6.94637
36,2010-02-06,00:00:00.00,0.00896418,4.04783,11.2583,9.656,6.71705
37,2010-02-07,00:00:00.00,0.0847183,3.93711,10.9867,9.1463,6.55534
38,2010-02-08,00:00:00.00,0.307316,3.85364,10.7597,8.9198,6.41106
39,2010-02-09,00:00:00.00,0,3.78581,10.5764,8.5517,6.3054
40,2010-02-10,00:00:00.00,10.1361,3.72764,10.4221,8.6933,6.20818
41,2010-02-11,00:00:00.00,6.95877,3.6757,10.286,8.9764,6.12859
42,2010-02-12,00:00:00.00,0.295324,3.63026,10.1713,9.1747,6.05564
43,2010-02-13,00:00:00.00,0.150449,3.59053,10.0645,9.0614,5.99235
44,2010-02-14,00:00:00.00,0.230886,3.55725,9.9706,8.4101,5.93519
45,2010-02-15,00:00:00.00,0.0171686,3.52474,9.88489,8.5234,5.88409
46,2010-02-16,00:00:00.00,0.169921,3.4929,9.80349,8.4384,5.8336
47,2010-02-17,00:00:00.00,2.0624,3.46228,9.72532,8.7499,5.78555
48,2010-02-18,00:00:00.00,0.187658,3.43292,9.65091,8.6933,5.73932
49,2010-02-19,00:00:00.00,0.00440881,3.40214,9.57761,8.6933,5.69332
50,2010-02-20,00:00:00.00,5.2221e-308,3.37216,9.50492,9.5145,5.64713
51,2010-02-21,00:00:00.00,0.00254856,3.34467,9.43417,9.5145,5.60331
52,2010-02-22,00:00:00.00,0.0423053,3.31688,9.36586,8.8632,5.56063
53,2010-02-23,00:00:00.00,12.9892,3.49068,9.90615,9.9958,5.88573
54,2010-02-24,00:00:00.00,0.69747,3.79182,10.8644,11.4683,6.41654
55,2010-02-25,00:00:00.00,1.57395,3.85338,10.9539,11.2701,6.47303
56,2010-02-26,00:00:00.00,2.15547,3.76593,10.5576,10.7887,6.27779
57,2010-02-27,00:00:00.00,7.27144,3.67352,10.2846,10.5622,6.1193
58,2010-02-28,00:00:00.00,1.75431,3.57105,10.0173,11.0153,5.96259
59,2010-03-01,00:00:00.00,0.10532,3.48016,9.79288,12.4877,5.82188
60,2010-03-02,00:00:00.00,0.00152389,3.39855,9.58555,15.0929,5.69403
61,2010-03-03,00:00:00.00,0.038086,3.33299,9.41487,15.8008,5.58847
62,2010-03-04,00:00:00.00,0.040645,3.28064,9.26646,14.4133,5.49942
63,2010-03-05,00:00:00.00,0.00040031,3.23461,9.14167,15.376,5.4249
64,2010-03-06,00:00:00.00,0,3.19114,9.02627,14.6115,5.35473
65,2010-03-07,00:00:00.00,4.4135e-308,3.14726,8.91886,15.6592,5.28825
66,2010-03-08,00:00:00.00,1.3371e-308,5.5488,16.8664,17.4432,9.9139
67,2010-03-09,00:00:00.00,4.07985e-308,18.1984,54.9913,21.2093,31.9819
68,2010-03-10,00:00:00.00,0.0675365,29.8877,89.4921,25.6267,50.9364
69,2010-03-11,00:00:00.00,0.263683,25.3576,70.1824,30.5822,41.0727
70,2010-03-12,00:00:00.00,1.1694,15.6648,39.3843,37.0951,25.3152
71,2010-03-13,00:00:00.00,5.04343,10.8031,28.3247,53.802,17.8223
72,2010-03-14,00:00:00.00,12.5509,11.7202,32.1666,71.0753,19.4654
73,2010-03-15,00:00:00.00,4.57956,14.7261,42.1816,92.5961,24.8891
74,2010-03-16,00:00:00.00,0.134951,14.2509,40.273,86.6496,23.6306
