time,date,hour,precip [mm/day],sub701 [m3/s],sub702 [m3/s],sub702 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,5.39709,9.30073,
1,2010-01-02,00:00:00.00,1.50375,3.71988,6.98043,4.5
2,2010-01-03,00:00:00.00,0.741504,1.2698,3.35041,4.2
3,2010-01-04,00:00:00.00,1.25177,0.48671,1.64553,4.05
4,2010-01-05,00:00:00.00,0.342673,0.528131,1.11527,3.92
5,2010-01-06,00:00:00.00,3.02239,0.558874,0.98022,3.79
6,2010-01-07,00:00:00.00,0.0756507,0.549561,0.967215,3.68
7,2010-01-08,00:00:00.00,5.29508,0.560119,0.960131,3.62
8,2010-01-09,00:00:00.00,3.45739,0.562398,0.967523,3.54
9,2010-01-10,00:00:00.00,0.00587025,0.567325,0.973351,3.48
10,2010-01-11,00:00:00.00,0.0862338,0.571047,0.980549,3.38
11,2010-01-12,00:00:00.00,2.28477,0.574894,0.986999,3.32
12,2010-01-13,00:00:00.00,0.0494382,0.578334,0.99329,3.28
13,2010-01-14,00:00:00.00,0.000132548,0.581525,0.998963,3.23
14,2010-01-15,00:00:00.00,0.183107,0.584382,1.00421,3.18
15,2010-01-16,00:00:00.00,0.43311,0.586914,1.00883,3.15
16,2010-01-17,00:00:00.00,0.0130891,0.589161,1.013,3.11
17,2010-01-18,00:00:00.00,0.00192431,0.591103,1.01659,3.09
18,2010-01-19,00:00:00.00,0.00350991,0.592692,1.01965,3.07
19,2010-01-20,00:00:00.00,0.0389693,0.593974,1.02213,3.04
20,2010-01-21,00:00:00.00,0.0208275,0.595017,1.02418,3.02
21,2010-01-22,00:00:00.00,0.000317145,0.595855,1.0258,3
22,2010-01-23,00:00:00.00,0.00634895,0.596474,1.02708,2.98
23,2010-01-24,00:00:00.00,0,0.596827,1.02789,2.97
24,2010-01-25,00:00:00.00,12.553,0.842868,1.30954,2.96
25,2010-01-26,00:00:00.00,9.33012,2.50754,3.30233,28.4
26,2010-01-27,00:00:00.00,1.28433,5.2495,7.56108,29.4
27,2010-01-28,00:00:00.00,1.31639,5.57065,9.35157,10.4
28,2010-01-29,00:00:00.00,2.61877,4.03349,7.5935,6.52
29,2010-01-30,00:00:00.00,0.254829,3.36934,6.07798,5.54
30,2010-01-31,00:00:00.00,0.0265178,3.10204,5.40132,4.69
31,2010-02-01,00:00:00.00,0.730658,2.84023,4.99128,4.08
32,2010-02-02,00:00:00.00,0.248078,2.62154,4.6039,3.85
33,2010-02-03,00:00:00.00,2.19049,2.44302,4.29293,3.59
34,2010-02-04,00:00:00.00,0.393279,2.28951,4.00994,3.39
35,2010-02-05,00:00:00.00,0.0835919,2.15835,3.79788,3.22
36,2010-02-06,00:00:00.00,0.000221551,2.04412,3.61743,3.1
37,2010-02-07,00:00:00.00,0.00698939,1.94412,3.44633,3
38,2010-02-08,00:00:00.00,1.52e-308,1.85594,3.28291,2.92
39,2010-02-09,00:00:00.00,0.000202928,1.77771,3.14031,2.85
40,2010-02-10,00:00:00.00,2.72956,1.70773,3.01063,2.79
41,2010-02-11,00:00:00.00,5.74307,1.64479,2.89559,2.73
42,2010-02-12,00:00:00.00,0.00359168,1.588,2.79129,2.71
43,2010-02-13,00:00:00.00,0.306469,1.53635,2.69723,2.69
44,2010-02-14,00:00:00.00,0.783791,1.48895,2.61107,2.69
45,2010-02-15,00:00:00.00,1.41918,1.44526,2.53212,2.67
46,2010-02-16,00:00:00.00,0.192675,1.40482,2.45914,2.67
47,2010-02-17,00:00:00.00,0.551814,1.36723,2.39155,2.65
48,2010-02-18,00:00:00.00,0.351806,1.33219,2.32863,2.65
49,2010-02-19,00:00:00.00,0.00851751,1.29938,2.26987,2.65
50,2010-02-20,00:00:00.00,0.00548016,1.26849,2.2147,2.63
51,2010-02-21,00:00:00.00,0.000751552,1.23931,2.16272,2.63
52,2010-02-22,00:00:00.00,4.7643e-308,1.21172,2.11362,2.63
53,2010-02-23,00:00:00.00,13.7548,1.24786,2.1383,2.61
54,2010-02-24,00:00:00.00,1.00674,1.35174,2.26259,2.61
55,2010-02-25,00:00:00.00,0.312828,1.36372,2.3115,2.61
56,2010-02-26,00:00:00.00,1.55155,1.27682,2.23658,2.57
57,2010-02-27,00:00:00.00,3.59999,1.22253,2.1601,2.57
58,2010-02-28,00:00:00.00,1.76878,1.20672,2.10658,2.55
59,2010-03-01,00:00:00.00,0.0992012,1.18503,2.06086,2.55
60,2010-03-02,00:00:00.00,0.000974841,1.155,2.01483,2.81
61,2010-03-03,00:00:00.00,0.00123542,1.12858,1.96868,2.94
62,2010-03-04,00:00:00.00,0.00115844,1.10548,1.92672,3.46
63,2010-03-05,00:00:00.00,1.14763e-308,1.08346,1.88683,4.85
64,2010-03-06,00:00:00.00,5.7381e-308,1.06221,1.84953,5.87
65,2010-03-07,00:00:00.00,0.000466407,1.04185,1.81346,6.72
66,2010-03-08,00:00:00.00,0.000244822,1.0222,1.77896,8.48
67,2010-03-09,00:00:00.00,0,1.00315,1.74548,9.78
68,2010-03-10,00:00:00.00,0.0569285,2.45487,3.40059,10.4
69,2010-03-11,00:00:00.00,0.0233485,5.90271,8.4511,10.6
70,2010-03-12,00:00:00.00,0.00241419,6.7382,11.1366,11.9
71,2010-03-13,00:00:00.00,1.64416,4.7583,9.07442,12.9
72,2010-03-14,00:00:00.00,21.7436,5.64134,9.40477,15.2
73,2010-03-15,00:00:00.00,5.64915,8.98142,14.1165,43.7
74,2010-03-16,00:00:00.00,0.0557232,9.51991,16.2552,46.8
75,2010-03-17,00:00:00.00,4.19187e-308,7.19495,13.325,31.5
76,2010-03-18,00:00:00.00,2.01473e-308,5.58293,10.1865,23.1
77,2010-03-19,00:00:00.00,1.00736e-308,4.81285,8.55847,16.7
78,2010-03-20,00:00:00.00,0.000132625,4.17648,7.46347,13.4
79,2010-03-21,00:00:00.00,0.0671316,3.74888,6.59437,11.1
80,2010-03-22,00:00:00.00,0.372675,3.3919,5.95734,9.34
81,2010-03-23,00:00:00.00,3.39937,3.1928,5.56938,8.14
82,2010-03-24,00:00:00.00,4.01212,3.28808,5.64347,7.74
83,2010-03-25,00:00:00.00,0.0321422,3.39512,5.80459,7.87
84,2010-03-26,00:00:00.00,0.961046,3.19346,5.54952,8.08
85,2010-03-27,00:00:00.00,0.000405329,2.85642,5.03304,7.27
86,2010-03-28,00:00:00.00,0.000586753,2.61632,4.61361,6.23
87,2010-03-29,00:00:00.00,11.9229,3.0044,5.04981,5.84
88,2010-03-30,00:00:00.00,1.26508,3.97664,6.51712,7.9
89,2010-03-31,00:00:00.00,0.00440623,4.12989,7.02458,9
90,2010-04-01,00:00:00.00,0.000149075,3.48728,6.21231,8.49
91,2010-04-02,00:00:00.00,0,3.04416,5.41235,7.14
92,2010-04-03,00:00:00.00,0,2.80159,4.90437,6.14
93,2010-04-04,00:00:00.00,0.0469767,2.60091,4.56579,5.55
94,2010-04-05,00:00:00.00,0.0546262,2.42115,4.25003,5.02
95,2010-04-06,00:00:00.00,0.0895246,2.26886,3.97812,4.64
96,2010-04-07,00:00:00.00,17.3579,2.87258,4.72509,5.56
97,2010-04-08,00:00:00.00,23.5906,6.42767,9.64127,8.77
98,2010-04-09,00:00:00.00,19.4706,13.111,20.1676,33
99,2010-04-10,00:00:00.00,0.200822,16.091,26.8663,50.6
100,2010-04-11,00:00:00.00,0.00147693,12.4369,22.838,36.9
101,2010-04-12,00:00:00.00,0.010086,8.43398,15.8481,21.1
102,2010-04-13,00:00:00.00,0.00294274,6.6356,11.8866,14
103,2010-04-14,00:00:00.00,0.415569,5.55655,9.98982,10.8
104,2010-04-15,00:00:00.00,0,4.78299,8.56145,8.67
105,2010-04-16,00:00:00.00,4.22287e-308,4.20657,7.45932,7.4
106,2010-04-17,00:00:00.00,0.689294,3.78099,6.67339,6.8
107,2010-04-18,00:00:00.00,1.01182,3.44266,6.02469,6.37
108,2010-04-19,00:00:00.00,0.00186601,3.14181,5.51888,5.92
109,2010-04-20,00:00:00.00,3.7514e-308,2.89869,5.06706,5.53
110,2010-04-21,00:00:00.00,0.000450583,2.69207,4.72582,5.26
111,2010-04-22,00:00:00.00,0.00291041,2.51428,4.40696,5.01
112,2010-04-23,00:00:00.00,2.5911e-308,2.35934,4.13339,4.8
113,2010-04-24,00:00:00.00,0,2.2233,3.89871,4.61
114,2010-04-25,00:00:00.00,0.151739,2.10272,3.70872,4.43
115,2010-04-26,00:00:00.00,16.7469,2.6949,4.39691,5.18
116,2010-04-27,00:00:00.00,0.698682,4.04587,6.45454,5.73
117,2010-04-28,00:00:00.00,0.00266917,4.32563,7.31898,5.28
118,2010-04-29,00:00:00.00,0.000481222,3.54992,6.36729,4.8
119,2010-04-30,00:00:00.00,0.00118032,3.0462,5.44416,4.49
120,2010-05-01,00:00:00.00,0.000651443,2.79186,4.88941,4.29
121,2010-05-02,00:00:00.00,4.19762,2.61744,4.58417,4.27
122,2010-05-03,00:00:00.00,0.144104,2.49817,4.35573,4.4
123,2010-05-04,00:00:00.00,7.68465,2.55152,4.37019,4.61
124,2010-05-05,00:00:00.00,0.627692,2.75663,4.65875,4.67
125,2010-05-06,00:00:00.00,14.0409,3.26602,5.46389,4.48
126,2010-05-07,00:00:00.00,0.129309,4.07057,6.73349,5.46
127,2010-05-08,00:00:00.00,17.6466,5.27116,8.57964,5.71
128,2010-05-09,00:00:00.00,6.59337,7.07911,11.4151,12.4
129,2010-05-10,00:00:00.00,0.00695202,7.50144,12.7269,11.6
130,2010-05-11,00:00:00.00,1.89769e-308,6.01668,11.023,8.38
131,2010-05-12,00:00:00.00,17.146,6.25072,10.6787,7.05
132,2010-05-13,00:00:00.00,0.260846,8.05492,13.108,11.8
133,2010-05-14,00:00:00.00,19.4436,9.76012,16.2558,11.1
134,2010-05-15,00:00:00.00,6.42969,11.7304,19.6531,22.4
135,2010-05-16,00:00:00.00,0.00432901,11.1869,19.4873,24
136,2010-05-17,00:00:00.00,0,8.27795,15.2491,17.5
