time,date,hour,precip [mm/day],sub715 [m3/s],sub715 (observed) [m3/s],sub723 [m3/s],sub724 [m3/s]
0,2010-01-01,00:00:00.00,---,43.9681,,4.58812,9.32909
1,2010-01-02,00:00:00.00,0.719123,36.2402,9.6277,3.12016,6.75922
2,2010-01-03,00:00:00.00,0.0991164,20.0045,8.7782,0.90608,2.69436
3,2010-01-04,00:00:00.00,0.39498,8.68376,7.9287,0.233955,0.959108
4,2010-01-05,00:00:00.00,2.04352,5.197,7.3624,0.300288,0.654574
5,2010-01-06,00:00:00.00,0.666896,4.0308,6.796,0.290245,0.597152
6,2010-01-07,00:00:00.00,0.803026,3.19418,6.2297,0.28646,0.578255
7,2010-01-08,00:00:00.00,5.6444,2.81761,5.9465,0.282874,0.566808
8,2010-01-09,00:00:00.00,1.41831,2.74013,6.2297,0.278949,0.559602
9,2010-01-10,00:00:00.00,0.242319,2.68111,5.6634,0.275327,0.552385
10,2010-01-11,00:00:00.00,0.165591,2.64289,5.2386,0.271722,0.548029
11,2010-01-12,00:00:00.00,1.69092,2.60783,4.9554,0.268253,0.541341
12,2010-01-13,00:00:00.00,0.280647,2.5765,4.8139,0.264807,0.534568
13,2010-01-14,00:00:00.00,0.0138437,2.54275,4.5307,0.261395,0.525616
14,2010-01-15,00:00:00.00,0.0178309,2.51055,4.2475,0.258012,0.518136
15,2010-01-16,00:00:00.00,0.0557218,2.47597,4.8139,0.254649,0.509155
16,2010-01-17,00:00:00.00,0.0086597,2.50824,4.5307,0.274293,0.534082
17,2010-01-18,00:00:00.00,0.455925,2.73235,4.2475,0.341395,0.630789
18,2010-01-19,00:00:00.00,0.0547047,3.06522,3.9644,0.384303,0.716155
19,2010-01-20,00:00:00.00,0.0350892,3.25232,5.6634,0.345627,0.696525
20,2010-01-21,00:00:00.00,0.0196473,3.21135,11.3267,0.297586,0.62882
21,2010-01-22,00:00:00.00,1.42252,3.03087,16.9901,0.283931,0.580327
22,2010-01-23,00:00:00.00,0.423711,2.84467,14.1584,0.280479,0.560536
