time,date,hour,precip [mm/day],sub696 [m3/s],sub696 (observed) [m3/s],sub698 [m3/s]
76,2010-03-18,00:00:00.00,0,17.6797,50.6,9.85445
77,2010-03-19,00:00:00.00,0,13.9323,29.9,8.30674
78,2010-03-20,00:00:00.00,9.28382e-308,11.8639,21.6,7.16983
79,2010-03-21,00:00:00.00,0.05028,10.3425,15.5,6.28981
80,2010-03-22,00:00:00.00,0.0650268,9.20839,11.7,5.59986
81,2010-03-23,00:00:00.00,3.84247,8.57897,9.67,5.32329
82,2010-03-24,00:00:00.00,0.168858,8.58355,8.82,5.42481
83,2010-03-25,00:00:00.00,0.0287781,8.36172,7.94,5.23646
84,2010-03-26,00:00:00.00,0.315101,7.75521,7.19,4.68342
85,2010-03-27,00:00:00.00,0.000440887,7.02814,6.4,4.24805
86,2010-03-28,00:00:00.00,0.000169655,6.4727,5.74,3.95956
87,2010-03-29,00:00:00.00,9.02379,6.92661,5.44,4.49038
88,2010-03-30,00:00:00.00,0.404318,8.72219,6.02,5.95443
89,2010-03-31,00:00:00.00,1.02953e-308,9.73628,6.34,6.35333
90,2010-04-01,00:00:00.00,0.0059601,9.00795,6.37,5.38594
91,2010-04-02,00:00:00.00,0,7.78764,5.83,4.63918
92,2010-04-03,00:00:00.00,0,6.98291,5.29,4.23938
93,2010-04-04,00:00:00.00,0.324228,6.39383,4.87,3.9002
94,2010-04-05,00:00:00.00,0.0382616,5.91305,4.53,3.6377
95,2010-04-06,00:00:00.00,1.13221,5.49587,4.18,3.38075
96,2010-04-07,00:00:00.00,19.8089,7.13265,5.98,4.85421
97,2010-04-08,00:00:00.00,19.5637,16.2616,30.1,12.4154
98,2010-04-09,00:00:00.00,13.8357,31.4888,77.6,24.168
99,2010-04-10,00:00:00.00,0.0527015,41.3689,93.3,29.0711
100,2010-04-11,00:00:00.00,0.0350418,39.0204,57,22.7251
101,2010-04-12,00:00:00.00,0.117391,29.222,32,14.5071
102,2010-04-13,00:00:00.00,0.150625,20.1032,23.5,10.7319
103,2010-04-14,00:00:00.00,1.12759,15.0793,15.8,8.8546
104,2010-04-15,00:00:00.00,0.0380737,12.4778,11.5,7.48636
105,2010-04-16,00:00:00.00,0.00229884,10.7059,9.52,6.49804
106,2010-04-17,00:00:00.00,0.489839,9.40402,8.24,5.69133
107,2010-04-18,00:00:00.00,1.87467,8.34206,7.25,5.08175
108,2010-04-19,00:00:00.00,0.416753,7.57854,6.52,4.58965
109,2010-04-20,00:00:00.00,0.000310262,6.90992,5.97,4.19943
110,2010-04-21,00:00:00.00,0.000162643,6.36146,5.48,3.88497
111,2010-04-22,00:00:00.00,0.0107992,5.88456,5.04,3.62389
112,2010-04-23,00:00:00.00,0.00932346,5.4892,4.67,3.37348
113,2010-04-24,00:00:00.00,0.00302705,5.11256,4.34,3.14667
114,2010-04-25,00:00:00.00,1.77008,4.78952,4.05,2.9487
115,2010-04-26,00:00:00.00,13.7509,5.53625,4.31,3.62802
116,2010-04-27,00:00:00.00,0.33883,7.77605,5.66,5.47862
117,2010-04-28,00:00:00.00,0.00037755,9.21245,6.66,6.16186
118,2010-04-29,00:00:00.00,0.000484109,8.60432,5.97,5.10115
119,2010-04-30,00:00:00.00,0.11858,7.29563,5.04,4.26793
120,2010-05-01,00:00:00.00,0.0470432,6.41799,4.41,3.90442
121,2010-05-02,00:00:00.00,3.24409,5.85884,4.09,3.58362
122,2010-05-03,00:00:00.00,4.6149,5.48502,3.97,3.38467
123,2010-05-04,00:00:00.00,7.06978,5.58573,4.07,3.53712
124,2010-05-05,00:00:00.00,0.187756,6.05399,4.2,3.92628
125,2010-05-06,00:00:00.00,8.15724,6.56611,5.84,4.24931
126,2010-05-07,00:00:00.00,0.0283547,7.1144,5.87,4.61262
127,2010-05-08,00:00:00.00,21.7994,9.80954,5.27,6.74124
128,2010-05-09,00:00:00.00,5.29291,16.0166,7.71,11.4978
129,2010-05-10,00:00:00.00,0.551339,19.95,12.5,13.3031
130,2010-05-11,00:00:00.00,0.0326559,18.1272,11.8,10.5554
131,2010-05-12,00:00:00.00,20.1382,18.075,11.3,11.3541
132,2010-05-13,00:00:00.00,0.033171,23.0751,32.8,16.3029
133,2010-05-14,00:00:00.00,21.8877,30.9247,29.7,21.7843
134,2010-05-15,00:00:00.00,1.14962,38.3921,37.5,26.3444
135,2010-05-16,00:00:00.00,0,37.9972,46.9,23.5002
136,2010-05-17,00:00:00.00,0.00987998,30.0226,27.6,15.4801
137,2010-05-18,00:00:00.00,0.322882,20.9494,19.5,10.827
138,2010-05-19,00:00:00.00,3.00804,15.2367,14.3,8.92674
139,2010-05-20,00:00:00.00,0.00336351,12.5094,9.7,7.4823
140,2010-05-21,00:00:00.00,0.00161691,10.6682,7.37,6.45687
141,2010-05-22,00:00:00.00,0.0237846,9.28918,6.12,5.61338
142,2010-05-23,00:00:00.00,9.3172,8.94859,5.51,5.60787
143,2010-05-24,00:00:00.00,0.0136511,9.81961,5.81,6.39102
144,2010-05-25,00:00:00.00,0.00148274,10.0442,5.48,6.36198
145,2010-05-26,00:00:00.00,0.000696756,8.98613,4.94,5.37131
146,2010-05-27,00:00:00.00,2.34379e-308,7.73452,4.23,4.60647
147,2010-05-28,00:00:00.00,0.0324897,6.86449,3.68,4.13527
148,2010-05-29,00:00:00.00,0.0421604,6.18373,3.3,3.75743
149,2010-05-30,00:00:00.00,0.0844894,5.63745,2.99,3.44744
150,2010-05-31,00:00:00.00,0.0159342,5.16082,2.79,3.15655
151,2010-06-01,00:00:00.00,11.0101,5.1933,2.59,3.26878
152,2010-06-02,00:00:00.00,4.69303,5.89967,2.51,3.87813
153,2010-06-03,00:00:00.00,12.1904,7.0271,2.62,4.70132
154,2010-06-04,00:00:00.00,10.8163,9.20156,4.63,6.27141
155,2010-06-05,00:00:00.00,1.63523,11.468,5.99,7.66829
156,2010-06-06,00:00:00.00,8.61005,12.1187,10.7,7.62909
157,2010-06-07,00:00:00.00,32.5785,18.4194,29.2,13.0192
158,2010-06-08,00:00:00.00,0.0123064,30.5791,39.7,23.0203
159,2010-06-09,00:00:00.00,0.0131954,35.1996,34.7,23.4046
160,2010-06-10,00:00:00.00,6.61812,29.9383,22.7,15.8373
161,2010-06-11,00:00:00.00,0.158884,22.2734,18.6,11.8738
162,2010-06-12,00:00:00.00,0.0033765,17.1054,13,10.1737
163,2010-06-13,00:00:00.00,0.0851051,13.9104,8.35,8.10037
164,2010-06-14,00:00:00.00,0.158801,11.3035,6.32,6.79515
165,2010-06-15,00:00:00.00,0.00343586,9.62514,5.34,5.78704
166,2010-06-16,00:00:00.00,0.106546,8.37782,4.69,5.06279
167,2010-06-17,00:00:00.00,2.22206,7.42373,4.18,4.46045
168,2010-06-18,00:00:00.00,0.0292142,6.65916,3.68,4.01673
169,2010-06-19,00:00:00.00,0.0373641,6.00711,3.26,3.65876
170,2010-06-20,00:00:00.00,0.0469938,5.48136,2.99,3.34926
171,2010-06-21,00:00:00.00,0.00657137,5.01306,2.73,3.06318
172,2010-06-22,00:00:00.00,0.000924764,4.60403,2.53,2.81489
173,2010-06-23,00:00:00.00,2.7613,4.25162,2.37,2.60896
174,2010-06-24,00:00:00.00,2.85169,3.96699,2.28,2.43449
175,2010-06-25,00:00:00.00,1.66114,3.71137,2.22,2.27498
176,2010-06-26,00:00:00.00,0.0958716,3.47401,2.15,2.12499
177,2010-06-27,00:00:00.00,0.0630313,3.25272,2.06,1.99449
178,2010-06-28,00:00:00.00,5.32867,3.08963,2.05,1.89957
179,2010-06-29,00:00:00.00,0.060404,2.98875,2.17,1.85512
180,2010-06-30,00:00:00.00,0.0578791,2.87674,2.1,1.79152
181,2010-07-01,00:00:00.00,0.00532898,2.72748,2.18,1.68197
182,2010-07-02,00:00:00.00,0.00645534,2.58827,2.15,1.57685
183,2010-07-03,00:00:00.00,0.00729508,2.46596,1.94,1.4912
184,2010-07-04,00:00:00.00,0.00811912,2.35362,1.82,1.4145
185,2010-07-05,00:00:00.00,0.00964895,2.23992,1.73,1.34527
186,2010-07-06,00:00:00.00,0.0260554,2.13164,1.63,1.28098
187,2010-07-07,00:00:00.00,0.0402371,2.03026,1.57,1.22139
188,2010-07-08,00:00:00.00,0.0652697,1.93607,1.52,1.16592
189,2010-07-09,00:00:00.00,8.21222,1.90033,1.47,1.1617
190,2010-07-10,00:00:00.00,14.1534,2.12405,1.49,1.39913
191,2010-07-11,00:00:00.00,0.00977729,2.56874,1.52,1.83667
192,2010-07-12,00:00:00.00,0.604423,2.80304,1.63,1.97419
193,2010-07-13,00:00:00.00,17.701,3.14337,1.92,2.01642
194,2010-07-14,00:00:00.00,0.360338,3.83739,2.65,2.53389
195,2010-07-15,00:00:00.00,0.00344729,4.16316,2.93,2.78428
196,2010-07-16,00:00:00.00,12.0228,4.2142,2.66,2.62582
197,2010-07-17,00:00:00.00,14.0792,4.88749,2.94,3.1844
198,2010-07-18,00:00:00.00,8.67749,6.20635,3.22,4.24597
199,2010-07-19,00:00:00.00,2.21169,7.0927,5.05,4.6712
200,2010-07-20,00:00:00.00,6.41172,6.98768,6.59,4.31237
201,2010-07-21,00:00:00.00,0.194655,6.45415,4.41,3.89672
202,2010-07-22,00:00:00.00,0.235056,5.86365,2.53,3.59437
203,2010-07-23,00:00:00.00,3.03879,5.27613,1.47,3.20524
204,2010-07-24,00:00:00.00,5.38012,4.79073,1.16,2.91072
205,2010-07-25,00:00:00.00,5.42079,4.48126,1.77,2.76822
206,2010-07-26,00:00:00.00,3.57118,4.28207,1.3,2.65534
207,2010-07-27,00:00:00.00,0.0526872,4.04188,1.03,2.49992
208,2010-07-28,00:00:00.00,0.097551,3.76824,0.937,2.30504
209,2010-07-29,00:00:00.00,2.0634,3.49406,0.886,2.12508
210,2010-07-30,00:00:00.00,0.016507,3.24147,0.831,1.97865
211,2010-07-31,00:00:00.00,0.0926079,3.02375,0.701,1.85093
212,2010-08-01,00:00:00.00,2.19586,2.83477,0.643,1.73815
213,2010-08-02,00:00:00.00,0.0852035,2.6679,0.618,1.63709
214,2010-08-03,00:00:00.00,0.00667187,2.53679,0.594,1.54585
215,2010-08-04,00:00:00.00,0.00319235,2.4254,0.585,1.46273
216,2010-08-05,00:00:00.00,0.891506,2.31083,0.594,1.38663
217,2010-08-06,00:00:00.00,0.358922,2.19568,0.595,1.317
218,2010-08-07,00:00:00.00,0.610662,2.08723,0.608,1.25314
219,2010-08-08,00:00:00.00,0.014291,1.98687,0.62,1.19447
220,2010-08-09,00:00:00.00,0.0614985,1.89397,0.635,1.14034
221,2010-08-10,00:00:00.00,2.62372,1.80825,0.644,1.09029
222,2010-08-11,00:00:00.00,0.00496244,1.72896,0.655,1.04399
223,2010-08-12,00:00:00.00,1.24745,1.65556,0.668,1.00104
224,2010-08-13,00:00:00.00,0.564814,1.58732,0.69,0.961009
225,2010-08-14,00:00:00.00,0.0150195,1.52383,0.706,0.923627
226,2010-08-15,00:00:00.00,0.0796301,1.4645,0.712,0.888618
227,2010-08-16,00:00:00.00,0.669445,1.40898,0.715,0.855768
228,2010-08-17,00:00:00.00,0.00308617,1.35695,0.706,0.824942
229,2010-08-18,00:00:00.00,0.00489196,1.30812,0.682,0.79599
230,2010-08-19,00:00:00.00,0.0114833,1.26224,0.691,0.768749
231,2010-08-20,00:00:00.00,0.0911257,1.21907,0.691,0.743081
232,2010-08-21,00:00:00.00,0.000916609,1.17839,0.682,0.718867
233,2010-08-22,00:00:00.00,11.2027,1.1989,0.696,0.749596
234,2010-08-23,00:00:00.00,0.305719,1.30503,0.712,0.866403
235,2010-08-24,00:00:00.00,0.980747,1.35395,0.71,0.915225
236,2010-08-25,00:00:00.00,0.0756484,1.31905,0.724,0.831916
237,2010-08-26,00:00:00.00,0.298934,1.27433,0.808,0.753218
238,2010-08-27,00:00:00.00,0.102987,1.20755,0.806,0.715214
239,2010-08-28,00:00:00.00,0.00510961,1.14529,0.777,0.687266
240,2010-08-29,00:00:00.00,0.0107917,1.09874,0.748,0.665773
241,2010-08-30,00:00:00.00,0.00336523,1.05884,0.73,0.645478
242,2010-08-31,00:00:00.00,0.0248822,1.02545,0.726,0.626557
243,2010-09-01,00:00:00.00,0.00975021,0.994015,0.688,0.608512
244,2010-09-02,00:00:00.00,0.182228,0.965422,0.615,0.591389
245,2010-09-03,00:00:00.00,2.0449,0.937904,0.599,0.575089
246,2010-09-04,00:00:00.00,6.53316,0.930115,0.628,0.575908
247,2010-09-05,00:00:00.00,0.38133,0.948939,0.617,0.603523
248,2010-09-06,00:00:00.00,0.561887,0.950212,0.609,0.609902
249,2010-09-07,00:00:00.00,0.242096,0.925314,0.62,0.575129
250,2010-09-08,00:00:00.00,0.00778855,0.898662,0.663,0.54292
251,2010-09-09,00:00:00.00,0.0219894,0.866013,0.622,0.524455
252,2010-09-10,00:00:00.00,0.133082,0.835773,0.607,0.509528
253,2010-09-11,00:00:00.00,0.0104523,0.811193,0.601,0.496905
254,2010-09-12,00:00:00.00,6.18542,0.80538,0.587,0.499594
255,2010-09-13,00:00:00.00,0.106374,0.825335,0.62,0.526612
256,2010-09-14,00:00:00.00,1.51522,0.828653,0.645,0.533872
257,2010-09-15,00:00:00.00,0.00728435,0.808136,0.642,0.503178
258,2010-09-16,00:00:00.00,0.00262635,0.785896,0.651,0.475058
259,2010-09-17,00:00:00.00,17.8163,0.843014,0.765,0.536866
260,2010-09-18,00:00:00.00,0.0779327,1.02515,0.786,0.726563
261,2010-09-19,00:00:00.00,2.16237,1.12184,0.749,0.813984
262,2010-09-20,00:00:00.00,0.000163578,1.08995,0.833,0.700939
263,2010-09-21,00:00:00.00,0.00884466,1.04742,0.862,0.598288
264,2010-09-22,00:00:00.00,0.0266377,0.97336,0.82,0.560181
265,2010-09-23,00:00:00.00,6.49498,0.932743,0.838,0.559895
266,2010-09-24,00:00:00.00,0.0340432,0.952553,0.835,0.60538
267,2010-09-25,00:00:00.00,0.125464,0.954947,0.803,0.620721
268,2010-09-26,00:00:00.00,0.576312,0.927815,0.788,0.578182
269,2010-09-27,00:00:00.00,0.973764,0.89828,0.786,0.538938
270,2010-09-28,00:00:00.00,0.577977,0.862179,0.776,0.519017
271,2010-09-29,00:00:00.00,31.8788,1.11195,0.882,0.76228
272,2010-09-30,00:00:00.00,0.55349,1.78559,0.971,1.42963
273,2010-10-01,00:00:00.00,0.0058327,2.18425,0.936,1.77245
274,2010-10-02,00:00:00.00,0.150347,2.16378,1.13,1.45919
275,2010-10-03,00:00:00.00,18.7194,2.38821,1.23,1.42356
276,2010-10-04,00:00:00.00,0.694562,2.9267,1.14,2.00078
277,2010-10-05,00:00:00.00,0.304322,3.27719,1.05,2.31168
278,2010-10-06,00:00:00.00,0.533318,3.22422,1.02,2.02337
279,2010-10-07,00:00:00.00,4.52682,3.00933,1.07,1.76905
280,2010-10-08,00:00:00.00,0.121342,2.84994,1.02,1.75519
281,2010-10-09,00:00:00.00,8.19445e-308,2.73628,0.995,1.72113
282,2010-10-10,00:00:00.00,0.00290929,2.59594,0.982,1.59835
283,2010-10-11,00:00:00.00,0.0066826,2.46298,0.958,1.47802
284,2010-10-12,00:00:00.00,5.90729,2.41686,0.961,1.4648
