time,date,hour,precip [mm/day],sub696 [m3/s],sub696 (observed) [m3/s],sub698 [m3/s]
0,2010-01-01,00:00:00.00,---,12.8767,,8.09747
1,2010-01-02,00:00:00.00,3.48292,9.72064,5.6,5.58521
2,2010-01-03,00:00:00.00,10.5174,4.39474,4.8,1.74357
3,2010-01-04,00:00:00.00,10.8344,1.62876,4.2,0.264412
4,2010-01-05,00:00:00.00,5.75145,0.674361,3.8,0.122677
5,2010-01-06,00:00:00.00,4.56879,0.343645,3.45,0.187638
6,2010-01-07,00:00:00.00,0.346503,0.347467,3.23,0.235062
7,2010-01-08,00:00:00.00,4.92324,0.367579,3.08,0.24217
8,2010-01-09,00:00:00.00,3.91483,0.387582,2.97,0.247092
9,2010-01-10,00:00:00.00,0.136633,0.385789,2.82,0.243071
10,2010-01-11,00:00:00.00,0.0879807,0.388809,2.75,0.243583
11,2010-01-12,00:00:00.00,2.06563,0.383582,2.68,0.24077
12,2010-01-13,00:00:00.00,0.0578879,0.384191,2.62,0.240583
13,2010-01-14,00:00:00.00,4.45916e-308,0.380002,2.58,0.238503
14,2010-01-15,00:00:00.00,0.0121241,0.379801,2.54,0.237926
15,2010-01-16,00:00:00.00,0.0386231,0.376338,2.5,0.236146
16,2010-01-17,00:00:00.00,0.0042823,0.375444,2.47,0.235199
17,2010-01-18,00:00:00.00,0.00291272,0.372238,2.44,0.233438
18,2010-01-19,00:00:00.00,0.0493368,0.370695,2.42,0.232159
19,2010-01-20,00:00:00.00,0.823588,0.367598,2.4,0.230407
20,2010-01-21,00:00:00.00,0.411212,0.365695,2.38,0.229021
21,2010-01-22,00:00:00.00,0.000525973,0.362854,2.36,0.227422
22,2010-01-23,00:00:00.00,0.00394066,0.360926,2.34,0.226116
23,2010-01-24,00:00:00.00,0.00471559,0.358395,2.32,0.224672
24,2010-01-25,00:00:00.00,12.1803,0.374134,2.6,0.239621
25,2010-01-26,00:00:00.00,4.75338,0.501426,36,0.356654
26,2010-01-27,00:00:00.00,2.57718,0.916686,64.6,0.725189
27,2010-01-28,00:00:00.00,0.868175,1.63529,60.4,1.31269
28,2010-01-29,00:00:00.00,1.05577,2.25759,43.2,1.69107
29,2010-01-30,00:00:00.00,0.277631,2.31336,30,1.47999
30,2010-01-31,00:00:00.00,0.0734017,1.82608,21,0.91264
31,2010-02-01,00:00:00.00,0.581265,1.19305,14,0.472497
32,2010-02-02,00:00:00.00,0.0105401,0.733749,11,0.298797
33,2010-02-03,00:00:00.00,2.07331,0.513183,8.3,0.264826
34,2010-02-04,00:00:00.00,0.458753,0.43949,6.5,0.26238
35,2010-02-05,00:00:00.00,0.001176,0.420724,5.2,0.261241
36,2010-02-06,00:00:00.00,0.000151747,0.415282,4.6,0.259869
37,2010-02-07,00:00:00.00,0.00099073,0.412195,4.15,0.258325
38,2010-02-08,00:00:00.00,0.000681867,0.40967,3.82,0.256789
39,2010-02-09,00:00:00.00,0.00939577,0.407175,3.6,0.255253
40,2010-02-10,00:00:00.00,5.80347,0.404861,3.4,0.253829
41,2010-02-11,00:00:00.00,8.23671,0.402623,3.2,0.25249
42,2010-02-12,00:00:00.00,0.723329,0.400552,3.03,0.251225
43,2010-02-13,00:00:00.00,0.0252936,0.398577,2.97,0.250037
44,2010-02-14,00:00:00.00,0.0323544,0.396749,2.8,0.248929
45,2010-02-15,00:00:00.00,0.625006,0.394927,2.68,0.247807
46,2010-02-16,00:00:00.00,0.242477,0.393044,2.6,0.246583
47,2010-02-17,00:00:00.00,1.82909,0.391017,2.49,0.245257
48,2010-02-18,00:00:00.00,0.791749,0.388887,2.41,0.243872
49,2010-02-19,00:00:00.00,0.0122683,0.386676,2.36,0.242464
50,2010-02-20,00:00:00.00,0.000719269,0.38444,2.31,0.241049
51,2010-02-21,00:00:00.00,0.000300011,0.382168,2.27,0.239616
52,2010-02-22,00:00:00.00,7.25179e-308,0.379855,2.24,0.238145
53,2010-02-23,00:00:00.00,14.2443,0.383652,2.3,0.24231
54,2010-02-24,00:00:00.00,0.400293,0.415736,2.35,0.272242
55,2010-02-25,00:00:00.00,0.182283,0.498914,2.36,0.345139
56,2010-02-26,00:00:00.00,1.83582,0.599383,2.28,0.420008
57,2010-02-27,00:00:00.00,4.8517,0.636975,2.22,0.419162
58,2010-02-28,00:00:00.00,3.2956,0.589745,2.19,0.347234
59,2010-03-01,00:00:00.00,0.19464,0.510246,2.17,0.283156
60,2010-03-02,00:00:00.00,0.000852528,0.452734,2.23,0.263553
61,2010-03-03,00:00:00.00,0.000808805,0.428746,2.26,0.26537
62,2010-03-04,00:00:00.00,0.000694466,0.417448,2.32,0.261132
63,2010-03-05,00:00:00.00,0,0.403708,2.39,0.248497
64,2010-03-06,00:00:00.00,0,0.388252,2.48,0.237669
65,2010-03-07,00:00:00.00,0,0.376215,2.6,0.232387
66,2010-03-08,00:00:00.00,0,0.369205,3.4,0.230236
67,2010-03-09,00:00:00.00,0,0.365346,6,0.228789
68,2010-03-10,00:00:00.00,0.00245717,0.465271,12,0.321655
69,2010-03-11,00:00:00.00,0.0117756,1.08575,28,0.888348
70,2010-03-12,00:00:00.00,0.00136296,2.80018,54.6,2.38227
71,2010-03-13,00:00:00.00,2.59596,5.63401,78.9,4.36437
72,2010-03-14,00:00:00.00,11.9572,7.41749,86.6,4.92282
73,2010-03-15,00:00:00.00,1.80927,6.43708,90.1,3.76708
74,2010-03-16,00:00:00.00,0.0461541,4.41495,94.8,2.45902
75,2010-03-17,00:00:00.00,1.3233e-308,3.2338,84.5,1.71753
76,2010-03-18,00:00:00.00,0,2.57503,50.6,1.37055
77,2010-03-19,00:00:00.00,0,1.95343,29.9,1.03115
78,2010-03-20,00:00:00.00,9.28382e-308,1.48933,21.6,0.754542
79,2010-03-21,00:00:00.00,0.05028,1.17694,15.5,0.631625
80,2010-03-22,00:00:00.00,0.0650268,1.02828,11.7,0.604842
81,2010-03-23,00:00:00.00,3.84247,0.978952,9.67,0.608224
82,2010-03-24,00:00:00.00,0.168858,0.995646,8.82,0.633678
83,2010-03-25,00:00:00.00,0.0287781,1.06031,7.94,0.693181
84,2010-03-26,00:00:00.00,0.315101,1.1444,7.19,0.755477
85,2010-03-27,00:00:00.00,0.000440887,1.18058,6.4,0.760721
86,2010-03-28,00:00:00.00,0.000169655,1.15426,5.74,0.711662
87,2010-03-29,00:00:00.00,9.02379,1.11376,5.44,0.679063
88,2010-03-30,00:00:00.00,0.404318,1.15903,6.02,0.742465
89,2010-03-31,00:00:00.00,1.02953e-308,1.36567,6.34,0.939742
90,2010-04-01,00:00:00.00,0.0059601,1.63894,6.37,1.1495
91,2010-04-02,00:00:00.00,0,1.75649,5.83,1.16162
92,2010-04-03,00:00:00.00,0,1.654,5.29,0.986556
93,2010-04-04,00:00:00.00,0.324228,1.4509,4.87,0.816977
94,2010-04-05,00:00:00.00,0.0382616,1.28181,4.53,0.742968
95,2010-04-06,00:00:00.00,1.13221,1.19492,4.18,0.728633
96,2010-04-07,00:00:00.00,19.8089,1.2028,5.98,0.762921
97,2010-04-08,00:00:00.00,19.5637,1.4428,30.1,0.988391
98,2010-04-09,00:00:00.00,13.8357,2.2168,77.6,1.67366
99,2010-04-10,00:00:00.00,0.0527015,3.6003,93.3,2.78942
100,2010-04-11,00:00:00.00,0.0350418,5.20345,57,3.69544
101,2010-04-12,00:00:00.00,0.117391,5.81392,32,3.70272
102,2010-04-13,00:00:00.00,0.150625,4.95453,23.5,2.93662
103,2010-04-14,00:00:00.00,1.12759,3.76647,15.8,2.08751
104,2010-04-15,00:00:00.00,0.0380737,2.96908,11.5,1.59628
105,2010-04-16,00:00:00.00,0.00229884,2.53382,9.52,1.44284
106,2010-04-17,00:00:00.00,0.489839,2.33725,8.24,1.42336
