time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub684 [m3/s],sub685 [m3/s],sub687 [m3/s],sub687 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,4.27121,10.1494,7.19874,13.0223,67.9085,
1,2010-01-02,00:00:00.00,3.13295,2.92936,8.18501,5.583,11.2478,61.6246,38
2,2010-01-03,00:00:00.00,0.375529,1.23234,4.97586,3.15278,7.50607,45.5235,27
3,2010-01-04,00:00:00.00,0.957942,1.18086,3.30438,2.153,5.01838,30.8789,22
4,2010-01-05,00:00:00.00,0.359204,1.34524,2.96723,2.08837,4.2596,24.2503,26
5,2010-01-06,00:00:00.00,2.16525,1.33436,3.14637,2.25331,3.98283,21.7767,31
6,2010-01-07,00:00:00.00,0.217383,1.42537,3.27373,2.33243,4.04816,21.2564,30.5
7,2010-01-08,00:00:00.00,0.849323,1.44927,3.38269,2.41474,4.25848,21.7589,34
8,2010-01-09,00:00:00.00,2.41582,1.50901,3.5002,2.49561,4.41785,22.5824,30
9,2010-01-10,00:00:00.00,0.0164863,1.54167,3.60229,2.56699,4.54912,23.3916,26
10,2010-01-11,00:00:00.00,0.0153163,1.58566,3.70144,2.6357,4.6832,24.0571,25
11,2010-01-12,00:00:00.00,3.41201,1.61749,3.78726,2.69718,4.79954,24.7083,26.2
12,2010-01-13,00:00:00.00,0.312124,1.65152,3.86753,2.75426,4.9102,25.3084,28
13,2010-01-14,00:00:00.00,0.0100364,1.67908,3.93892,2.80531,5.00883,25.8461,28.2
14,2010-01-15,00:00:00.00,0.0734311,1.70553,4.00069,2.85146,5.09901,26.3304,26
15,2010-01-16,00:00:00.00,0.386238,1.72772,4.05468,2.89218,5.17893,26.7529,30.2
16,2010-01-17,00:00:00.00,0.0506786,1.74788,4.10479,2.92816,5.2502,27.1254,33.2
17,2010-01-18,00:00:00.00,0.0146612,1.76494,4.15012,2.95944,5.31248,27.4532,32.3
18,2010-01-19,00:00:00.00,0.0170789,1.77976,4.18827,2.98645,5.36678,27.7439,31.7
19,2010-01-20,00:00:00.00,1.38874,1.7922,4.22075,3.00944,5.41334,27.9972,30
20,2010-01-21,00:00:00.00,0.331413,1.80282,4.24988,3.02895,5.45315,28.2135,28
21,2010-01-22,00:00:00.00,0.00636765,1.81156,4.27533,3.04528,5.48667,28.4013,26
22,2010-01-23,00:00:00.00,0.012168,1.81857,4.2943,3.05859,5.5145,28.5626,27
23,2010-01-24,00:00:00.00,0.00585995,1.82391,4.30692,3.06903,5.53692,28.6936,28.2
24,2010-01-25,00:00:00.00,6.35178,2.01824,4.57642,3.25806,5.74307,29.4487,29
25,2010-01-26,00:00:00.00,8.66975,4.09294,7.79806,5.69929,8.40204,38.895,46.6
26,2010-01-27,00:00:00.00,2.70673,6.80273,13.6453,10.2016,14.9496,65.8864,54
27,2010-01-28,00:00:00.00,3.1772,6.35167,15.5219,11.2785,19.6078,92.594,47
