time,date,hour,precip [mm/day],sub682 [m3/s],sub694 [m3/s],sub694 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,2.59848,5.57986,
1,2010-01-02,00:00:00.00,1.27703,2.58505,5.56206,3.85
2,2010-01-03,00:00:00.00,4.5128,2.30634,5.18183,3
3,2010-01-04,00:00:00.00,8.4997,1.87068,4.38842,2.2
4,2010-01-05,00:00:00.00,10.8244,1.57761,3.67153,1.4
5,2010-01-06,00:00:00.00,6.91752,1.36266,3.16042,1.1
6,2010-01-07,00:00:00.00,0.304769,1.19924,2.75678,0.95
7,2010-01-08,00:00:00.00,5.46848,1.07167,2.44188,0.82
8,2010-01-09,00:00:00.00,4.77634,0.969492,2.19446,0.7
9,2010-01-10,00:00:00.00,0.770984,0.885924,1.99388,0.63
10,2010-01-11,00:00:00.00,0.109592,0.816413,1.82996,0.56
11,2010-01-12,00:00:00.00,1.97402,0.757761,1.69489,0.5
12,2010-01-13,00:00:00.00,0.213375,0.707636,1.58086,0.46
13,2010-01-14,00:00:00.00,0.000113179,0.664305,1.48037,0.423
14,2010-01-15,00:00:00.00,0.00548184,0.626453,1.39209,0.41
15,2010-01-16,00:00:00.00,0.0156096,0.593044,1.32006,0.395
16,2010-01-17,00:00:00.00,0.00167097,0.563284,1.2628,0.38
17,2010-01-18,00:00:00.00,0.000484271,0.536602,1.20938,0.37
18,2010-01-19,00:00:00.00,0.022673,0.512558,1.15618,0.36
19,2010-01-20,00:00:00.00,1.03432,0.490785,1.10588,0.35
20,2010-01-21,00:00:00.00,0.562426,0.471021,1.05934,0.34
21,2010-01-22,00:00:00.00,0.000467727,0.453015,1.01663,0.335
22,2010-01-23,00:00:00.00,0.00477781,0.436491,0.977483,0.33
23,2010-01-24,00:00:00.00,0.00748744,0.42122,0.941477,0.325
24,2010-01-25,00:00:00.00,8.83559,0.44418,0.943754,0.32
25,2010-01-26,00:00:00.00,5.01903,0.753281,1.24393,1.5
26,2010-01-27,00:00:00.00,1.43063,1.71532,2.627,10.8
27,2010-01-28,00:00:00.00,0.392551,2.38817,4.37044,22.4
28,2010-01-29,00:00:00.00,0.317718,2.05411,4.64293,27.2
29,2010-01-30,00:00:00.00,0.0465319,1.55894,3.80975,24.3
30,2010-01-31,00:00:00.00,0.0285224,1.30706,3.08561,12.4
31,2010-02-01,00:00:00.00,0.214822,1.16499,2.66603,7.15
32,2010-02-02,00:00:00.00,0.00524697,1.0537,2.38532,5.1
33,2010-02-03,00:00:00.00,1.80916,0.963304,2.16705,3.72
34,2010-02-04,00:00:00.00,0.42476,0.888395,1.98884,2.97
35,2010-02-05,00:00:00.00,0.000575067,0.82526,1.84067,2.45
36,2010-02-06,00:00:00.00,1.24319e-308,0.771288,1.71711,2.09
37,2010-02-07,00:00:00.00,0.000238921,0.7246,1.61206,1.7
38,2010-02-08,00:00:00.00,0.00747838,0.683873,1.51854,1.4
39,2010-02-09,00:00:00.00,0.00388471,0.648108,1.43542,1.2
40,2010-02-10,00:00:00.00,6.18417,0.616407,1.36232,1.05
41,2010-02-11,00:00:00.00,7.94295,0.588069,1.30441,0.9
42,2010-02-12,00:00:00.00,0.595707,0.562693,1.25705,0.8
43,2010-02-13,00:00:00.00,0.0542356,0.539839,1.2093,0.7
44,2010-02-14,00:00:00.00,0.0232976,0.518995,1.16262,0.64
45,2010-02-15,00:00:00.00,0.111209,0.499844,1.11852,0.58
46,2010-02-16,00:00:00.00,0.425009,0.482182,1.07741,0.53
47,2010-02-17,00:00:00.00,2.19021,0.465825,1.03923,0.49
48,2010-02-18,00:00:00.00,0.463982,0.450618,1.00377,0.465
49,2010-02-19,00:00:00.00,0.00573716,0.436427,0.97077,0.44
50,2010-02-20,00:00:00.00,9.979e-308,0.423117,0.939957,0.42
51,2010-02-21,00:00:00.00,0.000127004,0.410574,0.911067,0.4
52,2010-02-22,00:00:00.00,5.12497e-308,0.398729,0.883885,0.38
53,2010-02-23,00:00:00.00,14.3778,0.4056,0.875522,0.36
54,2010-02-24,00:00:00.00,0.25326,0.49269,0.955266,0.35
55,2010-02-25,00:00:00.00,0.372799,0.581096,1.09011,0.34
