time,date,hour,precip [mm/day],02GC018 [m3/s],02GC018 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,1.70439,0.000263329,0.983
2,2010-01-03,00:00:00.00,3.61894,0.00052418,0.85
3,2010-01-04,00:00:00.00,2.7817,0.000519236,0.803
4,2010-01-05,00:00:00.00,0.698776,0.000514317,0.78
5,2010-01-06,00:00:00.00,2.66161,0.000509424,0.749
6,2010-01-07,00:00:00.00,0.201302,0.000504555,0.722
7,2010-01-08,00:00:00.00,1.18156,0.000499699,0.7
8,2010-01-09,00:00:00.00,7.74606,0.000494867,0.668
9,2010-01-10,00:00:00.00,0.00560465,0.000490072,0.66
10,2010-01-11,00:00:00.00,0.00553852,0.000485301,0.648
11,2010-01-12,00:00:00.00,1.75675,0.000480555,0.64
12,2010-01-13,00:00:00.00,0.335754,0.000475832,0.628
13,2010-01-14,00:00:00.00,0.0189004,0.000471133,0.62
14,2010-01-15,00:00:00.00,0,0.000466399,0.61
15,2010-01-16,00:00:00.00,0.512281,0.000461688,0.605
16,2010-01-17,00:00:00.00,0.0202189,0.00045706,0.598
17,2010-01-18,00:00:00.00,0.0133978,0.000452454,0.594
18,2010-01-19,00:00:00.00,0.0107606,0.000447871,0.591
19,2010-01-20,00:00:00.00,0.181503,0.000443311,0.588
20,2010-01-21,00:00:00.00,0.0404789,0.000438773,0.585
21,2010-01-22,00:00:00.00,0.000226759,0.000434258,0.583
22,2010-01-23,00:00:00.00,0.0241371,0.000429765,0.581
23,2010-01-24,00:00:00.00,0,0.000425234,0.58
24,2010-01-25,00:00:00.00,8.4918,0.411215,1.85
25,2010-01-26,00:00:00.00,11.8081,5.98581,42.8
26,2010-01-27,00:00:00.00,1.21152,5.5989,17.7
27,2010-01-28,00:00:00.00,0.517197,0.0483673,6.51
28,2010-01-29,00:00:00.00,4.4159,0.0487455,3.2
29,2010-01-30,00:00:00.00,0.226751,0.0491024,2.2
30,2010-01-31,00:00:00.00,0.0298757,0.0494392,1.5
31,2010-02-01,00:00:00.00,0.446681,0.0497571,1.32
32,2010-02-02,00:00:00.00,0.515276,0.0500573,1.28
33,2010-02-03,00:00:00.00,1.1263,0.0503407,1.14
34,2010-02-04,00:00:00.00,1.78042,0.0506084,1.09
35,2010-02-05,00:00:00.00,0.0515964,0.050861,1.03
36,2010-02-06,00:00:00.00,0.00122935,0.0510995,0.92
37,2010-02-07,00:00:00.00,0.00199823,0.0513246,0.865
38,2010-02-08,00:00:00.00,0.00143493,0.051537,0.815
39,2010-02-09,00:00:00.00,0.00498622,0.0517372,0.79
40,2010-02-10,00:00:00.00,2.18708,0.0519259,0.73
41,2010-02-11,00:00:00.00,9.97688,0.0713476,0.705
42,2010-02-12,00:00:00.00,0.0750778,0.0720547,0.68
43,2010-02-13,00:00:00.00,0.126303,0.0535114,0.655
44,2010-02-14,00:00:00.00,0.496797,0.053666,0.63
45,2010-02-15,00:00:00.00,1.52755,0.0538109,0.61
46,2010-02-16,00:00:00.00,0.837337,0.0539467,0.59
47,2010-02-17,00:00:00.00,0.4562,0.0540737,0.573
48,2010-02-18,00:00:00.00,0.274239,0.0541923,0.569
49,2010-02-19,00:00:00.00,0.0401915,0.0543028,0.545
50,2010-02-20,00:00:00.00,0.0212999,0.0544057,0.53
51,2010-02-21,00:00:00.00,0.000756976,0.0545012,0.525
52,2010-02-22,00:00:00.00,1.55083e-05,0.0545895,0.512
53,2010-02-23,00:00:00.00,13.2245,0.337894,0.503
54,2010-02-24,00:00:00.00,2.51492,0.343087,0.495
55,2010-02-25,00:00:00.00,0.207752,0.0650825,0.492
56,2010-02-26,00:00:00.00,0.578606,0.0652082,0.488
57,2010-02-27,00:00:00.00,3.78736,0.0653234,0.484
58,2010-02-28,00:00:00.00,3.31907,0.104201,0.483
59,2010-03-01,00:00:00.00,0.955453,0.10541,0.482
60,2010-03-02,00:00:00.00,0.000184622,0.0678443,0.74
61,2010-03-03,00:00:00.00,0.000382393,0.067934,0.92
62,2010-03-04,00:00:00.00,0.00388872,0.0680143,1.6
63,2010-03-05,00:00:00.00,0,0.0680855,4.25
64,2010-03-06,00:00:00.00,0,0.068148,4.3
65,2010-03-07,00:00:00.00,2.81144e-05,0.0682021,4.4
66,2010-03-08,00:00:00.00,3.32261e-05,0.0682483,5.2
67,2010-03-09,00:00:00.00,0,3.09141,6.1
68,2010-03-10,00:00:00.00,0.0271998,6.77545,5.75
69,2010-03-11,00:00:00.00,0.0165881,4.16266,5.4
70,2010-03-12,00:00:00.00,0.0063627,0.881611,7.5
71,2010-03-13,00:00:00.00,0.366732,0.867035,9.09
72,2010-03-14,00:00:00.00,15.4674,3.24884,13.1
73,2010-03-15,00:00:00.00,8.9076,4.64563,30.4
74,2010-03-16,00:00:00.00,0.106072,2.87387,15.8
75,2010-03-17,00:00:00.00,4.74356e-05,2.05654,9.01
76,2010-03-18,00:00:00.00,9.3668e-05,1.98318,5.89
77,2010-03-19,00:00:00.00,0.000110699,1.91412,4.5
78,2010-03-20,00:00:00.00,1.44706e-07,1.84901,3.53
79,2010-03-21,00:00:00.00,0.00874703,1.78754,2.8
80,2010-03-22,00:00:00.00,0.461432,1.72944,2.29
81,2010-03-23,00:00:00.00,3.1421,1.72059,2.04
