time,date,hour,precip [mm/day],02GA038 [m3/s],02GA038 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,4.56505,1.3013,2.4
2,2010-01-03,00:00:00.00,0.961677,2.37581,2
3,2010-01-04,00:00:00.00,0.79966,1.99525,1.62
4,2010-01-05,00:00:00.00,0.340318,1.7314,1.32
5,2010-01-06,00:00:00.00,1.30816,1.53928,1.13
6,2010-01-07,00:00:00.00,0.23617,1.39417,0.99
7,2010-01-08,00:00:00.00,0.256236,1.28141,0.876
8,2010-01-09,00:00:00.00,2.79539,1.19178,0.815
9,2010-01-10,00:00:00.00,0.0216272,1.11922,0.75
10,2010-01-11,00:00:00.00,0.0162766,1.05955,0.697
11,2010-01-12,00:00:00.00,3.81283,1.00986,0.65
12,2010-01-13,00:00:00.00,0.663668,0.968,0.6
13,2010-01-14,00:00:00.00,0.00851812,0.932405,0.56
14,2010-01-15,00:00:00.00,0.00314652,0.901875,0.52
15,2010-01-16,00:00:00.00,0.222909,0.875491,0.49
16,2010-01-17,00:00:00.00,0.065199,0.852534,0.463
17,2010-01-18,00:00:00.00,0.0332441,0.832435,0.443
18,2010-01-19,00:00:00.00,0.00329666,0.814739,0.42
19,2010-01-20,00:00:00.00,1.33629,0.799074,0.402
20,2010-01-21,00:00:00.00,0.267728,0.785139,0.387
21,2010-01-22,00:00:00.00,0.00208233,0.772685,0.376
22,2010-01-23,00:00:00.00,0.00262769,0.761505,0.36
23,2010-01-24,00:00:00.00,0.0106812,0.751424,0.356
24,2010-01-25,00:00:00.00,3.70454,0.795952,0.38
25,2010-01-26,00:00:00.00,9.12245,3.74753,7.5
26,2010-01-27,00:00:00.00,3.50343,5.21458,10.7
27,2010-01-28,00:00:00.00,3.42214,3.3392,7.5
28,2010-01-29,00:00:00.00,6.13896,2.63316,6
29,2010-01-30,00:00:00.00,1.93446,2.19162,4.5
30,2010-01-31,00:00:00.00,0.00565714,1.89265,3.5
31,2010-02-01,00:00:00.00,5.50321,1.67877,2.6
32,2010-02-02,00:00:00.00,2.21631,1.51947,1.9
33,2010-02-03,00:00:00.00,0.976413,1.3971,1.5
