time,date,hour,precip [mm/day],02GD004 [m3/s],02GD004 (observed) [m3/s]
99,2010-04-10,00:00:00.00,0.295531,6.72743,29.5
100,2010-04-11,00:00:00.00,0.0618329,4.68006,13
101,2010-04-12,00:00:00.00,0.042015,4.29791,7.48
102,2010-04-13,00:00:00.00,0,3.97734,5.22
103,2010-04-14,00:00:00.00,0.378841,3.70496,3.99
104,2010-04-15,00:00:00.00,0.000333674,3.47094,3.2
105,2010-04-16,00:00:00.00,0.000563295,3.26791,2.84
106,2010-04-17,00:00:00.00,0.12902,3.09025,2.7
107,2010-04-18,00:00:00.00,1.00235,2.9336,2.35
108,2010-04-19,00:00:00.00,0.0960581,2.79451,2.04
109,2010-04-20,00:00:00.00,1.74158e-05,2.67025,1.81
110,2010-04-21,00:00:00.00,3.37809e-05,2.55861,1.75
111,2010-04-22,00:00:00.00,0.00130652,2.4578,1.73
112,2010-04-23,00:00:00.00,0.000447914,2.36633,1.61
113,2010-04-24,00:00:00.00,0.000368362,2.28297,1.46
114,2010-04-25,00:00:00.00,0.0121074,2.20671,1.38
115,2010-04-26,00:00:00.00,14.2808,3.14158,1.55
116,2010-04-27,00:00:00.00,0.606543,3.525,1.69
117,2010-04-28,00:00:00.00,4.95786e-06,2.86873,1.43
118,2010-04-29,00:00:00.00,0,2.73927,1.29
119,2010-04-30,00:00:00.00,0.0127158,2.62317,1.26
120,2010-05-01,00:00:00.00,0.00575172,2.51849,1.21
121,2010-05-02,00:00:00.00,3.2579,2.42365,1.19
122,2010-05-03,00:00:00.00,0.0508589,2.33734,1.2
123,2010-05-04,00:00:00.00,7.23379,2.40857,1.24
124,2010-05-05,00:00:00.00,0.425118,2.47364,1.21
125,2010-05-06,00:00:00.00,7.6194,2.5593,1.16
126,2010-05-07,00:00:00.00,1.45422,2.63714,1.36
127,2010-05-08,00:00:00.00,7.87047,2.8143,1.24
128,2010-05-09,00:00:00.00,15.181,4.18651,3.15
129,2010-05-10,00:00:00.00,0.338317,4.64438,2.72
130,2010-05-11,00:00:00.00,0.000860622,3.83455,1.97
131,2010-05-12,00:00:00.00,10.2632,4.2096,1.74
132,2010-05-13,00:00:00.00,1.997,4.42717,2.38
133,2010-05-14,00:00:00.00,11.497,4.78769,2.47
134,2010-05-15,00:00:00.00,7.61986,5.40798,6.34
135,2010-05-16,00:00:00.00,0.0592896,5.14845,4.22
136,2010-05-17,00:00:00.00,0.00248733,4.72098,2.85
137,2010-05-18,00:00:00.00,0.00304717,4.36515,2.22
138,2010-05-19,00:00:00.00,0.0404776,4.06476,1.91
139,2010-05-20,00:00:00.00,0.000888108,3.80808,1.68
140,2010-05-21,00:00:00.00,9.75527e-07,3.58643,1.48
141,2010-05-22,00:00:00.00,0.00152425,3.39324,1.27
142,2010-05-23,00:00:00.00,7.86678,3.456,1.39
143,2010-05-24,00:00:00.00,0.0774313,3.51154,1.59
144,2010-05-25,00:00:00.00,8.86507e-06,3.32853,1.37
145,2010-05-26,00:00:00.00,5.29718e-05,3.16717,1.24
146,2010-05-27,00:00:00.00,3.91386e-05,3.02389,1.11
147,2010-05-28,00:00:00.00,0.00114315,2.89586,1.05
148,2010-05-29,00:00:00.00,0.681642,2.78077,0.983
149,2010-05-30,00:00:00.00,0.00494414,2.67678,0.931
150,2010-05-31,00:00:00.00,0.000350843,2.58235,0.864
151,2010-06-01,00:00:00.00,0.0731528,2.49622,1.12
152,2010-06-02,00:00:00.00,20.0743,4.131,2
153,2010-06-03,00:00:00.00,10.2317,5.24644,1.57
154,2010-06-04,00:00:00.00,15.6827,5.864,4.05
155,2010-06-05,00:00:00.00,0.108078,6.36727,6.85
156,2010-06-06,00:00:00.00,12.8629,6.33299,3.87
157,2010-06-07,00:00:00.00,27.8616,10.7913,19.9
158,2010-06-08,00:00:00.00,2.20706e-05,12.4268,19.9
159,2010-06-09,00:00:00.00,0,9.47577,7.54
160,2010-06-10,00:00:00.00,9.36088,8.87805,4.92
161,2010-06-11,00:00:00.00,0.687342,8.44739,5.01
162,2010-06-12,00:00:00.00,0.00383282,7.39202,4.18
163,2010-06-13,00:00:00.00,0.337552,6.58511,3.08
164,2010-06-14,00:00:00.00,0.299662,5.95,2.57
165,2010-06-15,00:00:00.00,0.0204865,5.43823,2.19
166,2010-06-16,00:00:00.00,0.000219201,5.0178,1.77
167,2010-06-17,00:00:00.00,12.3532,5.56286,1.77
168,2010-06-18,00:00:00.00,1.50432,5.88227,1.75
169,2010-06-19,00:00:00.00,0.01377,5.25513,1.44
170,2010-06-20,00:00:00.00,0.141528,4.86812,1.33
171,2010-06-21,00:00:00.00,0.00041037,4.54281,1.28
172,2010-06-22,00:00:00.00,0.00013524,4.26577,1.15
173,2010-06-23,00:00:00.00,11.4746,4.71533,1.11
174,2010-06-24,00:00:00.00,0.108961,4.98595,1.15
175,2010-06-25,00:00:00.00,2.3361,4.53064,1.08
176,2010-06-26,00:00:00.00,0.0106774,4.25482,0.985
177,2010-06-27,00:00:00.00,0.258535,4.0172,0.909
178,2010-06-28,00:00:00.00,0.779908,3.81044,0.934
179,2010-06-29,00:00:00.00,12.8221,4.53082,1.08
180,2010-06-30,00:00:00.00,0.00879895,4.91285,0.993
181,2010-07-01,00:00:00.00,0,4.343,0.822
182,2010-07-02,00:00:00.00,0.000251346,4.09145,0.742
183,2010-07-03,00:00:00.00,0,3.8734,0.76
184,2010-07-04,00:00:00.00,0,3.68264,0.729
185,2010-07-05,00:00:00.00,0,3.51438,0.637
186,2010-07-06,00:00:00.00,0.000520848,3.36485,0.6
187,2010-07-07,00:00:00.00,0.000615547,3.23107,0.573
188,2010-07-08,00:00:00.00,0.0768731,3.11068,0.898
189,2010-07-09,00:00:00.00,0.0603516,3.00172,1.18
190,2010-07-10,00:00:00.00,17.4635,4.4363,0.785
191,2010-07-11,00:00:00.00,0.00249097,5.09328,0.81
192,2010-07-12,00:00:00.00,0.119288,4.14003,1.46
193,2010-07-13,00:00:00.00,15.1401,5.20005,2.61
194,2010-07-14,00:00:00.00,0.322324,5.73903,1.47
195,2010-07-15,00:00:00.00,0.00534724,4.90923,1.06
196,2010-07-16,00:00:00.00,0.0396827,4.56829,0.819
197,2010-07-17,00:00:00.00,14.6423,5.4739,1.35
198,2010-07-18,00:00:00.00,1.03068,5.95213,1.29
199,2010-07-19,00:00:00.00,0.0146094,5.16265,1.64
200,2010-07-20,00:00:00.00,8.90716,5.19074,1.64
201,2010-07-21,00:00:00.00,0.267112,5.21482,1.2
202,2010-07-22,00:00:00.00,0.670587,4.82916,0.988
203,2010-07-23,00:00:00.00,0.02226,4.50497,0.823
204,2010-07-24,00:00:00.00,13.4607,5.25029,0.812
205,2010-07-25,00:00:00.00,9.29148,6.12097,1.67
206,2010-07-26,00:00:00.00,0.117568,5.82931,2.75
207,2010-07-27,00:00:00.00,0.00716517,5.34124,1.59
208,2010-07-28,00:00:00.00,0.015554,4.93863,1.08
209,2010-07-29,00:00:00.00,17.3853,6.38851,7.12
210,2010-07-30,00:00:00.00,0.00508591,7.12929,51.8
211,2010-07-31,00:00:00.00,0,5.9587,19
212,2010-08-01,00:00:00.00,0.425126,5.45276,6.04
213,2010-08-02,00:00:00.00,0.460576,5.03662,3.76
214,2010-08-03,00:00:00.00,0.0677722,4.68877,2.51
215,2010-08-04,00:00:00.00,0.0645721,4.39394,1.92
216,2010-08-05,00:00:00.00,0.024927,4.14106,1.61
217,2010-08-06,00:00:00.00,1.18062,3.92187,1.41
218,2010-08-07,00:00:00.00,0.0227776,3.73011,1.23
219,2010-08-08,00:00:00.00,0.0501949,3.56095,1.1
220,2010-08-09,00:00:00.00,0.619315,3.41061,1.02
221,2010-08-10,00:00:00.00,7.89525,3.5209,1.05
222,2010-08-11,00:00:00.00,0.33433,3.61768,1.16
223,2010-08-12,00:00:00.00,2.53e-05,3.45827,1.07
224,2010-08-13,00:00:00.00,0.000744526,3.31616,0.96
225,2010-08-14,00:00:00.00,2.78004e-05,3.18864,0.881
226,2010-08-15,00:00:00.00,0.0835455,3.07356,0.893
227,2010-08-16,00:00:00.00,0.768263,2.96915,0.99
228,2010-08-17,00:00:00.00,0.0568832,2.87396,0.855
229,2010-08-18,00:00:00.00,0.0126214,2.78676,0.742
230,2010-08-19,00:00:00.00,0.0634304,2.70656,0.704
231,2010-08-20,00:00:00.00,0.0240208,2.6325,0.688
232,2010-08-21,00:00:00.00,0.000679692,2.56387,0.66
233,2010-08-22,00:00:00.00,7.61324,2.71505,0.69
234,2010-08-23,00:00:00.00,9.3557,3.29833,1.02
235,2010-08-24,00:00:00.00,2.58223,3.48922,0.917
236,2010-08-25,00:00:00.00,0.650609,3.21404,0.79
237,2010-08-26,00:00:00.00,1.21219e-06,3.08678,0.733
238,2010-08-27,00:00:00.00,0.0121601,2.97208,0.681
239,2010-08-28,00:00:00.00,4.02257e-05,2.86816,0.616
240,2010-08-29,00:00:00.00,0,2.77352,0.58
241,2010-08-30,00:00:00.00,0,2.68696,0.547
242,2010-08-31,00:00:00.00,0,2.60744,0.582
243,2010-09-01,00:00:00.00,0,2.53411,0.578
244,2010-09-02,00:00:00.00,0.0316517,2.46625,0.519
245,2010-09-03,00:00:00.00,4.35863,2.44496,0.495
246,2010-09-04,00:00:00.00,18.5792,4.14384,1.3
247,2010-09-05,00:00:00.00,2.81504,4.86431,2.05
248,2010-09-06,00:00:00.00,1.32482,3.79004,1.18
249,2010-09-07,00:00:00.00,0.0184572,3.58907,0.932
250,2010-09-08,00:00:00.00,0.295041,3.41266,0.832
251,2010-09-09,00:00:00.00,1.28514,3.25661,0.712
252,2010-09-10,00:00:00.00,2.94131,3.14285,0.669
253,2010-09-11,00:00:00.00,0.151524,3.04094,0.654
254,2010-09-12,00:00:00.00,1.60857,2.92386,0.636
255,2010-09-13,00:00:00.00,3.72189,2.87814,0.649
256,2010-09-14,00:00:00.00,0.672863,2.83644,0.629
257,2010-09-15,00:00:00.00,1.99451e-05,2.73809,0.566
258,2010-09-16,00:00:00.00,5.08066e-06,2.6484,0.549
259,2010-09-17,00:00:00.00,20.5138,4.69534,0.842
260,2010-09-18,00:00:00.00,0.0504569,5.58161,1.49
261,2010-09-19,00:00:00.00,0.0783962,4.23661,1.16
262,2010-09-20,00:00:00.00,0.325777,3.97359,0.92
263,2010-09-21,00:00:00.00,0.132509,3.74663,0.777
264,2010-09-22,00:00:00.00,0.00216495,3.54891,0.702
265,2010-09-23,00:00:00.00,3.48663,3.41872,0.731
266,2010-09-24,00:00:00.00,0.889142,3.30365,0.802
267,2010-09-25,00:00:00.00,0.192291,3.15772,0.751
268,2010-09-26,00:00:00.00,1.68018,3.02728,0.674
269,2010-09-27,00:00:00.00,0.697555,2.91,0.621
270,2010-09-28,00:00:00.00,2.10071,2.81045,0.633
271,2010-09-29,00:00:00.00,30.7685,6.65762,1.1
272,2010-09-30,00:00:00.00,1.26004,8.37755,4.74
273,2010-10-01,00:00:00.00,0.0132019,5.91283,2.93
274,2010-10-02,00:00:00.00,0.158587,5.38105,1.86
275,2010-10-03,00:00:00.00,9.46191,5.69849,1.51
