time,date,hour,precip [mm/day],02GA010 [m3/s],02GA010 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,2.33561,0.0401734,16
2,2010-01-03,00:00:00.00,0.226989,0.135545,17
3,2010-01-04,00:00:00.00,0.0510118,0.190766,16
4,2010-01-05,00:00:00.00,0.042524,0.190495,18
5,2010-01-06,00:00:00.00,1.53838,0.189908,21
6,2010-01-07,00:00:00.00,0.435401,0.189325,24
7,2010-01-08,00:00:00.00,0.406004,0.188744,21.5
8,2010-01-09,00:00:00.00,5.51111,0.188167,20
9,2010-01-10,00:00:00.00,0.00293132,0.187592,18.5
10,2010-01-11,00:00:00.00,0.0068297,0.187021,17
11,2010-01-12,00:00:00.00,2.15458,0.186452,16
12,2010-01-13,00:00:00.00,0.647466,0.185886,15
13,2010-01-14,00:00:00.00,0.0015366,0.185323,14
14,2010-01-15,00:00:00.00,0.000697091,0.184763,13
15,2010-01-16,00:00:00.00,0.129408,0.184205,12
16,2010-01-17,00:00:00.00,0.00763241,0.183651,11.5
17,2010-01-18,00:00:00.00,0.00537619,0.183099,11
18,2010-01-19,00:00:00.00,0.00230284,0.18255,10.5
19,2010-01-20,00:00:00.00,0.247421,0.182003,9.8
20,2010-01-21,00:00:00.00,0.0461066,0.18146,9.3
21,2010-01-22,00:00:00.00,0.00118575,0.180918,8.9
22,2010-01-23,00:00:00.00,0.00185715,0.18038,8.5
23,2010-01-24,00:00:00.00,0.00415358,0.179844,8.1
24,2010-01-25,00:00:00.00,5.78521,0.369575,7.7
25,2010-01-26,00:00:00.00,11.2895,1.30526,11
26,2010-01-27,00:00:00.00,1.26265,2.05002,18
27,2010-01-28,00:00:00.00,1.71809,1.13691,36
28,2010-01-29,00:00:00.00,1.76753,0.219114,25
29,2010-01-30,00:00:00.00,0.43849,0.213131,17
30,2010-01-31,00:00:00.00,0.00323215,0.212404,14.5
31,2010-02-01,00:00:00.00,0.636652,0.211682,13
32,2010-02-02,00:00:00.00,0.839353,0.210964,11.5
33,2010-02-03,00:00:00.00,1.30962,0.210249,10
34,2010-02-04,00:00:00.00,2.4197,0.209539,8.7
35,2010-02-05,00:00:00.00,0.069821,0.208833,8
36,2010-02-06,00:00:00.00,0.00130149,0.208131,7.2
37,2010-02-07,00:00:00.00,0.000629921,0.207433,6.5
