Time,SimQ_02GA010 [m3/s],ObsQ_02GA010 [m3/s],SimQ_02GA018 [m3/s],ObsQ_02GA018 [m3/s],SimQ_02GA038 [m3/s],ObsQ_02GA038 [m3/s],SimQ_02GA047 [m3/s],ObsQ_02GA047 [m3/s],SimQ_02GC010 [m3/s],ObsQ_02GC010 [m3/s],SimQ_02GD004 [m3/s],ObsQ_02GD004 [m3/s],SimQ_02GG002 [m3/s],ObsQ_02GG002 [m3/s],SimQ_02GG006 [m3/s],ObsQ_02GG006 [m3/s],SimQ_04159492 [m3/s],ObsQ_04159492 [m3/s],SimQ_04161820 [m3/s],ObsQ_04161820 [m3/s],SimQ_04164000 [m3/s],ObsQ_04164000 [m3/s],SimQ_04166100 [m3/s],ObsQ_04166100 [m3/s],SimQ_04196800 [m3/s],ObsQ_04196800 [m3/s],SimQ_04197100 [m3/s],ObsQ_04197100 [m3/s],SimQ_04207200 [m3/s],ObsQ_04207200 [m3/s],SimQ_02GB001 [m3/s],ObsQ_02GB001 [m3/s],SimQ_02GC007 [m3/s],ObsQ_02GC007 [m3/s],SimQ_02GC026 [m3/s],ObsQ_02GC026 [m3/s],SimQ_04166500 [m3/s],ObsQ_04166500 [m3/s],SimQ_04174500 [m3/s],ObsQ_04174500 [m3/s],SimQ_04176500 [m3/s],ObsQ_04176500 [m3/s],SimQ_04193500 [m3/s],ObsQ_04193500 [m3/s],SimQ_04195820 [m3/s],ObsQ_04195820 [m3/s],SimQ_04198000 [m3/s],ObsQ_04198000 [m3/s],SimQ_04199000 [m3/s],ObsQ_04199000 [m3/s],SimQ_04199500 [m3/s],ObsQ_04199500 [m3/s],SimQ_04200500 [m3/s],ObsQ_04200500 [m3/s],SimQ_04209000 [m3/s],ObsQ_04209000 [m3/s],SimQ_04212100 [m3/s],ObsQ_04212100 [m3/s],SimQ_04213500 [m3/s],ObsQ_04213500 [m3/s],SimQ_04214500 [m3/s],ObsQ_04214500 [m3/s],SimQ_04215000 [m3/s],ObsQ_04215000 [m3/s],SimQ_04215500 [m3/s],ObsQ_04215500 [m3/s],SimQ_02GB007 [m3/s],ObsQ_02GB007 [m3/s],SimQ_02GC002 [m3/s],ObsQ_02GC002 [m3/s],SimQ_02GC018 [m3/s],ObsQ_02GC018 [m3/s],SimQ_02GE007 [m3/s],ObsQ_02GE007 [m3/s],SimQ_02GG003 [m3/s],ObsQ_02GG003 [m3/s],SimQ_02GG009 [m3/s],ObsQ_02GG009 [m3/s],SimQ_02GG013 [m3/s],ObsQ_02GG013 [m3/s],SimQ_04159900 [m3/s],ObsQ_04159900 [m3/s],SimQ_04160600 [m3/s],ObsQ_04160600 [m3/s],SimQ_04165500 [m3/s],ObsQ_04165500 [m3/s],SimQ_04177000 [m3/s],ObsQ_04177000 [m3/s],SimQ_04208504 [m3/s],ObsQ_04208504 [m3/s],SimQ_04213000 [m3/s],ObsQ_04213000 [m3/s]
2010-01-01 00:00:00,12.2103,,6.92253,,4.46582,,9.1028,,4.94032,,3.81351,,8.41325,,2.9041900000000003,,7.947660000000001,,6.5559199999999995,,12.1996,,6.3091800000000005,,8.74077,,4.26778,,4.56065,,67.9085,,9.02335,,9.30073,,8.91442,,13.9784,,24.9767,,174.467,,19.1089,,43.9681,,12.1263,,9.00201,,13.3391,,13.0865,,32.6472,,22.6815,,6.50436,,4.2922,,7.63576,,3.78379,,4.23043,,4.70158,,2.65905,,12.8767,,5.57986,,3.4985699999999995,,3.03139,,2.74602,,19.2142,,2.34785,,44.2628,,9.86585,
2010-01-02 00:00:00,13.3835,16.0,15.647,4.09,10.9694,2.4,7.035,5.6,3.49707,2.02,9.447410000000001,1.95,6.25221,3.0,4.45721,0.7,12.0171,2.86,4.2489300000000005,9.3446,23.2165,11.9214,6.3346,1.5829,6.12678,1.5291,3.28669,0.8212,2.93699,2.1634,62.9415,38.0,6.95938,6.3,6.89169,4.5,16.6842,2.7581,10.8936,18.3776,20.8688,24.4374,169.68,130.82399999999998,16.0288,2.2965,35.957,9.6277,8.002460000000001,5.805,7.11867,3.1149,15.3148,4.7289,6.91983,6.4846,20.9148,20.7846,12.9226,21.6907,3.54805,,4.00189,4.1343,4.47553,7.419,2.77818,2.5,4.96709,1.05,4.52284,0.983,1.37625,0.32899999999999996,9.9899,5.6,4.50901,3.85,3.75155,0.42,2.2697700000000003,1.2148,2.35664,1.7273,12.7734,19.0289,1.60568,1.6424,28.7769,25.201999999999998,10.8105,6.3996
2010-01-03 00:00:00,15.1391,17.0,22.726999999999997,2.4,13.1174,2.0,3.55769,5.4,1.42415,1.95,11.6244,1.86,2.69793,2.84,4.79114,0.6,17.1546,2.0218,1.0721100000000001,8.5517,32.4565,10.0242,6.2161,1.3196,2.09996,1.8123,1.77075,0.6796,1.13781,1.8548,50.0787,27.0,3.39994,5.78,3.1153,4.2,20.9273,2.2682,5.50122,17.0751,12.2381,21.9456,144.531,107.604,10.2016,3.1149,19.333,8.7782,2.3445,4.1059,3.9500800000000003,2.8317,16.1981,5.0969999999999995,0.37663,4.644,4.59971,16.0557,1.60096,20.4164,0.305302,,3.3546199999999997,3.3131,1.00169,5.6917,1.21028,2.2,4.8179099999999995,1.0,3.6820800000000005,0.85,0.0481142,0.2,5.125030000000001,4.8,2.8192,3.0,3.68448,0.3,1.14171,0.8778,1.6717,1.4187,4.82673,16.1123,0.5151100000000001,1.2912,6.645510000000001,22.7101,10.5774,5.9749
2010-01-04 00:00:00,14.5574,16.0,13.5847,2.8,5.51478,1.62,1.58249,5.2,0.695012,1.88,5.37793,1.79,1.19519,2.7,3.04505,0.54,15.0219,1.7811,0.24628200000000003,7.7305,25.8243,9.8259,5.67419,1.2573,0.41138,1.6424,1.2353100000000001,0.7929,1.06134,2.0077,37.0988,22.0,1.5205899999999999,5.2,1.39149,4.05,14.9923,2.1379,2.00395,16.0273,6.11836,19.8784,95.617,97.6931,7.424060000000001,2.2653,8.001,7.9287,0.887073,3.9644,2.4054599999999997,2.8034,12.8724,6.6545,0.0221325,4.4741,0.512407,14.3283,0.8115760000000001,21.0961,0.0568735,,2.77026,2.7977,0.930376,5.3802,0.552707,1.85,3.32312,0.9470000000000001,2.65152,0.8029999999999999,0.00675244,0.131,2.4906,4.2,2.0133,2.2,2.91221,0.22,0.631302,0.807,1.31774,1.3762,4.28948,15.4893,0.32296199999999997,1.0194,0.106769,18.859,7.798310000000001,5.4935
2010-01-05 00:00:00,11.9649,18.0,5.2876900000000004,3.3,3.11266,1.32,0.74555,5.05,0.631249,1.81,2.45805,1.72,0.924909,2.58,2.2263,0.48,10.4213,1.7811,0.145294,7.3057,20.3296,9.3162,4.86645,1.3479,0.08818,1.2459,1.19636,0.7079,1.09084,2.3107,29.9927,26.0,0.867708,5.12,0.874467,3.92,11.8341,2.2880000000000003,0.428066,16.5087,3.87207,18.0661,55.4658,54.6515,7.27463,1.8406,4.4225900000000005,7.3624,0.836766,5.0969999999999995,2.1051,2.6051,9.50765,7.7022,0.024450299999999998,4.1909,0.731953,14.1867,0.991016,21.0961,0.0656516,,2.36927,3.0582,0.930386,5.8333,0.443234,1.65,2.5117599999999998,0.895,2.05533,0.78,0.007166199999999999,0.13,1.45404,3.8,1.78035,1.4,2.2187799999999998,0.18,0.4309,0.8778,1.2024299999999999,1.3026,4.5434,12.6293,0.416815,0.8891,0.12928199999999998,18.9723,5.235130000000001,5.3519
2010-01-06 00:00:00,9.61662,21.0,4.71528,2.5,2.77739,1.13,0.395365,5.0,0.653083,1.73,2.04271,1.66,0.70975,2.51,1.7511599999999998,0.44,8.38992,1.7132,0.009781299999999998,6.8244,17.3618,8.665,4.16539,1.2686,0.0792803,1.1327,1.13628,0.6513,1.08781,2.1323,27.8416,31.0,0.48072200000000004,5.08,0.758566,3.79,8.969389999999999,2.1492,0.21592399999999998,15.2345,2.61862,16.9335,43.7478,32.2812,6.94089,1.4158,3.0441,6.796,0.779375,4.5307,1.9992599999999998,2.2653,7.5208699999999995,6.5695,0.022553200000000002,4.021,0.601065,17.4715,0.867973,21.5208,0.0581097,,2.07295,3.1149,0.8724700000000001,5.9182,0.429217,1.5,2.02847,0.86,1.67028,0.7490000000000001,0.0067639,0.132,1.00393,3.45,1.6652799999999999,1.1,1.8122,0.15,0.352445,0.9005,1.11039,1.2573,4.5695,12.8275,0.38458000000000003,0.7646,0.0225215,20.3881,3.7995699999999997,5.182
2010-01-07 00:00:00,8.321110000000001,24.0,4.19059,1.97,1.95623,0.99,0.309917,4.95,0.638549,1.69,1.61751,1.6,0.638653,2.44,1.44251,0.41,7.1251,1.7132,0.00974982,6.8527,15.1755,8.0703,3.56311,1.212,0.0754512,0.9061,1.0932899999999999,0.623,1.10175,1.9822,27.805999999999997,30.5,0.317823,5.05,0.771278,3.68,6.7724,2.0388,0.310223,14.7531,1.7436,16.0273,38.2567,28.8832,6.59408,1.1327,2.2195400000000003,6.2297,0.7808390000000001,3.5396,1.8679299999999999,2.0388,6.1506300000000005,5.4652,0.024007,4.021,0.687194,17.4715,0.987454,21.0961,0.0633861,,1.8484599999999998,3.0016,0.869294,5.72,0.432196,1.38,1.6852900000000002,0.828,1.40291,0.722,0.00708828,0.14,0.80062,3.23,1.55341,0.95,1.52966,0.13,0.32192,0.8608,1.04597,1.1921,4.89422,11.7515,0.405439,0.7362,0.00106072,19.7085,3.01461,4.9554
2010-01-08 00:00:00,7.565180000000001,21.5,3.4298300000000004,1.82,1.9312099999999999,0.8759999999999999,0.31546799999999997,4.9,0.633941,1.65,1.38505,1.55,0.614224,2.39,1.22664,0.38,6.00169,1.6933,0.00126934,7.1358,14.0444,8.1836,3.10027,1.1667,0.0739738,0.8212,1.05279,0.5663,1.10141,2.036,28.2584,34.0,0.258364,5.02,0.764095,3.62,5.514419999999999,1.9142,0.357829,14.8947,1.25007,15.3477,32.7903,26.5895,6.31329,1.0477,1.9131099999999999,5.9465,0.745429,2.9733,1.75223,1.9822,5.18119,4.4457,0.022787799999999997,3.9927,0.649864,16.622,0.912364,21.9456,0.0586092,,1.66982,3.1432,0.8216700000000001,5.9465,0.438179,1.3,1.4558200000000001,0.805,1.2075,0.7,0.0067637,0.14800000000000002,0.696438,3.08,1.4647700000000001,0.82,1.33585,0.115,0.31019,0.8042,0.992082,1.127,5.0048,11.1002,0.403531,0.6853,0.0011225,18.6891,2.48671,4.7289
2010-01-09 00:00:00,6.925489999999999,20.0,3.32259,1.74,1.59902,0.815,0.332924,4.81,0.626941,1.63,1.2293,1.5,0.6073029999999999,2.33,1.0676,0.36,5.24483,1.5999,0.00135611,7.2774,13.0491,8.4951,2.78558,1.2431,0.0753382,0.7362,1.01567,0.5947,1.1132,2.1039,28.9654,30.0,0.239434,4.95,0.783331,3.54,4.62176,2.0077,0.400972,14.5265,0.920025,15.0362,34.1275,34.5466,6.04005,0.9911,1.8789099999999999,6.2297,0.738092,2.8317,1.65267,1.8972,4.46583,3.9644,0.02371,3.8794,0.674257,16.4521,0.991455,22.7951,0.061673,,1.52641,2.9733,0.81616,5.6917,0.444538,1.25,1.2634100000000001,0.78,1.0590600000000001,0.6679999999999999,0.0070173,0.14400000000000002,0.679647,2.97,1.3803299999999998,0.7,1.19854,0.1,0.305791,0.7277,0.945851,1.0364,5.303719999999999,11.4117,0.411153,0.6315,0.000806765,19.1422,2.11845,4.5307
2010-01-10 00:00:00,6.5132,18.5,3.10372,1.68,1.52427,0.75,0.341513,4.4,0.620733,1.59,1.11989,1.46,0.607945,2.28,0.945815,0.335,4.7173099999999994,1.515,0.000998585,7.0509,12.5615,8.0986,2.56557,1.1525,0.0734657,0.623,0.981225,0.5379999999999999,1.1136700000000002,2.1464,29.6419,26.0,0.23397600000000002,4.9,0.790554,3.48,4.1992400000000005,1.9369,0.384073,13.5921,0.741744,14.7248,33.5813,35.1129,5.7991,0.9628,1.83779,5.6634,0.7117439999999999,2.6901,1.56053,1.784,3.92305,3.7661,0.0229082,3.9644,0.712514,16.622,0.9486370000000001,22.7951,0.0586374,,1.4072,2.6051,0.776774,5.0687,0.450817,1.2,1.1313600000000001,0.77,0.942994,0.66,0.00675491,0.139,0.660934,2.82,1.3101200000000002,0.63,1.08294,0.087,0.304213,0.6853,0.90494,1.0759999999999998,5.45622,11.0153,0.414624,0.5748,0.000879723,18.859,1.8500299999999998,4.7289
