time,date,hour,precip [mm/day],02GC010 [m3/s],02GC010 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,1.42202,0.000222091,2.02
2,2010-01-03,00:00:00.00,0.439265,0.000726085,1.95
3,2010-01-04,00:00:00.00,0.828626,0.00100572,1.88
4,2010-01-05,00:00:00.00,0.294093,0.00100118,1.81
5,2010-01-06,00:00:00.00,3.05565,0.000996673,1.73
6,2010-01-07,00:00:00.00,0.461294,0.000992188,1.69
7,2010-01-08,00:00:00.00,1.1881,0.000987721,1.65
8,2010-01-09,00:00:00.00,7.81371,0.000983273,1.63
9,2010-01-10,00:00:00.00,0.00812962,0.000978854,1.59
10,2010-01-11,00:00:00.00,0.0681538,0.000974462,1.57
11,2010-01-12,00:00:00.00,1.7117,0.000970093,1.54
12,2010-01-13,00:00:00.00,0.486707,0.000965747,1.53
13,2010-01-14,00:00:00.00,0.000482161,0.000961423,1.52
14,2010-01-15,00:00:00.00,5.32972e-05,0.000957086,1.53
15,2010-01-16,00:00:00.00,0.573313,0.000952747,1.58
16,2010-01-17,00:00:00.00,0.022528,0.000948466,1.59
17,2010-01-18,00:00:00.00,0.00190511,0.000944231,1.6
18,2010-01-19,00:00:00.00,0.00101286,0.000940018,1.62
19,2010-01-20,00:00:00.00,0.0299277,0.000935826,1.6
20,2010-01-21,00:00:00.00,0.0325081,0.000931642,1.57
21,2010-01-22,00:00:00.00,0.00115586,0.00092747,1.53
22,2010-01-23,00:00:00.00,0.00101042,0.000923332,1.5
23,2010-01-24,00:00:00.00,0,0.000919188,1.53
24,2010-01-25,00:00:00.00,8.16569,0.30169,1.8
25,2010-01-26,00:00:00.00,12.7814,3.77881,14.2
26,2010-01-27,00:00:00.00,1.06539,5.68048,14
27,2010-01-28,00:00:00.00,0.648064,2.21882,7.53
28,2010-01-29,00:00:00.00,2.98964,0.0309344,4.46
29,2010-01-30,00:00:00.00,0.449854,0.0292008,3.5
30,2010-01-31,00:00:00.00,0.0101517,0.0275942,3.05
31,2010-02-01,00:00:00.00,0.467159,0.0261014,2.63
32,2010-02-02,00:00:00.00,0.708624,0.0247112,2.33
33,2010-02-03,00:00:00.00,1.11102,0.0234135,2.05
34,2010-02-04,00:00:00.00,1.72593,0.0221994,1.86
35,2010-02-05,00:00:00.00,0.0812019,0.0210613,1.77
36,2010-02-06,00:00:00.00,0.00310245,0.0199927,1.7
37,2010-02-07,00:00:00.00,0.00292399,0.0189879,1.62
38,2010-02-08,00:00:00.00,3.36683e-05,0.0180415,1.55
39,2010-02-09,00:00:00.00,0,0.0171484,1.54
40,2010-02-10,00:00:00.00,1.01627,0.0163044,1.53
41,2010-02-11,00:00:00.00,5.73354,0.0155057,1.52
42,2010-02-12,00:00:00.00,0.0414249,0.0147488,1.48
43,2010-02-13,00:00:00.00,0.238094,0.0140307,1.45
44,2010-02-14,00:00:00.00,0.516735,0.0133484,1.42
45,2010-02-15,00:00:00.00,1.07587,0.0126994,1.41
46,2010-02-16,00:00:00.00,0.69151,0.0120814,1.4
47,2010-02-17,00:00:00.00,0.472371,0.0114924,1.4
48,2010-02-18,00:00:00.00,0.35112,0.0109305,1.39
49,2010-02-19,00:00:00.00,0.0252352,0.0103938,1.39
50,2010-02-20,00:00:00.00,0.0120353,0.00988081,1.38
51,2010-02-21,00:00:00.00,0.00108535,0.00938983,1.38
52,2010-02-22,00:00:00.00,2.29297e-05,0.00891886,1.38
53,2010-02-23,00:00:00.00,11.0342,0.100978,1.37
54,2010-02-24,00:00:00.00,3.11479,0.191784,1.37
55,2010-02-25,00:00:00.00,0.300293,0.119406,1.36
56,2010-02-26,00:00:00.00,0.855457,0.0292793,1.36
57,2010-02-27,00:00:00.00,4.08858,0.00978472,1.37
58,2010-02-28,00:00:00.00,1.4893,0.00927232,1.38
59,2010-03-01,00:00:00.00,0.327734,0.00892909,1.39
60,2010-03-02,00:00:00.00,0.00062588,0.00885298,1.43
61,2010-03-03,00:00:00.00,0.000283247,0.00888583,1.47
62,2010-03-04,00:00:00.00,0.00106574,0.00891785,1.6
63,2010-03-05,00:00:00.00,0,0.00894906,2.56
64,2010-03-06,00:00:00.00,0,0.0089795,2.88
65,2010-03-07,00:00:00.00,0.000140919,0.00900918,3.3
66,2010-03-08,00:00:00.00,0.00016654,0.00903814,4.16
67,2010-03-09,00:00:00.00,0,0.00906638,4.8
68,2010-03-10,00:00:00.00,0.0462906,4.24136,5.12
69,2010-03-11,00:00:00.00,0.0258368,7.08286,5.2
70,2010-03-12,00:00:00.00,0.0135577,2.91102,5.93
71,2010-03-13,00:00:00.00,0.06095,0.13008,6.31
72,2010-03-14,00:00:00.00,18.6948,2.19816,7.37
73,2010-03-15,00:00:00.00,12.4613,4.69927,19.8
74,2010-03-16,00:00:00.00,0.130084,3.39186,20.3
75,2010-03-17,00:00:00.00,0.000378884,1.06929,13.7
76,2010-03-18,00:00:00.00,0,0.485853,9.28
77,2010-03-19,00:00:00.00,0,0.483056,7.2
78,2010-03-20,00:00:00.00,5.54507e-06,0.480216,6.02
79,2010-03-21,00:00:00.00,0.0137795,0.477339,5.06
80,2010-03-22,00:00:00.00,0.361739,0.47443,4.3
81,2010-03-23,00:00:00.00,2.43303,0.476883,3.89
82,2010-03-24,00:00:00.00,5.04644,0.799276,3.84
83,2010-03-25,00:00:00.00,0.0228965,0.945318,4.44
84,2010-03-26,00:00:00.00,0.553542,0.659199,4.17
85,2010-03-27,00:00:00.00,4.96316e-15,0.54356,3.56
86,2010-03-28,00:00:00.00,0.000114948,0.53964,3.04
87,2010-03-29,00:00:00.00,7.62369,1.09047,2.96
88,2010-03-30,00:00:00.00,4.70877,1.79205,3.92
89,2010-03-31,00:00:00.00,0.00154585,1.38024,4.62
90,2010-04-01,00:00:00.00,3.15435e-05,0.780482,4.05
