time,date,hour,precip [mm/day],02GA018 [m3/s],02GA018 (observed) [m3/s]
101,2010-04-12,00:00:00.00,0.293933,6.31941,6.64
102,2010-04-13,00:00:00.00,0,5.73644,4.97
103,2010-04-14,00:00:00.00,0,5.26453,3.9
104,2010-04-15,00:00:00.00,0,4.87575,3.22
105,2010-04-16,00:00:00.00,0,4.55067,2.77
106,2010-04-17,00:00:00.00,0.187891,4.27538,2.53
107,2010-04-18,00:00:00.00,0.772197,4.03969,2.3
108,2010-04-19,00:00:00.00,0.236254,3.83594,2.1
109,2010-04-20,00:00:00.00,0,3.65831,1.89
110,2010-04-21,00:00:00.00,0,3.50228,1.66
111,2010-04-22,00:00:00.00,0,3.36429,1.49
112,2010-04-23,00:00:00.00,2.9855e-308,3.2415,1.37
113,2010-04-24,00:00:00.00,0,3.13163,1.26
114,2010-04-25,00:00:00.00,0,3.03281,1.2
115,2010-04-26,00:00:00.00,15.7653,4.447,1.32
116,2010-04-27,00:00:00.00,0.461723,5.26614,1.74
117,2010-04-28,00:00:00.00,0.00031269,4.48533,1.6
118,2010-04-29,00:00:00.00,5.1004e-308,4.22753,1.19
119,2010-04-30,00:00:00.00,0.000108909,4.00591,1.04
120,2010-05-01,00:00:00.00,0.0136768,3.81365,0.953
121,2010-05-02,00:00:00.00,2.44855,3.6455,0.977
122,2010-05-03,00:00:00.00,0.252384,3.49737,1.03
123,2010-05-04,00:00:00.00,10.6,3.99529,1.42
124,2010-05-05,00:00:00.00,0.0362149,4.37398,5.64
125,2010-05-06,00:00:00.00,10.1924,4.69651,3.72
126,2010-05-07,00:00:00.00,0.633983,5.02864,2.71
127,2010-05-08,00:00:00.00,11.1843,5.6296,2.46
128,2010-05-09,00:00:00.00,20.8294,9.55434,35.7
129,2010-05-10,00:00:00.00,0.21569,11.1407,30.4
130,2010-05-11,00:00:00.00,0.000385052,8.95421,11.8
131,2010-05-12,00:00:00.00,4.91615,8.21646,6.45
132,2010-05-13,00:00:00.00,1.52543,7.66445,5.13
133,2010-05-14,00:00:00.00,10.6031,8.02728,4.4
134,2010-05-15,00:00:00.00,1.94594,8.31168,12.7
135,2010-05-16,00:00:00.00,0.0182355,7.39197,12.2
136,2010-05-17,00:00:00.00,0.000998018,6.67961,6.08
137,2010-05-18,00:00:00.00,0.00117948,6.11369,4.21
138,2010-05-19,00:00:00.00,0.0785673,5.6547,3.21
139,2010-05-20,00:00:00.00,6.331e-308,5.27597,2.57
140,2010-05-21,00:00:00.00,0.000964927,4.95889,2.08
141,2010-05-22,00:00:00.00,0.0067149,4.69008,1.73
142,2010-05-23,00:00:00.00,4.0005,4.48451,1.57
143,2010-05-24,00:00:00.00,0.414688,4.30682,1.59
144,2010-05-25,00:00:00.00,0.000344459,4.12712,1.45
145,2010-05-26,00:00:00.00,0.000124436,3.96939,1.19
146,2010-05-27,00:00:00.00,1.11089e-308,3.82996,1.04
147,2010-05-28,00:00:00.00,0.000562551,3.70592,0.905
148,2010-05-29,00:00:00.00,0.0320351,3.59493,0.801
149,2010-05-30,00:00:00.00,0.0694298,3.49507,0.731
150,2010-05-31,00:00:00.00,6.24262e-308,3.40478,0.634
151,2010-06-01,00:00:00.00,0.133936,3.32276,0.629
152,2010-06-02,00:00:00.00,9.12942,3.6559,0.766
153,2010-06-03,00:00:00.00,17.6342,6.0249,0.936
154,2010-06-04,00:00:00.00,9.37639,7.97853,1.45
155,2010-06-05,00:00:00.00,3.28393,7.44607,4.41
156,2010-06-06,00:00:00.00,7.6475,7.15353,4.22
157,2010-06-07,00:00:00.00,23.5355,11.2548,6.89
158,2010-06-08,00:00:00.00,0.000158697,13.317,13.3
159,2010-06-09,00:00:00.00,0,10.6344,5.53
160,2010-06-10,00:00:00.00,13.731,11.1722,3.72
161,2010-06-11,00:00:00.00,3.38384,11.5627,6.23
162,2010-06-12,00:00:00.00,0.00183544,9.87669,9.75
163,2010-06-13,00:00:00.00,0.51802,8.66211,4.64
164,2010-06-14,00:00:00.00,0.506493,7.75039,2.95
165,2010-06-15,00:00:00.00,0.432641,7.04397,2.18
166,2010-06-16,00:00:00.00,0.00012111,6.48264,1.65
167,2010-06-17,00:00:00.00,12.8806,7.35394,1.61
168,2010-06-18,00:00:00.00,0.182483,8.03514,1.76
169,2010-06-19,00:00:00.00,0.0101856,7.2643,1.4
170,2010-06-20,00:00:00.00,0.0564348,6.6694,1.22
171,2010-06-21,00:00:00.00,0.0992611,6.1893,1.14
172,2010-06-22,00:00:00.00,0,5.79481,1.01
173,2010-06-23,00:00:00.00,12.4768,6.61529,1.12
174,2010-06-24,00:00:00.00,0.187138,7.257,1.66
175,2010-06-25,00:00:00.00,5.2571,6.80116,1.71
176,2010-06-26,00:00:00.00,6.78382e-308,6.46315,3.22
177,2010-06-27,00:00:00.00,3.43425,6.02626,3.6
178,2010-06-28,00:00:00.00,0.214746,5.66461,2.41
179,2010-06-29,00:00:00.00,26.2311,10.0472,30.5
180,2010-06-30,00:00:00.00,0.0558779,12.6852,26.9
181,2010-07-01,00:00:00.00,0,10.081,7.7
182,2010-07-02,00:00:00.00,0.0210243,8.87166,3.66
183,2010-07-03,00:00:00.00,0,7.96369,2.69
184,2010-07-04,00:00:00.00,0,7.26008,2.06
185,2010-07-05,00:00:00.00,0,6.70094,1.72
186,2010-07-06,00:00:00.00,0.00032698,6.24736,1.51
187,2010-07-07,00:00:00.00,1.7446e-308,5.87301,1.23
188,2010-07-08,00:00:00.00,0.294485,5.55952,1.13
189,2010-07-09,00:00:00.00,2.78881,5.29365,0.976
190,2010-07-10,00:00:00.00,20.1249,8.0676,1.17
191,2010-07-11,00:00:00.00,0.00216763,9.80055,1.2
192,2010-07-12,00:00:00.00,0.698873,8.21634,1.06
193,2010-07-13,00:00:00.00,15.5952,9.65748,1.01
194,2010-07-14,00:00:00.00,0.201323,10.6861,0.968
195,2010-07-15,00:00:00.00,8.20318e-308,9.29574,1.32
196,2010-07-16,00:00:00.00,0.179193,8.31612,1.24
197,2010-07-17,00:00:00.00,16.3514,9.95783,1.08
198,2010-07-18,00:00:00.00,0.120493,11.1025,1.41
199,2010-07-19,00:00:00.00,0.36263,9.59473,1.51
200,2010-07-20,00:00:00.00,6.71446,9.03829,1.53
201,2010-07-21,00:00:00.00,0.0322023,8.62084,1.34
202,2010-07-22,00:00:00.00,0.314596,7.82303,1.13
203,2010-07-23,00:00:00.00,0.0167638,7.19687,0.841
204,2010-07-24,00:00:00.00,19.8117,10.0933,2.34
205,2010-07-25,00:00:00.00,11.5655,13.6994,7.78
206,2010-07-26,00:00:00.00,0.3706,12.9727,5.22
207,2010-07-27,00:00:00.00,0.000231618,11.027,2.86
208,2010-07-28,00:00:00.00,0.0193937,9.6673,1.84
209,2010-07-29,00:00:00.00,8.97619,9.59256,1.42
210,2010-07-30,00:00:00.00,0.0530828,9.54016,1.19
211,2010-07-31,00:00:00.00,0,8.57151,0.837
212,2010-08-01,00:00:00.00,0.642449,7.82646,0.664
213,2010-08-02,00:00:00.00,0.676455,7.23794,0.615
214,2010-08-03,00:00:00.00,0.118477,6.76289,0.602
215,2010-08-04,00:00:00.00,0.0437184,6.37241,0.485
216,2010-08-05,00:00:00.00,0.0213781,6.04648,0.659
217,2010-08-06,00:00:00.00,0.13387,5.77078,0.71
218,2010-08-07,00:00:00.00,0.240797,5.53481,0.666
219,2010-08-08,00:00:00.00,0.115396,5.33073,0.504
220,2010-08-09,00:00:00.00,3.68993,5.15258,0.496
221,2010-08-10,00:00:00.00,5.95848,5.24167,0.45
222,2010-08-11,00:00:00.00,0.0993122,5.316,0.529
223,2010-08-12,00:00:00.00,0,5.13224,0.536
224,2010-08-13,00:00:00.00,1.8452e-308,4.97078,0.551
225,2010-08-14,00:00:00.00,2.1807e-308,4.8278,0.518
226,2010-08-15,00:00:00.00,0.0013624,4.70024,0.556
227,2010-08-16,00:00:00.00,0.124613,4.58569,0.862
228,2010-08-17,00:00:00.00,0.00172575,4.48217,0.596
229,2010-08-18,00:00:00.00,0,4.38805,0.434
230,2010-08-19,00:00:00.00,0.00313535,4.30201,0.365
231,2010-08-20,00:00:00.00,0.170084,4.22295,0.305
232,2010-08-21,00:00:00.00,0,4.14994,0.375
233,2010-08-22,00:00:00.00,2.95621,4.08221,0.34
234,2010-08-23,00:00:00.00,6.229,4.30892,0.356
235,2010-08-24,00:00:00.00,2.48455,4.50795,0.345
236,2010-08-25,00:00:00.00,0.226763,4.39336,0.355
237,2010-08-26,00:00:00.00,1.05164e-308,4.28998,0.322
238,2010-08-27,00:00:00.00,0.00241721,4.19619,0.313
239,2010-08-28,00:00:00.00,0.00121345,4.11063,0.33
240,2010-08-29,00:00:00.00,7.67184e-308,4.03218,0.206
241,2010-08-30,00:00:00.00,0,3.95991,0.202
242,2010-08-31,00:00:00.00,2.26711e-308,3.89301,0.185
243,2010-09-01,00:00:00.00,4.66008e-308,3.83084,0.152
244,2010-09-02,00:00:00.00,2.34092e-308,3.77281,0.162
245,2010-09-03,00:00:00.00,6.3206,3.9953,0.438
246,2010-09-04,00:00:00.00,13.2443,5.78362,1.01
247,2010-09-05,00:00:00.00,9.0459,7.82959,0.876
248,2010-09-06,00:00:00.00,5.30618,8.25607,1.1
249,2010-09-07,00:00:00.00,0.522665,7.79438,0.907
250,2010-09-08,00:00:00.00,0.505693,7.11432,0.626
251,2010-09-09,00:00:00.00,3.68105,6.72555,0.495
252,2010-09-10,00:00:00.00,2.17513,6.41123,0.445
253,2010-09-11,00:00:00.00,0.145691,5.99923,0.421
254,2010-09-12,00:00:00.00,0.567744,5.65667,0.403
255,2010-09-13,00:00:00.00,5.66082,5.76515,0.401
256,2010-09-14,00:00:00.00,1.11079,5.85575,0.417
257,2010-09-15,00:00:00.00,0.00528632,5.53507,0.393
258,2010-09-16,00:00:00.00,0.0222163,5.26355,0.367
259,2010-09-17,00:00:00.00,22.2641,9.08485,0.645
260,2010-09-18,00:00:00.00,0.0264505,11.4036,1.48
261,2010-09-19,00:00:00.00,0.321064,9.21644,1.04
262,2010-09-20,00:00:00.00,0.324149,8.23207,0.708
263,2010-09-21,00:00:00.00,0.0478469,7.4758,0.58
264,2010-09-22,00:00:00.00,0.00200467,6.87897,0.49
265,2010-09-23,00:00:00.00,2.23445,6.39758,0.427
266,2010-09-24,00:00:00.00,0.259208,6.00221,0.458
267,2010-09-25,00:00:00.00,0.191937,5.67246,0.468
268,2010-09-26,00:00:00.00,2.16448,5.40199,0.425
269,2010-09-27,00:00:00.00,0.125233,5.1708,0.422
270,2010-09-28,00:00:00.00,2.86023,5.06957,0.43
271,2010-09-29,00:00:00.00,36.5076,13.7987,1.62
272,2010-09-30,00:00:00.00,0.529239,18.7086,6.59
273,2010-10-01,00:00:00.00,0.0179416,13.604,4.44
274,2010-10-02,00:00:00.00,0.0568952,11.429,2.71
275,2010-10-03,00:00:00.00,7.71523,11.2087,1.76
276,2010-10-04,00:00:00.00,0.278511,11.0609,1.59
277,2010-10-05,00:00:00.00,0.282419,9.66805,1.37
278,2010-10-06,00:00:00.00,0.612385,8.64041,1.18
279,2010-10-07,00:00:00.00,8.09348,9.0114,1.38
280,2010-10-08,00:00:00.00,0.222411,9.29689,1.47
281,2010-10-09,00:00:00.00,0.0140813,8.36698,1.2
282,2010-10-10,00:00:00.00,0,7.64855,1.01
283,2010-10-11,00:00:00.00,0.00348695,7.07902,0.881
284,2010-10-12,00:00:00.00,2.6001,6.74446,0.802
285,2010-10-13,00:00:00.00,0.59574,6.46969,0.819
286,2010-10-14,00:00:00.00,0.399534,6.11395,0.703
287,2010-10-15,00:00:00.00,21.3147,10.3548,1.99
288,2010-10-16,00:00:00.00,0.034014,12.95,2.71
289,2010-10-17,00:00:00.00,0.000120656,10.4512,1.9
290,2010-10-18,00:00:00.00,4.6721e-308,9.24876,1.36
291,2010-10-19,00:00:00.00,0.0196675,8.34592,1.08
292,2010-10-20,00:00:00.00,0.0712508,7.64632,0.955
293,2010-10-21,00:00:00.00,0.00224049,7.09038,0.863
294,2010-10-22,00:00:00.00,12.118,8.76087,1.01
295,2010-10-23,00:00:00.00,1.91554,10.0831,1.47
296,2010-10-24,00:00:00.00,3.66865,9.47177,1.43
297,2010-10-25,00:00:00.00,6.48742,9.98413,2.02
298,2010-10-26,00:00:00.00,0.582037,9.91413,4.8
299,2010-10-27,00:00:00.00,10.3222,10.7116,4.8
300,2010-10-28,00:00:00.00,0.851888,11.2971,4.84
301,2010-10-29,00:00:00.00,0.786319,9.90071,4.85
302,2010-10-30,00:00:00.00,1.64913,8.9837,3.43
303,2010-10-31,00:00:00.00,0.0179736,8.28567,2.4
304,2010-11-01,00:00:00.00,0.0221564,7.62637,1.88
305,2010-11-02,00:00:00.00,0.00104938,7.09964,1.55
306,2010-11-03,00:00:00.00,0.000195514,6.67041,1.31
307,2010-11-04,00:00:00.00,1.38622,6.36637,1.16
308,2010-11-05,00:00:00.00,1.22211,6.15643,1.1
309,2010-11-06,00:00:00.00,0.812606,5.92596,1.08
310,2010-11-07,00:00:00.00,0.0172568,5.68275,1.03
311,2010-11-08,00:00:00.00,0.000940812,5.47277,0.905
312,2010-11-09,00:00:00.00,0.00111187,5.28972,0.825
313,2010-11-10,00:00:00.00,0,5.12874,0.744
314,2010-11-11,00:00:00.00,0,4.98603,0.676
315,2010-11-12,00:00:00.00,0,4.85855,0.659
316,2010-11-13,00:00:00.00,0,4.74391,0.657
317,2010-11-14,00:00:00.00,0.171038,4.64014,0.649
318,2010-11-15,00:00:00.00,1.72572,4.63824,0.636
319,2010-11-16,00:00:00.00,0.0197313,4.63366,0.601
320,2010-11-17,00:00:00.00,0.70771,4.53422,0.634
321,2010-11-18,00:00:00.00,17.3252,7.62494,1.44
322,2010-11-19,00:00:00.00,2.1212,9.75809,2.28
323,2010-11-20,00:00:00.00,0.121162,8.34552,2.25
324,2010-11-21,00:00:00.00,4.335e-308,7.61833,1.86
325,2010-11-22,00:00:00.00,0.00474617,7.04249,1.64
326,2010-11-23,00:00:00.00,8.64906,7.8322,1.51
327,2010-11-24,00:00:00.00,7.50481,9.73256,3.28
328,2010-11-25,00:00:00.00,0.0437139,9.96117,5.19
329,2010-11-26,00:00:00.00,0.726993,8.86695,4.13
330,2010-11-27,00:00:00.00,11.4946,8.64178,5.18
331,2010-11-28,00:00:00.00,2.93746,8.53751,5.85
332,2010-11-29,00:00:00.00,0.258184,7.85168,4.5
333,2010-11-30,00:00:00.00,0.0327821,7.24356,3.14
334,2010-12-01,00:00:00.00,14.7601,13.1334,4.71
335,2010-12-02,00:00:00.00,8.7395,19.1377,32.6
336,2010-12-03,00:00:00.00,2.22415,16.9484,24.1
337,2010-12-04,00:00:00.00,1.32609,13.6768,9.4
338,2010-12-05,00:00:00.00,0.794473,11.5936,5.89
339,2010-12-06,00:00:00.00,0.419477,10.1382,4.67
340,2010-12-07,00:00:00.00,10.9689,9.07079,3.76
341,2010-12-08,00:00:00.00,4.10667,8.25864,2.9
342,2010-12-09,00:00:00.00,6.47604,7.62269,2.38
343,2010-12-10,00:00:00.00,1.98509,7.11297,2.07
344,2010-12-11,00:00:00.00,2.36866,6.69647,2.2
345,2010-12-12,00:00:00.00,0.637544,6.35052,2
346,2010-12-13,00:00:00.00,15.9537,7.22952,1.82
347,2010-12-14,00:00:00.00,3.81474,7.93468,1.66
348,2010-12-15,00:00:00.00,1.00489,7.3454,1.58
349,2010-12-16,00:00:00.00,3.89707,6.87706,1.48
350,2010-12-17,00:00:00.00,2.55596,6.49168,1.53
351,2010-12-18,00:00:00.00,2.98811,6.16967,1.58
352,2010-12-19,00:00:00.00,0.740921,5.89699,1.54
353,2010-12-20,00:00:00.00,0.763965,5.66338,1.5
354,2010-12-21,00:00:00.00,0.591331,5.46111,1.44
355,2010-12-22,00:00:00.00,0.330929,5.28433,1.4
356,2010-12-23,00:00:00.00,0.0518824,5.12848,1.38
357,2010-12-24,00:00:00.00,0.0115208,4.99,1.33
358,2010-12-25,00:00:00.00,0.032525,4.86604,1.28
359,2010-12-26,00:00:00.00,0.000172782,4.75432,1.26
360,2010-12-27,00:00:00.00,0.0197431,4.65299,1.22
361,2010-12-28,00:00:00.00,0.0347976,4.56053,1.18
362,2010-12-29,00:00:00.00,0.204989,4.47569,1.24
363,2010-12-30,00:00:00.00,0.231132,4.39744,1.22
364,2010-12-31,00:00:00.00,0.294582,4.3249,1.21
365,2011-01-01,00:00:00.00,1.9336,4.36217,1.4
366,2011-01-02,00:00:00.00,12.2344,23.5379,32.5
367,2011-01-03,00:00:00.00,0.880435,33.4071,107
368,2011-01-04,00:00:00.00,1.06622,21.1051,25.8
369,2011-01-05,00:00:00.00,4.99564,16.2605,12.7
370,2011-01-06,00:00:00.00,7.91081,13.3392,8.11
371,2011-01-07,00:00:00.00,3.53937,11.4037,5.79
372,2011-01-08,00:00:00.00,3.61883,10.0374,4.58
373,2011-01-09,00:00:00.00,0.223538,9.02766,3.8
374,2011-01-10,00:00:00.00,0.410184,8.25482,3.32
375,2011-01-11,00:00:00.00,0.471877,7.64676,2.94
376,2011-01-12,00:00:00.00,1.04871,7.15747,2.59
377,2011-01-13,00:00:00.00,9.23256,6.75631,2.3
378,2011-01-14,00:00:00.00,0.957861,6.4221,2.07
379,2011-01-15,00:00:00.00,1.29442,6.13978,1.91
380,2011-01-16,00:00:00.00,9.85477,5.89837,1.77
381,2011-01-17,00:00:00.00,1.1397,5.68969,1.66
382,2011-01-18,00:00:00.00,0.0571036,5.5075,1.61
383,2011-01-19,00:00:00.00,0.948616,5.347,1.58
384,2011-01-20,00:00:00.00,0.695689,5.20445,1.51
385,2011-01-21,00:00:00.00,1.22923,5.07687,1.43
386,2011-01-22,00:00:00.00,8.67366,4.96187,1.37
387,2011-01-23,00:00:00.00,3.35379,4.85751,1.31
388,2011-01-24,00:00:00.00,1.00098,4.76224,1.25
389,2011-01-25,00:00:00.00,0.774792,4.67474,1.19
390,2011-01-26,00:00:00.00,1.06465,4.59394,1.15
391,2011-01-27,00:00:00.00,0.238275,4.51896,1.11
392,2011-01-28,00:00:00.00,2.01684,4.44903,1.08
393,2011-01-29,00:00:00.00,1.76425,4.38353,1.06
394,2011-01-30,00:00:00.00,2.6281,4.32192,1.04
395,2011-01-31,00:00:00.00,0.730245,4.26374,1.02
396,2011-02-01,00:00:00.00,0.0457778,4.2086,0.996
397,2011-02-02,00:00:00.00,0.673236,4.15617,0.977
398,2011-02-03,00:00:00.00,15.4725,4.10616,0.957
399,2011-02-04,00:00:00.00,0.351296,4.05832,0.926
400,2011-02-05,00:00:00.00,0.0103962,4.01243,0.915
401,2011-02-06,00:00:00.00,4.28547,3.96831,0.914
402,2011-02-07,00:00:00.00,4.69868,3.9258,0.925
403,2011-02-08,00:00:00.00,1.53204,3.88474,0.916
404,2011-02-09,00:00:00.00,0.213771,3.84502,0.897
405,2011-02-10,00:00:00.00,0.26813,3.80652,0.887
406,2011-02-11,00:00:00.00,0.125765,3.76915,0.878
407,2011-02-12,00:00:00.00,0.702503,3.73282,0.862
408,2011-02-13,00:00:00.00,6.84596,3.69746,0.847
409,2011-02-14,00:00:00.00,2.33238,3.66299,0.858
410,2011-02-15,00:00:00.00,0.0580995,3.62936,0.876
411,2011-02-16,00:00:00.00,4.8e-308,3.59651,0.873
412,2011-02-17,00:00:00.00,0.159318,3.56439,0.853
413,2011-02-18,00:00:00.00,0.195328,3.53297,0.971
414,2011-02-19,00:00:00.00,0.336374,10.946,16.9
415,2011-02-20,00:00:00.00,0.810913,15.1845,65.4
416,2011-02-21,00:00:00.00,0.0323629,11.1327,39.1
417,2011-02-22,00:00:00.00,9.6078,9.65548,21.4
418,2011-02-23,00:00:00.00,5.51608e-308,8.578,11.4
419,2011-02-24,00:00:00.00,0.00533982,7.75842,10.3
420,2011-02-25,00:00:00.00,2.90401,7.11676,8.49
421,2011-02-26,00:00:00.00,0.932613,6.60259,6.68
422,2011-02-27,00:00:00.00,3.82332,6.18259,4.67
423,2011-02-28,00:00:00.00,7.95437,5.90177,4.55
424,2011-03-01,00:00:00.00,17.1904,6.49297,6.96
425,2011-03-02,00:00:00.00,0.00204477,6.9124,15.2
426,2011-03-03,00:00:00.00,0.0910543,6.43523,11.8
427,2011-03-04,00:00:00.00,0.0137239,6.04307,7.39
428,2011-03-05,00:00:00.00,3.35151,5.72535,5.17
429,2011-03-06,00:00:00.00,27.8603,11.3284,26.2
430,2011-03-07,00:00:00.00,7.55933,14.6488,81.3
431,2011-03-08,00:00:00.00,0,11.356,34.2
432,2011-03-09,00:00:00.00,0,9.86032,18.5
433,2011-03-10,00:00:00.00,8.85248,9.16847,12.5
434,2011-03-11,00:00:00.00,11.0398,10.3145,27.9
435,2011-03-12,00:00:00.00,21.4231,13.917,89.3
436,2011-03-13,00:00:00.00,1.00151,14.7134,45.6
437,2011-03-14,00:00:00.00,0.921286,12.1436,21.7
438,2011-03-15,00:00:00.00,0.0273051,10.4767,13.8
439,2011-03-16,00:00:00.00,0.115437,9.27515,11.6
440,2011-03-17,00:00:00.00,6.56071,8.99974,22.5
441,2011-03-18,00:00:00.00,0.000558292,22.2795,63.1
442,2011-03-19,00:00:00.00,0.448664,72.8612,115
443,2011-03-20,00:00:00.00,0.07286,77.2124,70.4
444,2011-03-21,00:00:00.00,9.33789e-308,35.8809,24
445,2011-03-22,00:00:00.00,8.08543,26.8017,18.9
446,2011-03-23,00:00:00.00,0.275882,26.3599,24.4
