time,date,hour,precip [mm/day],02GA038 [m3/s],02GA038 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,4.56505,0.0127151,2.4
2,2010-01-03,00:00:00.00,0.961677,0.0429006,2
3,2010-01-04,00:00:00.00,0.79966,0.0603783,1.62
4,2010-01-05,00:00:00.00,0.340318,0.0602925,1.32
5,2010-01-06,00:00:00.00,1.30816,0.0601069,1.13
6,2010-01-07,00:00:00.00,0.23617,0.0599222,0.99
7,2010-01-08,00:00:00.00,0.256236,0.0597385,0.876
8,2010-01-09,00:00:00.00,2.79539,0.0595557,0.815
9,2010-01-10,00:00:00.00,0.0216272,0.0593739,0.75
10,2010-01-11,00:00:00.00,0.0162766,0.0591929,0.697
11,2010-01-12,00:00:00.00,3.81283,0.0590129,0.65
12,2010-01-13,00:00:00.00,0.663668,0.0588338,0.6
13,2010-01-14,00:00:00.00,0.00851812,0.0586556,0.56
14,2010-01-15,00:00:00.00,0.00314652,0.0584783,0.52
15,2010-01-16,00:00:00.00,0.222909,0.0583019,0.49
16,2010-01-17,00:00:00.00,0.065199,0.0581263,0.463
17,2010-01-18,00:00:00.00,0.0332441,0.0579517,0.443
18,2010-01-19,00:00:00.00,0.00329666,0.0577779,0.42
19,2010-01-20,00:00:00.00,1.33629,0.0576049,0.402
20,2010-01-21,00:00:00.00,0.267728,0.0574329,0.387
21,2010-01-22,00:00:00.00,0.00208233,0.0572616,0.376
22,2010-01-23,00:00:00.00,0.00262769,0.0570912,0.36
23,2010-01-24,00:00:00.00,0.0106812,0.0569217,0.356
24,2010-01-25,00:00:00.00,3.70454,0.0866035,0.38
25,2010-01-26,00:00:00.00,9.12245,0.282867,7.5
26,2010-01-27,00:00:00.00,3.50343,0.470772,10.7
27,2010-01-28,00:00:00.00,3.42214,0.283074,7.5
28,2010-01-29,00:00:00.00,6.13896,0.0689543,6
29,2010-01-30,00:00:00.00,1.93446,0.0638137,4.5
30,2010-01-31,00:00:00.00,0.00565714,0.0635844,3.5
31,2010-02-01,00:00:00.00,5.50321,0.0633776,2.6
32,2010-02-02,00:00:00.00,2.21631,0.0631719,1.9
33,2010-02-03,00:00:00.00,0.976413,0.0629673,1.5
34,2010-02-04,00:00:00.00,2.73207,0.0627638,1.2
35,2010-02-05,00:00:00.00,0.193102,0.0625615,1.02
36,2010-02-06,00:00:00.00,0.00651076,0.0623602,0.92
37,2010-02-07,00:00:00.00,0.000286352,0.06216,0.82
38,2010-02-08,00:00:00.00,0.00571034,0.0619609,0.73
39,2010-02-09,00:00:00.00,0.000353868,0.0617629,0.65
40,2010-02-10,00:00:00.00,0.478478,0.0615659,0.61
41,2010-02-11,00:00:00.00,4.08323,0.0613701,0.56
42,2010-02-12,00:00:00.00,0.144704,0.0611752,0.51
43,2010-02-13,00:00:00.00,0.452598,0.0609814,0.475
44,2010-02-14,00:00:00.00,0.46327,0.0607887,0.437
45,2010-02-15,00:00:00.00,0.345287,0.060597,0.41
46,2010-02-16,00:00:00.00,1.327,0.0604063,0.377
47,2010-02-17,00:00:00.00,0.810107,0.0602166,0.352
48,2010-02-18,00:00:00.00,0.138925,0.0600279,0.338
49,2010-02-19,00:00:00.00,0.0873218,0.0598403,0.328
50,2010-02-20,00:00:00.00,0.12571,0.0596536,0.318
51,2010-02-21,00:00:00.00,0.00511902,0.059468,0.308
52,2010-02-22,00:00:00.00,0.000762796,0.0592833,0.3
53,2010-02-23,00:00:00.00,11.1733,0.0590997,0.294
54,2010-02-24,00:00:00.00,2.96663,0.058917,0.287
55,2010-02-25,00:00:00.00,0.215014,0.0587353,0.28
56,2010-02-26,00:00:00.00,1.81054,0.0585545,0.277
57,2010-02-27,00:00:00.00,6.73178,0.0583747,0.272
58,2010-02-28,00:00:00.00,1.98066,0.0581959,0.267
59,2010-03-01,00:00:00.00,0.0942724,0.058018,0.263
60,2010-03-02,00:00:00.00,0.00233201,0.0578411,0.28
61,2010-03-03,00:00:00.00,0.00101423,0.0576651,0.3
62,2010-03-04,00:00:00.00,0.00166441,0.0574901,0.328
63,2010-03-05,00:00:00.00,0.000284082,0.0573159,0.365
64,2010-03-06,00:00:00.00,0.000335734,0.0571426,0.42
65,2010-03-07,00:00:00.00,0,0.0569703,0.48
66,2010-03-08,00:00:00.00,0,0.0567987,0.56
67,2010-03-09,00:00:00.00,0,0.056628,0.7
68,2010-03-10,00:00:00.00,0,0.056458,0.95
69,2010-03-11,00:00:00.00,0.000647165,0.0562887,2
70,2010-03-12,00:00:00.00,0.0983424,0.0561206,15
71,2010-03-13,00:00:00.00,0.589188,0.0559536,34
72,2010-03-14,00:00:00.00,6.89536,0.159175,69
73,2010-03-15,00:00:00.00,7.96348,0.42333,60
74,2010-03-16,00:00:00.00,0.0987355,0.490625,31.3
75,2010-03-17,00:00:00.00,0.000363956,0.231844,17.9
76,2010-03-18,00:00:00.00,0.000414454,0.0655621,12.8
77,2010-03-19,00:00:00.00,0,0.0644007,8.5
78,2010-03-20,00:00:00.00,0,1.75561,6
79,2010-03-21,00:00:00.00,0.213298,4.14641,4.5
80,2010-03-22,00:00:00.00,0.439933,2.58727,3.6
81,2010-03-23,00:00:00.00,3.1525,0.30116,3.01
82,2010-03-24,00:00:00.00,0.226659,0.289735,2.8
83,2010-03-25,00:00:00.00,0.0842176,0.229691,2.58
84,2010-03-26,00:00:00.00,0.0015728,0.152816,2.15
85,2010-03-27,00:00:00.00,0.000598819,0.151705,1.74
86,2010-03-28,00:00:00.00,0.00155157,0.151049,1.39
87,2010-03-29,00:00:00.00,4.32013,0.206721,1.5
88,2010-03-30,00:00:00.00,4.55767,0.36625,1.8
89,2010-03-31,00:00:00.00,3.4297e-05,0.425268,1.68
90,2010-04-01,00:00:00.00,2.75485e-05,0.269448,1.45
91,2010-04-02,00:00:00.00,0.00698056,0.157216,1.3
92,2010-04-03,00:00:00.00,0.00139611,0.156006,1.12
93,2010-04-04,00:00:00.00,0.14604,0.155453,0.973
94,2010-04-05,00:00:00.00,0.276281,0.154919,0.881
95,2010-04-06,00:00:00.00,0.0701131,0.154403,0.778
96,2010-04-07,00:00:00.00,13.8671,0.488263,2.1
97,2010-04-08,00:00:00.00,2.04628,0.949863,2.8
98,2010-04-09,00:00:00.00,21.1933,1.20985,17.1
99,2010-04-10,00:00:00.00,0.282291,1.56138,14.4
100,2010-04-11,00:00:00.00,0.036866,1.00507,7.5
101,2010-04-12,00:00:00.00,0.737344,0.225165,4.4
102,2010-04-13,00:00:00.00,0,0.220555,2.8
103,2010-04-14,00:00:00.00,0,0.220458,2
104,2010-04-15,00:00:00.00,6.8196e-05,0.220401,1.67
105,2010-04-16,00:00:00.00,8.05952e-05,0.220385,1.45
106,2010-04-17,00:00:00.00,0.116659,0.220408,1.27
107,2010-04-18,00:00:00.00,0.913555,0.220471,1.13
108,2010-04-19,00:00:00.00,0.628937,0.220571,0.984
109,2010-04-20,00:00:00.00,0,0.22071,0.828
110,2010-04-21,00:00:00.00,0,0.220885,0.697
111,2010-04-22,00:00:00.00,0,0.221098,0.613
112,2010-04-23,00:00:00.00,0.000447924,0.221347,0.565
113,2010-04-24,00:00:00.00,0,0.221631,0.536
