time,date,hour,precip [mm/day],02GG002 [m3/s],02GG002 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,2.32008,0.0273413,3
2,2010-01-03,00:00:00.00,13.4691,0.0922495,2.84
3,2010-01-04,00:00:00.00,13.3097,0.129832,2.7
4,2010-01-05,00:00:00.00,6.52044,0.129647,2.58
5,2010-01-06,00:00:00.00,5.95798,0.129248,2.51
6,2010-01-07,00:00:00.00,0.923932,0.128851,2.44
7,2010-01-08,00:00:00.00,1.35954,0.128456,2.39
8,2010-01-09,00:00:00.00,7.68987,0.128063,2.33
9,2010-01-10,00:00:00.00,0.365041,0.127672,2.28
10,2010-01-11,00:00:00.00,0.0953735,0.127283,2.24
11,2010-01-12,00:00:00.00,1.87957,0.126896,2.21
12,2010-01-13,00:00:00.00,0.426006,0.126511,2.18
13,2010-01-14,00:00:00.00,0.000191515,0.126128,2.15
14,2010-01-15,00:00:00.00,7.5317e-06,0.125746,2.13
15,2010-01-16,00:00:00.00,0.0638272,0.125367,2.11
16,2010-01-17,00:00:00.00,0.00348423,0.124989,2.1
17,2010-01-18,00:00:00.00,0.00384672,0.124614,2.09
18,2010-01-19,00:00:00.00,0.00966594,0.12424,2.08
19,2010-01-20,00:00:00.00,0.685533,0.123868,2.07
20,2010-01-21,00:00:00.00,0.748352,0.123498,2.06
21,2010-01-22,00:00:00.00,0.000123386,0.12313,1.97
22,2010-01-23,00:00:00.00,0.00373247,0.122763,1.99
23,2010-01-24,00:00:00.00,0.000631243,0.122399,2.08
24,2010-01-25,00:00:00.00,6.01072,0.29208,2.2
25,2010-01-26,00:00:00.00,10.0998,0.868604,25.5
26,2010-01-27,00:00:00.00,2.38084,1.1756,47.5
27,2010-01-28,00:00:00.00,0.926775,0.612018,30
28,2010-01-29,00:00:00.00,1.86096,0.145065,20
29,2010-01-30,00:00:00.00,0.342974,0.141789,14
30,2010-01-31,00:00:00.00,0.221128,0.141313,9.5
31,2010-02-01,00:00:00.00,0.500635,0.140841,7
32,2010-02-02,00:00:00.00,0.251594,0.140372,5.2
33,2010-02-03,00:00:00.00,1.15108,0.139905,4
34,2010-02-04,00:00:00.00,1.44407,0.139441,3.4
35,2010-02-05,00:00:00.00,0.00666718,0.138979,3.05
36,2010-02-06,00:00:00.00,0.000143933,0.13852,2.82
37,2010-02-07,00:00:00.00,0.000118245,0.138064,2.64
38,2010-02-08,00:00:00.00,9.31192e-05,0.13761,2.52
39,2010-02-09,00:00:00.00,0.0105005,0.137159,2.4
40,2010-02-10,00:00:00.00,2.70724,0.13671,2.3
41,2010-02-11,00:00:00.00,10.1519,0.136264,2.22
42,2010-02-12,00:00:00.00,1.00033,0.13582,2.16
43,2010-02-13,00:00:00.00,0.0152418,0.135378,2.1
44,2010-02-14,00:00:00.00,0.0330862,0.134939,2.05
45,2010-02-15,00:00:00.00,0.478891,0.134503,2
46,2010-02-16,00:00:00.00,0.429042,0.134069,1.96
47,2010-02-17,00:00:00.00,1.8111,0.133637,1.92
48,2010-02-18,00:00:00.00,1.4319,0.133208,1.89
49,2010-02-19,00:00:00.00,0.033766,0.132781,1.87
50,2010-02-20,00:00:00.00,0.00164705,0.132357,1.85
51,2010-02-21,00:00:00.00,0.000164275,0.131935,1.83
52,2010-02-22,00:00:00.00,0.000322001,0.131515,1.81
