time,date,hour,precip [mm/day],02GA018 [m3/s],02GA018 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,3.84926,0.0212178,4.09
2,2010-01-03,00:00:00.00,0.63295,0.0715888,2.4
3,2010-01-04,00:00:00.00,0.395528,0.100754,2.8
4,2010-01-05,00:00:00.00,0.17789,0.100611,3.3
5,2010-01-06,00:00:00.00,1.44921,0.100301,2.5
6,2010-01-07,00:00:00.00,0.275696,0.0999929,1.97
7,2010-01-08,00:00:00.00,0.271647,0.0996863,1.82
8,2010-01-09,00:00:00.00,4.23004,0.0993813,1.74
9,2010-01-10,00:00:00.00,0.0165472,0.0990779,1.68
10,2010-01-11,00:00:00.00,0.0186162,0.098776,1.61
11,2010-01-12,00:00:00.00,2.89596,0.0984756,1.8
12,2010-01-13,00:00:00.00,0.518273,0.0981767,1.78
13,2010-01-14,00:00:00.00,0.0027746,0.0978793,1.7
14,2010-01-15,00:00:00.00,0.00135369,0.0975834,1.61
15,2010-01-16,00:00:00.00,0.158832,0.097289,1.49
16,2010-01-17,00:00:00.00,0.0380131,0.0969961,1.49
17,2010-01-18,00:00:00.00,0.0203715,0.0967046,1.47
18,2010-01-19,00:00:00.00,0.00284587,0.0964146,1.48
19,2010-01-20,00:00:00.00,0.688211,0.096126,1.41
20,2010-01-21,00:00:00.00,0.174852,0.0958389,1.36
21,2010-01-22,00:00:00.00,0.00131258,0.0955531,1.26
22,2010-01-23,00:00:00.00,0.00310198,0.0952688,1.33
23,2010-01-24,00:00:00.00,0.0122845,0.0949859,1.3
24,2010-01-25,00:00:00.00,4.40436,0.160292,1.35
25,2010-01-26,00:00:00.00,9.7671,0.541004,3.99
26,2010-01-27,00:00:00.00,2.23745,0.878071,15.8
27,2010-01-28,00:00:00.00,2.661,0.506605,11.4
28,2010-01-29,00:00:00.00,4.28097,0.110892,5.83
29,2010-01-30,00:00:00.00,1.21691,0.108267,4.61
30,2010-01-31,00:00:00.00,0.00492726,0.107909,4.48
31,2010-02-01,00:00:00.00,2.79116,0.107553,4.19
32,2010-02-02,00:00:00.00,1.82172,0.1072,3.64
33,2010-02-03,00:00:00.00,1.09584,0.106848,2.9
34,2010-02-04,00:00:00.00,2.85486,0.106498,2.38
35,2010-02-05,00:00:00.00,0.199639,0.10615,2.05
36,2010-02-06,00:00:00.00,0.00448507,0.105804,1.89
37,2010-02-07,00:00:00.00,0.000864452,0.105459,1.71
38,2010-02-08,00:00:00.00,0.00236984,0.105117,1.52
39,2010-02-09,00:00:00.00,0,0.104777,1.41
40,2010-02-10,00:00:00.00,0.489473,0.104438,1.33
41,2010-02-11,00:00:00.00,3.84171,0.104102,1.36
42,2010-02-12,00:00:00.00,0.152628,0.103767,1.32
43,2010-02-13,00:00:00.00,0.306569,0.103434,1.28
44,2010-02-14,00:00:00.00,0.338722,0.103102,1.22
45,2010-02-15,00:00:00.00,0.325552,0.102773,1.18
46,2010-02-16,00:00:00.00,0.834338,0.102446,1.15
47,2010-02-17,00:00:00.00,0.793852,0.10212,1.19
48,2010-02-18,00:00:00.00,0.0891843,0.101796,1.26
49,2010-02-19,00:00:00.00,0.0265711,0.101473,1.21
50,2010-02-20,00:00:00.00,0.04069,0.101153,1.19
51,2010-02-21,00:00:00.00,0.00342129,0.100834,1.16
52,2010-02-22,00:00:00.00,0.000269575,0.100517,1.18
53,2010-02-23,00:00:00.00,11.9226,0.100202,1.23
54,2010-02-24,00:00:00.00,3.58782,0.102587,1.21
55,2010-02-25,00:00:00.00,0.091066,0.106002,1.18
56,2010-02-26,00:00:00.00,1.89973,0.10307,1.15
57,2010-02-27,00:00:00.00,7.18604,0.0990918,1.12
58,2010-02-28,00:00:00.00,1.28724,0.0987632,1.09
59,2010-03-01,00:00:00.00,0.0604757,0.0984574,1.21
60,2010-03-02,00:00:00.00,0.0031916,0.0981533,1.4
61,2010-03-03,00:00:00.00,0.000245919,0.0978507,1.43
