time,date,hour,precip [mm/day],02GA047 [m3/s],02GA047 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,2.47484,0.0129412,5.6
2,2010-01-03,00:00:00.00,0.350545,0.0376763,5.4
3,2010-01-04,00:00:00.00,0.621501,0.0493913,5.2
4,2010-01-05,00:00:00.00,0.145411,0.049234,5.05
5,2010-01-06,00:00:00.00,1.44854,0.0490774,5
6,2010-01-07,00:00:00.00,0.597587,0.0489216,4.95
7,2010-01-08,00:00:00.00,0.292371,0.0487666,4.9
8,2010-01-09,00:00:00.00,2.20898,0.0486123,4.81
9,2010-01-10,00:00:00.00,0.00871189,0.0484589,4.4
10,2010-01-11,00:00:00.00,0.00861958,0.0483061,3.9
11,2010-01-12,00:00:00.00,2.33534,0.0481542,4.4
12,2010-01-13,00:00:00.00,1.04179,0.048003,4.39
13,2010-01-14,00:00:00.00,0.0142882,0.0478525,4.38
14,2010-01-15,00:00:00.00,0.00381764,0.0477028,4.39
15,2010-01-16,00:00:00.00,0.294348,0.0475538,4.38
16,2010-01-17,00:00:00.00,0.050503,0.0474055,4.37
17,2010-01-18,00:00:00.00,0.00759747,0.047258,4.39
18,2010-01-19,00:00:00.00,0.0118545,0.0471112,4.4
19,2010-01-20,00:00:00.00,1.10645,0.0469651,4.39
20,2010-01-21,00:00:00.00,0.156961,0.0468196,4.2
21,2010-01-22,00:00:00.00,0.00908376,0.0466749,4.1
22,2010-01-23,00:00:00.00,0.0219839,0.0465308,4.2
23,2010-01-24,00:00:00.00,0.00859486,0.0463875,4.3
24,2010-01-25,00:00:00.00,4.01718,0.128668,4.5
25,2010-01-26,00:00:00.00,10.8432,0.82166,7.56
26,2010-01-27,00:00:00.00,1.48718,1.30068,6.86
27,2010-01-28,00:00:00.00,1.54317,0.619536,5.6
28,2010-01-29,00:00:00.00,1.65982,0.0698707,5.2
29,2010-01-30,00:00:00.00,2.17861,0.0695705,4.9
30,2010-01-31,00:00:00.00,0.00905489,0.0692722,4.7
31,2010-02-01,00:00:00.00,1.85499,0.0689759,4.6
32,2010-02-02,00:00:00.00,1.74492,0.0686815,4.55
33,2010-02-03,00:00:00.00,0.604291,0.0683891,4.5
34,2010-02-04,00:00:00.00,1.49016,0.0680986,4.45
35,2010-02-05,00:00:00.00,0.0464923,0.0678099,4.4
36,2010-02-06,00:00:00.00,0.00208544,0.0675231,4.39
37,2010-02-07,00:00:00.00,0.000476682,0.0672381,4.35
38,2010-02-08,00:00:00.00,0.00189642,0.0669549,4.32
39,2010-02-09,00:00:00.00,0.00221242,0.0666736,4.3
40,2010-02-10,00:00:00.00,0.409285,0.0663941,4.25
41,2010-02-11,00:00:00.00,5.41136,0.0661164,4.21
42,2010-02-12,00:00:00.00,0.237064,0.0658404,4.2
43,2010-02-13,00:00:00.00,0.240526,0.0655662,4.19
44,2010-02-14,00:00:00.00,0.182343,0.0652936,4.18
45,2010-02-15,00:00:00.00,0.483961,0.0650228,4.16
46,2010-02-16,00:00:00.00,1.13951,0.0647537,4.14
47,2010-02-17,00:00:00.00,0.241932,0.0644861,4.13
48,2010-02-18,00:00:00.00,0.126962,0.0642203,4.13
49,2010-02-19,00:00:00.00,0.0184927,0.0639561,4.15
50,2010-02-20,00:00:00.00,0.0121541,0.0636935,4.12
51,2010-02-21,00:00:00.00,0.000908141,0.0634326,3.54
52,2010-02-22,00:00:00.00,0.000239054,0.0631731,3.62
53,2010-02-23,00:00:00.00,9.09996,0.062915,3.73
54,2010-02-24,00:00:00.00,4.06428,0.0883856,3.72
55,2010-02-25,00:00:00.00,0.464284,0.111437,3.73
56,2010-02-26,00:00:00.00,2.75138,0.0859087,3.73
57,2010-02-27,00:00:00.00,9.09425,0.153316,3.71
58,2010-02-28,00:00:00.00,2.29883,0.235849,3.81
59,2010-03-01,00:00:00.00,0.301522,0.14739,3.94
60,2010-03-02,00:00:00.00,0.0332393,0.0659457,4.02
61,2010-03-03,00:00:00.00,9.60442e-05,0.0649689,3.98
62,2010-03-04,00:00:00.00,0.000237141,0.0646942,3.97
