time,date,hour,precip [mm/day],02GD004 [m3/s],02GD004 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,4.07282,0.011935,1.95
2,2010-01-03,00:00:00.00,1.40613,0.0402687,1.86
3,2010-01-04,00:00:00.00,0.994161,0.0566741,1.79
4,2010-01-05,00:00:00.00,0.279864,0.0565936,1.72
5,2010-01-06,00:00:00.00,2.29324,0.0564193,1.66
6,2010-01-07,00:00:00.00,0.379889,0.056246,1.6
7,2010-01-08,00:00:00.00,1.308,0.0560736,1.55
8,2010-01-09,00:00:00.00,7.39506,0.055902,1.5
9,2010-01-10,00:00:00.00,0.0226042,0.0557313,1.46
10,2010-01-11,00:00:00.00,0.0186932,0.0555615,1.42
11,2010-01-12,00:00:00.00,0.95015,0.0553925,1.38
12,2010-01-13,00:00:00.00,0.243192,0.0552244,1.35
13,2010-01-14,00:00:00.00,0.0129096,0.0550571,1.32
14,2010-01-15,00:00:00.00,5.73e-308,0.0548907,1.29
15,2010-01-16,00:00:00.00,0.219637,0.0547251,1.26
16,2010-01-17,00:00:00.00,0.0190339,0.0545603,1.24
17,2010-01-18,00:00:00.00,0.00832846,0.0543963,1.22
18,2010-01-19,00:00:00.00,0.00757535,0.0542332,1.2
19,2010-01-20,00:00:00.00,0.298488,0.0540708,1.18
20,2010-01-21,00:00:00.00,0.339253,0.0539093,1.17
21,2010-01-22,00:00:00.00,0,0.0537486,1.16
22,2010-01-23,00:00:00.00,0.000270245,0.0535886,1.15
23,2010-01-24,00:00:00.00,0.00232465,0.0534294,1.14
24,2010-01-25,00:00:00.00,5.72123,0.113944,1.28
25,2010-01-26,00:00:00.00,9.26144,0.3512,8.97
26,2010-01-27,00:00:00.00,2.00547,0.504277,9.83
27,2010-01-28,00:00:00.00,2.61055,0.272447,4.45
28,2010-01-29,00:00:00.00,3.07733,0.0629013,2.96
29,2010-01-30,00:00:00.00,2.62873,0.0614972,2.57
30,2010-01-31,00:00:00.00,0.0340679,0.0612923,2.37
31,2010-02-01,00:00:00.00,1.4127,0.0610886,2.2
32,2010-02-02,00:00:00.00,1.84837,0.0608861,2.04
33,2010-02-03,00:00:00.00,1.28575,0.0606847,1.93
34,2010-02-04,00:00:00.00,2.60896,0.0604844,1.83
35,2010-02-05,00:00:00.00,0.185361,0.0602852,1.75
36,2010-02-06,00:00:00.00,0.00232549,0.0600871,1.68
37,2010-02-07,00:00:00.00,0.000713777,0.0598901,1.61
38,2010-02-08,00:00:00.00,0.000847877,0.0596942,1.56
39,2010-02-09,00:00:00.00,0,0.0594994,1.51
40,2010-02-10,00:00:00.00,0.800092,0.0593057,1.47
41,2010-02-11,00:00:00.00,5.22703,0.0591131,1.43
42,2010-02-12,00:00:00.00,0.165117,0.0589215,1.39
43,2010-02-13,00:00:00.00,0.171454,0.058731,1.36
44,2010-02-14,00:00:00.00,0.656645,0.0585415,1.33
45,2010-02-15,00:00:00.00,0.951045,0.0583531,1.3
46,2010-02-16,00:00:00.00,0.704835,0.0581657,1.27
47,2010-02-17,00:00:00.00,0.880213,0.0579793,1.24
48,2010-02-18,00:00:00.00,0.301781,0.057794,1.22
49,2010-02-19,00:00:00.00,0.0469455,0.0576096,1.2
50,2010-02-20,00:00:00.00,0.0169278,0.0574263,1.18
51,2010-02-21,00:00:00.00,0.00669221,0.057244,1.16
52,2010-02-22,00:00:00.00,0.000218144,0.0570627,1.14
53,2010-02-23,00:00:00.00,13.8885,0.0743429,1.12
54,2010-02-24,00:00:00.00,2.97719,0.098401,1.11
55,2010-02-25,00:00:00.00,0.0596828,0.081444,1.1
56,2010-02-26,00:00:00.00,0.600409,0.0574006,1.09
57,2010-02-27,00:00:00.00,5.02752,0.0569108,1.08
58,2010-02-28,00:00:00.00,1.75212,0.0567303,1.07
59,2010-03-01,00:00:00.00,0.199273,0.0565518,1.06
60,2010-03-02,00:00:00.00,0.00164367,0.0563743,1.06
61,2010-03-03,00:00:00.00,5.6361e-308,0.0561978,1.1
62,2010-03-04,00:00:00.00,0.00249273,0.0560222,1.18
63,2010-03-05,00:00:00.00,5.55042e-308,0.0558476,1.3
64,2010-03-06,00:00:00.00,3.82787e-308,0.0556738,1.42
65,2010-03-07,00:00:00.00,0,0.0555011,1.53
66,2010-03-08,00:00:00.00,0,0.0553292,1.82
67,2010-03-09,00:00:00.00,0,0.0551582,2.54
68,2010-03-10,00:00:00.00,0.00895445,0.0549881,4.82
69,2010-03-11,00:00:00.00,0.0230407,0.0548191,8.19
70,2010-03-12,00:00:00.00,0.0137632,0.0546512,12.5
71,2010-03-13,00:00:00.00,0.130396,0.0544842,15.7
72,2010-03-14,00:00:00.00,14.5091,0.296337,16.7
73,2010-03-15,00:00:00.00,11.016,0.788241,31.6
74,2010-03-16,00:00:00.00,0.228835,0.77118,27.9
75,2010-03-17,00:00:00.00,0.000602911,0.288864,15.1
76,2010-03-18,00:00:00.00,9.262e-308,0.0722173,9.95
77,2010-03-19,00:00:00.00,0,1.69428,7.64
78,2010-03-20,00:00:00.00,8.122e-308,3.93853,6.03
79,2010-03-21,00:00:00.00,0.184632,2.36994,4.79
80,2010-03-22,00:00:00.00,0.286954,0.167543,3.9
81,2010-03-23,00:00:00.00,4.32701,0.223743,3.5
82,2010-03-24,00:00:00.00,0.300415,0.319175,3.59
83,2010-03-25,00:00:00.00,0.0132298,0.251691,3.15
84,2010-03-26,00:00:00.00,0.0345318,0.1571,2.76
85,2010-03-27,00:00:00.00,0.0019662,0.155924,2.39
86,2010-03-28,00:00:00.00,0.000519944,0.155309,2.02
87,2010-03-29,00:00:00.00,6.11084,0.266832,2.01
