Time,SimQ_02GA010 [m3/s],ObsQ_02GA010 [m3/s],SimQ_02GA018 [m3/s],ObsQ_02GA018 [m3/s],SimQ_02GA038 [m3/s],ObsQ_02GA038 [m3/s],SimQ_02GA047 [m3/s],ObsQ_02GA047 [m3/s],SimQ_02GC010 [m3/s],ObsQ_02GC010 [m3/s],SimQ_02GD004 [m3/s],ObsQ_02GD004 [m3/s],SimQ_02GG002 [m3/s],ObsQ_02GG002 [m3/s],SimQ_02GG006 [m3/s],ObsQ_02GG006 [m3/s],SimQ_04159492 [m3/s],ObsQ_04159492 [m3/s],SimQ_04161820 [m3/s],ObsQ_04161820 [m3/s],SimQ_04164000 [m3/s],ObsQ_04164000 [m3/s],SimQ_04166100 [m3/s],ObsQ_04166100 [m3/s],SimQ_04196800 [m3/s],ObsQ_04196800 [m3/s],SimQ_04197100 [m3/s],ObsQ_04197100 [m3/s],SimQ_04207200 [m3/s],ObsQ_04207200 [m3/s],SimQ_02GB001 [m3/s],ObsQ_02GB001 [m3/s],SimQ_02GC007 [m3/s],ObsQ_02GC007 [m3/s],SimQ_02GC026 [m3/s],ObsQ_02GC026 [m3/s],SimQ_04166500 [m3/s],ObsQ_04166500 [m3/s],SimQ_04174500 [m3/s],ObsQ_04174500 [m3/s],SimQ_04176500 [m3/s],ObsQ_04176500 [m3/s],SimQ_04193500 [m3/s],ObsQ_04193500 [m3/s],SimQ_04195820 [m3/s],ObsQ_04195820 [m3/s],SimQ_04198000 [m3/s],ObsQ_04198000 [m3/s],SimQ_04199000 [m3/s],ObsQ_04199000 [m3/s],SimQ_04199500 [m3/s],ObsQ_04199500 [m3/s],SimQ_04200500 [m3/s],ObsQ_04200500 [m3/s],SimQ_04209000 [m3/s],ObsQ_04209000 [m3/s],SimQ_04212100 [m3/s],ObsQ_04212100 [m3/s],SimQ_04213500 [m3/s],ObsQ_04213500 [m3/s],SimQ_04214500 [m3/s],ObsQ_04214500 [m3/s],SimQ_04215000 [m3/s],ObsQ_04215000 [m3/s],SimQ_04215500 [m3/s],ObsQ_04215500 [m3/s],SimQ_02GB007 [m3/s],ObsQ_02GB007 [m3/s],SimQ_02GC002 [m3/s],ObsQ_02GC002 [m3/s],SimQ_02GC018 [m3/s],ObsQ_02GC018 [m3/s],SimQ_02GE007 [m3/s],ObsQ_02GE007 [m3/s],SimQ_02GG003 [m3/s],ObsQ_02GG003 [m3/s],SimQ_02GG009 [m3/s],ObsQ_02GG009 [m3/s],SimQ_02GG013 [m3/s],ObsQ_02GG013 [m3/s],SimQ_04159900 [m3/s],ObsQ_04159900 [m3/s],SimQ_04160600 [m3/s],ObsQ_04160600 [m3/s],SimQ_04165500 [m3/s],ObsQ_04165500 [m3/s],SimQ_04177000 [m3/s],ObsQ_04177000 [m3/s],SimQ_04208504 [m3/s],ObsQ_04208504 [m3/s],SimQ_04213000 [m3/s],ObsQ_04213000 [m3/s]
2010-01-01 00:00:00,12.2103,,6.92253,,4.46582,,9.1028,,4.94032,,3.81351,,8.41325,,2.9041900000000003,,7.947660000000001,,6.5559199999999995,,12.1996,,6.3091800000000005,,8.74077,,4.26778,,4.56065,,67.9085,,9.02335,,9.30073,,8.91442,,13.9784,,24.9767,,174.467,,19.1089,,43.9681,,12.1263,,9.00201,,13.3391,,13.0865,,32.6472,,22.6815,,6.50436,,4.2922,,7.63576,,3.78379,,4.23043,,4.70158,,2.65905,,12.8767,,5.57986,,3.4985699999999995,,3.03139,,2.74602,,19.2142,,2.34785,,44.2628,,9.86585,
2010-01-02 00:00:00,9.87463,16.0,4.96661,4.09,2.57315,2.4,6.71015,5.6,3.14604,2.02,2.3822799999999997,1.95,5.78092,3.0,1.4534799999999999,0.7,6.21633,2.86,4.88934,9.3446,8.80918,11.9214,5.1495,1.5829,6.2184,1.5291,2.8393,0.8212,2.86849,2.1634,58.4694,38.0,6.684760000000001,6.3,6.61632,4.5,6.85697,2.7581,11.6778,18.3776,20.3209,24.4374,167.745,130.82399999999998,14.7415,2.2965,35.7394,9.6277,7.748989999999999,5.805,6.4419900000000005,3.1149,9.51735,4.7289,8.10667,6.4846,25.9527,20.7846,16.0203,21.6907,4.594069999999999,,2.40124,4.1343,4.9791300000000005,7.419,2.45165,2.5,2.2216099999999996,1.05,2.37205,0.983,1.6093,0.32899999999999996,9.72064,5.6,3.69527,3.85,2.2149099999999997,0.42,2.19614,1.2148,2.01783,1.7273,13.8102,19.0289,1.51938,1.6424,34.4358,25.201999999999998,7.31652,6.3996
2010-01-03 00:00:00,5.56086,17.0,1.74911,2.4,0.340748,2.0,2.84868,5.4,0.679589,1.95,0.47962200000000005,1.86,1.78732,2.84,0.00910487,0.6,3.18618,2.0218,2.0413200000000002,8.5517,3.40774,10.0242,3.26842,1.3196,2.2288200000000002,1.8123,0.706691,0.6796,0.591229,1.8548,36.8074,27.0,2.79173,5.78,2.34465,4.2,3.6443199999999996,2.2682,7.2542800000000005,17.0751,10.9422,21.9456,139.32299999999998,107.604,6.65785,3.1149,18.7484,8.7782,1.7410599999999998,4.1059,2.3559,2.8317,3.29207,5.0969999999999995,1.56349,4.644,13.3285,16.0557,4.74948,20.4164,1.5659299999999998,,0.255379,3.3131,1.16409,5.6917,0.563463,2.2,0.106472,1.0,0.021562,0.85,0.282779,0.2,4.3947400000000005,4.8,1.1406,3.0,0.478249,0.3,0.8593059999999999,0.8778,0.773582,1.4187,5.09762,16.1123,0.346368,1.2912,16.3372,22.7101,3.1715299999999997,5.9749
2010-01-04 00:00:00,2.5385400000000002,16.0,0.253277,2.8,0.0328509,1.62,0.755822,5.2,0.0330278,1.88,0.0263498,1.79,0.272127,2.7,0.028883799999999998,0.54,1.3881,1.7811,0.568199,7.7305,0.965586,9.8259,2.11555,1.2573,0.487242,1.6424,0.024253999999999998,0.7929,0.038914300000000006,2.0077,18.2623,22.0,0.646227,5.2,0.571976,4.05,2.31827,2.1379,4.04546,16.0273,5.1214,19.8784,88.9935,97.6931,2.02068,2.2653,7.27122,7.9287,0.206136,3.9644,0.49071800000000004,2.8034,0.580048,6.6545,0.054951,4.4741,4.64754,14.3283,0.158769,21.0961,0.257189,,0.0245978,2.7977,0.0319481,5.3802,0.032411,1.85,0.035209,0.9470000000000001,0.0420603,0.8029999999999999,0.0223829,0.131,1.62876,4.2,0.297962,2.2,0.0323907,0.22,0.249153,0.807,0.212796,1.3762,1.24766,15.4893,0.0190732,1.0194,6.17885,18.859,0.8636469999999999,5.4935
2010-01-05 00:00:00,0.8255020000000001,18.0,0.0773833,3.3,0.0732752,1.32,0.12833599999999998,5.05,0.0795839,1.81,0.0605769,1.72,0.123341,2.58,0.0557256,0.48,0.7230989999999999,1.7811,0.22901,7.3057,0.411434,9.3162,1.11408,1.3479,0.169518,1.2459,0.0634986,0.7079,0.0604384,2.3107,9.75564,26.0,0.0972847,5.12,0.195071,3.92,1.56746,2.2880000000000003,1.88408,16.5087,3.10621,18.0661,44.8962,54.6515,0.782582,1.8406,3.52564,7.3624,0.21236100000000002,5.0969999999999995,0.146361,2.6051,0.19935,7.7022,0.12723299999999998,4.1909,1.18216,14.1867,0.197889,21.0961,0.07897169999999999,,0.0535672,3.0582,0.0785104,5.8333,0.0782115,1.65,0.0722909,0.895,0.0818469,0.78,0.050938699999999996,0.13,0.674361,3.8,0.126864,1.4,0.05521860000000001,0.18,0.132935,0.8778,0.13986800000000002,1.3026,0.556979,12.6293,0.047604400000000005,0.8891,2.89666,18.9723,0.12160599999999999,5.3519
2010-01-06 00:00:00,0.184529,21.0,0.15216300000000002,2.5,0.09799479999999999,1.13,0.144776,5.0,0.112572,1.73,0.08634810000000001,1.66,0.18705,2.51,0.07524910000000001,0.44,0.499414,1.7132,0.176928,6.8244,0.30987,8.665,0.421637,1.2686,0.172048,1.1327,0.09327039999999999,0.6513,0.0606165,2.1323,5.62154,31.0,0.16731500000000002,5.08,0.154645,3.79,0.692313,2.1492,0.505894,15.2345,1.8247900000000001,16.9335,26.9471,32.2812,0.44658400000000004,1.4158,1.96272,6.796,0.244434,4.5307,0.172118,2.2653,0.260341,6.5695,0.181401,4.021,0.398108,17.4715,0.329945,21.5208,0.10526500000000001,,0.0713651,3.1149,0.112286,5.9182,0.112298,1.5,0.0963497,0.86,0.110275,0.7490000000000001,0.07093719999999999,0.132,0.343645,3.45,0.143547,1.1,0.08093739999999999,0.15,0.135097,0.9005,0.11741900000000001,1.2573,0.507083,12.8275,0.0672242,0.7646,1.21117,20.3881,0.11735999999999999,5.182
2010-01-07 00:00:00,0.255804,24.0,0.178027,1.97,0.11136099999999999,0.99,0.171735,4.95,0.128423,1.69,0.0987061,1.6,0.23527399999999998,2.44,0.08251649999999999,0.41,0.42767799999999995,1.7132,0.182153,6.8527,0.33208899999999997,8.0703,0.252879,1.212,0.202295,0.9061,0.10910399999999999,0.623,0.0728475,1.9822,2.66679,30.5,0.21413200000000002,5.05,0.22581500000000002,3.68,0.362079,2.0388,0.291662,14.7531,1.30992,16.0273,21.7469,28.8832,0.43933500000000003,1.1327,1.17972,6.2297,0.312485,3.5396,0.21464499999999997,2.0388,0.317524,5.4652,0.20942399999999997,4.021,0.43315600000000004,17.4715,0.391912,21.0961,0.124678,,0.08088830000000001,3.0016,0.12926300000000002,5.72,0.12923800000000002,1.38,0.10798900000000002,0.828,0.12141600000000001,0.722,0.0803729,0.14,0.347467,3.23,0.16713499999999998,0.95,0.0942911,0.13,0.150969,0.8608,0.125107,1.1921,0.579598,11.7515,0.07730039999999999,0.7362,0.932312,19.7085,0.152847,4.9554
2010-01-08 00:00:00,0.323628,21.5,0.18845599999999998,1.82,0.111544,0.8759999999999999,0.17965699999999998,4.9,0.131549,1.65,0.10138,1.55,0.241941,2.39,0.0834006,0.38,0.41003199999999995,1.6933,0.184791,7.1358,0.336244,8.1836,0.17036099999999998,1.1667,0.217127,0.8212,0.11290599999999999,0.5663,0.073741,2.036,1.52735,34.0,0.23175199999999999,5.02,0.213214,3.62,0.29435100000000003,1.9142,0.410529,14.8947,1.0752700000000002,15.3477,16.2944,26.5895,0.46021000000000006,1.0477,0.9851129999999999,5.9465,0.305703,2.9733,0.22893899999999998,1.9822,0.325912,4.4457,0.214639,3.9927,0.52757,16.622,0.39813000000000004,21.9456,0.131217,,0.08080760000000001,3.1432,0.132732,5.9465,0.132905,1.3,0.10781400000000001,0.805,0.12244300000000001,0.7,0.0818985,0.14800000000000002,0.367579,3.08,0.17687999999999998,0.82,0.0978824,0.115,0.158745,0.8042,0.127934,1.127,0.587721,11.1002,0.0790271,0.6853,0.8723489999999999,18.6891,0.165924,4.7289
2010-01-09 00:00:00,0.340479,20.0,0.18857000000000002,1.74,0.112009,0.815,0.193436,4.81,0.130781,1.63,0.10108400000000001,1.5,0.247074,2.33,0.0829105,0.36,0.403983,1.5999,0.185301,7.2774,0.337744,8.4951,0.143704,1.2431,0.222584,0.7362,0.11271199999999999,0.5947,0.07355139999999999,2.1039,1.49183,30.0,0.232825,4.95,0.233368,3.54,0.24189000000000002,2.0077,0.47047700000000003,14.5265,0.9715879999999999,15.0362,12.0212,34.5466,0.47173000000000004,0.9911,1.04449,6.2297,0.31916300000000003,2.8317,0.231294,1.8972,0.335974,3.9644,0.215238,3.8794,0.5406479999999999,16.4521,0.408117,22.7951,0.131736,,0.081304,2.9733,0.1323,5.6917,0.132503,1.25,0.108521,0.78,0.12210599999999999,0.6679999999999999,0.0815331,0.14400000000000002,0.38758200000000004,2.97,0.17821900000000002,0.7,0.0978806,0.1,0.16056099999999998,0.7277,0.128716,1.0364,0.6006520000000001,11.4117,0.0787143,0.6315,0.732183,19.1422,0.16905,4.5307
2010-01-10 00:00:00,0.338418,18.5,0.187433,1.68,0.11072699999999999,0.75,0.227683,4.4,0.130138,1.59,0.100506,1.46,0.242946,2.28,0.0824206,0.335,0.400429,1.515,0.186823,7.0509,0.337169,8.0986,0.145548,1.1525,0.22105500000000003,0.623,0.112017,0.5379999999999999,0.0730545,2.1464,1.61335,26.0,0.23305399999999998,4.9,0.219034,3.48,0.235285,1.9369,0.5012449999999999,13.5921,0.9322379999999999,14.7248,9.81205,35.1129,0.473386,0.9628,1.05944,5.6634,0.308159,2.6901,0.230206,1.784,0.326903,3.7661,0.212963,3.9644,0.55189,16.622,0.395997,22.7951,0.131133,,0.0801916,2.6051,0.13153800000000002,5.0687,0.13172799999999998,1.2,0.106753,0.77,0.121071,0.66,0.0810327,0.139,0.385789,2.82,0.177595,0.63,0.0973144,0.087,0.16033499999999998,0.6853,0.128366,1.0759999999999998,0.589734,11.0153,0.0782142,0.5748,0.7065560000000001,18.859,0.168541,4.7289
