time,date,hour,precip [mm/day],04196800 [m3/s],04196800 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.235871,0.0237166,1.52911
2,2010-01-03,00:00:00.00,0.796032,0.0800198,1.81228
3,2010-01-04,00:00:00.00,0.100049,0.11262,1.64238
4,2010-01-05,00:00:00.00,2.5867,0.11246,1.24594
5,2010-01-06,00:00:00.00,0.976742,0.112114,1.13267
6,2010-01-07,00:00:00.00,0.734221,0.111769,0.906139
7,2010-01-08,00:00:00.00,4.74673,0.111426,0.821189
8,2010-01-09,00:00:00.00,1.97501,0.111086,0.736238
9,2010-01-10,00:00:00.00,0.179105,0.110746,0.622971
10,2010-01-11,00:00:00.00,0.177495,0.110409,0.651287
11,2010-01-12,00:00:00.00,1.6552,0.110073,0.566337
12,2010-01-13,00:00:00.00,0.225594,0.109739,0.509703
13,2010-01-14,00:00:00.00,0.0152354,0.109407,0.45307
14,2010-01-15,00:00:00.00,0.00909825,0.109076,0.45307
15,2010-01-16,00:00:00.00,0.0629897,0.108747,0.396436
16,2010-01-17,00:00:00.00,0.0106487,0.108419,0.396436
17,2010-01-18,00:00:00.00,0.379326,0.108094,0.45307
18,2010-01-19,00:00:00.00,0.106356,0.107769,0.53802
19,2010-01-20,00:00:00.00,0.0274832,0.107447,1.69901
20,2010-01-21,00:00:00.00,0.011431,0.107126,2.83168
21,2010-01-22,00:00:00.00,0.426808,0.106806,2.26535
22,2010-01-23,00:00:00.00,2.06759,0.140929,1.69901
23,2010-01-24,00:00:00.00,0.100146,0.188163,1.98218
24,2010-01-25,00:00:00.00,10.6028,0.513995,12.3461
25,2010-01-26,00:00:00.00,2.14151,1.00745,25.825
26,2010-01-27,00:00:00.00,1.38702,0.718554,30.8654
27,2010-01-28,00:00:00.00,0.0820357,0.186518,23.9277
28,2010-01-29,00:00:00.00,1.0862,0.123413,7.5606
29,2010-01-30,00:00:00.00,0.0462232,0.122657,4.24753
30,2010-01-31,00:00:00.00,0,0.122248,3.68119
31,2010-02-01,00:00:00.00,0,0.12184,2.83168
32,2010-02-02,00:00:00.00,0,0.121435,1.98218
33,2010-02-03,00:00:00.00,0.498328,0.121032,1.33089
34,2010-02-04,00:00:00.00,0.399549,0.120631,1.13267
35,2010-02-05,00:00:00.00,0.0176328,0.120233,1.04772
36,2010-02-06,00:00:00.00,2.30351,0.127393,0.962773
37,2010-02-07,00:00:00.00,9.6944,0.155328,0.934456
38,2010-02-08,00:00:00.00,0.0943677,0.172313,1.13267
39,2010-02-09,00:00:00.00,0.0554883,0.144279,1.18931
40,2010-02-10,00:00:00.00,10.0031,0.119501,0.764555
41,2010-02-11,00:00:00.00,3.83216,0.11897,0.707921
42,2010-02-12,00:00:00.00,0.233746,0.11858,0.651287
43,2010-02-13,00:00:00.00,0.352214,0.118193,0.622971
